time,Oklahoma City,pts.away,score,pts.home,Detroit
2:41.0,,,77-79,,Offensive rebound by A. Drummond
2:40.0,,,77-79,,Offensive foul by A. Drummond
2:40.0,,,77-79,,Turnover by A. Drummond (offensive foul)
2:40.0,Oklahoma City full timeout,,77-79,,
2:29.0,R. Westbrook misses 2-pt shot from 13 ft,,77-79,,
2:28.0,,,77-79,,Defensive rebound by A. Drummond
2:18.0,,,77-79,,Shooting foul by S. Adams (drawn by A. Drummond)
2:18.0,,,77-80,1,A. Drummond makes free throw 1 of 2
2:18.0,,,77-80,,A. Drummond misses free throw 2 of 2
2:17.0,,,77-80,,Offensive rebound by A. Baynes
2:02.0,,,77-80,,R. Jackson misses 2-pt shot from 13 ft
2:01.0,Defensive rebound by R. Foye,,77-80,,
1:55.0,,,77-80,,Personal foul by K. Caldwell-Pope
1:46.0,R. Westbrook misses 2-pt shot at rim (block by A. Drummond),,77-80,,
1:43.0,,,77-80,,Defensive rebound by A. Baynes
1:38.0,Personal foul by R. Westbrook,,77-80,,
1:38.0,,,77-80,,T. Harris enters the game for A. Drummond
1:29.0,,,77-82,2,R. Jackson makes 2-pt shot at rim
1:29.0,Oklahoma City full timeout,,77-82,,
1:29.0,,,77-82,,A. Drummond enters the game for T. Harris
1:15.0,R. Foye misses 3-pt shot from 26 ft,,77-82,,
1:15.0,,,77-82,,Defensive rebound by A. Drummond
1:11.0,,,77-82,,Turnover by A. Drummond (lost ball; steal by S. Adams)
1:11.0,Oklahoma City full timeout,,77-82,,
1:09.0,Turnover by R. Foye (bad pass),,77-82,,
1:09.0,,,77-82,,T. Harris enters the game for A. Drummond
0:51.0,,,77-82,,R. Jackson misses 2-pt shot from 6 ft (block by R. Foye)
0:51.0,Defensive rebound by R. Foye,,77-82,,
0:40.0,R. Westbrook misses 3-pt shot from 26 ft,,77-82,,
0:40.0,Offensive rebound by D. Waiters,,77-82,,
0:36.0,Offensive foul by E. Kanter,,77-82,,
0:36.0,Turnover by E. Kanter (offensive foul),,77-82,,
0:36.0,,,77-82,,A. Tolliver enters the game for A. Baynes
0:23.0,,,77-82,,Turnover by K. Caldwell-Pope (lost ball; steal by S. Adams)
0:16.0,E. Kanter makes 2-pt shot at rim (assist by R. Westbrook),2,79-82,,
0:15.0,Personal foul by D. Waiters,,79-82,,
0:15.0,,,79-83,1,R. Jackson makes free throw 1 of 2
0:15.0,,,79-83,,A. Baynes enters the game for A. Tolliver
0:15.0,,,79-83,,A. Drummond enters the game for T. Harris
0:15.0,,,79-84,1,R. Jackson makes free throw 2 of 2
0:15.0,Oklahoma City full timeout,,79-84,,
0:15.0,A. Morrow enters the game for S. Adams,,79-84,,
0:15.0,,,79-84,,S. Johnson enters the game for A. Drummond
0:09.0,R. Westbrook makes 3-pt shot from 27 ft,3,82-84,,
0:08.0,Personal foul by R. Westbrook,,82-84,,
0:08.0,,,82-85,1,R. Jackson makes free throw 1 of 2
0:08.0,S. Adams enters the game for R. Foye,,82-85,,
0:08.0,,,82-86,1,R. Jackson makes free throw 2 of 2
0:01.0,R. Westbrook misses 3-pt shot from 29 ft,,82-86,,
0:01.0,,,82-86,,Defensive rebound by A. Baynes
0:01.0,Personal foul by S. Adams,,82-86,,
0:01.0,,,82-87,1,A. Baynes makes free throw 1 of 2
0:01.0,,,82-88,1,A. Baynes makes free throw 2 of 2
0:00.0,End of 4th quarter,,,,End of 4th quarter
