time,Oklahoma City,pts.away,score,pts.home,Detroit
11:25.0,,,23-25,,Turnover by S. Johnson (bad pass)
11:05.0,E. Kanter makes 2-pt shot from 7 ft (assist by R. Foye),2,25-25,,
10:48.0,,,25-25,,S. Blake misses 3-pt shot from 23 ft
10:47.0,Defensive rebound by R. Foye,,25-25,,
10:40.0,E. Kanter makes 2-pt shot at rim (assist by R. Foye),2,27-25,,
10:40.0,Shooting foul by S. Johnson (drawn by E. Kanter),,27-25,,
10:40.0,E. Kanter misses free throw 1 of 1,,27-25,,
10:38.0,,,27-25,,Defensive rebound by A. Baynes
10:16.0,,,27-25,,M. Morris misses 2-pt shot from 17 ft
10:15.0,Defensive rebound by R. Foye,,27-25,,
10:01.0,E. Kanter misses 2-pt shot from 13 ft,,27-25,,
10:00.0,,,27-25,,Defensive rebound by M. Morris
9:52.0,,,27-25,,A. Tolliver misses 3-pt shot from 26 ft
9:51.0,,,27-25,,Offensive rebound by M. Morris
9:48.0,,,27-27,2,M. Morris makes 2-pt shot at rim
9:33.0,C. Payne misses 2-pt shot from 13 ft,,27-27,,
9:33.0,,,27-27,,Defensive rebound by S. Johnson
9:31.0,,,27-29,2,S. Johnson makes 2-pt shot at rim
9:31.0,,,27-29,,Shooting foul by C. Payne (drawn by S. Johnson)
9:31.0,N. Collison enters the game for J. Huestis,,27-29,,
9:31.0,,,27-29,,S. Johnson misses free throw 1 of 1
9:30.0,Defensive rebound by E. Kanter,,27-29,,
9:16.0,Turnover by C. Payne (lost ball),,27-29,,
9:02.0,,,27-29,,M. Morris misses 2-pt shot from 15 ft
9:00.0,,,27-29,,Offensive rebound by S. Johnson
8:58.0,,,27-31,2,S. Johnson makes 2-pt shot at rim
8:44.0,Shooting foul by M. Morris (drawn by R. Foye),,27-31,,
8:44.0,Official timeout,,27-31,,
8:44.0,S. Adams enters the game for E. Kanter,,27-31,,
8:44.0,R. Westbrook enters the game for C. Payne,,27-31,,
8:44.0,R. Foye makes free throw 1 of 2,1,28-31,,
8:44.0,R. Foye misses free throw 2 of 2,,28-31,,
8:44.0,,,28-31,,Defensive rebound by S. Blake
8:33.0,Personal foul by R. Westbrook,,28-31,,
8:33.0,D. Waiters enters the game for R. Foye,,28-31,,
8:19.0,,,28-33,2,A. Baynes makes 2-pt shot at rim (assist by M. Morris)
7:59.0,S. Adams misses 2-pt shot from 7 ft,,28-33,,
7:58.0,,,28-33,,Defensive rebound by A. Baynes
7:49.0,,,28-35,2,A. Tolliver makes 2-pt shot at rim (assist by S. Blake)
7:39.0,Shooting foul by A. Baynes (drawn by R. Westbrook),,28-35,,
7:39.0,R. Westbrook makes free throw 1 of 2,1,29-35,,
7:39.0,R. Westbrook makes free throw 2 of 2,1,30-35,,
7:31.0,Personal foul by D. Waiters,,30-35,,
7:31.0,K. Singler enters the game for A. Morrow,,30-35,,
7:17.0,,,30-35,,Turnover by S. Johnson (lost ball; steal by S. Adams)
7:05.0,Offensive charge foul by S. Adams,,30-35,,
7:05.0,Turnover by S. Adams (offensive foul),,30-35,,
7:05.0,,,30-35,,R. Jackson enters the game for S. Blake
7:05.0,,,30-35,,K. Caldwell-Pope enters the game for S. Johnson
6:52.0,,,30-38,3,M. Morris makes 3-pt shot from 25 ft (assist by K. Caldwell-Pope)
6:36.0,S. Adams misses 2-pt shot from 3 ft,,30-38,,
6:35.0,Offensive rebound by R. Westbrook,,30-38,,
6:32.0,Turnover by D. Waiters (traveling),,30-38,,
6:11.0,,,30-38,,A. Baynes misses 2-pt shot at rim
6:09.0,Defensive rebound by N. Collison,,30-38,,
5:54.0,N. Collison makes 2-pt shot from 8 ft (assist by R. Westbrook),2,32-38,,
5:42.0,,,32-38,,R. Jackson misses 2-pt shot from 6 ft
5:42.0,Defensive rebound by Team,,32-38,,
5:42.0,,,32-38,,Loose ball foul by A. Baynes
5:42.0,,,32-38,,Detroit full timeout
5:42.0,,,32-38,,A. Drummond enters the game for A. Baynes
5:42.0,,,32-38,,T. Harris enters the game for A. Tolliver
5:30.0,R. Westbrook makes 2-pt shot from 15 ft,2,34-38,,
5:11.0,,,34-38,,T. Harris misses 2-pt shot from 3 ft
5:11.0,,,34-38,,Offensive rebound by T. Harris
5:11.0,,,34-38,,T. Harris misses 2-pt shot from 3 ft
5:11.0,,,34-38,,Offensive rebound by Team
5:03.0,Personal foul by K. Singler,,34-38,,
5:03.0,A. Roberson enters the game for N. Collison,,34-38,,
4:44.0,,,34-38,,R. Jackson misses 3-pt shot from 26 ft
4:44.0,Defensive rebound by S. Adams,,34-38,,
4:40.0,,,34-38,,Personal foul by R. Jackson
4:40.0,D. Waiters makes free throw 1 of 2,1,35-38,,
4:40.0,D. Waiters makes free throw 2 of 2,1,36-38,,
4:36.0,,,36-38,,Detroit full timeout
4:29.0,Personal foul by K. Singler,,36-38,,
4:29.0,,,36-39,1,M. Morris makes free throw 1 of 2
4:29.0,J. Huestis enters the game for K. Singler,,36-39,,
4:29.0,,,36-40,1,M. Morris makes free throw 2 of 2
4:24.0,,,36-40,,Personal foul by K. Caldwell-Pope
4:24.0,R. Westbrook misses free throw 1 of 2,,36-40,,
4:24.0,Offensive rebound by Team,,36-40,,
4:24.0,R. Westbrook makes free throw 2 of 2,1,37-40,,
4:10.0,Personal foul by J. Huestis,,37-40,,
4:10.0,,,37-41,1,M. Morris makes free throw 1 of 2
4:10.0,,,37-42,1,M. Morris makes free throw 2 of 2
3:59.0,Turnover by R. Westbrook (lost ball; steal by A. Drummond),,37-42,,
3:50.0,,,37-42,,M. Morris misses 2-pt shot from 19 ft
3:50.0,Defensive rebound by A. Roberson,,37-42,,
3:35.0,D. Waiters misses 2-pt shot from 19 ft,,37-42,,
3:34.0,,,37-42,,Defensive rebound by M. Morris
3:22.0,,,37-42,,K. Caldwell-Pope misses 3-pt shot from 22 ft
