time,Denver,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Lauvergne vs. N. Noel (J. Grant gains possession),,,,Jump ball: J. Lauvergne vs. N. Noel (J. Grant gains possession)
11:44.0,,,0-0,,Turnover by N. Noel (bad pass)
11:23.0,D. Gallinari misses 2-pt shot from 15 ft,,0-0,,
11:21.0,,,0-0,,Defensive rebound by R. Covington
11:12.0,,,0-3,3,R. Covington makes 3-pt shot from 26 ft (assist by I. Canaan)
10:54.0,D. Arthur misses 2-pt shot from 17 ft,,0-3,,
10:52.0,,,0-3,,Defensive rebound by T. McConnell
10:46.0,,,0-3,,Turnover by T. McConnell (bad pass; steal by D. Arthur)
10:37.0,J. Lauvergne misses 2-pt shot at rim,,0-3,,
10:34.0,,,0-3,,Defensive rebound by T. McConnell
10:24.0,,,0-6,3,T. McConnell makes 3-pt shot from 26 ft
10:05.0,E. Mudiay makes 2-pt shot from 1 ft (assist by J. Lauvergne),2,2-6,,
9:55.0,,,2-6,,R. Covington misses 3-pt shot from 26 ft
9:53.0,Defensive rebound by R. Foye,,2-6,,
9:42.0,D. Arthur makes 2-pt shot from 8 ft,2,4-6,,
9:21.0,,,4-6,,Turnover by J. Grant (step out of bounds)
9:06.0,Turnover by E. Mudiay (bad pass; steal by J. Grant),,4-6,,
8:55.0,,,4-6,,Offensive foul by I. Canaan
8:55.0,,,4-6,,Turnover by I. Canaan (offensive foul)
8:45.0,,,4-6,,Personal foul by J. Grant (drawn by D. Gallinari)
8:31.0,D. Arthur makes 3-pt shot from 24 ft (assist by E. Mudiay),3,7-6,,
8:18.0,,,7-8,2,N. Noel makes 2-pt shot from 5 ft
8:00.0,R. Foye makes 2-pt shot from 16 ft,2,9-8,,
7:52.0,,,9-11,3,I. Canaan makes 3-pt shot from 25 ft (assist by T. McConnell)
7:39.0,E. Mudiay misses 2-pt shot from 12 ft,,9-11,,
7:37.0,,,9-11,,Defensive rebound by N. Noel
7:22.0,,,9-11,,R. Covington misses 3-pt shot from 26 ft
7:20.0,Defensive rebound by J. Lauvergne,,9-11,,
7:07.0,J. Lauvergne makes 2-pt shot from 17 ft (assist by D. Arthur),2,11-11,,
6:50.0,,,11-13,2,J. Grant makes 2-pt shot from 14 ft
6:33.0,J. Lauvergne misses 2-pt shot from 6 ft (block by N. Noel),,11-13,,
6:31.0,Offensive rebound by E. Mudiay,,11-13,,
6:29.0,D. Arthur makes 3-pt shot from 26 ft (assist by E. Mudiay),3,14-13,,
6:25.0,,,14-13,,Philadelphia full timeout
6:25.0,J. Hickson enters the game for J. Lauvergne,,14-13,,
6:13.0,,,14-13,,N. Noel misses 2-pt shot from 17 ft
6:11.0,Defensive rebound by R. Foye,,14-13,,
5:52.0,D. Gallinari misses 3-pt shot from 22 ft,,14-13,,
5:49.0,,,14-13,,Defensive rebound by I. Canaan
5:30.0,,,14-13,,Shooting foul by E. Mudiay (drawn by T. McConnell)
5:30.0,,,14-13,,T. McConnell misses free throw 1 of 2
5:30.0,,,14-13,,Offensive rebound by Team
5:30.0,,,14-13,,N. Stauskas enters the game for I. Canaan
5:30.0,,,14-13,,H. Thompson enters the game for R. Covington
5:30.0,,,14-14,1,T. McConnell makes free throw 2 of 2
5:11.0,J. Hickson misses 2-pt shot from 11 ft,,14-14,,
5:10.0,,,14-14,,Defensive rebound by N. Stauskas
4:58.0,,,14-14,,N. Noel misses 2-pt shot from 12 ft
4:57.0,Defensive rebound by E. Mudiay,,14-14,,
4:48.0,D. Gallinari makes 3-pt shot from 26 ft (assist by E. Mudiay),3,17-14,,
4:40.0,Personal foul by J. Hickson,,17-14,,
4:40.0,W. Barton enters the game for D. Arthur,,17-14,,
4:40.0,,,17-14,,T. Wroten enters the game for T. McConnell
4:31.0,,,17-16,2,J. Grant makes 2-pt shot at rim (assist by T. Wroten)
4:13.0,J. Hickson makes 2-pt shot at rim (assist by D. Gallinari),2,19-16,,
3:58.0,Personal foul by R. Foye (drawn by N. Noel),,19-16,,
3:58.0,,,19-16,,R. Holmes enters the game for N. Noel
3:52.0,,,19-18,2,T. Wroten makes 2-pt shot from 1 ft
3:52.0,Violation by J. Hickson (def goaltending),,19-18,,
3:39.0,R. Foye misses 2-pt shot from 4 ft (block by N. Stauskas),,19-18,,
3:38.0,Offensive rebound by J. Hickson,,19-18,,
3:37.0,Shooting foul by J. Grant (drawn by J. Hickson),,19-18,,
3:37.0,J. Hickson makes free throw 1 of 2,1,20-18,,
3:37.0,J. Nelson enters the game for E. Mudiay,,20-18,,
3:37.0,,,20-18,,R. Covington enters the game for J. Grant
3:37.0,J. Hickson misses free throw 2 of 2,,20-18,,
3:36.0,,,20-18,,Defensive rebound by R. Covington
3:17.0,,,20-18,,T. Wroten misses 2-pt shot at rim
3:16.0,Defensive rebound by J. Hickson,,20-18,,
3:12.0,W. Barton makes 2-pt shot from 2 ft (assist by J. Hickson),2,22-18,,
3:06.0,Personal block foul by D. Gallinari (drawn by R. Covington),,22-18,,
2:56.0,,,22-21,3,N. Stauskas makes 3-pt shot from 26 ft
2:45.0,D. Gallinari misses 3-pt shot from 26 ft,,22-21,,
2:43.0,,,22-21,,Defensive rebound by R. Holmes
2:39.0,,,22-21,,Turnover by T. Wroten (offensive foul)
2:39.0,,,22-21,,Offensive charge foul by T. Wroten
2:39.0,Denver full timeout,,22-21,,
2:21.0,Shooting foul by R. Covington (drawn by J. Hickson),,22-21,,
2:21.0,J. Hickson makes free throw 1 of 2,1,23-21,,
2:21.0,J. Hickson misses free throw 2 of 2,,23-21,,
2:20.0,,,23-21,,Defensive rebound by R. Holmes
2:03.0,,,23-23,2,H. Thompson makes 2-pt shot from 19 ft (assist by R. Covington)
1:52.0,J. Hickson misses 2-pt shot from 10 ft,,23-23,,
1:50.0,,,23-23,,Defensive rebound by H. Thompson
1:43.0,,,23-23,,T. Wroten misses 2-pt shot from 1 ft
1:41.0,Defensive rebound by J. Hickson,,23-23,,
1:33.0,J. Hickson makes 2-pt shot from 2 ft (assist by R. Foye),2,25-23,,
1:33.0,Shooting foul by R. Holmes (drawn by J. Hickson),,25-23,,
1:33.0,J. Hickson misses free throw 1 of 1,,25-23,,
1:32.0,,,25-23,,Defensive rebound by R. Covington
1:16.0,,,25-25,2,R. Covington makes 2-pt shot from 11 ft
1:06.0,Shooting foul by R. Holmes (drawn by J. Hickson),,25-25,,
1:06.0,J. Hickson misses free throw 1 of 2,,25-25,,
1:06.0,Offensive rebound by Team,,25-25,,
1:06.0,E. Mudiay enters the game for R. Foye,,25-25,,
1:06.0,J. Hickson makes free throw 2 of 2,1,26-25,,
0:54.0,,,26-25,,Offensive charge foul by R. Covington
0:54.0,,,26-25,,Turnover by R. Covington (offensive foul)
0:54.0,,,26-25,,J. Sampson enters the game for R. Covington
0:39.0,J. Nelson makes 3-pt shot from 26 ft (assist by J. Hickson),3,29-25,,
0:35.0,,,29-25,,Turnover by T. Wroten (bad pass; steal by J. Hickson)
0:25.0,Shooting foul by R. Holmes (drawn by J. Hickson),,29-25,,
0:25.0,J. Hickson misses free throw 1 of 2,,29-25,,
0:25.0,Offensive rebound by Team,,29-25,,
0:25.0,,,29-25,,R. Covington enters the game for J. Sampson
0:25.0,J. Hickson misses free throw 2 of 2,,29-25,,
0:25.0,,,29-25,,Defensive rebound by R. Covington
0:02.0,,,29-25,,T. Wroten misses 2-pt shot from 4 ft
0:00.0,,,29-25,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,E. Mudiay makes 2-pt shot from 1 ft (assist by M. Miller),2,31-25,,
11:40.0,,,31-25,,Philadelphia full timeout
11:27.0,,,31-28,3,I. Canaan makes 3-pt shot from 26 ft (assist by T. McConnell)
11:00.0,Shooting foul by J. Sampson (drawn by W. Barton),,31-28,,
11:00.0,W. Barton makes free throw 1 of 2,1,32-28,,
11:00.0,W. Barton misses free throw 2 of 2,,32-28,,
10:58.0,,,32-28,,Defensive rebound by T. McConnell
10:49.0,,,32-28,,Shooting foul by M. Miller (drawn by J. Sampson)
10:49.0,,,32-29,1,J. Sampson makes free throw 1 of 2
10:49.0,,,32-29,,H. Thompson enters the game for N. Stauskas
10:49.0,,,32-30,1,J. Sampson makes free throw 2 of 2
10:36.0,E. Mudiay misses 2-pt shot from 10 ft,,32-30,,
10:35.0,Offensive rebound by Team,,32-30,,
10:27.0,M. Miller makes 2-pt shot from 2 ft,2,34-30,,
10:15.0,,,34-32,2,J. Grant makes 2-pt shot from 1 ft (assist by H. Thompson)
10:05.0,E. Mudiay makes 3-pt shot from 25 ft (assist by M. Miller),3,37-32,,
9:53.0,,,37-35,3,I. Canaan makes 3-pt shot from 23 ft (assist by T. McConnell)
9:40.0,Denver full timeout,,37-35,,
9:40.0,,,37-35,,N. Noel enters the game for J. Sampson
9:37.0,M. Miller makes 3-pt shot from 23 ft (assist by E. Mudiay),3,40-35,,
9:12.0,,,40-38,3,I. Canaan makes 3-pt shot from 23 ft (assist by H. Thompson)
9:02.0,K. Faried makes 2-pt shot from 4 ft (assist by M. Miller),2,42-38,,
8:51.0,,,42-40,2,N. Noel makes 2-pt shot at rim (assist by H. Thompson)
8:19.0,W. Barton misses 3-pt shot from 26 ft,,42-40,,
8:17.0,Offensive rebound by K. Faried,,42-40,,
8:15.0,K. Faried misses 2-pt shot from 3 ft,,42-40,,
8:14.0,,,42-40,,Defensive rebound by J. Grant
8:07.0,,,42-40,,H. Thompson misses 3-pt shot from 26 ft
8:05.0,Defensive rebound by J. Nelson,,42-40,,
7:57.0,,,42-40,,T. Wroten enters the game for T. McConnell
7:54.0,Jump ball: W. Barton vs. I. Canaan (T. Wroten gains possession),,,,Jump ball: W. Barton vs. I. Canaan (T. Wroten gains possession)
7:54.0,Turnover by W. Barton (lost ball; steal by I. Canaan),,42-40,,
7:52.0,,,42-40,,Offensive charge foul by T. Wroten
7:52.0,,,42-40,,Turnover by T. Wroten (offensive foul)
7:52.0,,,42-40,,N. Stauskas enters the game for I. Canaan
7:52.0,R. Foye enters the game for W. Barton,,42-40,,
7:43.0,Turnover by K. Faried (lost ball; steal by J. Grant),,42-40,,
7:37.0,,,42-40,,J. Grant misses 2-pt shot from 2 ft (block by K. Faried)
7:34.0,Defensive rebound by M. Miller,,42-40,,
7:30.0,Turnover by M. Miller (bad pass),,42-40,,
7:14.0,,,42-40,,Turnover by T. Wroten (traveling)
7:14.0,D. Gallinari enters the game for M. Miller,,42-40,,
6:57.0,R. Foye makes 2-pt shot from 16 ft (assist by E. Mudiay),2,44-40,,
6:39.0,,,44-43,3,N. Stauskas makes 3-pt shot from 25 ft (assist by J. Grant)
6:25.0,E. Mudiay misses 2-pt shot from 21 ft,,44-43,,
6:23.0,,,44-43,,Defensive rebound by N. Noel
6:09.0,D. Arthur enters the game for K. Faried,,44-43,,
6:09.0,,,44-43,,R. Covington enters the game for J. Grant
6:09.0,,,44-43,,Philadelphia full timeout
