time,Miami,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. H. Whiteside (S. Blake gains possession),,,,Jump ball: A. Drummond vs. H. Whiteside (S. Blake gains possession)
11:40.0,,,0-0,,A. Drummond misses 2-pt shot from 5 ft
11:39.0,Defensive rebound by L. Deng,,0-0,,
11:19.0,G. Dragic misses 3-pt shot from 23 ft,,0-0,,
11:18.0,,,0-0,,Defensive rebound by A. Drummond
10:59.0,,,0-0,,T. Harris misses 2-pt shot from 8 ft
10:59.0,Defensive rebound by L. Deng,,0-0,,
10:39.0,D. Wade misses 2-pt shot from 5 ft,,0-0,,
10:38.0,Offensive rebound by H. Whiteside,,0-0,,
10:36.0,H. Whiteside misses 2-pt shot at rim,,0-0,,
10:34.0,,,0-0,,Defensive rebound by M. Morris
10:28.0,,,0-0,,A. Drummond misses 2-pt shot at rim
10:25.0,,,0-0,,Offensive rebound by M. Morris
10:15.0,,,0-0,,M. Morris misses 3-pt shot from 25 ft
10:15.0,Defensive rebound by L. Deng,,0-0,,
9:54.0,G. Dragic makes 2-pt shot at rim,2,2-0,,
9:35.0,,,2-2,2,M. Morris makes 2-pt shot from 17 ft
9:17.0,H. Whiteside misses 2-pt shot from 8 ft,,2-2,,
9:17.0,,,2-2,,Defensive rebound by M. Morris
9:04.0,,,2-2,,K. Caldwell-Pope misses 2-pt shot from 7 ft
9:03.0,Defensive rebound by J. Johnson,,2-2,,
8:52.0,J. Johnson misses 2-pt shot from 6 ft,,2-2,,
8:50.0,,,2-2,,Defensive rebound by A. Drummond
8:44.0,Personal foul by G. Dragic,,2-2,,
8:40.0,,,2-2,,K. Caldwell-Pope misses 2-pt shot at rim
8:39.0,Defensive rebound by H. Whiteside,,2-2,,
8:26.0,Turnover by L. Deng (lost ball; steal by T. Harris),,2-2,,
8:19.0,,,2-4,2,T. Harris makes 2-pt shot from 1 ft
7:56.0,Jump ball: J. Johnson vs. M. Morris (L. Deng gains possession),,,,Jump ball: J. Johnson vs. M. Morris (L. Deng gains possession)
7:46.0,L. Deng misses 3-pt shot from 22 ft,,2-4,,
7:45.0,,,2-4,,Defensive rebound by S. Blake
7:43.0,,,2-4,,Turnover by S. Blake (traveling)
7:27.0,D. Wade misses 2-pt shot from 16 ft,,2-4,,
7:26.0,,,2-4,,Defensive rebound by A. Drummond
7:18.0,,,2-4,,K. Caldwell-Pope misses 2-pt shot from 18 ft
7:17.0,Defensive rebound by J. Johnson,,2-4,,
7:06.0,G. Dragic makes 2-pt shot from 17 ft,2,4-4,,
6:42.0,,,4-4,,M. Morris misses 2-pt shot from 16 ft
6:42.0,Defensive rebound by L. Deng,,4-4,,
6:33.0,L. Deng makes 3-pt shot from 27 ft (assist by D. Wade),3,7-4,,
6:12.0,,,7-6,2,S. Blake makes 2-pt shot from 9 ft
5:57.0,Turnover by H. Whiteside (3 sec),,7-6,,
5:57.0,,,7-6,,Detroit full timeout
5:57.0,J. Richardson enters the game for G. Dragic,,7-6,,
5:43.0,G. Green enters the game for L. Deng,,7-6,,
5:37.0,,,7-8,2,S. Blake makes 2-pt shot from 21 ft (assist by M. Morris)
5:20.0,Turnover by D. Wade (lost ball; steal by K. Caldwell-Pope),,7-8,,
5:11.0,,,7-8,,S. Blake misses 3-pt shot from 26 ft
5:10.0,,,7-8,,Offensive rebound by A. Drummond
5:02.0,,,7-8,,K. Caldwell-Pope misses 3-pt shot from 25 ft
5:02.0,Defensive rebound by G. Green,,7-8,,
4:48.0,,,7-8,,S. Johnson enters the game for M. Morris
4:37.0,Turnover by Team (shot clock),,7-8,,
4:13.0,,,7-8,,T. Harris misses 2-pt shot from 6 ft
4:11.0,Defensive rebound by H. Whiteside,,7-8,,
4:04.0,J. Richardson misses 2-pt shot from 2 ft (block by T. Harris),,7-8,,
4:03.0,Offensive rebound by Team,,7-8,,
3:59.0,H. Whiteside makes 2-pt shot from 16 ft (assist by D. Wade),2,9-8,,
3:47.0,,,9-8,,S. Blake misses 2-pt shot from 6 ft (block by H. Whiteside)
3:47.0,,,9-8,,Offensive rebound by Team
3:47.0,G. Dragic enters the game for D. Wade,,9-8,,
3:35.0,,,9-8,,T. Harris misses 2-pt shot from 5 ft (block by H. Whiteside)
3:34.0,Defensive rebound by G. Dragic,,9-8,,
3:17.0,J. Johnson makes 2-pt shot from 16 ft,2,11-8,,
3:02.0,,,11-8,,A. Drummond misses 2-pt shot at rim
3:00.0,Defensive rebound by H. Whiteside,,11-8,,
2:54.0,G. Dragic misses 2-pt shot from 5 ft,,11-8,,
2:54.0,Offensive rebound by G. Dragic,,11-8,,
2:51.0,G. Dragic makes 2-pt shot at rim,2,13-8,,
2:41.0,,,13-8,,T. Harris misses 3-pt shot from 26 ft
2:38.0,,,13-8,,Offensive rebound by A. Drummond
2:36.0,,,13-8,,A. Drummond misses 2-pt shot at rim
2:35.0,,,13-8,,Offensive rebound by A. Drummond
2:31.0,,,13-10,2,A. Drummond makes 2-pt shot at rim
2:22.0,Miami full timeout,,13-10,,
2:04.0,J. Johnson makes 2-pt shot from 15 ft,2,15-10,,
1:45.0,,,15-10,,K. Caldwell-Pope misses 2-pt shot from 13 ft
1:45.0,Defensive rebound by J. Richardson,,15-10,,
1:40.0,Turnover by G. Dragic (lost ball; steal by S. Johnson),,15-10,,
1:35.0,,,15-12,2,S. Johnson makes 2-pt shot at rim
1:20.0,Turnover by J. Johnson (lost ball; steal by K. Caldwell-Pope),,15-12,,
1:15.0,,,15-14,2,K. Caldwell-Pope makes 2-pt shot at rim
0:57.0,G. Dragic makes 2-pt shot from 12 ft,2,17-14,,
0:37.0,,,17-14,,K. Caldwell-Pope misses 2-pt shot at rim
0:35.0,,,17-14,,Offensive rebound by A. Drummond
0:34.0,,,17-14,,A. Drummond misses 2-pt shot at rim
0:34.0,,,17-14,,Offensive rebound by A. Drummond
0:34.0,,,17-14,,Shooting foul by G. Dragic (drawn by A. Drummond)
0:34.0,,,17-15,1,A. Drummond makes free throw 1 of 2
0:34.0,,,17-15,,S. Dinwiddie enters the game for S. Blake
0:34.0,L. Deng enters the game for H. Whiteside,,17-15,,
0:34.0,A. Stoudemire enters the game for J. Johnson,,17-15,,
0:34.0,,,17-15,,A. Drummond misses free throw 2 of 2
0:33.0,,,17-15,,Offensive rebound by S. Johnson
0:32.0,,,17-17,2,S. Johnson makes 2-pt shot at rim
0:19.0,A. Stoudemire makes 2-pt shot at rim (assist by G. Dragic),2,19-17,,
0:01.0,,,19-17,,T. Harris misses 3-pt shot from 25 ft
0:00.0,,,19-17,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,A. Stoudemire misses 2-pt shot at rim (block by A. Baynes),,19-17,,
11:44.0,,,19-17,,Defensive rebound by S. Johnson
11:33.0,,,19-19,2,A. Baynes makes 2-pt shot at rim (assist by S. Dinwiddie)
11:20.0,Turnover by G. Dragic (lost ball; steal by K. Caldwell-Pope),,19-19,,
11:16.0,,,19-19,,Turnover by K. Caldwell-Pope (lost ball; steal by G. Dragic)
11:12.0,Shooting foul by S. Johnson (drawn by G. Green),,19-19,,
11:12.0,G. Green makes free throw 1 of 2,1,20-19,,
11:12.0,G. Green makes free throw 2 of 2,1,21-19,,
10:57.0,,,21-19,,S. Johnson misses 2-pt shot from 6 ft
10:56.0,Defensive rebound by A. Stoudemire,,21-19,,
10:44.0,G. Dragic makes 2-pt shot at rim,2,23-19,,
10:36.0,,,23-19,,Shooting foul by A. Stoudemire (drawn by S. Dinwiddie)
10:36.0,,,23-19,,S. Dinwiddie misses free throw 1 of 2
10:36.0,,,23-19,,Offensive rebound by Team
10:36.0,,,23-19,,M. Morris enters the game for S. Johnson
10:36.0,,,23-19,,R. Bullock enters the game for K. Caldwell-Pope
10:36.0,,,23-20,1,S. Dinwiddie makes free throw 2 of 2
10:19.0,A. Stoudemire makes 2-pt shot at rim,2,25-20,,
10:07.0,,,25-22,2,S. Dinwiddie makes 2-pt shot from 9 ft
9:53.0,G. Dragic misses 3-pt shot from 26 ft,,25-22,,
9:52.0,,,25-22,,Defensive rebound by A. Tolliver
9:41.0,,,25-25,3,A. Tolliver makes 3-pt shot from 26 ft (assist by S. Dinwiddie)
9:30.0,G. Green misses 3-pt shot from 27 ft,,25-25,,
9:29.0,,,25-25,,Defensive rebound by R. Bullock
9:20.0,,,25-27,2,R. Bullock makes 2-pt shot at rim (assist by S. Dinwiddie)
9:02.0,L. Deng makes 2-pt shot from 14 ft,2,27-27,,
8:47.0,,,27-27,,R. Bullock misses 2-pt shot at rim (block by J. Richardson)
8:45.0,Defensive rebound by J. Richardson,,27-27,,
8:41.0,Shooting foul by A. Baynes (drawn by L. Deng),,27-27,,
8:41.0,Official timeout,,27-27,,
8:41.0,D. Wade enters the game for G. Dragic,,27-27,,
8:41.0,L. Deng makes free throw 1 of 2,1,28-27,,
8:41.0,L. Deng makes free throw 2 of 2,1,29-27,,
8:24.0,,,29-27,,M. Morris misses 2-pt shot from 14 ft
8:23.0,,,29-27,,Offensive rebound by M. Morris
8:18.0,,,29-27,,Shooting foul by J. Richardson (drawn by M. Morris)
8:18.0,,,29-27,,M. Morris misses free throw 1 of 2
8:18.0,,,29-27,,Offensive rebound by Team
8:18.0,,,29-28,1,M. Morris makes free throw 2 of 2
7:57.0,D. Wade misses 2-pt shot from 16 ft,,29-28,,
7:56.0,Offensive rebound by L. Deng,,29-28,,
7:52.0,L. Deng makes 2-pt shot at rim,2,31-28,,
7:35.0,,,31-28,,M. Morris misses 2-pt shot from 16 ft
7:34.0,,,31-28,,Offensive rebound by A. Baynes
7:34.0,,,31-28,,Turnover by A. Baynes (bad pass)
7:17.0,Turnover by L. Deng (lost ball; steal by R. Bullock),,31-28,,
7:09.0,,,31-28,,A. Tolliver misses 3-pt shot from 25 ft
7:08.0,,,31-28,,Offensive rebound by Team
7:03.0,Personal foul by A. Stoudemire,,31-28,,
6:52.0,,,31-28,,R. Bullock misses 2-pt shot from 19 ft
6:52.0,,,31-28,,Offensive rebound by M. Morris
6:51.0,,,31-28,,M. Morris misses 2-pt shot from 1 ft
6:50.0,Defensive rebound by D. Wade,,31-28,,
6:44.0,D. Wade misses 2-pt shot from 4 ft,,31-28,,
6:42.0,,,31-28,,Defensive rebound by A. Baynes
6:36.0,,,31-28,,Shooting foul by A. Stoudemire (drawn by S. Dinwiddie)
6:36.0,,,31-28,,S. Dinwiddie misses free throw 1 of 2
6:36.0,,,31-28,,Offensive rebound by Team
6:36.0,H. Whiteside enters the game for A. Stoudemire,,31-28,,
6:36.0,,,31-29,1,S. Dinwiddie makes free throw 2 of 2
