time,Dallas,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. Z. Pachulia (M. Morris gains possession),,,,Jump ball: A. Drummond vs. Z. Pachulia (M. Morris gains possession)
11:40.0,,,0-2,2,A. Drummond makes 2-pt shot from 5 ft
11:25.0,W. Matthews makes 3-pt shot from 22 ft (assist by J. Anderson),3,3-2,,
11:15.0,,,3-5,3,M. Morris makes 3-pt shot from 23 ft (assist by R. Jackson)
10:53.0,Shooting foul by A. Drummond (drawn by Z. Pachulia),,3-5,,
10:53.0,Z. Pachulia misses free throw 1 of 2,,3-5,,
10:53.0,Offensive rebound by Team,,3-5,,
10:53.0,Z. Pachulia makes free throw 2 of 2,1,4-5,,
10:31.0,,,4-8,3,M. Morris makes 3-pt shot from 26 ft (assist by R. Jackson)
10:15.0,W. Matthews misses 3-pt shot from 25 ft,,4-8,,
10:15.0,,,4-8,,Defensive rebound by A. Drummond
10:05.0,,,4-8,,R. Jackson misses 3-pt shot from 26 ft
10:05.0,Defensive rebound by J. Anderson,,4-8,,
9:55.0,Z. Pachulia makes 2-pt shot from 17 ft (assist by J. Barea),2,6-8,,
9:38.0,,,6-8,,A. Drummond misses 2-pt shot from 6 ft
9:35.0,Defensive rebound by D. Nowitzki,,6-8,,
9:28.0,J. Barea makes 2-pt shot from 17 ft,2,8-8,,
9:11.0,,,8-8,,K. Caldwell-Pope misses 3-pt shot from 23 ft
9:10.0,Defensive rebound by Z. Pachulia,,8-8,,
9:03.0,Turnover by J. Barea (step out of bounds),,8-8,,
8:43.0,,,8-8,,A. Drummond misses 2-pt shot from 10 ft
8:42.0,Defensive rebound by D. Nowitzki,,8-8,,
8:21.0,D. Nowitzki misses 2-pt shot from 14 ft,,8-8,,
8:19.0,Offensive rebound by Z. Pachulia,,8-8,,
8:17.0,Turnover by Z. Pachulia (lost ball; steal by R. Jackson),,8-8,,
8:11.0,,,8-11,3,M. Morris makes 3-pt shot from 24 ft (assist by R. Jackson)
7:53.0,D. Nowitzki misses 2-pt shot from 11 ft (block by T. Harris),,8-11,,
7:52.0,,,8-11,,Defensive rebound by M. Morris
7:50.0,,,8-11,,Turnover by R. Jackson (bad pass)
7:37.0,J. Barea makes 2-pt shot from 15 ft,2,10-11,,
7:13.0,,,10-11,,R. Jackson misses 3-pt shot from 27 ft
7:13.0,Defensive rebound by J. Anderson,,10-11,,
7:09.0,Offensive foul by D. Nowitzki,,10-11,,
7:09.0,Turnover by D. Nowitzki (offensive foul),,10-11,,
6:58.0,,,10-11,,Turnover by R. Jackson (bad pass)
6:44.0,J. Barea makes 2-pt shot from 16 ft (assist by Z. Pachulia),2,12-11,,
6:25.0,,,12-14,3,M. Morris makes 3-pt shot from 23 ft (assist by R. Jackson)
6:01.0,D. Nowitzki makes 2-pt shot from 11 ft,2,14-14,,
6:01.0,Shooting foul by T. Harris (drawn by D. Nowitzki),,14-14,,
6:01.0,D. Nowitzki makes free throw 1 of 1,1,15-14,,
5:44.0,,,15-14,,M. Morris misses 3-pt shot from 24 ft
5:44.0,Defensive rebound by Z. Pachulia,,15-14,,
5:22.0,D. Nowitzki makes 2-pt shot from 11 ft (assist by W. Matthews),2,17-14,,
5:17.0,,,17-14,,Detroit full timeout
5:17.0,D. Harris enters the game for D. Nowitzki,,17-14,,
5:17.0,D. Lee enters the game for J. Barea,,17-14,,
5:06.0,,,17-14,,Shooting foul by D. Lee (drawn by A. Drummond)
5:06.0,,,17-15,1,A. Drummond makes free throw 1 of 2
5:06.0,,,17-15,,A. Drummond misses free throw 2 of 2
5:06.0,Defensive rebound by J. Anderson,,17-15,,
4:46.0,W. Matthews misses 3-pt shot from 27 ft,,17-15,,
4:46.0,,,17-15,,Defensive rebound by M. Morris
4:31.0,,,17-15,,A. Drummond misses 2-pt shot from 4 ft
4:30.0,Defensive rebound by Z. Pachulia,,17-15,,
4:14.0,D. Harris makes 2-pt shot at rim (assist by Z. Pachulia),2,19-15,,
3:52.0,,,19-15,,M. Morris misses 2-pt shot at rim (block by D. Lee)
3:51.0,Defensive rebound by D. Lee,,19-15,,
3:33.0,D. Harris misses 2-pt shot from 16 ft,,19-15,,
3:33.0,,,19-15,,Defensive rebound by A. Drummond
3:24.0,,,19-17,2,T. Harris makes 2-pt shot at rim (assist by R. Jackson)
3:13.0,Turnover by D. Harris (bad pass),,19-17,,
3:13.0,,,19-17,,S. Johnson enters the game for T. Harris
2:58.0,,,19-17,,R. Jackson misses 2-pt shot at rim
2:58.0,,,19-17,,Offensive rebound by A. Drummond
2:55.0,,,19-19,2,A. Drummond makes 2-pt shot at rim
2:54.0,Dallas full timeout,,19-19,,
2:54.0,,,19-19,,S. Blake enters the game for R. Jackson
2:36.0,D. Lee makes 2-pt shot from 13 ft,2,21-19,,
2:20.0,,,21-21,2,A. Drummond makes 2-pt shot at rim (assist by M. Morris)
2:08.0,D. Lee misses 2-pt shot from 6 ft,,21-21,,
2:07.0,,,21-21,,Defensive rebound by A. Drummond
1:56.0,,,21-21,,A. Drummond misses 2-pt shot at rim
1:55.0,Defensive rebound by D. Lee,,21-21,,
1:49.0,Shooting foul by S. Johnson (drawn by J. Anderson),,21-21,,
1:49.0,J. Anderson makes free throw 1 of 2,1,22-21,,
1:49.0,D. Nowitzki enters the game for Z. Pachulia,,22-21,,
1:49.0,J. Barea enters the game for W. Matthews,,22-21,,
1:49.0,J. Anderson makes free throw 2 of 2,1,23-21,,
1:35.0,W. Matthews enters the game for J. Anderson,,23-21,,
1:26.0,,,23-23,2,M. Morris makes 2-pt shot from 16 ft (assist by S. Blake)
1:04.0,D. Nowitzki misses 2-pt shot from 15 ft,,23-23,,
1:04.0,,,23-23,,Defensive rebound by A. Drummond
0:51.0,,,23-25,2,M. Morris makes 2-pt shot from 16 ft
0:33.0,D. Lee makes 2-pt shot from 7 ft (assist by D. Harris),2,25-25,,
0:18.0,,,25-25,,A. Drummond misses 2-pt shot at rim (block by D. Lee)
0:18.0,,,25-25,,Offensive rebound by A. Drummond
0:18.0,,,25-25,,Shooting foul by D. Lee (drawn by A. Drummond)
0:18.0,,,25-25,,A. Drummond misses free throw 1 of 2
0:18.0,,,25-25,,Offensive rebound by Team
0:18.0,,,25-25,,A. Tolliver enters the game for M. Morris
0:18.0,S. Mejri enters the game for D. Lee,,25-25,,
0:18.0,,,25-25,,A. Drummond misses free throw 2 of 2
0:17.0,,,25-25,,Offensive rebound by S. Johnson
0:01.0,,,25-25,,S. Johnson misses 3-pt shot from 23 ft
0:00.0,Defensive rebound by D. Harris,,25-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,C. Villanueva misses 2-pt shot from 5 ft (block by T. Harris),,25-25,,
11:42.0,,,25-25,,Defensive rebound by T. Harris
11:36.0,,,25-25,,Turnover by T. Harris (lost ball; steal by C. Villanueva)
11:26.0,D. Harris misses 3-pt shot from 23 ft,,25-25,,
11:26.0,,,25-25,,Defensive rebound by S. Blake
11:11.0,,,25-25,,Offensive foul by A. Tolliver
11:11.0,,,25-25,,Turnover by A. Tolliver (offensive foul)
10:59.0,S. Mejri makes 2-pt shot at rim (assist by D. Nowitzki),2,27-25,,
10:44.0,Personal foul by D. Harris,,27-25,,
10:35.0,,,27-25,,Turnover by S. Johnson (bad pass)
10:13.0,J. Barea makes 2-pt shot from 10 ft,2,29-25,,
9:58.0,,,29-25,,A. Baynes misses 2-pt shot from 12 ft
9:58.0,Defensive rebound by S. Mejri,,29-25,,
9:42.0,C. Villanueva misses 3-pt shot from 24 ft,,29-25,,
9:42.0,,,29-25,,Defensive rebound by S. Johnson
9:33.0,,,29-25,,Offensive foul by A. Baynes
9:33.0,,,29-25,,Turnover by A. Baynes (offensive foul)
9:15.0,J. Barea makes 2-pt shot from 15 ft,2,31-25,,
9:07.0,,,31-25,,Detroit full timeout
9:07.0,,,31-25,,K. Caldwell-Pope enters the game for S. Johnson
8:55.0,,,31-25,,S. Blake misses 3-pt shot from 25 ft
8:55.0,Defensive rebound by Team,,31-25,,
8:54.0,W. Matthews enters the game for D. Harris,,31-25,,
8:39.0,D. Nowitzki makes 2-pt shot from 16 ft (assist by C. Villanueva),2,33-25,,
8:28.0,Personal foul by S. Mejri,,33-25,,
8:20.0,,,33-25,,S. Blake misses 2-pt shot from 5 ft
8:19.0,,,33-25,,Offensive rebound by A. Baynes
8:16.0,,,33-25,,A. Baynes misses 2-pt shot at rim
8:16.0,Defensive rebound by W. Matthews,,33-25,,
8:02.0,J. Barea makes 2-pt shot from 15 ft,2,35-25,,
7:43.0,,,35-25,,A. Tolliver misses 3-pt shot from 26 ft
7:43.0,Defensive rebound by C. Villanueva,,35-25,,
7:36.0,J. Barea misses 2-pt shot from 11 ft,,35-25,,
7:35.0,Offensive rebound by S. Mejri,,35-25,,
7:33.0,J. Barea makes 2-pt shot at rim (assist by S. Mejri),2,37-25,,
7:14.0,,,37-25,,T. Harris misses 2-pt shot at rim
7:13.0,Defensive rebound by C. Villanueva,,37-25,,
7:06.0,D. Nowitzki makes 3-pt shot from 26 ft (assist by J. Barea),3,40-25,,
6:58.0,,,40-25,,Detroit full timeout
6:58.0,D. Harris enters the game for D. Nowitzki,,40-25,,
6:58.0,D. Lee enters the game for J. Barea,,40-25,,
6:58.0,,,40-25,,M. Morris enters the game for S. Blake
6:58.0,,,40-25,,A. Drummond enters the game for A. Tolliver
6:58.0,,,40-25,,R. Jackson enters the game for A. Baynes
6:51.0,,,40-25,,Turnover by R. Jackson (bad pass)
6:35.0,C. Villanueva misses 3-pt shot from 27 ft,,40-25,,
6:33.0,,,40-25,,Defensive rebound by A. Drummond
6:27.0,,,40-28,3,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by R. Jackson)
6:23.0,Dallas full timeout,,40-28,,
6:23.0,J. Anderson enters the game for C. Villanueva,,40-28,,
6:18.0,Turnover by S. Mejri (illegal screen),,40-28,,
5:55.0,,,40-28,,A. Drummond misses 2-pt shot from 8 ft
5:52.0,Defensive rebound by W. Matthews,,40-28,,
5:37.0,J. Anderson misses 2-pt shot from 19 ft,,40-28,,
5:36.0,,,40-28,,Defensive rebound by R. Jackson
5:20.0,,,40-30,2,M. Morris makes 2-pt shot from 14 ft
5:04.0,D. Harris misses 2-pt shot from 10 ft,,40-30,,
5:03.0,,,40-30,,Defensive rebound by T. Harris
4:58.0,,,40-30,,R. Jackson misses 2-pt shot at rim
4:58.0,,,40-30,,Offensive rebound by A. Drummond
