time,Miami,pts.away,score,pts.home,LA Lakers
6:38.0,A. Stoudemire makes 2-pt shot from 2 ft,2,17-7,,
6:28.0,,,17-7,,J. Randle misses 2-pt shot at rim
6:26.0,,,17-7,,Offensive rebound by J. Randle
6:19.0,,,17-7,,K. Bryant misses 2-pt shot from 8 ft (block by L. Deng)
6:19.0,,,17-7,,Offensive rebound by Team
6:19.0,,,17-7,,B. Bass enters the game for R. Hibbert
6:13.0,,,17-9,2,D. Russell makes 2-pt shot from 6 ft
6:13.0,,,17-9,,Shooting foul by G. Dragic (drawn by D. Russell)
6:13.0,,,17-9,,L. Williams enters the game for J. Clarkson
6:13.0,,,17-10,1,D. Russell makes free throw 1 of 1
5:57.0,D. Wade makes 2-pt shot from 17 ft,2,19-10,,
5:34.0,,,19-10,,K. Bryant misses 2-pt shot from 7 ft
5:33.0,Defensive rebound by L. Deng,,19-10,,
5:28.0,D. Wade makes 2-pt shot at rim (assist by L. Deng),2,21-10,,
5:14.0,,,21-10,,LA Lakers full timeout
5:14.0,J. Winslow enters the game for L. Deng,,21-10,,
5:14.0,J. Richardson enters the game for G. Dragic,,21-10,,
5:03.0,,,21-10,,L. Williams misses 3-pt shot from 24 ft
5:02.0,Defensive rebound by J. Johnson,,21-10,,
4:53.0,D. Wade misses 2-pt shot from 14 ft,,21-10,,
4:52.0,,,21-10,,Defensive rebound by J. Randle
4:30.0,,,21-10,,D. Russell misses 2-pt shot from 18 ft
4:28.0,,,21-10,,Offensive rebound by K. Bryant
4:24.0,,,21-10,,Turnover by K. Bryant (lost ball; steal by J. Johnson)
4:12.0,J. Johnson misses 2-pt shot from 15 ft,,21-10,,
4:10.0,,,21-10,,Defensive rebound by J. Randle
4:06.0,,,21-10,,Turnover by D. Russell (lost ball; steal by J. Winslow)
4:00.0,D. Wade misses 2-pt shot from 1 ft,,21-10,,
3:56.0,Offensive rebound by D. Wade,,21-10,,
3:54.0,D. Wade makes 2-pt shot from 1 ft,2,23-10,,
3:30.0,,,23-10,,K. Bryant misses 3-pt shot from 24 ft
3:29.0,Defensive rebound by J. Richardson,,23-10,,
3:23.0,J. Johnson makes 2-pt shot at rim (assist by D. Wade),2,25-10,,
3:16.0,,,25-10,,Shooting foul by J. Johnson (drawn by L. Williams)
3:16.0,,,25-11,1,L. Williams makes free throw 1 of 2
3:16.0,H. Whiteside enters the game for J. Richardson,,25-11,,
3:16.0,J. Richardson enters the game for J. Winslow,,25-11,,
3:16.0,G. Dragic enters the game for J. Johnson,,25-11,,
3:16.0,L. Deng enters the game for D. Wade,,25-11,,
3:16.0,J. Winslow enters the game for A. Stoudemire,,25-11,,
3:16.0,,,25-11,,R. Kelly enters the game for K. Bryant
3:16.0,,,25-11,,L. Nance enters the game for J. Randle
3:16.0,,,25-11,,M. Huertas enters the game for D. Russell
3:16.0,,,25-12,1,L. Williams makes free throw 2 of 2
3:07.0,J. Winslow misses 2-pt shot from 21 ft,,25-12,,
3:05.0,,,25-12,,Defensive rebound by L. Nance
2:59.0,,,25-12,,Shooting foul by J. Richardson (drawn by L. Williams)
2:59.0,Miami full timeout,,25-12,,
2:59.0,,,25-12,,L. Williams misses free throw 1 of 3
2:59.0,,,25-12,,Offensive rebound by Team
2:59.0,,,25-13,1,L. Williams makes free throw 2 of 3
2:59.0,,,25-14,1,L. Williams makes free throw 3 of 3
2:43.0,J. Richardson misses 3-pt shot from 25 ft,,25-14,,
2:41.0,,,25-14,,Defensive rebound by R. Kelly
2:18.0,,,25-14,,B. Bass misses 2-pt shot from 8 ft
2:17.0,Defensive rebound by H. Whiteside,,25-14,,
2:12.0,Turnover by G. Dragic (bad pass),,25-14,,
2:07.0,,,25-14,,R. Kelly misses 2-pt shot from 1 ft (block by L. Deng)
2:04.0,,,25-14,,Offensive rebound by B. Bass
2:00.0,,,25-16,2,B. Bass makes 2-pt shot at rim
1:54.0,G. Dragic misses 2-pt shot from 1 ft,,25-16,,
1:54.0,Offensive rebound by H. Whiteside,,25-16,,
1:54.0,Shooting foul by L. Nance (drawn by H. Whiteside),,25-16,,
1:54.0,H. Whiteside misses free throw 1 of 2,,25-16,,
1:54.0,Offensive rebound by Team,,25-16,,
1:54.0,H. Whiteside misses free throw 2 of 2,,25-16,,
1:53.0,,,25-16,,Defensive rebound by L. Nance
1:37.0,,,25-19,3,L. Williams makes 3-pt shot from 23 ft (assist by M. Huertas)
1:27.0,Turnover by G. Dragic (lost ball; steal by L. Williams),,25-19,,
1:19.0,,,25-19,,L. Williams misses 3-pt shot from 24 ft
1:15.0,,,25-19,,Offensive rebound by L. Nance
1:15.0,,,25-21,2,L. Nance makes 2-pt shot at rim
1:02.0,G. Dragic misses 3-pt shot from 22 ft,,25-21,,
1:01.0,,,25-21,,Defensive rebound by R. Kelly
0:48.0,,,25-23,2,B. Bass makes 2-pt shot at rim (assist by M. Huertas)
0:40.0,L. Deng makes 2-pt shot at rim (assist by J. Winslow),2,27-23,,
0:33.0,,,27-25,2,M. Huertas makes 2-pt shot from 5 ft
0:23.0,J. Winslow misses 2-pt shot from 19 ft,,27-25,,
0:22.0,,,27-25,,Defensive rebound by L. Williams
0:03.0,,,27-25,,B. Bass misses 2-pt shot from 1 ft (block by H. Whiteside)
0:02.0,Defensive rebound by J. Richardson,,27-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:23.0,Turnover by G. Dragic (lost ball; steal by L. Nance),,27-25,,
11:18.0,,,27-27,2,R. Kelly makes 2-pt shot from 14 ft
11:09.0,,,27-27,,Personal foul by L. Nance
11:01.0,G. Dragic misses 3-pt shot from 24 ft,,27-27,,
10:59.0,Offensive rebound by L. Deng,,27-27,,
10:56.0,L. Deng makes 2-pt shot at rim,2,29-27,,
10:43.0,,,29-27,,L. Williams misses 3-pt shot from 25 ft
10:42.0,Defensive rebound by J. Winslow,,29-27,,
10:38.0,Turnover by J. Winslow (bad pass),,29-27,,
10:24.0,,,29-27,,L. Nance misses 2-pt shot from 20 ft
10:23.0,,,29-27,,Offensive rebound by B. Bass
10:11.0,,,29-27,,M. Huertas misses 2-pt shot from 8 ft
10:10.0,Defensive rebound by H. Whiteside,,29-27,,
10:00.0,Turnover by J. Richardson (traveling),,29-27,,
9:48.0,,,29-27,,B. Bass misses 2-pt shot from 1 ft (block by H. Whiteside)
9:48.0,,,29-27,,Offensive rebound by Team
9:45.0,,,29-30,3,L. Williams makes 3-pt shot from 24 ft (assist by R. Kelly)
9:24.0,L. Deng makes 2-pt shot from 9 ft (assist by J. Richardson),2,31-30,,
9:09.0,,,31-30,,L. Williams misses 3-pt shot from 25 ft
9:08.0,Defensive rebound by J. Winslow,,31-30,,
9:04.0,Shooting foul by B. Bass (drawn by J. Winslow),,31-30,,
9:04.0,J. Winslow misses free throw 1 of 2,,31-30,,
9:04.0,Offensive rebound by Team,,31-30,,
9:04.0,,,31-30,,J. Clarkson enters the game for L. Williams
9:04.0,J. Winslow makes free throw 2 of 2,1,32-30,,
8:41.0,,,32-30,,M. Huertas misses 2-pt shot from 6 ft
8:40.0,,,32-30,,Offensive rebound by B. Bass
8:28.0,,,32-30,,J. Clarkson misses 2-pt shot from 16 ft
8:26.0,Defensive rebound by G. Dragic,,32-30,,
8:12.0,J. Winslow misses 2-pt shot from 3 ft,,32-30,,
8:10.0,,,32-30,,Defensive rebound by R. Kelly
7:52.0,,,32-30,,L. Nance misses 2-pt shot from 12 ft
7:50.0,Defensive rebound by H. Whiteside,,32-30,,
7:35.0,L. Deng misses 3-pt shot from 23 ft,,32-30,,
7:34.0,,,32-30,,Defensive rebound by J. Clarkson
7:21.0,,,32-30,,M. Huertas misses 2-pt shot from 11 ft (block by H. Whiteside)
7:19.0,Defensive rebound by H. Whiteside,,32-30,,
7:05.0,Shooting foul by R. Kelly (drawn by H. Whiteside),,32-30,,
7:05.0,Official timeout,,32-30,,
7:05.0,,,32-30,,J. Randle enters the game for L. Nance
7:05.0,D. Wade enters the game for L. Deng,,32-30,,
7:05.0,J. Johnson enters the game for G. Dragic,,32-30,,
7:05.0,H. Whiteside misses free throw 1 of 2,,32-30,,
7:05.0,Offensive rebound by Team,,32-30,,
7:05.0,H. Whiteside misses free throw 2 of 2,,32-30,,
7:04.0,,,32-30,,Defensive rebound by J. Randle
6:47.0,,,32-30,,Turnover by M. Huertas (lost ball; steal by J. Richardson)
6:39.0,D. Wade makes 2-pt shot from 2 ft (assist by J. Johnson),2,34-30,,
6:25.0,,,34-30,,M. Huertas misses 2-pt shot from 1 ft
6:24.0,Defensive rebound by H. Whiteside,,34-30,,
6:21.0,D. Wade makes 2-pt shot from 7 ft,2,36-30,,
5:56.0,,,36-32,2,J. Clarkson makes 2-pt shot from 10 ft
5:34.0,J. Johnson makes 2-pt shot from 16 ft,2,38-32,,
5:19.0,,,38-32,,Offensive foul by J. Randle
5:19.0,,,38-32,,Turnover by J. Randle (offensive foul)
5:19.0,,,38-32,,LA Lakers full timeout
5:19.0,,,38-32,,D. Russell enters the game for B. Bass
5:19.0,,,38-32,,R. Hibbert enters the game for M. Huertas
5:11.0,,,38-32,,Personal foul by D. Russell
5:03.0,J. Johnson makes 2-pt shot from 14 ft,2,40-32,,
4:46.0,,,40-32,,J. Clarkson misses 2-pt shot from 7 ft
4:43.0,Defensive rebound by D. Wade,,40-32,,
4:31.0,J. Richardson misses 3-pt shot from 25 ft,,40-32,,
4:30.0,,,40-32,,Defensive rebound by Team
4:19.0,Jump ball: R. Hibbert vs. H. Whiteside (J. Randle gains possession),,,,Jump ball: R. Hibbert vs. H. Whiteside (J. Randle gains possession)
4:06.0,,,40-32,,R. Kelly misses 2-pt shot at rim
4:04.0,,,40-32,,Offensive rebound by R. Hibbert
4:04.0,,,40-34,2,R. Hibbert makes 2-pt shot from 1 ft
3:47.0,Turnover by H. Whiteside (lost ball; steal by J. Randle),,40-34,,
3:31.0,,,40-37,3,D. Russell makes 3-pt shot from 23 ft (assist by J. Randle)
3:30.0,Miami full timeout,,40-37,,
3:30.0,,,40-37,,L. Nance enters the game for R. Kelly
3:30.0,L. Deng enters the game for J. Richardson,,40-37,,
3:30.0,G. Dragic enters the game for J. Winslow,,40-37,,
3:12.0,Shooting foul by J. Randle (drawn by L. Deng),,40-37,,
3:12.0,L. Deng makes free throw 1 of 2,1,41-37,,
3:12.0,L. Deng makes free throw 2 of 2,1,42-37,,
2:55.0,,,42-37,,J. Randle misses 2-pt shot from 5 ft (block by H. Whiteside)
2:53.0,Defensive rebound by J. Johnson,,42-37,,
2:50.0,G. Dragic makes 2-pt shot from 1 ft (assist by J. Johnson),2,44-37,,
2:34.0,,,44-37,,D. Russell misses 2-pt shot from 3 ft
2:33.0,Defensive rebound by J. Johnson,,44-37,,
2:31.0,Turnover by J. Johnson (lost ball; steal by J. Clarkson),,44-37,,
2:12.0,,,44-39,2,L. Nance makes 2-pt shot from 2 ft
1:55.0,H. Whiteside makes 2-pt shot from 18 ft (assist by G. Dragic),2,46-39,,
1:41.0,,,46-39,,D. Russell misses 2-pt shot from 9 ft
1:39.0,Defensive rebound by H. Whiteside,,46-39,,
1:26.0,D. Wade misses 2-pt shot from 12 ft,,46-39,,
1:24.0,,,46-39,,Defensive rebound by J. Clarkson
1:18.0,,,46-41,2,J. Clarkson makes 2-pt shot at rim
0:57.0,L. Deng makes 2-pt shot from 19 ft,2,48-41,,
0:44.0,,,48-41,,J. Clarkson misses 3-pt shot from 25 ft
0:43.0,,,48-41,,Offensive rebound by Team
0:24.0,,,48-41,,J. Clarkson misses 2-pt shot from 2 ft (block by H. Whiteside)
0:22.0,Defensive rebound by L. Deng,,48-41,,
0:16.0,J. Johnson misses 3-pt shot from 23 ft,,48-41,,
0:13.0,,,48-41,,Defensive rebound by J. Randle
0:04.0,Personal foul by G. Dragic,,48-41,,
0:04.0,J. Richardson enters the game for G. Dragic,,48-41,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,Turnover by J. Johnson (bad pass),,48-41,,
11:30.0,,,48-41,,Shooting foul by A. Stoudemire (drawn by J. Clarkson)
11:30.0,,,48-42,1,J. Clarkson makes free throw 1 of 2
11:30.0,,,48-43,1,J. Clarkson makes free throw 2 of 2
11:18.0,L. Deng makes 3-pt shot from 24 ft (assist by G. Dragic),3,51-43,,
10:59.0,,,51-43,,Turnover by R. Hibbert (traveling)
10:49.0,G. Dragic misses 2-pt shot from 13 ft,,51-43,,
10:47.0,,,51-43,,Defensive rebound by J. Randle
10:37.0,,,51-43,,D. Russell misses 2-pt shot from 2 ft (block by A. Stoudemire)
10:36.0,,,51-43,,Offensive rebound by R. Hibbert
10:36.0,Personal foul by A. Stoudemire,,51-43,,
10:27.0,,,51-43,,Shooting foul by G. Dragic (drawn by D. Russell)
10:27.0,,,51-44,1,D. Russell makes free throw 1 of 2
