time,Miami,pts.away,score,pts.home,LA Lakers
5:50.0,J. Richardson misses free throw 1 of 2,,76-80,,
5:50.0,Offensive rebound by Team,,76-80,,
5:50.0,J. Richardson makes free throw 2 of 2,1,77-80,,
5:32.0,,,77-80,,J. Clarkson misses 3-pt shot from 25 ft
5:31.0,,,77-80,,Offensive rebound by D. Russell
5:21.0,,,77-80,,D. Russell misses 2-pt shot from 6 ft
5:20.0,Defensive rebound by D. Wade,,77-80,,
5:14.0,J. Winslow makes 2-pt shot at rim (assist by D. Wade),2,79-80,,
4:50.0,,,79-82,2,J. Clarkson makes 2-pt shot from 16 ft
4:22.0,D. Wade misses 2-pt shot from 17 ft,,79-82,,
4:21.0,,,79-82,,Defensive rebound by D. Russell
4:03.0,,,79-82,,D. Russell misses 2-pt shot from 15 ft
4:01.0,,,79-82,,Offensive rebound by D. Russell
3:40.0,,,79-82,,J. Randle misses 2-pt shot from 6 ft
3:39.0,,,79-82,,Offensive rebound by R. Hibbert
3:19.0,,,79-82,,D. Russell misses 2-pt shot from 16 ft
3:17.0,Defensive rebound by D. Wade,,79-82,,
3:00.0,J. Johnson misses 3-pt shot from 26 ft,,79-82,,
2:59.0,,,79-82,,Defensive rebound by Team
2:59.0,Loose ball foul by H. Whiteside,,79-82,,
2:59.0,Official timeout,,79-82,,
2:59.0,G. Dragic enters the game for J. Richardson,,79-82,,
2:59.0,L. Deng enters the game for J. Winslow,,79-82,,
2:59.0,,,79-83,1,R. Hibbert makes free throw 1 of 2
2:59.0,,,79-84,1,R. Hibbert makes free throw 2 of 2
2:45.0,D. Wade makes 2-pt shot from 2 ft,2,81-84,,
2:15.0,,,81-84,,R. Hibbert misses 2-pt shot from 19 ft
2:14.0,Defensive rebound by H. Whiteside,,81-84,,
2:03.0,D. Wade misses 2-pt shot from 19 ft,,81-84,,
2:03.0,,,81-84,,Defensive rebound by Team
1:50.0,,,81-84,,D. Russell misses 2-pt shot from 14 ft
1:49.0,Defensive rebound by H. Whiteside,,81-84,,
1:44.0,G. Dragic misses 2-pt shot from 1 ft (block by L. Nance),,81-84,,
1:44.0,Offensive rebound by D. Wade,,81-84,,
1:43.0,D. Wade makes 2-pt shot from 1 ft,2,83-84,,
1:20.0,,,83-84,,Turnover by Team (shot clock)
1:08.0,D. Wade makes 2-pt shot from 1 ft (assist by J. Johnson),2,85-84,,
0:50.0,,,85-84,,Shooting foul by D. Wade (drawn by J. Randle)
0:50.0,,,85-85,1,J. Randle makes free throw 1 of 2
0:50.0,,,85-85,,J. Randle misses free throw 2 of 2
0:49.0,Defensive rebound by H. Whiteside,,85-85,,
0:30.0,D. Wade makes 2-pt shot from 15 ft (assist by J. Johnson),2,87-85,,
0:30.0,,,87-85,,LA Lakers full timeout
0:30.0,J. Winslow enters the game for G. Dragic,,87-85,,
0:20.0,,,87-85,,Shooting foul by H. Whiteside (drawn by J. Clarkson)
0:20.0,,,87-86,1,J. Clarkson makes free throw 1 of 2
0:20.0,G. Dragic enters the game for J. Winslow,,87-86,,
0:20.0,,,87-87,1,J. Clarkson makes free throw 2 of 2
0:20.0,Miami full timeout,,87-87,,
0:20.0,,,87-87,,B. Bass enters the game for R. Hibbert
0:02.0,D. Wade misses 2-pt shot from 19 ft,,87-87,,
0:00.0,,,87-87,,Defensive rebound by J. Randle
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:33.0,,,87-87,,B. Bass misses 2-pt shot from 17 ft
4:32.0,Defensive rebound by L. Deng,,87-87,,
4:23.0,D. Wade misses 2-pt shot from 1 ft,,87-87,,
4:21.0,,,87-87,,Defensive rebound by J. Randle
4:02.0,,,87-90,3,D. Russell makes 3-pt shot from 24 ft (assist by L. Nance)
3:47.0,L. Deng makes 3-pt shot from 24 ft (assist by G. Dragic),3,90-90,,
3:37.0,Personal foul by H. Whiteside,,90-90,,
3:25.0,,,90-92,2,J. Clarkson makes 2-pt shot from 2 ft
3:03.0,Shooting foul by D. Russell (drawn by H. Whiteside),,90-92,,
3:03.0,H. Whiteside makes free throw 1 of 2,1,91-92,,
3:03.0,H. Whiteside makes free throw 2 of 2,1,92-92,,
2:51.0,,,92-94,2,D. Russell makes 2-pt shot at rim
2:30.0,H. Whiteside makes 2-pt shot at rim (assist by D. Wade),2,94-94,,
2:17.0,,,94-94,,Turnover by D. Russell (lost ball; steal by G. Dragic)
2:05.0,H. Whiteside makes 2-pt shot at rim (assist by D. Wade),2,96-94,,
2:05.0,Shooting foul by J. Randle (drawn by H. Whiteside),,96-94,,
2:05.0,H. Whiteside misses free throw 1 of 1,,96-94,,
2:03.0,,,96-94,,Defensive rebound by J. Randle
1:51.0,,,96-94,,Shooting foul by J. Johnson (drawn by J. Clarkson)
1:51.0,,,96-95,1,J. Clarkson makes free throw 1 of 2
1:51.0,,,96-96,1,J. Clarkson makes free throw 2 of 2
1:38.0,D. Wade makes 2-pt shot from 10 ft,2,98-96,,
1:29.0,,,98-98,2,J. Clarkson makes 2-pt shot from 11 ft
1:11.0,J. Johnson misses 3-pt shot from 24 ft,,98-98,,
1:10.0,,,98-98,,Defensive rebound by J. Randle
1:04.0,,,98-98,,Shooting foul by L. Deng (drawn by J. Randle)
1:04.0,,,98-99,1,J. Randle makes free throw 1 of 2
1:04.0,,,98-100,1,J. Randle makes free throw 2 of 2
1:04.0,Miami full timeout,,98-100,,
0:55.0,G. Dragic misses 3-pt shot from 23 ft,,98-100,,
0:54.0,Offensive rebound by H. Whiteside,,98-100,,
0:51.0,H. Whiteside misses 2-pt shot from 2 ft,,98-100,,
0:48.0,,,98-100,,Defensive rebound by J. Clarkson
0:28.0,,,98-100,,Turnover by D. Russell (lost ball; steal by G. Dragic)
0:23.0,D. Wade makes 2-pt shot at rim (assist by G. Dragic),2,100-100,,
0:02.0,,,100-102,2,J. Randle makes 2-pt shot from 7 ft
0:02.0,Miami full timeout,,100-102,,
0:02.0,J. Richardson enters the game for H. Whiteside,,100-102,,
0:01.0,J. Johnson misses 3-pt shot from 24 ft,,100-102,,
0:00.0,Offensive rebound by Team,,100-102,,
0:00.0,End of 1st overtime,,,,End of 1st overtime
