time,Sacramento,pts.away,score,pts.home,San Antonio
1:18.0,M. Belinelli enters the game for R. Rondo,,18-25,,
1:18.0,D. Cousins makes free throw 2 of 2,1,19-25,,
1:10.0,,,19-25,,Turnover by D. West (bad pass)
1:00.0,D. Collison makes 2-pt shot at rim,2,21-25,,
0:49.0,,,21-27,2,M. Ginobili makes 2-pt shot at rim (assist by P. Mills)
0:38.0,M. Belinelli misses 3-pt shot from 25 ft,,21-27,,
0:37.0,,,21-27,,Defensive rebound by Team
0:30.0,,,21-27,,Turnover by D. West (bad pass; steal by O. Casspi)
0:26.0,Shooting foul by M. Ginobili (drawn by W. Cauley-Stein),,21-27,,
0:26.0,W. Cauley-Stein makes free throw 1 of 2,1,22-27,,
0:26.0,Q. Acy enters the game for D. Cousins,,22-27,,
0:26.0,,,22-27,,M. Bonner enters the game for K. Anderson
0:26.0,W. Cauley-Stein misses free throw 2 of 2,,22-27,,
0:26.0,,,22-27,,Defensive rebound by B. Marjanovic
0:04.0,,,22-29,2,B. Marjanovic makes 2-pt shot at rim (assist by M. Ginobili)
0:00.0,Turnover by O. Casspi (bad pass; steal by D. West),,22-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,M. Belinelli misses 2-pt shot from 18 ft,,22-29,,
11:46.0,,,22-29,,Defensive rebound by P. Mills
11:33.0,,,22-31,2,M. Ginobili makes 2-pt shot from 2 ft (assist by K. Anderson)
11:14.0,M. Belinelli misses 2-pt shot from 16 ft,,22-31,,
11:13.0,,,22-31,,Defensive rebound by D. West
11:06.0,,,22-31,,Turnover by B. Marjanovic (lost ball; steal by M. Belinelli)
11:05.0,,,22-31,,Personal foul by M. Ginobili (drawn by M. Belinelli)
11:05.0,,,22-31,,J. Simmons enters the game for M. Ginobili
10:52.0,D. Collison makes 2-pt shot from 15 ft,2,24-31,,
10:32.0,,,24-33,2,D. West makes 2-pt shot from 19 ft (assist by K. Anderson)
10:11.0,Q. Acy makes 2-pt shot from 6 ft,2,26-33,,
9:58.0,,,26-33,,Shooting foul by Q. Acy (drawn by D. West)
9:58.0,,,26-33,,D. West misses free throw 1 of 2
9:58.0,,,26-33,,Offensive rebound by Team
9:58.0,,,26-33,,K. Leonard enters the game for J. Simmons
9:58.0,R. Gay enters the game for W. Cauley-Stein,,26-33,,
9:58.0,,,26-33,,J. Simmons enters the game for B. Marjanovic
9:58.0,,,26-34,1,D. West makes free throw 2 of 2
9:46.0,M. Belinelli misses 2-pt shot from 18 ft,,26-34,,
9:42.0,,,26-34,,Defensive rebound by P. Mills
9:25.0,,,26-36,2,K. Anderson makes 2-pt shot from 17 ft
9:12.0,O. Casspi misses 3-pt shot from 24 ft,,26-36,,
9:11.0,Offensive rebound by Q. Acy,,26-36,,
9:07.0,Q. Acy makes 2-pt shot at rim,2,28-36,,
8:54.0,,,28-36,,P. Mills misses 2-pt shot from 16 ft
8:53.0,Defensive rebound by O. Casspi,,28-36,,
8:42.0,R. Gay misses 2-pt shot from 14 ft,,28-36,,
8:40.0,,,28-36,,Defensive rebound by K. Leonard
8:34.0,,,28-38,2,K. Leonard makes 2-pt shot from 1 ft
8:32.0,Sacramento full timeout,,28-38,,
8:15.0,O. Casspi misses 2-pt shot from 11 ft,,28-38,,
