time,Sacramento,pts.away,score,pts.home,San Antonio
5:03.0,,,82-94,,K. Leonard misses 2-pt shot from 11 ft
5:01.0,Defensive rebound by R. Rondo,,82-94,,
4:45.0,R. Gay makes 3-pt shot from 26 ft (assist by M. Belinelli),3,85-94,,
4:19.0,,,85-94,,K. Leonard misses 2-pt shot at rim
4:18.0,Defensive rebound by D. Collison,,85-94,,
4:09.0,D. Cousins misses 2-pt shot from 2 ft (block by K. Anderson),,85-94,,
4:07.0,,,85-94,,Defensive rebound by K. Leonard
3:50.0,,,85-94,,T. Parker misses 2-pt shot from 16 ft (block by D. Collison)
3:49.0,,,85-94,,Offensive rebound by Team
3:45.0,,,85-94,,P. Mills misses 3-pt shot from 26 ft
3:44.0,,,85-94,,Offensive rebound by Team
3:44.0,,,85-94,,Turnover by Team (shot clock)
3:36.0,D. Cousins misses 2-pt shot from 5 ft,,85-94,,
3:35.0,,,85-94,,Defensive rebound by D. West
3:21.0,,,85-96,2,K. Leonard makes 2-pt shot from 7 ft (assist by P. Mills)
3:20.0,Sacramento full timeout,,85-96,,
3:20.0,Sacramento full timeout,,85-96,,
3:07.0,,,85-96,,Personal foul by D. West (drawn by D. Cousins)
2:57.0,D. Cousins makes 2-pt shot from 2 ft (assist by R. Rondo),2,87-96,,
2:57.0,Shooting foul by D. West (drawn by D. Cousins),,87-96,,
2:57.0,,,87-96,,B. Diaw enters the game for D. West
2:57.0,D. Cousins makes free throw 1 of 1,1,88-96,,
2:39.0,,,88-98,2,K. Leonard makes 2-pt shot at rim (assist by B. Diaw)
2:28.0,M. Belinelli misses 3-pt shot from 25 ft,,88-98,,
2:27.0,,,88-98,,Defensive rebound by T. Parker
2:10.0,,,88-98,,Turnover by B. Diaw (bad pass)
1:58.0,D. Cousins makes 2-pt shot from 5 ft,2,90-98,,
1:58.0,Shooting foul by B. Diaw (drawn by D. Cousins),,90-98,,
1:58.0,D. Cousins misses free throw 1 of 1,,90-98,,
1:56.0,,,90-98,,Defensive rebound by K. Anderson
1:43.0,,,90-100,2,K. Anderson makes 2-pt shot from 1 ft (assist by T. Parker)
1:39.0,Shooting foul by P. Mills (drawn by D. Collison),,90-100,,
1:39.0,D. Collison makes free throw 1 of 2,1,91-100,,
1:39.0,D. Collison makes free throw 2 of 2,1,92-100,,
1:20.0,,,92-102,2,B. Diaw makes 2-pt shot from 1 ft (assist by T. Parker)
1:08.0,Offensive foul by D. Cousins,,92-102,,
1:08.0,Turnover by D. Cousins (offensive foul),,92-102,,
1:08.0,,,92-102,,A. Miller enters the game for T. Parker
1:08.0,,,92-102,,J. Simmons enters the game for K. Leonard
1:08.0,,,92-102,,R. Butler enters the game for P. Mills
0:49.0,,,92-104,2,A. Miller makes 2-pt shot from 8 ft
0:35.0,D. Collison misses 2-pt shot from 23 ft,,92-104,,
0:33.0,,,92-104,,Defensive rebound by B. Diaw
0:20.0,,,92-104,,Turnover by A. Miller (lost ball; steal by D. Collison)
0:15.0,D. Collison makes 2-pt shot at rim,2,94-104,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
