time,Sacramento,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: W. Cauley-Stein vs. N. Jokic (R. Gay gains possession),,,,Jump ball: W. Cauley-Stein vs. N. Jokic (R. Gay gains possession)
11:43.0,D. Collison misses 2-pt shot from 13 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by N. Jokic
11:23.0,,,0-0,,G. Harris misses 2-pt shot from 19 ft
11:23.0,Defensive rebound by W. Cauley-Stein,,0-0,,
11:07.0,W. Cauley-Stein misses 2-pt shot from 1 ft (block by G. Harris),,0-0,,
11:06.0,Offensive rebound by W. Cauley-Stein,,0-0,,
11:00.0,R. Gay misses 3-pt shot from 24 ft,,0-0,,
10:59.0,,,0-0,,Defensive rebound by N. Jokic
10:47.0,,,0-2,2,J. Sampson makes 2-pt shot from 1 ft (assist by K. Faried)
10:18.0,Q. Acy makes 3-pt shot from 24 ft (assist by D. Collison),3,3-2,,
10:05.0,,,3-4,2,K. Faried makes 2-pt shot from 1 ft
9:40.0,Q. Acy misses 2-pt shot from 8 ft,,3-4,,
9:36.0,Offensive rebound by W. Cauley-Stein,,3-4,,
9:36.0,W. Cauley-Stein makes 2-pt shot from 1 ft,2,5-4,,
9:29.0,Personal foul by D. Collison,,5-4,,
9:17.0,,,5-7,3,E. Mudiay makes 3-pt shot from 25 ft (assist by G. Harris)
9:01.0,B. McLemore makes 2-pt shot from 20 ft (assist by W. Cauley-Stein),2,7-7,,
8:40.0,,,7-9,2,K. Faried makes 2-pt shot from 5 ft (assist by E. Mudiay)
8:24.0,W. Cauley-Stein makes 2-pt shot from 15 ft (assist by Q. Acy),2,9-9,,
8:03.0,,,9-9,,N. Jokic misses 2-pt shot from 6 ft
8:01.0,,,9-9,,Offensive rebound by N. Jokic
8:01.0,,,9-11,2,N. Jokic makes 2-pt shot from 1 ft
7:46.0,R. Gay makes 2-pt shot from 1 ft,2,11-11,,
7:46.0,,,11-11,,Denver full timeout
7:23.0,,,11-11,,Shooting foul by B. McLemore (drawn by G. Harris)
7:23.0,,,11-11,,G. Harris misses free throw 1 of 2
7:23.0,,,11-11,,Offensive rebound by Team
7:23.0,,,11-12,1,G. Harris makes free throw 2 of 2
7:06.0,R. Gay makes 2-pt shot from 21 ft,2,13-12,,
6:53.0,,,13-12,,G. Harris misses 3-pt shot from 25 ft
6:52.0,Defensive rebound by Q. Acy,,13-12,,
6:41.0,Q. Acy misses 2-pt shot from 17 ft,,13-12,,
6:40.0,,,13-12,,Defensive rebound by E. Mudiay
6:33.0,,,13-14,2,G. Harris makes 2-pt shot at rim (assist by E. Mudiay)
6:07.0,W. Cauley-Stein misses 2-pt shot from 2 ft,,13-14,,
6:07.0,Offensive rebound by R. Gay,,13-14,,
6:02.0,R. Gay misses 2-pt shot from 3 ft,,13-14,,
6:01.0,,,13-14,,Defensive rebound by N. Jokic
5:50.0,,,13-14,,N. Jokic misses 3-pt shot from 25 ft
5:49.0,Defensive rebound by Q. Acy,,13-14,,
5:36.0,D. Collison misses 2-pt shot from 19 ft,,13-14,,
5:33.0,Offensive rebound by Q. Acy,,13-14,,
5:33.0,Q. Acy misses 2-pt shot from 1 ft,,13-14,,
5:32.0,,,13-14,,Defensive rebound by N. Jokic
5:26.0,,,13-17,3,G. Harris makes 3-pt shot from 22 ft (assist by N. Jokic)
5:16.0,B. McLemore makes 2-pt shot from 2 ft,2,15-17,,
5:07.0,,,15-17,,K. Faried misses 2-pt shot from 1 ft
5:07.0,,,15-17,,Offensive rebound by N. Jokic
4:57.0,,,15-17,,K. Faried misses 2-pt shot from 3 ft
4:57.0,Defensive rebound by Q. Acy,,15-17,,
4:45.0,B. McLemore makes 2-pt shot from 7 ft (assist by Q. Acy),2,17-17,,
4:31.0,,,17-19,2,K. Faried makes 2-pt shot from 2 ft (assist by E. Mudiay)
4:10.0,Q. Acy misses 2-pt shot from 16 ft,,17-19,,
4:08.0,,,17-19,,Defensive rebound by K. Faried
4:00.0,,,17-19,,J. Sampson misses 2-pt shot from 2 ft
4:00.0,Defensive rebound by W. Cauley-Stein,,17-19,,
3:57.0,Turnover by D. Collison (bad pass),,17-19,,
3:57.0,,,17-19,,W. Barton enters the game for J. Sampson
3:57.0,K. Koufos enters the game for Q. Acy,,17-19,,
3:57.0,S. Curry enters the game for B. McLemore,,17-19,,
3:31.0,,,17-19,,E. Mudiay misses 3-pt shot from 27 ft
3:29.0,Defensive rebound by K. Koufos,,17-19,,
3:15.0,R. Gay misses 2-pt shot from 3 ft,,17-19,,
3:14.0,Offensive rebound by R. Gay,,17-19,,
