time,Oklahoma City,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. W. Cauley-Stein (J. Anderson gains possession),,,,Jump ball: S. Adams vs. W. Cauley-Stein (J. Anderson gains possession)
11:43.0,,,0-0,,Turnover by D. Cousins (lost ball; steal by S. Ibaka)
11:25.0,K. Durant misses 3-pt shot from 25 ft,,0-0,,
11:25.0,,,0-0,,Defensive rebound by Team
11:08.0,,,0-0,,D. Cousins misses 3-pt shot from 23 ft
11:07.0,Defensive rebound by A. Roberson,,0-0,,
10:58.0,Turnover by S. Ibaka (lost ball; steal by R. Gay),,0-0,,
10:54.0,,,0-2,2,R. Gay makes 2-pt shot at rim
10:31.0,S. Adams makes 2-pt shot at rim (assist by K. Durant),2,2-2,,
10:12.0,,,2-4,2,D. Cousins makes 2-pt shot from 4 ft
10:00.0,R. Westbrook makes 2-pt shot from 5 ft,2,4-4,,
9:51.0,,,4-4,,Turnover by D. Collison (step out of bounds)
9:40.0,K. Durant misses 2-pt shot from 21 ft,,4-4,,
9:39.0,,,4-4,,Defensive rebound by D. Collison
9:28.0,,,4-4,,D. Cousins misses 2-pt shot from 7 ft
9:26.0,Defensive rebound by S. Ibaka,,4-4,,
9:20.0,S. Adams makes 2-pt shot at rim (assist by K. Durant),2,6-4,,
9:00.0,,,6-6,2,D. Collison makes 2-pt shot from 20 ft
8:46.0,S. Ibaka makes 2-pt shot from 18 ft (assist by R. Westbrook),2,8-6,,
8:32.0,,,8-6,,R. Gay misses 3-pt shot from 23 ft
8:31.0,Defensive rebound by R. Westbrook,,8-6,,
8:15.0,S. Ibaka makes 2-pt shot from 10 ft,2,10-6,,
7:52.0,,,10-8,2,D. Collison makes 2-pt shot from 4 ft (assist by D. Cousins)
7:38.0,Turnover by K. Durant (lost ball; steal by D. Cousins),,10-8,,
7:32.0,,,10-8,,Turnover by R. Gay (lost ball; steal by S. Ibaka)
7:26.0,K. Durant misses 2-pt shot from 19 ft,,10-8,,
7:25.0,,,10-8,,Defensive rebound by W. Cauley-Stein
7:13.0,,,10-8,,D. Cousins misses 2-pt shot at rim
7:13.0,Defensive rebound by Team,,10-8,,
7:05.0,Offensive charge foul by R. Westbrook,,10-8,,
7:05.0,Turnover by R. Westbrook (offensive foul),,10-8,,
6:50.0,,,10-8,,J. Anderson misses 2-pt shot from 7 ft
6:50.0,Defensive rebound by S. Adams,,10-8,,
6:41.0,K. Durant makes 2-pt shot from 4 ft,2,12-8,,
6:30.0,,,12-11,3,D. Collison makes 3-pt shot from 25 ft
6:14.0,R. Westbrook misses 2-pt shot from 16 ft,,12-11,,
6:13.0,Offensive rebound by S. Adams,,12-11,,
6:10.0,R. Westbrook makes 2-pt shot at rim (assist by S. Adams),2,14-11,,
5:58.0,Personal block foul by A. Roberson,,14-11,,
5:58.0,,,14-11,,Sacramento full timeout
5:41.0,,,14-11,,J. Anderson misses 2-pt shot from 10 ft
5:39.0,,,14-11,,Offensive rebound by R. Gay
5:39.0,,,14-11,,R. Gay misses 2-pt shot from 2 ft
5:38.0,Defensive rebound by S. Adams,,14-11,,
5:33.0,K. Durant makes 2-pt shot at rim (assist by R. Westbrook),2,16-11,,
5:19.0,,,16-13,2,D. Cousins makes 2-pt shot from 2 ft (assist by R. Gay)
5:08.0,K. Durant makes 3-pt shot from 25 ft,3,19-13,,
4:52.0,,,19-13,,D. Cousins misses 2-pt shot from 4 ft
4:50.0,Defensive rebound by S. Ibaka,,19-13,,
4:44.0,A. Roberson makes 2-pt shot from 3 ft (assist by R. Westbrook),2,21-13,,
4:26.0,Personal foul by S. Adams,,21-13,,
4:26.0,,,21-13,,K. Koufos enters the game for W. Cauley-Stein
4:26.0,D. Waiters enters the game for K. Durant,,21-13,,
4:26.0,K. Singler enters the game for A. Roberson,,21-13,,
4:10.0,,,21-13,,D. Cousins misses 3-pt shot from 25 ft
4:10.0,Defensive rebound by S. Ibaka,,21-13,,
3:58.0,R. Westbrook misses 2-pt shot from 5 ft,,21-13,,
3:58.0,,,21-13,,Defensive rebound by K. Koufos
3:51.0,,,21-13,,Shooting foul by S. Ibaka (drawn by D. Cousins)
3:51.0,,,21-13,,D. Cousins misses free throw 1 of 2
3:51.0,,,21-13,,Offensive rebound by Team
3:51.0,,,21-13,,S. Curry enters the game for R. Gay
3:51.0,,,21-14,1,D. Cousins makes free throw 2 of 2
3:36.0,S. Ibaka misses 3-pt shot from 22 ft,,21-14,,
3:36.0,,,21-14,,Defensive rebound by K. Koufos
3:28.0,,,21-16,2,D. Cousins makes 2-pt shot from 2 ft (assist by D. Collison)
3:15.0,Shooting foul by D. Collison (drawn by R. Westbrook),,21-16,,
3:15.0,R. Westbrook makes 2-pt shot from 18 ft,2,23-16,,
3:15.0,R. Westbrook misses free throw 1 of 1,,23-16,,
3:15.0,Offensive rebound by Team,,23-16,,
3:15.0,,,23-16,,Loose ball foul by K. Koufos
3:15.0,K. Durant enters the game for S. Ibaka,,23-16,,
3:12.0,Oklahoma City full timeout,,23-16,,
3:06.0,K. Durant misses 2-pt shot from 10 ft,,23-16,,
3:05.0,Offensive rebound by R. Westbrook,,23-16,,
2:54.0,K. Singler makes 3-pt shot from 25 ft (assist by K. Durant),3,26-16,,
2:38.0,,,26-16,,D. Cousins misses 2-pt shot from 8 ft
2:37.0,Defensive rebound by Team,,26-16,,
2:37.0,R. Foye enters the game for S. Adams,,26-16,,
2:37.0,E. Kanter enters the game for R. Westbrook,,26-16,,
2:28.0,,,26-16,,Personal foul by S. Curry
2:18.0,D. Waiters misses 2-pt shot from 17 ft,,26-16,,
2:18.0,Offensive rebound by Team,,26-16,,
2:18.0,,,26-16,,Loose ball foul by K. Koufos
1:59.0,Turnover by K. Durant (bad pass),,26-16,,
1:43.0,,,26-19,3,J. Anderson makes 3-pt shot from 25 ft (assist by D. Cousins)
1:30.0,Turnover by R. Foye (lost ball; steal by J. Anderson),,26-19,,
1:22.0,,,26-22,3,S. Curry makes 3-pt shot from 24 ft (assist by D. Collison)
1:20.0,Oklahoma City full timeout,,26-22,,
1:20.0,Oklahoma City full timeout,,26-22,,
1:06.0,K. Singler makes 2-pt shot from 12 ft (assist by K. Durant),2,28-22,,
0:50.0,,,28-22,,J. Anderson misses 3-pt shot from 24 ft
0:49.0,Defensive rebound by K. Durant,,28-22,,
0:43.0,E. Kanter makes 2-pt shot from 2 ft (assist by K. Durant),2,30-22,,
0:33.0,Personal foul by K. Singler,,30-22,,
0:33.0,,,30-22,,Q. Acy enters the game for D. Cousins
0:28.0,,,30-22,,S. Curry misses 2-pt shot from 16 ft
0:27.0,Defensive rebound by K. Singler,,30-22,,
0:04.0,K. Singler misses 2-pt shot from 1 ft,,30-22,,
0:03.0,Offensive rebound by E. Kanter,,30-22,,
0:03.0,E. Kanter misses 2-pt shot from 2 ft,,30-22,,
0:02.0,,,30-22,,Defensive rebound by Q. Acy
0:00.0,,,30-22,,D. Collison misses 3-pt shot from 34 ft
0:00.0,,,30-22,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,D. Waiters misses 2-pt shot from 4 ft (block by K. Koufos),,30-22,,
11:47.0,,,30-22,,Defensive rebound by Team
11:33.0,,,30-24,2,K. Koufos makes 2-pt shot at rim (assist by R. Gay)
11:06.0,Turnover by K. Durant (lost ball; steal by Q. Acy),,30-24,,
11:05.0,,,30-24,,Turnover by Q. Acy (bad pass)
10:48.0,Turnover by E. Kanter (step out of bounds),,30-24,,
10:30.0,,,30-26,2,K. Koufos makes 2-pt shot from 6 ft (assist by B. McLemore)
10:20.0,,,30-26,,Personal foul by R. Gay
10:11.0,K. Durant makes 2-pt shot from 2 ft,2,32-26,,
9:51.0,,,32-26,,R. Gay misses 3-pt shot from 24 ft
9:50.0,,,32-26,,Offensive rebound by S. Curry
9:45.0,,,32-29,3,S. Curry makes 3-pt shot from 24 ft
9:29.0,E. Kanter misses 2-pt shot from 5 ft,,32-29,,
9:28.0,Offensive rebound by K. Durant,,32-29,,
9:27.0,K. Durant misses 2-pt shot from 2 ft,,32-29,,
9:24.0,Offensive rebound by E. Kanter,,32-29,,
9:24.0,E. Kanter makes 2-pt shot from 1 ft,2,34-29,,
9:06.0,R. Westbrook enters the game for K. Durant,,34-29,,
9:06.0,A. Morrow enters the game for R. Foye,,34-29,,
9:04.0,,,34-29,,Shooting foul by K. Singler (drawn by Q. Acy)
9:04.0,,,34-29,,Q. Acy misses free throw 1 of 2
9:04.0,,,34-29,,Offensive rebound by Team
9:04.0,,,34-30,1,Q. Acy makes free throw 2 of 2
8:52.0,E. Kanter misses 2-pt shot from 16 ft,,34-30,,
8:51.0,,,34-30,,Defensive rebound by R. Gay
8:51.0,Personal foul by R. Westbrook,,34-30,,
8:51.0,Official timeout,,34-30,,
8:51.0,S. Ibaka enters the game for K. Singler,,34-30,,
8:40.0,,,34-30,,Offensive foul by K. Koufos
8:40.0,,,34-30,,Turnover by K. Koufos (offensive foul)
8:40.0,,,34-30,,D. Cousins enters the game for K. Koufos
8:17.0,D. Waiters makes 3-pt shot from 24 ft,3,37-30,,
7:55.0,,,37-30,,R. Gay misses 2-pt shot from 5 ft
7:54.0,,,37-30,,Offensive rebound by R. Gay
7:52.0,,,37-32,2,R. Gay makes 2-pt shot from 3 ft
7:40.0,,,37-32,,Violation by D. Cousins (def goaltending)
7:40.0,E. Kanter makes 2-pt shot from 2 ft (assist by R. Westbrook),2,39-32,,
7:21.0,,,39-32,,D. Cousins misses 2-pt shot from 4 ft
7:20.0,Defensive rebound by R. Westbrook,,39-32,,
7:16.0,Turnover by R. Westbrook (offensive foul),,39-32,,
7:16.0,Offensive charge foul by R. Westbrook,,39-32,,
7:16.0,S. Adams enters the game for E. Kanter,,39-32,,
7:04.0,,,39-35,3,S. Curry makes 3-pt shot from 25 ft
6:50.0,R. Westbrook misses 3-pt shot from 25 ft,,39-35,,
6:49.0,,,39-35,,Defensive rebound by S. Curry
6:42.0,,,39-37,2,R. Gay makes 2-pt shot from 1 ft (assist by S. Curry)
