time,Toronto,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:47.0,,,0-0,,T. Harris misses 2-pt shot from 4 ft
12:00.0,Jump ball: D. Dedmon vs. J. Valanciunas (E. Payton gains possession),,,,Jump ball: D. Dedmon vs. J. Valanciunas (E. Payton gains possession)
11:47.0,Defensive rebound by Team,,0-0,,
11:29.0,D. Carroll misses 2-pt shot from 12 ft,,0-0,,
11:28.0,,,0-0,,Defensive rebound by T. Harris
11:21.0,,,0-0,,D. Dedmon misses 2-pt shot from 4 ft (block by D. DeRozan)
11:21.0,,,0-0,,Offensive rebound by Team
11:15.0,,,0-0,,E. Fournier misses 3-pt shot from 26 ft
11:13.0,Defensive rebound by K. Lowry,,0-0,,
11:06.0,K. Lowry misses 2-pt shot from 3 ft (block by D. Dedmon),,0-0,,
11:05.0,Offensive rebound by Team,,0-0,,
10:59.0,D. Carroll makes 2-pt shot from 1 ft (assist by L. Scola),2,2-0,,
10:39.0,,,2-0,,E. Fournier misses 2-pt shot from 1 ft (block by J. Valanciunas)
10:37.0,Defensive rebound by K. Lowry,,2-0,,
10:23.0,D. Carroll misses 3-pt shot from 26 ft,,2-0,,
10:21.0,,,2-0,,Defensive rebound by V. Oladipo
10:13.0,,,2-2,2,E. Fournier makes 2-pt shot from 18 ft (assist by V. Oladipo)
9:49.0,K. Lowry misses 2-pt shot from 2 ft,,2-2,,
9:46.0,Offensive rebound by J. Valanciunas,,2-2,,
9:46.0,J. Valanciunas misses 2-pt shot from 1 ft,,2-2,,
9:45.0,,,2-2,,Defensive rebound by T. Harris
9:42.0,,,2-2,,V. Oladipo misses 2-pt shot from 2 ft
9:40.0,,,2-2,,Offensive rebound by T. Harris
9:40.0,,,2-2,,T. Harris misses 2-pt shot from 1 ft
9:38.0,Defensive rebound by J. Valanciunas,,2-2,,
9:31.0,L. Scola makes 2-pt shot from 1 ft,2,4-2,,
9:08.0,,,4-2,,Shooting foul by J. Valanciunas (drawn by D. Dedmon)
9:08.0,,,4-2,,D. Dedmon misses free throw 1 of 2
9:08.0,,,4-2,,Offensive rebound by Team
9:08.0,,,4-3,1,D. Dedmon makes free throw 2 of 2
8:54.0,,,4-3,,Def 3 sec tech foul by T. Harris
8:54.0,D. DeRozan makes technical free throw,1,5-3,,
8:47.0,Shooting foul by D. Dedmon (drawn by J. Valanciunas),,5-3,,
8:47.0,J. Valanciunas makes free throw 1 of 2,1,6-3,,
8:47.0,J. Valanciunas misses free throw 2 of 2,,6-3,,
8:46.0,,,6-3,,Defensive rebound by T. Harris
8:22.0,,,6-3,,E. Fournier misses 2-pt shot from 3 ft (block by J. Valanciunas)
8:22.0,,,6-3,,Offensive rebound by Team
8:19.0,,,6-3,,Turnover by Team (shot clock)
8:07.0,Shooting foul by E. Payton (drawn by K. Lowry),,6-3,,
8:07.0,K. Lowry misses free throw 1 of 2,,6-3,,
8:07.0,Offensive rebound by Team,,6-3,,
8:07.0,K. Lowry makes free throw 2 of 2,1,7-3,,
7:53.0,,,7-5,2,V. Oladipo makes 2-pt shot from 18 ft (assist by E. Payton)
7:34.0,Turnover by L. Scola (bad pass; steal by V. Oladipo),,7-5,,
7:26.0,,,7-8,3,T. Harris makes 3-pt shot from 25 ft (assist by V. Oladipo)
7:16.0,D. DeRozan misses 2-pt shot from 2 ft (block by D. Dedmon),,7-8,,
7:16.0,Offensive rebound by Team,,7-8,,
7:08.0,D. Carroll misses 2-pt shot from 8 ft,,7-8,,
7:08.0,,,7-8,,Defensive rebound by Team
7:08.0,Loose ball foul by J. Valanciunas (drawn by D. Dedmon),,7-8,,
7:08.0,B. Biyombo enters the game for J. Valanciunas,,7-8,,
7:00.0,,,7-8,,Shooting foul by B. Biyombo (drawn by T. Harris)
7:00.0,,,7-9,1,T. Harris makes free throw 1 of 2
7:00.0,,,7-9,,T. Harris misses free throw 2 of 2
6:58.0,Defensive rebound by B. Biyombo,,7-9,,
6:46.0,,,7-9,,Def 3 sec tech foul by D. Dedmon
6:46.0,D. DeRozan makes technical free throw,1,8-9,,
6:36.0,Turnover by L. Scola (3 sec),,8-9,,
6:28.0,,,8-9,,Shooting foul by K. Lowry (drawn by D. Dedmon)
6:28.0,,,8-10,1,D. Dedmon makes free throw 1 of 2
6:28.0,P. Patterson enters the game for L. Scola,,8-10,,
6:28.0,,,8-11,1,D. Dedmon makes free throw 2 of 2
6:11.0,Turnover by D. DeRozan (lost ball),,8-11,,
5:55.0,,,8-13,2,V. Oladipo makes 2-pt shot from 10 ft
5:42.0,Toronto full timeout,,8-13,,
5:22.0,K. Lowry misses 2-pt shot from 1 ft,,8-13,,
5:20.0,Offensive rebound by D. DeRozan,,8-13,,
5:10.0,D. Carroll makes 2-pt shot from 15 ft (assist by P. Patterson),2,10-13,,
4:56.0,,,10-13,,E. Payton misses 2-pt shot from 8 ft
4:56.0,,,10-13,,Offensive rebound by Team
4:56.0,Loose ball foul by K. Lowry (drawn by D. Dedmon),,10-13,,
4:56.0,,,10-14,1,D. Dedmon makes free throw 1 of 2
4:56.0,C. Joseph enters the game for K. Lowry,,10-14,,
4:56.0,,,10-14,,D. Dedmon misses free throw 2 of 2
4:55.0,Defensive rebound by B. Biyombo,,10-14,,
4:44.0,,,10-14,,Def 3 sec tech foul by T. Harris
4:44.0,D. DeRozan makes technical free throw,1,11-14,,
4:44.0,,,11-14,,A. Gordon enters the game for V. Oladipo
4:44.0,,,11-14,,C. Frye enters the game for D. Dedmon
4:29.0,Turnover by Team (shot clock),,11-14,,
4:16.0,,,11-14,,E. Fournier misses 2-pt shot from 2 ft
4:15.0,,,11-14,,Offensive rebound by A. Gordon
4:15.0,,,11-14,,A. Gordon misses 2-pt shot from 1 ft
4:13.0,Defensive rebound by P. Patterson,,11-14,,
4:03.0,Shooting foul by C. Frye (drawn by D. Carroll),,11-14,,
4:03.0,D. Carroll makes free throw 1 of 2,1,12-14,,
4:03.0,D. Carroll makes free throw 2 of 2,1,13-14,,
3:44.0,,,13-14,,Turnover by A. Gordon (traveling)
3:27.0,P. Patterson misses 3-pt shot from 27 ft (block by A. Gordon),,13-14,,
3:24.0,,,13-14,,Defensive rebound by E. Payton
3:21.0,,,13-14,,Turnover by E. Payton (bad pass)
3:21.0,,,13-14,,C. Watson enters the game for E. Payton
