time,Phoenix,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. D. Cousins (B. Knight gains possession),,,,Jump ball: T. Chandler vs. D. Cousins (B. Knight gains possession)
11:37.0,P. Tucker misses 2-pt shot from 7 ft,,0-0,,
11:37.0,,,0-0,,Defensive rebound by D. Cousins
11:26.0,,,0-0,,R. Rondo misses 2-pt shot from 6 ft
11:25.0,Defensive rebound by T. Warren,,0-0,,
11:17.0,P. Tucker makes 3-pt shot from 23 ft (assist by B. Knight),3,3-0,,
10:56.0,,,3-3,3,O. Casspi makes 3-pt shot from 26 ft (assist by B. McLemore)
10:39.0,B. Knight makes 2-pt shot from 22 ft,2,5-3,,
10:31.0,Personal foul by T. Chandler (drawn by D. Cousins),,5-3,,
10:18.0,,,5-3,,Turnover by R. Rondo (lost ball)
9:56.0,D. Booker misses 2-pt shot from 18 ft,,5-3,,
9:56.0,,,5-3,,Defensive rebound by R. Rondo
9:51.0,,,5-3,,O. Casspi misses 2-pt shot from 1 ft
9:50.0,,,5-3,,Offensive rebound by O. Casspi
9:50.0,,,5-5,2,O. Casspi makes 2-pt shot from 1 ft
9:31.0,Turnover by T. Chandler (bad pass; steal by R. Gay),,5-5,,
9:17.0,,,5-5,,D. Cousins misses 2-pt shot from 22 ft
9:17.0,Defensive rebound by B. Knight,,5-5,,
9:07.0,T. Warren misses 3-pt shot from 22 ft,,5-5,,
9:07.0,,,5-5,,Defensive rebound by Team
8:50.0,,,5-5,,R. Gay misses 2-pt shot from 11 ft
8:50.0,Defensive rebound by P. Tucker,,5-5,,
8:37.0,B. Knight misses 3-pt shot from 25 ft,,5-5,,
8:36.0,Offensive rebound by P. Tucker,,5-5,,
8:23.0,Shooting foul by R. Gay (drawn by T. Chandler),,5-5,,
8:23.0,T. Chandler makes free throw 1 of 2,1,6-5,,
8:23.0,T. Chandler misses free throw 2 of 2,,6-5,,
8:21.0,Offensive rebound by P. Tucker,,6-5,,
8:13.0,D. Booker makes 3-pt shot from 24 ft,3,9-5,,
7:54.0,,,9-5,,D. Cousins misses 2-pt shot from 2 ft
