time,Milwaukee,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. G. Monroe (E. Ilyasova gains possession),,,,Jump ball: D. Dedmon vs. G. Monroe (E. Ilyasova gains possession)
11:43.0,,,0-2,2,D. Dedmon makes 2-pt shot from 10 ft (assist by M. Hezonja)
11:17.0,G. Monroe misses 2-pt shot from 1 ft (block by D. Dedmon),,0-2,,
11:14.0,,,0-2,,Defensive rebound by D. Dedmon
11:06.0,,,0-4,2,D. Dedmon makes 2-pt shot at rim (assist by M. Hezonja)
10:49.0,R. Vaughn misses 3-pt shot from 25 ft,,0-4,,
10:48.0,,,0-4,,Defensive rebound by D. Dedmon
10:38.0,,,0-4,,E. Fournier misses 2-pt shot from 20 ft
10:36.0,,,0-4,,Offensive rebound by E. Ilyasova
10:33.0,,,0-6,2,D. Dedmon makes 2-pt shot from 8 ft (assist by E. Ilyasova)
10:18.0,Shooting foul by D. Dedmon (drawn by G. Monroe),,0-6,,
10:18.0,G. Monroe makes free throw 1 of 2,1,1-6,,
10:18.0,G. Monroe makes free throw 2 of 2,1,2-6,,
10:08.0,,,2-8,2,E. Fournier makes 2-pt shot from 1 ft
9:52.0,J. Parker makes 2-pt shot from 17 ft (assist by K. Middleton),2,4-8,,
9:43.0,,,4-8,,Turnover by E. Payton (lost ball; steal by G. Monroe)
9:41.0,,,4-8,,Personal take foul by E. Ilyasova
9:28.0,G. Monroe misses 2-pt shot from 4 ft,,4-8,,
9:27.0,Offensive rebound by G. Monroe,,4-8,,
9:25.0,G. Monroe makes 2-pt shot at rim,2,6-8,,
9:18.0,,,6-8,,Turnover by E. Payton (step out of bounds)
9:07.0,G. Monroe makes 2-pt shot from 1 ft (assist by J. Parker),2,8-8,,
8:54.0,,,8-10,2,E. Fournier makes 2-pt shot at rim
8:43.0,K. Middleton misses 2-pt shot from 5 ft,,8-10,,
8:43.0,,,8-10,,Defensive rebound by Team
8:18.0,,,8-12,2,E. Payton makes 2-pt shot at rim
8:02.0,Turnover by G. Monroe (lost ball; steal by M. Hezonja),,8-12,,
7:55.0,,,8-14,2,D. Dedmon makes 2-pt shot at rim (assist by E. Fournier)
7:33.0,G. Antetokounmpo misses 2-pt shot at rim (block by E. Ilyasova),,8-14,,
7:30.0,Offensive rebound by G. Monroe,,8-14,,
7:28.0,G. Monroe makes 2-pt shot from 1 ft,2,10-14,,
7:18.0,,,10-14,,E. Fournier misses 2-pt shot from 1 ft (block by G. Antetokounmpo)
7:18.0,,,10-14,,Offensive rebound by Team
7:12.0,,,10-17,3,E. Fournier makes 3-pt shot from 24 ft (assist by M. Hezonja)
6:56.0,R. Vaughn misses 3-pt shot from 23 ft,,10-17,,
