time,Chicago,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. A. Horford (P. Millsap gains possession),,,,Jump ball: P. Gasol vs. A. Horford (P. Millsap gains possession)
11:39.0,,,0-0,,P. Millsap misses 2-pt shot from 2 ft
11:38.0,,,0-0,,Offensive rebound by P. Millsap
11:25.0,,,0-0,,K. Korver misses 3-pt shot from 25 ft
11:21.0,Defensive rebound by E. Moore,,0-0,,
11:16.0,T. Snell misses 3-pt shot from 25 ft,,0-0,,
11:15.0,,,0-0,,Defensive rebound by J. Teague
11:11.0,Personal foul by T. Snell (drawn by J. Teague),,0-0,,
11:05.0,,,0-0,,K. Bazemore misses 2-pt shot from 2 ft
11:03.0,,,0-0,,Offensive rebound by K. Bazemore
11:02.0,,,0-0,,K. Bazemore misses 2-pt shot from 2 ft
10:59.0,,,0-0,,Offensive rebound by K. Bazemore
10:59.0,,,0-2,2,K. Bazemore makes 2-pt shot at rim
10:42.0,E. Moore misses 2-pt shot from 17 ft,,0-2,,
10:40.0,,,0-2,,Defensive rebound by A. Horford
10:30.0,,,0-2,,P. Millsap misses 3-pt shot from 25 ft
10:29.0,Defensive rebound by T. Gibson,,0-2,,
10:11.0,M. Dunleavy makes 2-pt shot from 19 ft (assist by P. Gasol),2,2-2,,
9:54.0,,,2-4,2,K. Bazemore makes 2-pt shot from 2 ft (assist by A. Horford)
9:44.0,E. Moore misses 3-pt shot from 25 ft,,2-4,,
9:43.0,,,2-4,,Defensive rebound by P. Millsap
9:31.0,,,2-4,,K. Bazemore misses 3-pt shot from 25 ft
9:29.0,Defensive rebound by M. Dunleavy,,2-4,,
9:14.0,E. Moore makes 2-pt shot from 2 ft,2,4-4,,
9:10.0,,,4-4,,Shooting foul by E. Moore (drawn by J. Teague)
9:10.0,,,4-5,1,J. Teague makes free throw 1 of 2
9:10.0,,,4-5,,J. Teague misses free throw 2 of 2
9:10.0,Defensive rebound by P. Gasol,,4-5,,
8:55.0,T. Snell misses 3-pt shot from 23 ft,,4-5,,
8:52.0,Offensive rebound by T. Snell,,4-5,,
8:48.0,T. Snell makes 2-pt shot at rim,2,6-5,,
8:24.0,,,6-7,2,A. Horford makes 2-pt shot from 2 ft (assist by J. Teague)
8:02.0,P. Gasol misses 3-pt shot from 23 ft,,6-7,,
8:01.0,,,6-7,,Defensive rebound by A. Horford
7:51.0,,,6-9,2,K. Bazemore makes 2-pt shot from 1 ft (assist by P. Millsap)
7:34.0,T. Gibson makes 2-pt shot from 2 ft,2,8-9,,
7:22.0,,,8-9,,P. Millsap misses 3-pt shot from 24 ft
7:20.0,,,8-9,,Offensive rebound by P. Millsap
7:19.0,,,8-9,,Shooting foul by E. Moore (drawn by P. Millsap)
7:19.0,,,8-10,1,P. Millsap makes free throw 1 of 2
7:19.0,A. Brooks enters the game for E. Moore,,8-10,,
7:19.0,,,8-11,1,P. Millsap makes free throw 2 of 2
6:58.0,P. Gasol makes 2-pt shot from 5 ft,2,10-11,,
6:58.0,Shooting foul by A. Horford (drawn by P. Gasol),,10-11,,
6:58.0,,,10-11,,M. Muscala enters the game for A. Horford
6:58.0,P. Gasol makes free throw 1 of 1,1,11-11,,
6:47.0,,,11-13,2,J. Teague makes 2-pt shot from 14 ft (assist by K. Korver)
6:28.0,T. Snell misses 3-pt shot from 23 ft,,11-13,,
6:27.0,,,11-13,,Defensive rebound by M. Muscala
6:15.0,,,11-13,,J. Teague misses 3-pt shot from 25 ft
6:14.0,Defensive rebound by P. Gasol,,11-13,,
6:02.0,Turnover by P. Gasol (bad pass; steal by M. Muscala),,11-13,,
5:56.0,,,11-13,,J. Teague misses 2-pt shot from 13 ft
5:55.0,Defensive rebound by M. Dunleavy,,11-13,,
5:35.0,T. Gibson misses 2-pt shot from 7 ft,,11-13,,
5:34.0,Offensive rebound by T. Gibson,,11-13,,
5:32.0,Turnover by T. Gibson (lost ball; steal by P. Millsap),,11-13,,
5:24.0,,,11-13,,K. Bazemore misses 3-pt shot from 24 ft
5:22.0,,,11-13,,Offensive rebound by M. Muscala
5:17.0,,,11-15,2,P. Millsap makes 2-pt shot from 13 ft (assist by K. Korver)
5:15.0,Chicago full timeout,,11-15,,
5:15.0,,,11-15,,T. Sefolosha enters the game for K. Bazemore
5:01.0,P. Gasol misses 2-pt shot from 14 ft,,11-15,,
4:58.0,,,11-15,,Defensive rebound by T. Sefolosha
4:45.0,,,11-17,2,P. Millsap makes 2-pt shot from 1 ft (assist by K. Korver)
4:28.0,Turnover by P. Gasol (lost ball; steal by J. Teague),,11-17,,
4:22.0,,,11-17,,K. Korver misses 3-pt shot from 25 ft
4:20.0,,,11-17,,Offensive rebound by P. Millsap
4:17.0,,,11-20,3,J. Teague makes 3-pt shot from 24 ft (assist by P. Millsap)
4:00.0,P. Gasol makes 2-pt shot from 20 ft (assist by T. Snell),2,13-20,,
3:49.0,,,13-20,,M. Muscala misses 2-pt shot from 7 ft
3:46.0,Defensive rebound by M. Dunleavy,,13-20,,
3:39.0,T. Gibson makes 2-pt shot at rim (assist by P. Gasol),2,15-20,,
3:37.0,,,15-20,,Atlanta full timeout
3:37.0,D. McDermott enters the game for M. Dunleavy,,15-20,,
3:37.0,B. Portis enters the game for T. Gibson,,15-20,,
3:37.0,J. Holiday enters the game for T. Snell,,15-20,,
3:37.0,,,15-20,,D. Schroder enters the game for K. Korver
3:37.0,,,15-20,,T. Hardaway enters the game for J. Teague
3:26.0,,,15-20,,M. Muscala misses 3-pt shot from 24 ft
3:24.0,Defensive rebound by P. Gasol,,15-20,,
