time,Utah,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. D. Favors (T. Parker gains possession),,,,Jump ball: T. Duncan vs. D. Favors (T. Parker gains possession)
11:44.0,,,0-2,2,D. Green makes 2-pt shot from 15 ft (assist by T. Parker)
11:25.0,,,0-2,,Personal foul by T. Parker (drawn by R. Neto)
11:18.0,D. Favors misses 2-pt shot from 14 ft,,0-2,,
11:17.0,,,0-2,,Defensive rebound by L. Aldridge
11:05.0,,,0-2,,K. Leonard misses 3-pt shot from 25 ft
11:04.0,Defensive rebound by T. Lyles,,0-2,,
10:40.0,R. Neto misses 2-pt shot from 12 ft,,0-2,,
10:39.0,,,0-2,,Defensive rebound by T. Duncan
10:23.0,,,0-2,,T. Parker misses 2-pt shot from 2 ft
10:22.0,,,0-2,,Offensive rebound by T. Duncan
10:18.0,,,0-2,,D. Green misses 3-pt shot from 22 ft
10:17.0,Defensive rebound by R. Neto,,0-2,,
10:03.0,D. Favors makes 2-pt shot from 19 ft (assist by G. Hayward),2,2-2,,
9:44.0,,,2-2,,Turnover by T. Duncan (bad pass)
9:29.0,G. Hayward misses 2-pt shot from 16 ft,,2-2,,
9:28.0,,,2-2,,Defensive rebound by T. Duncan
9:11.0,,,2-4,2,T. Parker makes 2-pt shot at rim (assist by D. Green)
8:54.0,R. Hood misses 2-pt shot from 12 ft,,2-4,,
8:53.0,,,2-4,,Defensive rebound by T. Parker
8:32.0,,,2-4,,L. Aldridge misses 2-pt shot from 1 ft (block by D. Favors)
8:31.0,,,2-4,,Offensive rebound by L. Aldridge
8:30.0,,,2-4,,Shooting foul by R. Hood (drawn by L. Aldridge)
8:30.0,,,2-5,1,L. Aldridge makes free throw 1 of 2
8:30.0,,,2-6,1,L. Aldridge makes free throw 2 of 2
8:15.0,G. Hayward misses 2-pt shot from 10 ft,,2-6,,
8:12.0,,,2-6,,Defensive rebound by L. Aldridge
7:59.0,,,2-8,2,T. Duncan makes 2-pt shot from 5 ft (assist by T. Parker)
7:59.0,,,2-8,,Shooting foul by T. Lyles (drawn by T. Duncan)
7:59.0,,,2-9,1,T. Duncan makes free throw 1 of 1
7:39.0,D. Favors makes 2-pt shot from 9 ft,2,4-9,,
7:22.0,,,4-11,2,D. Green makes 2-pt shot at rim (assist by T. Duncan)
7:08.0,Turnover by R. Neto (bad pass; steal by K. Leonard),,4-11,,
7:02.0,,,4-11,,D. Green misses 3-pt shot from 24 ft
7:01.0,,,4-11,,Offensive rebound by D. Green
6:48.0,,,4-13,2,T. Duncan makes 2-pt shot from 5 ft (assist by T. Parker)
6:48.0,Utah full timeout,,4-13,,
6:48.0,T. Burke enters the game for R. Neto,,4-13,,
6:27.0,D. Favors misses 2-pt shot from 12 ft,,4-13,,
6:26.0,,,4-13,,Defensive rebound by K. Leonard
6:09.0,,,4-15,2,L. Aldridge makes 2-pt shot from 11 ft
5:53.0,R. Hood misses 2-pt shot at rim,,4-15,,
5:52.0,,,4-15,,Defensive rebound by L. Aldridge
5:37.0,,,4-17,2,L. Aldridge makes 2-pt shot from 15 ft (assist by T. Parker)
5:24.0,A. Burks enters the game for T. Lyles,,4-17,,
5:24.0,T. Booker enters the game for G. Hayward,,4-17,,
5:21.0,,,4-17,,Personal foul by K. Leonard (drawn by A. Burks)
5:21.0,,,4-17,,M. Ginobili enters the game for D. Green
5:07.0,D. Favors misses 2-pt shot from 6 ft,,4-17,,
5:06.0,,,4-17,,Defensive rebound by K. Leonard
4:55.0,,,4-17,,L. Aldridge misses 2-pt shot from 12 ft
4:53.0,Defensive rebound by T. Burke,,4-17,,
4:41.0,T. Burke makes 2-pt shot from 17 ft,2,6-17,,
4:24.0,,,6-19,2,L. Aldridge makes 2-pt shot at rim (assist by T. Parker)
4:14.0,A. Burks makes 2-pt shot at rim,2,8-19,,
4:14.0,,,8-19,,San Antonio full timeout
4:14.0,,,8-19,,P. Mills enters the game for T. Parker
4:14.0,,,8-19,,B. Diaw enters the game for T. Duncan
4:14.0,,,8-19,,J. Simmons enters the game for K. Leonard
4:02.0,,,8-19,,Turnover by L. Aldridge (bad pass; steal by D. Favors)
3:48.0,D. Favors misses 2-pt shot from 2 ft,,8-19,,
3:47.0,,,8-19,,Defensive rebound by P. Mills
3:31.0,,,8-19,,P. Mills misses 3-pt shot from 25 ft
3:30.0,Defensive rebound by D. Favors,,8-19,,
3:15.0,R. Hood makes 2-pt shot from 18 ft (assist by T. Burke),2,10-19,,
3:01.0,,,10-19,,Shooting foul by A. Burks (drawn by L. Aldridge)
3:01.0,,,10-20,1,L. Aldridge makes free throw 1 of 2
3:01.0,J. Withey enters the game for D. Favors,,10-20,,
3:01.0,,,10-21,1,L. Aldridge makes free throw 2 of 2
2:47.0,Turnover by R. Hood (lost ball),,10-21,,
2:29.0,,,10-23,2,M. Ginobili makes 2-pt shot from 17 ft
2:04.0,T. Burke misses 2-pt shot from 10 ft,,10-23,,
2:03.0,Offensive rebound by T. Booker,,10-23,,
2:02.0,T. Booker misses 2-pt shot from 1 ft,,10-23,,
2:01.0,,,10-23,,Defensive rebound by J. Simmons
1:56.0,,,10-25,2,J. Simmons makes 2-pt shot from 1 ft
1:56.0,Utah full timeout,,10-25,,
1:56.0,J. Ingles enters the game for R. Hood,,10-25,,
1:31.0,A. Burks misses 2-pt shot from 1 ft,,10-25,,
1:30.0,,,10-25,,Defensive rebound by B. Diaw
1:18.0,,,10-27,2,L. Aldridge makes 2-pt shot from 19 ft (assist by M. Ginobili)
0:56.0,J. Withey makes 2-pt shot from 4 ft (assist by J. Ingles),2,12-27,,
0:49.0,,,12-27,,Turnover by M. Ginobili (bad pass; steal by J. Withey)
0:45.0,,,12-27,,Personal block foul by M. Ginobili (drawn by A. Burks)
0:31.0,Turnover by J. Withey (offensive foul),,12-27,,
0:31.0,Offensive foul by J. Withey,,12-27,,
0:31.0,E. Millsap enters the game for A. Burks,,12-27,,
0:10.0,,,12-29,2,L. Aldridge makes 2-pt shot from 2 ft
0:02.0,T. Burke makes 3-pt shot from 25 ft,3,15-29,,
0:00.0,,,15-29,,M. Ginobili misses 3-pt shot from 45 ft
0:00.0,,,15-29,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,E. Millsap misses 2-pt shot from 6 ft,,15-29,,
11:45.0,,,15-29,,Defensive rebound by J. Simmons
11:41.0,Personal foul by E. Millsap (drawn by M. Ginobili),,15-29,,
11:39.0,Personal foul by J. Withey (drawn by B. Diaw),,15-29,,
11:33.0,,,15-29,,Turnover by P. Mills (bad pass; steal by J. Ingles)
11:24.0,Offensive foul by E. Millsap,,15-29,,
11:24.0,Turnover by E. Millsap (offensive foul),,15-29,,
11:07.0,,,15-29,,Turnover by M. Ginobili (bad pass)
10:52.0,,,15-29,,Def 3 sec tech foul by D. West
10:52.0,T. Burke makes technical free throw,1,16-29,,
10:42.0,Shooting foul by D. West (drawn by J. Withey),,16-29,,
10:42.0,J. Withey makes free throw 1 of 2,1,17-29,,
10:42.0,J. Withey makes free throw 2 of 2,1,18-29,,
10:28.0,,,18-32,3,P. Mills makes 3-pt shot from 24 ft (assist by B. Diaw)
10:07.0,T. Booker makes 2-pt shot at rim (assist by J. Ingles),2,20-32,,
9:46.0,A. Burks enters the game for T. Burke,,20-32,,
9:40.0,,,20-32,,Shooting foul by E. Millsap (drawn by M. Ginobili)
9:40.0,,,20-33,1,M. Ginobili makes free throw 1 of 2
