time,Houston,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. D. Howard (A. Goodwin gains possession),,,,Jump ball: T. Chandler vs. D. Howard (A. Goodwin gains possession)
11:46.0,,,0-0,,T. Chandler misses 2-pt shot at rim
11:45.0,Defensive rebound by T. Ariza,,0-0,,
11:30.0,P. Beverley misses 3-pt shot from 24 ft,,0-0,,
11:29.0,Offensive rebound by P. Beverley,,0-0,,
11:26.0,T. Ariza misses 3-pt shot from 23 ft,,0-0,,
11:25.0,,,0-0,,Defensive rebound by P. Tucker
11:17.0,,,0-3,3,M. Morris makes 3-pt shot from 25 ft (assist by A. Goodwin)
11:13.0,Turnover by C. Brewer (bad pass; steal by P. Tucker),,0-3,,
11:12.0,,,0-5,2,P. Tucker makes 2-pt shot from 1 ft
11:12.0,Shooting block foul by C. Brewer (drawn by P. Tucker),,0-5,,
11:12.0,,,0-6,1,P. Tucker makes free throw 1 of 1
10:54.0,T. Ariza misses 2-pt shot at rim,,0-6,,
10:52.0,,,0-6,,Defensive rebound by T. Chandler
10:45.0,,,0-6,,M. Morris misses 2-pt shot from 1 ft
10:43.0,,,0-6,,Offensive rebound by M. Morris
10:43.0,,,0-6,,M. Morris misses 2-pt shot at rim
10:42.0,Defensive rebound by D. Howard,,0-6,,
10:36.0,T. Ariza makes 3-pt shot from 23 ft (assist by J. Harden),3,3-6,,
10:17.0,,,3-6,,Shooting foul by D. Howard (drawn by T. Chandler)
10:17.0,,,3-7,1,T. Chandler makes free throw 1 of 2
10:17.0,,,3-8,1,T. Chandler makes free throw 2 of 2
10:06.0,C. Brewer makes 2-pt shot at rim (assist by J. Harden),2,5-8,,
9:58.0,,,5-10,2,A. Goodwin makes 2-pt shot from 1 ft
9:55.0,Houston full timeout,,5-10,,
9:46.0,Turnover by D. Howard (bad pass),,5-10,,
9:23.0,,,5-10,,M. Morris misses 3-pt shot from 24 ft
9:22.0,Defensive rebound by J. Harden,,5-10,,
9:17.0,,,5-10,,Personal foul by M. Morris (drawn by C. Brewer)
9:07.0,D. Howard misses 2-pt shot from 6 ft,,5-10,,
9:05.0,,,5-10,,Defensive rebound by M. Morris
8:46.0,,,5-12,2,M. Morris makes 2-pt shot from 11 ft (assist by D. Booker)
8:38.0,Turnover by J. Harden (bad pass),,5-12,,
8:25.0,,,5-15,3,P. Tucker makes 3-pt shot from 24 ft (assist by A. Goodwin)
8:09.0,,,5-15,,Personal foul by P. Tucker (drawn by J. Harden)
8:09.0,T. Lawson enters the game for C. Brewer,,5-15,,
8:09.0,J. Smith enters the game for T. Ariza,,5-15,,
8:09.0,M. Thornton enters the game for D. Howard,,5-15,,
8:09.0,C. Capela enters the game for J. Harden,,5-15,,
8:09.0,J. Terry enters the game for P. Beverley,,5-15,,
8:03.0,M. Thornton misses 3-pt shot from 24 ft,,5-15,,
8:02.0,,,5-15,,Defensive rebound by T. Chandler
7:45.0,,,5-15,,D. Booker misses 2-pt shot from 19 ft
7:44.0,Defensive rebound by J. Terry,,5-15,,
7:35.0,T. Lawson misses 2-pt shot from 11 ft,,5-15,,
