time,Dallas,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. S. Mejri (S. Curry gains possession),,,,Jump ball: A. Bogut vs. S. Mejri (S. Curry gains possession)
11:41.0,,,0-3,3,H. Barnes makes 3-pt shot from 24 ft (assist by S. Curry)
11:27.0,Shooting foul by A. Bogut (drawn by C. Parsons),,0-3,,
11:27.0,C. Parsons makes free throw 1 of 2,1,1-3,,
11:27.0,C. Parsons makes free throw 2 of 2,1,2-3,,
11:17.0,,,2-5,2,K. Thompson makes 2-pt shot from 2 ft (assist by D. Green)
10:59.0,C. Parsons misses 3-pt shot from 26 ft,,2-5,,
10:58.0,,,2-5,,Defensive rebound by H. Barnes
10:45.0,,,2-5,,S. Curry misses 2-pt shot from 19 ft
10:44.0,Defensive rebound by S. Mejri,,2-5,,
10:28.0,D. Williams misses 2-pt shot from 6 ft,,2-5,,
10:27.0,,,2-5,,Defensive rebound by Team
10:19.0,Def 3 sec tech foul by S. Mejri,,2-5,,
10:19.0,,,2-6,1,S. Curry makes technical free throw
10:14.0,,,2-6,,S. Curry misses 3-pt shot from 28 ft
10:13.0,Defensive rebound by D. Williams,,2-6,,
10:03.0,,,2-6,,Personal foul by D. Green (drawn by C. Parsons)
9:52.0,Turnover by W. Matthews (lost ball; steal by S. Curry),,2-6,,
9:44.0,,,2-6,,Shooting foul by R. Felton (drawn by K. Thompson)
9:44.0,,,2-7,1,K. Thompson makes free throw 1 of 2
9:44.0,,,2-8,1,K. Thompson makes free throw 2 of 2
9:32.0,W. Matthews misses 2-pt shot from 13 ft,,2-8,,
9:31.0,,,2-8,,Defensive rebound by A. Bogut
9:20.0,,,2-10,2,K. Thompson makes 2-pt shot from 1 ft (assist by D. Green)
9:00.0,R. Felton makes 2-pt shot from 2 ft,2,4-10,,
8:49.0,,,4-10,,A. Bogut misses 2-pt shot from 2 ft
8:47.0,,,4-10,,Offensive rebound by A. Bogut
8:47.0,,,4-12,2,A. Bogut makes 2-pt shot from 1 ft
8:31.0,R. Felton misses 2-pt shot from 13 ft,,4-12,,
8:31.0,,,4-12,,Defensive rebound by A. Bogut
8:22.0,,,4-15,3,K. Thompson makes 3-pt shot from 22 ft (assist by A. Bogut)
8:22.0,Dallas full timeout,,4-15,,
7:59.0,R. Felton misses 3-pt shot from 25 ft,,4-15,,
7:59.0,,,4-15,,Defensive rebound by A. Bogut
7:44.0,,,4-15,,Turnover by D. Green (3 sec)
7:24.0,C. Parsons makes 2-pt shot from 2 ft,2,6-15,,
7:11.0,,,6-18,3,K. Thompson makes 3-pt shot from 25 ft (assist by D. Green)
6:50.0,W. Matthews misses 3-pt shot from 25 ft (block by S. Curry),,6-18,,
6:50.0,,,6-18,,Defensive rebound by A. Bogut
6:45.0,,,6-18,,Turnover by A. Bogut (bad pass; steal by W. Matthews)
6:37.0,D. Williams misses 2-pt shot from 12 ft,,6-18,,
6:37.0,,,6-18,,Defensive rebound by A. Bogut
6:20.0,,,6-20,2,H. Barnes makes 2-pt shot from 12 ft
6:08.0,C. Parsons misses 2-pt shot from 17 ft,,6-20,,
6:07.0,,,6-20,,Defensive rebound by K. Thompson
5:54.0,,,6-20,,S. Curry misses 3-pt shot from 23 ft
5:52.0,Defensive rebound by S. Mejri,,6-20,,
5:27.0,R. Felton makes 3-pt shot from 25 ft (assist by W. Matthews),3,9-20,,
5:17.0,,,9-20,,H. Barnes misses 3-pt shot from 25 ft
5:16.0,Defensive rebound by C. Parsons,,9-20,,
4:55.0,S. Mejri makes 2-pt shot at rim,2,11-20,,
4:45.0,,,11-20,,S. Curry misses 3-pt shot from 23 ft
4:44.0,Defensive rebound by C. Parsons,,11-20,,
4:34.0,D. Williams misses 2-pt shot from 6 ft,,11-20,,
4:33.0,Offensive rebound by S. Mejri,,11-20,,
4:30.0,S. Mejri misses 2-pt shot from 2 ft (block by K. Thompson),,11-20,,
4:28.0,,,11-20,,Defensive rebound by A. Bogut
4:26.0,,,11-20,,Offensive foul by D. Green
4:26.0,,,11-20,,Turnover by D. Green (offensive foul)
4:26.0,,,11-20,,A. Iguodala enters the game for H. Barnes
4:26.0,,,11-20,,B. Rush enters the game for D. Green
4:26.0,,,11-20,,M. Speights enters the game for A. Bogut
4:26.0,C. Villanueva enters the game for C. Parsons,,11-20,,
4:26.0,J. Barea enters the game for W. Matthews,,11-20,,
4:26.0,D. Powell enters the game for S. Mejri,,11-20,,
4:13.0,D. Powell makes 2-pt shot at rim (assist by C. Villanueva),2,13-20,,
4:01.0,,,13-20,,K. Thompson misses 3-pt shot from 27 ft
4:00.0,Defensive rebound by C. Villanueva,,13-20,,
3:52.0,Turnover by D. Powell (bad pass),,13-20,,
3:48.0,,,13-20,,K. Thompson misses 3-pt shot from 26 ft
3:46.0,Defensive rebound by D. Powell,,13-20,,
3:36.0,J. Barea makes 2-pt shot from 11 ft,2,15-20,,
3:36.0,,,15-20,,Golden State full timeout
3:36.0,,,15-20,,L. Barbosa enters the game for K. Thompson
3:36.0,,,15-20,,Violation by Team (jump ball)
3:22.0,,,15-20,,M. Speights misses 2-pt shot from 3 ft
3:22.0,Defensive rebound by C. Villanueva,,15-20,,
3:14.0,R. Felton misses 2-pt shot from 16 ft,,15-20,,
3:13.0,,,15-20,,Defensive rebound by B. Rush
3:07.0,,,15-22,2,L. Barbosa makes 2-pt shot at rim (assist by B. Rush)
2:52.0,J. Barea misses 3-pt shot from 24 ft,,15-22,,
2:52.0,,,15-22,,Defensive rebound by M. Speights
2:45.0,,,15-22,,Shooting foul by C. Villanueva (drawn by L. Barbosa)
2:45.0,,,15-23,1,L. Barbosa makes free throw 1 of 2
2:45.0,,,15-24,1,L. Barbosa makes free throw 2 of 2
2:26.0,C. Villanueva misses 2-pt shot from 6 ft,,15-24,,
2:25.0,,,15-24,,Defensive rebound by M. Speights
2:25.0,Personal foul by C. Villanueva (drawn by M. Speights),,15-24,,
2:04.0,,,15-26,2,M. Speights makes 2-pt shot from 6 ft (assist by B. Rush)
1:45.0,Shooting foul by S. Curry (drawn by D. Powell),,15-26,,
1:45.0,D. Powell makes free throw 1 of 2,1,16-26,,
1:45.0,J. Anderson enters the game for D. Williams,,16-26,,
1:45.0,,,16-26,,S. Livingston enters the game for S. Curry
1:45.0,D. Powell makes free throw 2 of 2,1,17-26,,
1:21.0,,,17-28,2,B. Rush makes 2-pt shot from 2 ft (assist by A. Iguodala)
1:05.0,C. Villanueva makes 3-pt shot from 23 ft (assist by D. Powell),3,20-28,,
0:39.0,,,20-30,2,L. Barbosa makes 2-pt shot from 1 ft
0:29.0,J. Barea makes 2-pt shot from 16 ft,2,22-30,,
0:08.0,,,22-32,2,M. Speights makes 2-pt shot from 8 ft
0:01.0,Shooting foul by M. Speights (drawn by D. Powell),,22-32,,
0:01.0,D. Powell misses free throw 1 of 2,,22-32,,
0:01.0,Offensive rebound by Team,,22-32,,
0:01.0,J. Evans enters the game for C. Villanueva,,22-32,,
0:01.0,D. Powell misses free throw 2 of 2,,22-32,,
0:01.0,,,22-32,,Defensive rebound by B. Rush
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,J. Barea misses 2-pt shot from 8 ft (block by B. Rush),,22-32,,
11:35.0,Offensive rebound by J. Barea,,22-32,,
11:32.0,D. Powell misses 2-pt shot from 11 ft,,22-32,,
11:31.0,,,22-32,,Defensive rebound by B. Rush
11:12.0,,,22-32,,S. Livingston misses 2-pt shot from 12 ft
11:12.0,Defensive rebound by J. Barea,,22-32,,
11:05.0,C. Parsons makes 2-pt shot from 2 ft (assist by J. Barea),2,24-32,,
10:46.0,,,24-32,,B. Rush misses 3-pt shot from 26 ft
10:45.0,Defensive rebound by C. Parsons,,24-32,,
10:30.0,W. Matthews misses 3-pt shot from 25 ft,,24-32,,
10:30.0,,,24-32,,Defensive rebound by L. Barbosa
10:22.0,,,24-34,2,A. Iguodala makes 2-pt shot from 2 ft (assist by L. Barbosa)
10:04.0,W. Matthews makes 2-pt shot from 7 ft (assist by D. Powell),2,26-34,,
9:40.0,,,26-34,,A. Iguodala misses 2-pt shot from 16 ft
9:40.0,Defensive rebound by J. Anderson,,26-34,,
9:32.0,D. Powell makes 2-pt shot at rim (assist by J. Barea),2,28-34,,
9:11.0,,,28-36,2,S. Livingston makes 2-pt shot from 9 ft
8:42.0,C. Parsons misses 2-pt shot from 21 ft,,28-36,,
8:42.0,,,28-36,,Defensive rebound by B. Rush
8:33.0,,,28-36,,H. Barnes misses 2-pt shot at rim
8:32.0,Defensive rebound by D. Powell,,28-36,,
8:22.0,J. Barea makes 2-pt shot from 10 ft,2,30-36,,
8:15.0,,,30-36,,Golden State full timeout
8:15.0,,,30-36,,K. Thompson enters the game for L. Barbosa
8:08.0,,,30-36,,H. Barnes misses 2-pt shot from 2 ft
8:05.0,,,30-36,,Offensive rebound by S. Livingston
8:00.0,,,30-38,2,H. Barnes makes 2-pt shot at rim (assist by S. Livingston)
7:53.0,,,30-38,,Personal foul by S. Livingston
7:35.0,J. Anderson makes 2-pt shot from 1 ft,2,32-38,,
7:15.0,,,32-38,,K. Thompson misses 2-pt shot from 3 ft
7:14.0,Defensive rebound by C. Parsons,,32-38,,
7:02.0,Turnover by J. Barea (bad pass; steal by S. Livingston),,32-38,,
6:56.0,,,32-38,,Turnover by B. Rush (lost ball; steal by W. Matthews)
6:40.0,J. Barea misses 2-pt shot from 8 ft,,32-38,,
6:39.0,,,32-38,,Defensive rebound by A. Iguodala
6:35.0,Violation by D. Powell (kicked ball),,32-38,,
6:35.0,,,32-38,,D. Green enters the game for A. Iguodala
6:35.0,,,32-38,,S. Curry enters the game for B. Rush
6:35.0,R. Felton enters the game for J. Barea,,32-38,,
6:35.0,D. Williams enters the game for J. Anderson,,32-38,,
6:23.0,,,32-40,2,S. Livingston makes 2-pt shot at rim (assist by D. Green)
6:02.0,D. Powell makes 2-pt shot from 1 ft (assist by R. Felton),2,34-40,,
5:47.0,,,34-40,,Offensive foul by D. Green
5:47.0,,,34-40,,Turnover by D. Green (offensive foul)
5:47.0,Official timeout,,34-40,,
5:47.0,,,34-40,,L. Barbosa enters the game for D. Green
5:47.0,,,34-40,,K. Looney enters the game for S. Livingston
5:38.0,Turnover by R. Felton (bad pass; steal by H. Barnes),,34-40,,
5:29.0,,,34-42,2,S. Curry makes 2-pt shot from 1 ft
5:16.0,Shooting foul by K. Looney (drawn by C. Parsons),,34-42,,
5:16.0,C. Parsons makes 2-pt shot from 1 ft,2,36-42,,
5:16.0,C. Parsons makes free throw 1 of 1,1,37-42,,
5:03.0,,,37-42,,Shooting foul by C. Parsons (drawn by K. Thompson)
5:03.0,,,37-43,1,K. Thompson makes free throw 1 of 2
5:03.0,J. Evans enters the game for D. Powell,,37-43,,
5:03.0,,,37-44,1,K. Thompson makes free throw 2 of 2
4:55.0,J. Evans makes 2-pt shot from 1 ft (assist by C. Parsons),2,39-44,,
4:36.0,,,39-44,,Shooting foul by J. Evans (drawn by K. Thompson)
4:36.0,,,39-45,1,K. Thompson makes free throw 1 of 2
4:36.0,,,39-46,1,K. Thompson makes free throw 2 of 2
4:29.0,Turnover by C. Parsons (bad pass),,39-46,,
4:16.0,,,39-46,,S. Curry misses 2-pt shot from 17 ft
4:16.0,Defensive rebound by J. Evans,,39-46,,
4:04.0,W. Matthews makes 2-pt shot from 11 ft,2,41-46,,
3:44.0,,,41-46,,S. Curry misses 3-pt shot from 23 ft
3:43.0,Defensive rebound by C. Parsons,,41-46,,
3:30.0,C. Parsons makes 3-pt shot from 25 ft (assist by R. Felton),3,44-46,,
3:03.0,,,44-46,,K. Thompson misses 3-pt shot from 23 ft
3:03.0,Defensive rebound by C. Parsons,,44-46,,
2:49.0,J. Evans misses 2-pt shot from 9 ft,,44-46,,
2:48.0,Offensive rebound by R. Felton,,44-46,,
2:48.0,R. Felton misses 2-pt shot from 2 ft,,44-46,,
2:46.0,,,44-46,,Defensive rebound by K. Looney
2:39.0,,,44-46,,L. Barbosa misses 2-pt shot from 2 ft
2:39.0,,,44-46,,Offensive rebound by H. Barnes
2:34.0,,,44-49,3,K. Thompson makes 3-pt shot from 25 ft (assist by H. Barnes)
2:33.0,Dallas full timeout,,44-49,,
2:33.0,,,44-49,,A. Bogut enters the game for K. Looney
2:20.0,,,44-49,,Personal foul by S. Curry (drawn by R. Felton)
2:20.0,,,44-49,,A. Iguodala enters the game for H. Barnes
2:20.0,J. McGee enters the game for J. Evans,,44-49,,
2:07.0,R. Felton makes 2-pt shot from 1 ft,2,46-49,,
1:48.0,,,46-52,3,K. Thompson makes 3-pt shot from 27 ft
1:34.0,Offensive foul by J. McGee,,46-52,,
1:34.0,Turnover by J. McGee (offensive foul),,46-52,,
1:34.0,Dallas full timeout,,46-52,,
1:22.0,,,46-54,2,K. Thompson makes 2-pt shot from 1 ft (assist by A. Bogut)
1:00.0,R. Felton misses 2-pt shot from 19 ft,,46-54,,
0:59.0,,,46-54,,Defensive rebound by A. Bogut
0:47.0,,,46-54,,A. Bogut misses 2-pt shot from 7 ft
0:46.0,Defensive rebound by J. McGee,,46-54,,
0:40.0,D. Williams misses 3-pt shot from 26 ft,,46-54,,
0:39.0,,,46-54,,Defensive rebound by K. Thompson
0:32.0,Personal foul by W. Matthews (drawn by A. Bogut),,46-54,,
0:26.0,,,46-56,2,K. Thompson makes 2-pt shot from 1 ft (assist by S. Curry)
0:13.0,J. McGee makes 2-pt shot at rim (assist by R. Felton),2,48-56,,
0:06.0,,,48-56,,K. Thompson misses 3-pt shot from 28 ft
0:04.0,,,48-56,,Offensive rebound by S. Curry
0:03.0,,,48-56,,S. Curry misses 2-pt shot from 21 ft
0:00.0,Defensive rebound by C. Parsons,,48-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,Turnover by S. Mejri (lost ball; steal by S. Curry),,48-56,,
11:19.0,,,48-58,2,A. Bogut makes 2-pt shot at rim (assist by S. Curry)
10:53.0,W. Matthews makes 2-pt shot from 18 ft,2,50-58,,
10:37.0,,,50-60,2,H. Barnes makes 2-pt shot from 8 ft
10:12.0,D. Williams makes 3-pt shot from 24 ft (assist by W. Matthews),3,53-60,,
10:02.0,,,53-63,3,S. Curry makes 3-pt shot from 25 ft
9:42.0,D. Williams makes 3-pt shot from 25 ft,3,56-63,,
9:31.0,,,56-63,,H. Barnes misses 3-pt shot from 24 ft
9:30.0,Defensive rebound by D. Williams,,56-63,,
9:19.0,D. Williams misses 3-pt shot from 25 ft,,56-63,,
9:18.0,,,56-63,,Defensive rebound by K. Thompson
9:06.0,,,56-63,,Turnover by K. Thompson (bad pass; steal by C. Parsons)
8:56.0,R. Felton makes 3-pt shot from 27 ft (assist by D. Williams),3,59-63,,
8:42.0,Personal foul by C. Parsons (drawn by D. Green),,59-63,,
8:38.0,,,59-63,,Shooting foul by S. Mejri (drawn by K. Thompson)
8:38.0,,,59-64,1,K. Thompson makes free throw 1 of 2
8:38.0,,,59-65,1,K. Thompson makes free throw 2 of 2
8:20.0,D. Williams makes 2-pt shot from 2 ft,2,61-65,,
8:10.0,,,61-65,,Turnover by D. Green (lost ball; steal by D. Williams)
8:02.0,D. Williams misses 3-pt shot from 26 ft,,61-65,,
8:02.0,,,61-65,,Defensive rebound by A. Bogut
7:41.0,,,61-65,,K. Thompson misses 3-pt shot from 22 ft
7:40.0,Defensive rebound by R. Felton,,61-65,,
7:35.0,C. Parsons makes 3-pt shot from 24 ft (assist by D. Williams),3,64-65,,
7:13.0,Personal foul by D. Williams (drawn by H. Barnes),,64-65,,
7:09.0,,,64-68,3,S. Curry makes 3-pt shot from 26 ft (assist by H. Barnes)
6:54.0,W. Matthews misses 2-pt shot from 3 ft (block by K. Thompson),,64-68,,
6:53.0,,,64-68,,Defensive rebound by K. Thompson
6:47.0,,,64-71,3,S. Curry makes 3-pt shot from 28 ft (assist by K. Thompson)
6:47.0,Dallas full timeout,,64-71,,
6:29.0,C. Parsons makes 3-pt shot from 26 ft (assist by D. Williams),3,67-71,,
6:11.0,,,67-73,2,H. Barnes makes 2-pt shot from 16 ft (assist by S. Curry)
5:48.0,Turnover by D. Williams (bad pass),,67-73,,
5:44.0,Personal foul by D. Williams (drawn by H. Barnes),,67-73,,
5:44.0,,,67-73,,A. Iguodala enters the game for H. Barnes
5:44.0,D. Powell enters the game for S. Mejri,,67-73,,
5:40.0,,,67-73,,A. Bogut misses 2-pt shot at rim
5:40.0,Defensive rebound by D. Powell,,67-73,,
5:25.0,C. Parsons makes 3-pt shot from 25 ft,3,70-73,,
5:07.0,,,70-76,3,D. Green makes 3-pt shot from 25 ft (assist by A. Bogut)
4:43.0,D. Williams makes 2-pt shot from 1 ft,2,72-76,,
4:34.0,,,72-78,2,D. Green makes 2-pt shot at rim (assist by S. Curry)
4:20.0,D. Williams misses 3-pt shot from 27 ft,,72-78,,
4:20.0,,,72-78,,Defensive rebound by S. Curry
4:12.0,,,72-81,3,K. Thompson makes 3-pt shot from 23 ft (assist by S. Curry)
4:11.0,Dallas full timeout,,72-81,,
4:11.0,,,72-81,,B. Rush enters the game for A. Bogut
3:56.0,W. Matthews misses 2-pt shot from 2 ft,,72-81,,
3:55.0,,,72-81,,Defensive rebound by A. Iguodala
3:45.0,,,72-83,2,D. Green makes 2-pt shot from 1 ft (assist by A. Iguodala)
3:13.0,R. Felton misses 3-pt shot from 27 ft,,72-83,,
3:12.0,Offensive rebound by Team,,72-83,,
3:12.0,,,72-83,,Loose ball foul by K. Thompson (drawn by D. Powell)
3:12.0,,,72-83,,L. Barbosa enters the game for K. Thompson
3:12.0,J. Barea enters the game for R. Felton,,72-83,,
3:12.0,C. Villanueva enters the game for C. Parsons,,72-83,,
2:51.0,D. Williams makes 2-pt shot from 17 ft,2,74-83,,
2:37.0,,,74-86,3,D. Green makes 3-pt shot from 25 ft (assist by A. Iguodala)
2:24.0,Turnover by D. Powell (lost ball; steal by S. Curry),,74-86,,
2:23.0,Personal foul by D. Williams (drawn by S. Curry),,74-86,,
2:23.0,,,74-87,1,S. Curry makes free throw 1 of 2
2:23.0,,,74-88,1,S. Curry makes free throw 2 of 2
2:09.0,C. Villanueva misses 3-pt shot from 26 ft,,74-88,,
2:09.0,,,74-88,,Defensive rebound by D. Green
2:02.0,,,74-88,,B. Rush misses 3-pt shot from 25 ft
2:00.0,,,74-88,,Offensive rebound by A. Iguodala
1:58.0,,,74-90,2,A. Iguodala makes 2-pt shot from 1 ft
1:45.0,Offensive foul by C. Villanueva,,74-90,,
1:45.0,Turnover by C. Villanueva (offensive foul),,74-90,,
1:32.0,,,74-90,,Shooting foul by W. Matthews (drawn by A. Iguodala)
1:32.0,,,74-90,,A. Iguodala misses free throw 1 of 2
1:32.0,,,74-90,,Offensive rebound by Team
1:32.0,,,74-90,,A. Iguodala misses free throw 2 of 2
1:32.0,Defensive rebound by D. Powell,,74-90,,
