time,Atlanta,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. T. Thompson (K. Love gains possession),,,,Jump ball: A. Horford vs. T. Thompson (K. Love gains possession)
11:45.0,,,0-2,2,K. Irving makes 2-pt shot from 2 ft (assist by T. Thompson)
11:28.0,K. Bazemore makes 2-pt shot at rim (assist by J. Teague),2,2-2,,
11:12.0,,,2-5,3,J. Smith makes 3-pt shot from 26 ft (assist by L. James)
10:56.0,Turnover by K. Bazemore (lost ball; steal by K. Love),,2-5,,
10:30.0,,,2-5,,K. Irving misses 2-pt shot from 1 ft (block by A. Horford)
10:30.0,Defensive rebound by A. Horford,,2-5,,
10:21.0,A. Horford misses 3-pt shot from 24 ft,,2-5,,
10:21.0,,,2-5,,Defensive rebound by K. Love
10:10.0,,,2-7,2,L. James makes 2-pt shot from 1 ft
9:54.0,K. Bazemore makes 3-pt shot from 25 ft (assist by P. Millsap),3,5-7,,
9:40.0,Personal foul by P. Millsap,,5-7,,
9:32.0,,,5-7,,K. Love misses 2-pt shot from 15 ft
9:30.0,Defensive rebound by K. Korver,,5-7,,
9:22.0,P. Millsap misses 2-pt shot from 6 ft,,5-7,,
9:19.0,,,5-7,,Defensive rebound by L. James
9:19.0,Violation by K. Bazemore (kicked ball),,5-7,,
9:11.0,,,5-7,,K. Love misses 3-pt shot from 26 ft
9:10.0,,,5-7,,Offensive rebound by T. Thompson
9:05.0,,,5-10,3,L. James makes 3-pt shot from 25 ft (assist by K. Love)
8:48.0,A. Horford misses 2-pt shot from 9 ft,,5-10,,
8:45.0,,,5-10,,Defensive rebound by K. Love
8:39.0,,,5-10,,L. James misses 3-pt shot from 25 ft
8:39.0,Defensive rebound by K. Bazemore,,5-10,,
8:31.0,K. Bazemore makes 3-pt shot from 25 ft,3,8-10,,
8:05.0,,,8-13,3,K. Irving makes 3-pt shot from 28 ft
7:46.0,A. Horford misses 2-pt shot at rim (block by L. James),,8-13,,
7:45.0,,,8-13,,Defensive rebound by J. Smith
7:41.0,,,8-16,3,K. Irving makes 3-pt shot from 26 ft (assist by J. Smith)
7:41.0,Atlanta full timeout,,8-16,,
7:31.0,,,8-16,,Violation by L. James (kicked ball)
7:18.0,P. Millsap misses 2-pt shot from 13 ft,,8-16,,
7:16.0,,,8-16,,Defensive rebound by J. Smith
6:59.0,,,8-16,,K. Love misses 2-pt shot from 9 ft
6:57.0,,,8-16,,Offensive rebound by K. Love
6:51.0,,,8-16,,J. Smith misses 3-pt shot from 25 ft
6:51.0,Defensive rebound by A. Horford,,8-16,,
6:40.0,J. Teague makes 3-pt shot from 25 ft,3,11-16,,
6:26.0,,,11-16,,Shooting foul by A. Horford (drawn by K. Love)
6:26.0,,,11-17,1,K. Love makes free throw 1 of 2
6:26.0,T. Sefolosha enters the game for K. Bazemore,,11-17,,
6:26.0,M. Scott enters the game for A. Horford,,11-17,,
6:26.0,,,11-18,1,K. Love makes free throw 2 of 2
6:12.0,T. Sefolosha misses 2-pt shot from 1 ft (block by T. Thompson),,11-18,,
6:11.0,,,11-18,,Defensive rebound by K. Love
6:00.0,,,11-18,,K. Love misses 3-pt shot from 25 ft
6:00.0,Defensive rebound by J. Teague,,11-18,,
5:51.0,,,11-18,,Personal foul by K. Irving
5:42.0,J. Teague misses 2-pt shot from 6 ft (block by K. Irving),,11-18,,
5:41.0,Offensive rebound by P. Millsap,,11-18,,
5:39.0,Turnover by P. Millsap (lost ball; steal by J. Smith),,11-18,,
5:31.0,,,11-20,2,L. James makes 2-pt shot from 1 ft (assist by J. Smith)
