time,Charlotte,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. C. Zeller (J. Dudley gains possession),,,,Jump ball: M. Gortat vs. C. Zeller (J. Dudley gains possession)
11:40.0,,,0-0,,M. Gortat misses 2-pt shot from 12 ft
11:39.0,Defensive rebound by C. Zeller,,0-0,,
11:26.0,,,0-0,,Personal foul by K. Oubre (drawn by M. Williams)
11:12.0,Turnover by Team (shot clock),,0-0,,
11:02.0,,,0-0,,M. Gortat misses 2-pt shot from 1 ft
11:01.0,Defensive rebound by N. Batum,,0-0,,
10:53.0,Shooting foul by G. Temple (drawn by N. Batum),,0-0,,
10:53.0,N. Batum makes free throw 1 of 2,1,1-0,,
10:53.0,N. Batum makes free throw 2 of 2,1,2-0,,
10:46.0,,,2-2,2,J. Wall makes 2-pt shot from 19 ft
10:32.0,C. Zeller makes 2-pt shot at rim,2,4-2,,
10:19.0,,,4-2,,K. Oubre misses 2-pt shot from 7 ft
10:18.0,,,4-2,,Offensive rebound by K. Oubre
10:16.0,,,4-4,2,K. Oubre makes 2-pt shot from 1 ft
10:03.0,Turnover by C. Zeller (lost ball),,4-4,,
9:50.0,,,4-7,3,K. Oubre makes 3-pt shot from 24 ft (assist by J. Wall)
9:25.0,P. Hairston makes 3-pt shot from 24 ft,3,7-7,,
9:11.0,,,7-7,,M. Gortat misses 2-pt shot from 4 ft
9:10.0,Defensive rebound by M. Williams,,7-7,,
8:56.0,M. Williams makes 3-pt shot from 23 ft (assist by P. Hairston),3,10-7,,
8:42.0,,,10-7,,J. Wall misses 2-pt shot from 17 ft
8:41.0,Defensive rebound by P. Hairston,,10-7,,
8:32.0,K. Walker misses 3-pt shot from 24 ft,,10-7,,
8:31.0,,,10-7,,Defensive rebound by K. Oubre
8:25.0,,,10-7,,Turnover by J. Wall (lost ball; steal by K. Walker)
8:18.0,Turnover by N. Batum (lost ball; steal by J. Dudley),,10-7,,
8:14.0,,,10-9,2,G. Temple makes 2-pt shot at rim
8:14.0,,,10-9,,Shooting foul by M. Williams (drawn by G. Temple)
8:14.0,,,10-9,,G. Temple misses free throw 1 of 1
8:13.0,Defensive rebound by M. Williams,,10-9,,
8:02.0,N. Batum misses 3-pt shot from 25 ft,,10-9,,
8:01.0,,,10-9,,Defensive rebound by J. Dudley
7:53.0,,,10-9,,J. Wall misses 2-pt shot from 1 ft
7:52.0,Defensive rebound by Team,,10-9,,
7:38.0,K. Walker misses 2-pt shot from 17 ft,,10-9,,
7:37.0,,,10-9,,Defensive rebound by K. Oubre
7:26.0,,,10-11,2,J. Wall makes 2-pt shot from 2 ft (assist by M. Gortat)
7:05.0,P. Hairston makes 2-pt shot at rim (assist by N. Batum),2,12-11,,
6:47.0,,,12-13,2,G. Temple makes 2-pt shot from 17 ft
6:21.0,C. Zeller misses 2-pt shot from 6 ft,,12-13,,
6:20.0,Offensive rebound by C. Zeller,,12-13,,
6:17.0,M. Williams misses 3-pt shot from 25 ft,,12-13,,
6:16.0,,,12-13,,Defensive rebound by J. Wall
6:03.0,,,12-13,,K. Oubre misses 2-pt shot from 8 ft
6:02.0,Defensive rebound by N. Batum,,12-13,,
5:56.0,Shooting foul by K. Oubre (drawn by K. Walker),,12-13,,
5:56.0,,,12-13,,Washington full timeout
5:56.0,,,12-13,,G. Neal enters the game for K. Oubre
5:56.0,K. Walker makes free throw 1 of 2,1,13-13,,
5:56.0,K. Walker makes free throw 2 of 2,1,14-13,,
5:40.0,,,14-13,,M. Gortat misses 2-pt shot from 6 ft
5:39.0,Defensive rebound by M. Williams,,14-13,,
5:22.0,Turnover by P. Hairston (lost ball; steal by G. Neal),,14-13,,
5:14.0,,,14-15,2,J. Wall makes 2-pt shot from 20 ft
4:46.0,C. Zeller misses 2-pt shot from 2 ft,,14-15,,
4:45.0,Offensive rebound by M. Williams,,14-15,,
4:43.0,M. Williams misses 2-pt shot from 1 ft,,14-15,,
4:42.0,Offensive rebound by M. Williams,,14-15,,
4:41.0,M. Williams misses 2-pt shot at rim,,14-15,,
4:40.0,,,14-15,,Defensive rebound by G. Temple
4:34.0,,,14-15,,G. Temple misses 3-pt shot from 25 ft
4:33.0,Defensive rebound by K. Walker,,14-15,,
4:21.0,M. Williams misses 3-pt shot from 27 ft,,14-15,,
4:20.0,,,14-15,,Defensive rebound by J. Dudley
4:10.0,,,14-18,3,J. Wall makes 3-pt shot from 27 ft (assist by G. Neal)
3:50.0,P. Hairston misses 3-pt shot from 27 ft,,14-18,,
3:49.0,,,14-18,,Defensive rebound by J. Dudley
3:40.0,,,14-20,2,J. Wall makes 2-pt shot from 19 ft
3:21.0,K. Walker makes 2-pt shot from 10 ft (assist by N. Batum),2,16-20,,
3:17.0,,,16-20,,Turnover by J. Wall (bad pass; steal by K. Walker)
3:07.0,M. Williams misses 3-pt shot from 25 ft,,16-20,,
3:06.0,,,16-20,,Defensive rebound by J. Dudley
2:55.0,,,16-20,,Shooting foul by C. Zeller (drawn by M. Gortat)
2:55.0,Charlotte full timeout,,16-20,,
2:55.0,,,16-20,,R. Sessions enters the game for J. Dudley
2:55.0,,,16-20,,K. Humphries enters the game for J. Wall
2:55.0,J. Lin enters the game for P. Hairston,,16-20,,
2:55.0,F. Kaminsky enters the game for M. Williams,,16-20,,
2:55.0,S. Hawes enters the game for C. Zeller,,16-20,,
2:55.0,J. Lamb enters the game for N. Batum,,16-20,,
2:55.0,,,16-21,1,M. Gortat makes free throw 1 of 2
2:55.0,,,16-22,1,M. Gortat makes free throw 2 of 2
2:41.0,K. Walker makes 3-pt shot from 23 ft (assist by J. Lin),3,19-22,,
2:26.0,,,19-24,2,M. Gortat makes 2-pt shot from 5 ft (assist by R. Sessions)
2:08.0,J. Lamb makes 3-pt shot from 26 ft (assist by S. Hawes),3,22-24,,
1:59.0,Personal foul by S. Hawes (drawn by M. Gortat),,22-24,,
1:53.0,,,22-26,2,R. Sessions makes 2-pt shot from 17 ft
1:35.0,J. Lin makes 3-pt shot from 23 ft (assist by S. Hawes),3,25-26,,
1:15.0,,,25-26,,G. Neal misses 2-pt shot from 19 ft
1:14.0,Defensive rebound by F. Kaminsky,,25-26,,
1:02.0,Turnover by K. Walker (bad pass),,25-26,,
0:50.0,,,25-26,,Shooting foul by J. Lamb (drawn by G. Temple)
0:50.0,,,25-27,1,G. Temple makes free throw 1 of 2
0:50.0,,,25-27,,J. Dudley enters the game for M. Gortat
0:50.0,,,25-28,1,G. Temple makes free throw 2 of 2
0:32.0,F. Kaminsky makes 2-pt shot at rim (assist by J. Lin),2,27-28,,
0:23.0,,,27-28,,R. Sessions misses 2-pt shot from 15 ft
0:22.0,Defensive rebound by K. Walker,,27-28,,
0:08.0,,,27-28,,Personal take foul by R. Sessions (drawn by K. Walker)
0:02.0,K. Walker misses 2-pt shot from 19 ft,,27-28,,
0:01.0,,,27-28,,Defensive rebound by J. Dudley
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,S. Hawes makes 2-pt shot from 8 ft (assist by J. Lin),2,29-28,,
11:10.0,,,29-28,,R. Sessions misses 3-pt shot from 26 ft
11:09.0,,,29-28,,Offensive rebound by R. Sessions
11:05.0,,,29-28,,R. Sessions misses 2-pt shot at rim (block by F. Kaminsky)
11:03.0,Defensive rebound by F. Kaminsky,,29-28,,
10:56.0,J. Lamb makes 2-pt shot from 8 ft,2,31-28,,
10:50.0,,,31-28,,Shooting foul by J. Lamb (drawn by J. Wall)
10:50.0,,,31-29,1,J. Wall makes free throw 1 of 2
10:50.0,,,31-30,1,J. Wall makes free throw 2 of 2
10:37.0,Turnover by J. Lin (lost ball),,31-30,,
10:23.0,,,31-30,,G. Neal misses 2-pt shot from 14 ft
10:22.0,Defensive rebound by S. Hawes,,31-30,,
10:09.0,J. Lamb misses 2-pt shot from 4 ft,,31-30,,
10:08.0,,,31-30,,Defensive rebound by J. Dudley
10:03.0,,,31-32,2,R. Sessions makes 2-pt shot from 1 ft (assist by J. Dudley)
9:58.0,Charlotte full timeout,,31-32,,
9:50.0,S. Hawes makes 3-pt shot from 27 ft (assist by J. Lin),3,34-32,,
9:29.0,,,34-34,2,J. Dudley makes 2-pt shot from 21 ft (assist by G. Neal)
9:10.0,J. Lin misses 2-pt shot from 20 ft,,34-34,,
9:09.0,Offensive rebound by S. Hawes,,34-34,,
9:08.0,S. Hawes makes 2-pt shot at rim,2,36-34,,
8:47.0,,,36-34,,Turnover by G. Neal (lost ball; steal by M. Williams)
8:43.0,Turnover by M. Williams (bad pass; steal by J. Wall),,36-34,,
8:34.0,,,36-37,3,J. Dudley makes 3-pt shot from 25 ft (assist by J. Wall)
8:17.0,Turnover by S. Hawes (bad pass; steal by G. Neal),,36-37,,
8:02.0,,,36-37,,J. Wall misses 2-pt shot from 17 ft
8:02.0,Defensive rebound by F. Kaminsky,,36-37,,
7:47.0,J. Lamb misses 3-pt shot from 23 ft,,36-37,,
7:47.0,,,36-37,,Defensive rebound by K. Humphries
7:40.0,,,36-37,,G. Neal misses 3-pt shot from 24 ft
7:39.0,Defensive rebound by J. Lamb,,36-37,,
7:22.0,M. Williams misses 2-pt shot from 19 ft,,36-37,,
7:22.0,Offensive rebound by F. Kaminsky,,36-37,,
7:14.0,F. Kaminsky misses 3-pt shot from 24 ft,,36-37,,
7:14.0,Offensive rebound by J. Lamb,,36-37,,
7:12.0,J. Lamb makes 2-pt shot from 2 ft,2,38-37,,
7:02.0,Personal foul by J. Lamb (drawn by R. Sessions),,38-37,,
7:02.0,P. Hairston enters the game for M. Williams,,38-37,,
7:02.0,,,38-37,,M. Gortat enters the game for K. Humphries
7:02.0,,,38-37,,K. Oubre enters the game for G. Neal
7:02.0,K. Walker enters the game for J. Lamb,,38-37,,
7:00.0,,,38-37,,Offensive foul by M. Gortat
7:00.0,,,38-37,,Turnover by M. Gortat (offensive foul)
6:44.0,S. Hawes misses 2-pt shot from 2 ft,,38-37,,
6:43.0,Offensive rebound by F. Kaminsky,,38-37,,
6:36.0,K. Walker misses 3-pt shot from 24 ft,,38-37,,
6:35.0,Offensive rebound by P. Hairston,,38-37,,
6:33.0,S. Hawes makes 2-pt shot at rim (assist by P. Hairston),2,40-37,,
6:28.0,,,40-37,,Washington full timeout
6:28.0,C. Zeller enters the game for S. Hawes,,40-37,,
6:15.0,,,40-39,2,J. Wall makes 2-pt shot at rim
5:57.0,J. Lin makes 2-pt shot from 5 ft (assist by F. Kaminsky),2,42-39,,
