time,Minnesota,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hollins vs. K. Towns (J. Green gains possession),,,,Jump ball: R. Hollins vs. K. Towns (J. Green gains possession)
11:43.0,,,0-2,2,R. Hollins makes 2-pt shot at rim (assist by T. Allen)
11:24.0,Turnover by A. Wiggins (lost ball; steal by M. Barnes),,0-2,,
11:18.0,,,0-4,2,B. Weber makes 2-pt shot from 2 ft
11:06.0,R. Rubio misses 2-pt shot from 3 ft (block by R. Hollins),,0-4,,
11:05.0,Offensive rebound by G. Dieng,,0-4,,
11:05.0,Shooting foul by B. Weber (drawn by G. Dieng),,0-4,,
11:05.0,G. Dieng makes free throw 1 of 2,1,1-4,,
11:05.0,G. Dieng makes free throw 2 of 2,1,2-4,,
10:54.0,,,2-4,,B. Weber misses 2-pt shot from 7 ft
10:51.0,,,2-4,,Offensive rebound by J. Green
10:51.0,,,2-6,2,J. Green makes 2-pt shot at rim
10:40.0,Z. LaVine makes 3-pt shot from 25 ft (assist by G. Dieng),3,5-6,,
10:14.0,,,5-8,2,R. Hollins makes 2-pt shot from 7 ft (assist by M. Barnes)
9:53.0,G. Dieng misses 2-pt shot from 5 ft (block by R. Hollins),,5-8,,
9:52.0,Offensive rebound by R. Rubio,,5-8,,
9:48.0,Z. LaVine makes 3-pt shot from 23 ft (assist by R. Rubio),3,8-8,,
9:35.0,,,8-8,,Shooting foul by G. Dieng (drawn by J. Green)
9:35.0,,,8-9,1,J. Green makes free throw 1 of 2
9:35.0,,,8-10,1,J. Green makes free throw 2 of 2
9:16.0,G. Dieng makes 2-pt shot from 2 ft,2,10-10,,
9:06.0,,,10-10,,M. Barnes misses 3-pt shot from 26 ft
9:05.0,Defensive rebound by K. Towns,,10-10,,
8:59.0,,,10-10,,Violation by T. Allen (kicked ball)
8:55.0,A. Wiggins makes 2-pt shot from 20 ft (assist by G. Dieng),2,12-10,,
8:42.0,,,12-10,,B. Weber misses 2-pt shot from 15 ft
8:41.0,,,12-10,,Offensive rebound by R. Hollins
8:38.0,,,12-10,,R. Hollins misses 2-pt shot at rim (block by G. Dieng)
8:35.0,,,12-10,,Offensive rebound by B. Weber
8:27.0,,,12-12,2,R. Hollins makes 2-pt shot at rim (assist by T. Allen)
8:26.0,Minnesota full timeout,,12-12,,
8:08.0,G. Dieng makes 2-pt shot at rim (assist by K. Towns),2,14-12,,
7:52.0,,,14-14,2,T. Allen makes 2-pt shot from 1 ft (assist by M. Barnes)
7:29.0,Z. LaVine makes 3-pt shot from 27 ft,3,17-14,,
7:20.0,,,17-14,,R. Hollins misses 2-pt shot from 3 ft
7:18.0,Defensive rebound by G. Dieng,,17-14,,
7:04.0,Z. LaVine misses 2-pt shot from 19 ft,,17-14,,
7:02.0,,,17-14,,Defensive rebound by T. Allen
