time,Toronto,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Noel vs. J. Valanciunas (L. Scola gains possession),,,,Jump ball: N. Noel vs. J. Valanciunas (L. Scola gains possession)
11:43.0,J. Valanciunas misses 2-pt shot from 3 ft (block by N. Noel),,0-0,,
11:41.0,,,0-0,,Defensive rebound by N. Noel
11:21.0,,,0-2,2,N. Noel makes 2-pt shot from 6 ft (assist by J. Grant)
11:04.0,D. DeRozan misses 2-pt shot from 14 ft (block by N. Stauskas),,0-2,,
11:03.0,,,0-2,,Defensive rebound by N. Stauskas
10:48.0,,,0-4,2,J. Okafor makes 2-pt shot from 1 ft (assist by I. Smith)
10:36.0,L. Scola misses 3-pt shot from 23 ft,,0-4,,
10:21.0,,,0-4,,Defensive rebound by N. Noel
10:14.0,,,0-6,2,J. Okafor makes 2-pt shot from 1 ft (assist by I. Smith)
9:53.0,J. Johnson misses 2-pt shot from 3 ft,,0-6,,
9:52.0,,,0-6,,Defensive rebound by J. Okafor
9:39.0,,,0-8,2,J. Okafor makes 2-pt shot at rim
9:39.0,Violation by J. Valanciunas (def goaltending),,0-8,,
9:35.0,Toronto full timeout,,0-8,,
9:24.0,K. Lowry misses 2-pt shot from 12 ft,,0-8,,
9:22.0,,,0-8,,Defensive rebound by J. Grant
9:10.0,Personal foul by J. Johnson (drawn by J. Okafor),,0-8,,
9:01.0,,,0-8,,I. Smith misses 2-pt shot from 15 ft
8:59.0,,,0-8,,Offensive rebound by J. Okafor
8:55.0,,,0-10,2,J. Okafor makes 2-pt shot from 1 ft
8:34.0,J. Johnson misses 3-pt shot from 23 ft,,0-10,,
8:32.0,,,0-10,,Defensive rebound by I. Smith
8:28.0,Personal foul by K. Lowry (drawn by J. Grant),,0-10,,
8:17.0,,,0-10,,N. Noel misses 2-pt shot from 9 ft
8:13.0,Defensive rebound by J. Valanciunas,,0-10,,
8:06.0,J. Valanciunas misses 2-pt shot from 18 ft,,0-10,,
8:05.0,,,0-10,,Defensive rebound by N. Noel
7:54.0,,,0-12,2,I. Smith makes 2-pt shot at rim
7:29.0,K. Lowry makes 2-pt shot at rim,2,2-12,,
7:19.0,,,2-12,,J. Grant misses 3-pt shot from 23 ft
7:18.0,,,2-12,,Offensive rebound by J. Okafor
7:18.0,T. Ross enters the game for J. Johnson,,2-12,,
7:18.0,P. Patterson enters the game for L. Scola,,2-12,,
7:09.0,,,2-12,,J. Grant misses 2-pt shot from 1 ft (block by J. Valanciunas)
7:09.0,,,2-12,,Offensive rebound by Team
7:09.0,,,2-12,,H. Thompson enters the game for J. Okafor
7:02.0,,,2-12,,I. Smith misses 2-pt shot from 2 ft
