time,Cleveland,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. T. Thompson (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. T. Thompson (R. Jackson gains possession)
11:30.0,,,0-2,2,E. Ilyasova makes 2-pt shot from 18 ft (assist by M. Morris)
11:09.0,K. Love misses 2-pt shot from 15 ft,,0-2,,
11:09.0,Offensive rebound by T. Thompson,,0-2,,
10:51.0,K. Love makes 2-pt shot from 1 ft (assist by L. James),2,2-2,,
10:32.0,,,2-2,,R. Jackson misses 2-pt shot at rim
10:31.0,Defensive rebound by T. Thompson,,2-2,,
10:25.0,L. James makes 2-pt shot at rim,2,4-2,,
10:09.0,,,4-2,,K. Caldwell-Pope misses 2-pt shot from 3 ft
10:08.0,,,4-2,,Offensive rebound by K. Caldwell-Pope
10:06.0,,,4-4,2,K. Caldwell-Pope makes 2-pt shot at rim
9:54.0,K. Love makes 3-pt shot from 27 ft (assist by K. Irving),3,7-4,,
9:27.0,,,7-4,,M. Morris misses 2-pt shot at rim
9:26.0,Defensive rebound by K. Irving,,7-4,,
9:25.0,K. Irving makes 2-pt shot at rim,2,9-4,,
9:25.0,Shooting foul by E. Ilyasova (drawn by K. Irving),,9-4,,
9:25.0,K. Irving makes free throw 1 of 1,1,10-4,,
9:14.0,,,10-4,,Shooting foul by T. Thompson (drawn by E. Ilyasova)
9:14.0,,,10-5,1,E. Ilyasova makes free throw 1 of 2
9:14.0,T. Mozgov enters the game for T. Thompson,,10-5,,
9:14.0,,,10-6,1,E. Ilyasova makes free throw 2 of 2
8:50.0,K. Irving misses 2-pt shot at rim,,10-6,,
8:50.0,Offensive rebound by T. Mozgov,,10-6,,
8:48.0,T. Mozgov makes 2-pt shot at rim,2,12-6,,
8:34.0,,,12-6,,K. Caldwell-Pope misses 2-pt shot from 18 ft
8:34.0,,,12-6,,Offensive rebound by Team
8:30.0,,,12-8,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by M. Morris)
8:09.0,J. Smith misses 2-pt shot from 6 ft,,12-8,,
8:09.0,,,12-8,,Defensive rebound by E. Ilyasova
7:53.0,,,12-10,2,E. Ilyasova makes 2-pt shot from 8 ft (assist by R. Jackson)
7:35.0,K. Irving misses 2-pt shot at rim,,12-10,,
