time,LA Lakers,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: I. Mahinmi vs. R. Sacre (G. Hill gains possession),,,,Jump ball: I. Mahinmi vs. R. Sacre (G. Hill gains possession)
11:40.0,,,0-0,,Turnover by I. Mahinmi (lost ball; steal by L. Williams)
11:33.0,L. Williams misses 2-pt shot from 11 ft,,0-0,,
11:33.0,,,0-0,,Defensive rebound by M. Turner
11:33.0,,,0-0,,J. Hill enters the game for I. Mahinmi
11:18.0,,,0-2,2,M. Turner makes 2-pt shot at rim (assist by M. Ellis)
11:01.0,Turnover by R. Sacre (bad pass; steal by M. Ellis),,0-2,,
10:57.0,,,0-2,,Shooting foul by R. Sacre (drawn by G. Hill)
10:57.0,,,0-2,,G. Hill misses free throw 1 of 2
10:57.0,,,0-2,,Offensive rebound by Team
10:57.0,,,0-3,1,G. Hill makes free throw 2 of 2
10:48.0,K. Bryant misses 3-pt shot from 25 ft,,0-3,,
10:47.0,,,0-3,,Defensive rebound by J. Hill
10:35.0,,,0-3,,M. Turner misses 2-pt shot from 15 ft
10:34.0,Defensive rebound by J. Clarkson,,0-3,,
10:25.0,J. Randle makes 2-pt shot from 21 ft (assist by J. Clarkson),2,2-3,,
10:07.0,,,2-3,,G. Hill misses 3-pt shot from 25 ft
10:06.0,Defensive rebound by J. Randle,,2-3,,
9:53.0,J. Clarkson misses 2-pt shot from 15 ft,,2-3,,
9:52.0,,,2-3,,Defensive rebound by J. Hill
9:36.0,,,2-3,,G. Hill misses 3-pt shot from 26 ft
9:34.0,,,2-3,,Offensive rebound by P. George
9:34.0,Loose ball foul by J. Clarkson (drawn by P. George),,2-3,,
9:29.0,,,2-3,,P. George misses 2-pt shot from 18 ft
9:28.0,,,2-3,,Offensive rebound by Team
9:17.0,,,2-5,2,J. Hill makes 2-pt shot at rim (assist by M. Turner)
9:05.0,J. Randle makes 2-pt shot from 13 ft (assist by L. Williams),2,4-5,,
8:46.0,,,4-5,,P. George misses 3-pt shot from 26 ft
8:45.0,Defensive rebound by L. Williams,,4-5,,
8:36.0,J. Clarkson misses 2-pt shot at rim (block by J. Hill),,4-5,,
8:35.0,,,4-5,,Defensive rebound by M. Turner
8:31.0,,,4-7,2,P. George makes 2-pt shot at rim
8:16.0,L. Williams makes 3-pt shot from 24 ft (assist by J. Randle),3,7-7,,
8:02.0,,,7-9,2,M. Ellis makes 2-pt shot from 19 ft (assist by G. Hill)
7:38.0,K. Bryant misses 2-pt shot from 15 ft,,7-9,,
7:37.0,,,7-9,,Defensive rebound by M. Turner
7:28.0,,,7-11,2,J. Hill makes 2-pt shot from 7 ft (assist by M. Ellis)
7:14.0,J. Clarkson makes 2-pt shot from 19 ft,2,9-11,,
6:59.0,,,9-11,,M. Ellis misses 3-pt shot from 27 ft
