time,Cleveland,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:43.0,,,0-0,,R. Vaughn misses 2-pt shot from 6 ft
12:00.0,Jump ball: G. Monroe vs. T. Mozgov (R. Vaughn gains possession),,,,Jump ball: G. Monroe vs. T. Mozgov (R. Vaughn gains possession)
11:42.0,Defensive rebound by L. James,,0-0,,
11:29.0,J. Smith misses 2-pt shot from 17 ft,,0-0,,
11:28.0,,,0-0,,Defensive rebound by G. Antetokounmpo
11:20.0,,,0-0,,J. O'Bryant misses 2-pt shot from 17 ft
11:19.0,Defensive rebound by L. James,,0-0,,
11:12.0,J. Smith makes 3-pt shot from 27 ft (assist by L. James),3,3-0,,
10:57.0,,,3-0,,G. Antetokounmpo misses 3-pt shot from 28 ft
10:56.0,Defensive rebound by K. Irving,,3-0,,
10:41.0,K. Love misses 2-pt shot from 14 ft,,3-0,,
10:40.0,,,3-0,,Defensive rebound by J. O'Bryant
10:29.0,,,3-2,2,J. Parker makes 2-pt shot from 6 ft (assist by G. Antetokounmpo)
10:10.0,K. Love makes 3-pt shot from 22 ft (assist by T. Mozgov),3,6-2,,
9:49.0,,,6-2,,J. Parker misses 2-pt shot from 10 ft
9:47.0,,,6-2,,Offensive rebound by J. O'Bryant
9:46.0,,,6-4,2,J. O'Bryant makes 2-pt shot from 1 ft
9:24.0,L. James makes 2-pt shot at rim (assist by K. Love),2,8-4,,
8:59.0,,,8-4,,G. Antetokounmpo misses 2-pt shot from 21 ft
8:57.0,,,8-4,,Offensive rebound by J. O'Bryant
8:53.0,Personal foul by K. Irving,,8-4,,
8:49.0,,,8-4,,R. Vaughn misses 3-pt shot from 26 ft
8:47.0,Defensive rebound by K. Love,,8-4,,
8:38.0,J. Smith misses 3-pt shot from 26 ft,,8-4,,
8:37.0,,,8-4,,Defensive rebound by G. Antetokounmpo
8:26.0,,,8-4,,G. Monroe misses 2-pt shot at rim (block by T. Mozgov)
8:24.0,Defensive rebound by T. Mozgov,,8-4,,
8:13.0,Turnover by L. James (bad pass),,8-4,,
8:02.0,,,8-4,,Offensive foul by J. O'Bryant
8:02.0,,,8-4,,Turnover by J. O'Bryant (offensive foul)
7:52.0,Turnover by K. Irving (lost ball; steal by R. Vaughn),,8-4,,
7:48.0,,,8-6,2,G. Antetokounmpo makes 2-pt shot at rim
7:29.0,T. Mozgov misses 2-pt shot from 10 ft,,8-6,,
7:28.0,,,8-6,,Defensive rebound by R. Vaughn
7:18.0,,,8-6,,G. Monroe misses 2-pt shot from 6 ft
7:16.0,Defensive rebound by K. Love,,8-6,,
7:08.0,J. Smith makes 3-pt shot from 23 ft (assist by L. James),3,11-6,,
6:47.0,,,11-8,2,G. Monroe makes 2-pt shot from 3 ft (assist by G. Antetokounmpo)
6:39.0,,,11-8,,Personal foul by J. O'Bryant
6:39.0,,,11-8,,J. Henson enters the game for J. O'Bryant
6:39.0,,,11-8,,Violation by Team (delay of game)
6:33.0,J. Smith makes 3-pt shot from 24 ft (assist by K. Irving),3,14-8,,
6:26.0,,,14-8,,Shooting foul by J. Smith (drawn by J. Parker)
6:26.0,,,14-9,1,J. Parker makes free throw 1 of 2
