time,Minnesota,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. K. Towns (G. Dieng gains possession),,,,Jump ball: M. Plumlee vs. K. Towns (G. Dieng gains possession)
11:43.0,Turnover by K. Towns (lost ball; steal by K. Middleton),,0-0,,
11:37.0,,,0-0,,Turnover by J. Parker (lost ball; steal by R. Rubio)
11:35.0,R. Rubio misses 2-pt shot from 17 ft,,0-0,,
11:33.0,Offensive rebound by K. Towns,,0-0,,
11:32.0,K. Towns makes 2-pt shot at rim,2,2-0,,
11:03.0,,,2-3,3,J. Parker makes 3-pt shot from 23 ft (assist by G. Antetokounmpo)
10:45.0,K. Towns makes 2-pt shot from 5 ft (assist by R. Rubio),2,4-3,,
10:32.0,,,4-5,2,G. Antetokounmpo makes 2-pt shot at rim
10:15.0,K. Towns makes 2-pt shot from 10 ft (assist by R. Rubio),2,6-5,,
10:10.0,Personal foul by R. Rubio (drawn by G. Antetokounmpo),,6-5,,
10:03.0,,,6-7,2,J. Parker makes 2-pt shot from 11 ft (assist by G. Antetokounmpo)
9:47.0,K. Towns makes 2-pt shot from 17 ft (assist by A. Wiggins),2,8-7,,
9:34.0,,,8-9,2,M. Plumlee makes 2-pt shot at rim (assist by G. Antetokounmpo)
9:19.0,Turnover by A. Wiggins (step out of bounds),,8-9,,
9:04.0,,,8-9,,J. Parker misses 2-pt shot from 19 ft
9:02.0,,,8-9,,Offensive rebound by M. Plumlee
8:58.0,,,8-11,2,M. Plumlee makes 2-pt shot from 8 ft
8:49.0,A. Wiggins misses 2-pt shot from 17 ft,,8-11,,
8:46.0,,,8-11,,Defensive rebound by M. Plumlee
8:42.0,,,8-11,,Turnover by G. Antetokounmpo (bad pass; steal by Z. LaVine)
8:42.0,,,8-11,,Personal foul by O. Mayo (drawn by Z. LaVine)
8:31.0,K. Towns makes 3-pt shot from 24 ft (assist by G. Dieng),3,11-11,,
8:19.0,,,11-14,3,K. Middleton makes 3-pt shot from 24 ft (assist by G. Antetokounmpo)
8:05.0,Z. LaVine misses 3-pt shot from 26 ft,,11-14,,
8:03.0,,,11-14,,Defensive rebound by Team
7:55.0,,,11-16,2,M. Plumlee makes 2-pt shot at rim (assist by G. Antetokounmpo)
7:47.0,Minnesota full timeout,,11-16,,
7:47.0,T. Prince enters the game for Z. LaVine,,11-16,,
7:32.0,,,11-16,,Shooting block foul by J. Parker (drawn by A. Wiggins)
7:32.0,A. Wiggins misses free throw 1 of 2,,11-16,,
7:32.0,Offensive rebound by Team,,11-16,,
7:32.0,A. Wiggins makes free throw 2 of 2,1,12-16,,
7:13.0,,,12-18,2,G. Antetokounmpo makes 2-pt shot from 1 ft
6:55.0,A. Wiggins makes 3-pt shot from 25 ft (assist by G. Dieng),3,15-18,,
6:46.0,,,15-18,,G. Antetokounmpo misses 2-pt shot from 2 ft (block by G. Dieng)
6:45.0,Defensive rebound by G. Dieng,,15-18,,
6:40.0,A. Wiggins makes 2-pt shot from 1 ft,2,17-18,,
