time,Brooklyn,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. McCullough vs. C. Zeller (M. Williams gains possession),,,,Jump ball: C. McCullough vs. C. Zeller (M. Williams gains possession)
11:43.0,,,0-3,3,M. Williams makes 3-pt shot from 24 ft (assist by N. Batum)
11:18.0,S. Larkin misses 2-pt shot from 19 ft,,0-3,,
11:14.0,Offensive rebound by T. Robinson,,0-3,,
11:14.0,T. Robinson makes 2-pt shot at rim,2,2-3,,
11:01.0,,,2-3,,Turnover by N. Batum (lost ball; steal by C. McCullough)
10:57.0,W. Ellington makes 2-pt shot from 18 ft (assist by C. McCullough),2,4-3,,
10:41.0,Personal block foul by W. Ellington,,4-3,,
10:26.0,,,4-5,2,C. Lee makes 2-pt shot from 1 ft (assist by M. Williams)
10:04.0,B. Bogdanovic misses 2-pt shot from 11 ft,,4-5,,
10:04.0,Offensive rebound by Team,,4-5,,
10:04.0,,,4-5,,Loose ball foul by C. Lee
9:58.0,B. Bogdanovic makes 2-pt shot from 15 ft (assist by W. Ellington),2,6-5,,
9:42.0,,,6-5,,K. Walker misses 2-pt shot from 1 ft
9:41.0,Defensive rebound by C. McCullough,,6-5,,
9:27.0,W. Ellington makes 3-pt shot from 26 ft (assist by S. Larkin),3,9-5,,
9:05.0,,,9-5,,M. Williams misses 3-pt shot from 24 ft
9:04.0,,,9-5,,Offensive rebound by N. Batum
9:00.0,,,9-8,3,K. Walker makes 3-pt shot from 24 ft (assist by N. Batum)
8:43.0,B. Bogdanovic misses 2-pt shot from 14 ft,,9-8,,
8:41.0,,,9-8,,Defensive rebound by C. Lee
8:30.0,,,9-11,3,N. Batum makes 3-pt shot from 23 ft (assist by C. Zeller)
8:09.0,W. Ellington makes 3-pt shot from 23 ft (assist by S. Larkin),3,12-11,,
7:42.0,,,12-11,,N. Batum misses 3-pt shot from 26 ft
7:41.0,Defensive rebound by C. McCullough,,12-11,,
7:27.0,B. Bogdanovic misses 2-pt shot from 13 ft (block by K. Walker),,12-11,,
7:27.0,Offensive rebound by Team,,12-11,,
7:24.0,C. McCullough makes 2-pt shot at rim (assist by B. Bogdanovic),2,14-11,,
7:16.0,,,14-11,,Charlotte full timeout
7:07.0,,,14-11,,N. Batum misses 3-pt shot from 24 ft
7:06.0,Defensive rebound by T. Robinson,,14-11,,
6:48.0,T. Robinson makes 2-pt shot from 17 ft,2,16-11,,
6:28.0,,,16-11,,Shooting foul by T. Robinson (drawn by C. Zeller)
6:28.0,,,16-12,1,C. Zeller makes free throw 1 of 2
6:28.0,,,16-13,1,C. Zeller makes free throw 2 of 2
6:14.0,S. Larkin misses 2-pt shot from 18 ft,,16-13,,
6:13.0,,,16-13,,Defensive rebound by C. Zeller
5:52.0,,,16-15,2,N. Batum makes 2-pt shot from 20 ft
5:35.0,T. Robinson misses 2-pt shot from 2 ft,,16-15,,
5:34.0,,,16-15,,Defensive rebound by K. Walker
5:26.0,,,16-18,3,K. Walker makes 3-pt shot from 24 ft
5:09.0,C. McCullough makes 3-pt shot from 25 ft (assist by S. Larkin),3,19-18,,
4:52.0,,,19-18,,C. Lee misses 3-pt shot from 24 ft
4:51.0,Defensive rebound by T. Robinson,,19-18,,
4:39.0,B. Bogdanovic misses 3-pt shot from 25 ft,,19-18,,
4:38.0,,,19-18,,Defensive rebound by K. Walker
4:22.0,,,19-20,2,C. Zeller makes 2-pt shot at rim (assist by N. Batum)
3:58.0,B. Bogdanovic misses 2-pt shot from 2 ft,,19-20,,
3:56.0,,,19-20,,Defensive rebound by C. Lee
3:48.0,,,19-20,,K. Walker misses 3-pt shot from 27 ft
3:46.0,Defensive rebound by S. Larkin,,19-20,,
3:37.0,,,19-20,,Violation by K. Walker (kicked ball)
3:37.0,,,19-20,,J. Lin enters the game for M. Williams
3:37.0,,,19-20,,A. Jefferson enters the game for C. Lee
3:37.0,R. Hollis-Jefferson enters the game for C. McCullough,,19-20,,
3:37.0,,,19-20,,F. Kaminsky enters the game for C. Zeller
3:31.0,Shooting foul by A. Jefferson (drawn by S. Larkin),,19-20,,
3:31.0,S. Larkin makes free throw 1 of 2,1,20-20,,
3:31.0,S. Larkin makes free throw 2 of 2,1,21-20,,
3:14.0,,,21-22,2,F. Kaminsky makes 2-pt shot from 7 ft (assist by N. Batum)
3:01.0,W. Ellington misses 3-pt shot from 24 ft,,21-22,,
3:00.0,,,21-22,,Defensive rebound by F. Kaminsky
2:40.0,,,21-22,,N. Batum misses 2-pt shot from 1 ft
2:39.0,Defensive rebound by S. Larkin,,21-22,,
2:33.0,B. Bogdanovic misses 3-pt shot from 24 ft,,21-22,,
2:30.0,Offensive rebound by T. Robinson,,21-22,,
2:30.0,T. Robinson makes 2-pt shot from 1 ft,2,23-22,,
1:59.0,,,23-24,2,K. Walker makes 2-pt shot from 1 ft
1:45.0,Turnover by S. Larkin (lost ball; steal by K. Walker),,23-24,,
1:43.0,,,23-24,,Shooting foul by R. Hollis-Jefferson (drawn by J. Lin)
1:43.0,Brooklyn full timeout,,23-24,,
1:43.0,,,23-24,,M. Williams enters the game for N. Batum
1:43.0,,,23-25,1,J. Lin makes free throw 1 of 2
1:43.0,,,23-25,,J. Lin misses free throw 2 of 2
1:40.0,Defensive rebound by T. Robinson,,23-25,,
1:21.0,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by S. Larkin),2,25-25,,
1:00.0,,,25-25,,Turnover by A. Jefferson (lost ball; steal by S. Larkin)
0:57.0,S. Larkin misses 2-pt shot from 1 ft (block by K. Walker),,25-25,,
0:57.0,Offensive rebound by Team,,25-25,,
0:57.0,D. Sloan enters the game for W. Ellington,,25-25,,
0:57.0,S. Kilpatrick enters the game for B. Bogdanovic,,25-25,,
0:57.0,M. Brown enters the game for S. Larkin,,25-25,,
0:42.0,T. Robinson misses 2-pt shot from 7 ft,,25-25,,
0:40.0,Offensive rebound by T. Robinson,,25-25,,
0:40.0,Shooting foul by F. Kaminsky (drawn by T. Robinson),,25-25,,
0:40.0,T. Robinson misses free throw 1 of 2,,25-25,,
0:40.0,Offensive rebound by Team,,25-25,,
0:40.0,T. Robinson misses free throw 2 of 2,,25-25,,
0:39.0,,,25-25,,Defensive rebound by M. Williams
0:25.0,,,25-25,,A. Jefferson misses 2-pt shot from 11 ft
0:23.0,Defensive rebound by R. Hollis-Jefferson,,25-25,,
0:04.0,S. Kilpatrick misses 3-pt shot from 26 ft,,25-25,,
0:01.0,,,25-25,,Defensive rebound by A. Jefferson
0:00.0,,,25-25,,K. Walker misses 3-pt shot from 53 ft
0:00.0,,,25-25,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,R. Hollis-Jefferson misses 3-pt shot from 25 ft,,25-25,,
11:46.0,,,25-25,,Defensive rebound by J. Lin
11:33.0,,,25-27,2,M. Williams makes 2-pt shot at rim (assist by A. Jefferson)
11:14.0,D. Sloan makes 2-pt shot at rim (assist by H. Sims),2,27-27,,
10:59.0,,,27-27,,Shooting foul by H. Sims (drawn by M. Williams)
10:59.0,,,27-28,1,M. Williams makes free throw 1 of 2
10:59.0,,,27-28,,M. Williams misses free throw 2 of 2
10:57.0,Defensive rebound by R. Hollis-Jefferson,,27-28,,
10:45.0,S. Kilpatrick makes 2-pt shot from 10 ft,2,29-28,,
10:25.0,,,29-30,2,A. Jefferson makes 2-pt shot from 1 ft
10:21.0,,,29-30,,Personal foul by C. Lee
10:21.0,,,29-30,,T. Daniels enters the game for C. Lee
10:10.0,D. Sloan misses 2-pt shot from 1 ft (block by J. Lin),,29-30,,
10:08.0,,,29-30,,Defensive rebound by F. Kaminsky
10:00.0,,,29-30,,J. Lin misses 2-pt shot from 8 ft
9:59.0,,,29-30,,Offensive rebound by A. Jefferson
9:54.0,,,29-30,,M. Williams misses 3-pt shot from 25 ft
9:53.0,Defensive rebound by M. Brown,,29-30,,
9:44.0,H. Sims misses 2-pt shot from 1 ft,,29-30,,
9:44.0,Offensive rebound by H. Sims,,29-30,,
9:44.0,Shooting foul by A. Jefferson (drawn by H. Sims),,29-30,,
9:44.0,H. Sims makes free throw 1 of 2,1,30-30,,
9:44.0,H. Sims misses free throw 2 of 2,,30-30,,
9:43.0,,,30-30,,Defensive rebound by A. Jefferson
9:22.0,,,30-30,,Turnover by J. Lin (lost ball; steal by S. Kilpatrick)
9:17.0,M. Brown makes 2-pt shot at rim,2,32-30,,
9:05.0,Personal foul by M. Brown,,32-30,,
8:55.0,,,32-30,,F. Kaminsky misses 2-pt shot from 7 ft
8:54.0,Defensive rebound by H. Sims,,32-30,,
8:46.0,R. Hollis-Jefferson misses 3-pt shot from 23 ft,,32-30,,
8:45.0,,,32-30,,Defensive rebound by J. Lin
8:36.0,,,32-30,,J. Lin misses 3-pt shot from 26 ft
8:35.0,Defensive rebound by H. Sims,,32-30,,
8:26.0,H. Sims makes 2-pt shot from 18 ft (assist by D. Sloan),2,34-30,,
8:05.0,Violation by R. Hollis-Jefferson (def goaltending),,34-30,,
8:05.0,,,34-32,2,J. Lin makes 2-pt shot from 1 ft (assist by A. Jefferson)
