time,LA Clippers,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. D. Jordan (P. Pierce gains possession),,,,Jump ball: A. Horford vs. D. Jordan (P. Pierce gains possession)
11:42.0,C. Paul misses 2-pt shot from 9 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by A. Horford
11:34.0,,,0-0,,K. Bazemore misses 3-pt shot from 23 ft
11:33.0,Defensive rebound by L. Mbah a Moute,,0-0,,
11:22.0,C. Paul misses 2-pt shot from 5 ft,,0-0,,
11:20.0,Offensive rebound by D. Jordan,,0-0,,
11:20.0,D. Jordan misses 2-pt shot at rim,,0-0,,
11:16.0,Offensive rebound by D. Jordan,,0-0,,
11:16.0,D. Jordan makes 2-pt shot at rim,2,2-0,,
10:55.0,,,2-2,2,A. Horford makes 2-pt shot from 17 ft (assist by K. Bazemore)
10:43.0,J. Redick makes 2-pt shot from 18 ft (assist by C. Paul),2,4-2,,
10:28.0,,,4-2,,K. Korver misses 2-pt shot from 18 ft
10:27.0,Defensive rebound by P. Pierce,,4-2,,
10:14.0,L. Mbah a Moute misses 2-pt shot from 3 ft,,4-2,,
10:13.0,,,4-2,,Defensive rebound by A. Horford
10:08.0,,,4-2,,K. Bazemore misses 2-pt shot from 1 ft
10:07.0,Defensive rebound by D. Jordan,,4-2,,
9:55.0,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by P. Pierce),2,6-2,,
9:34.0,,,6-2,,A. Horford misses 2-pt shot from 8 ft
9:31.0,Defensive rebound by D. Jordan,,6-2,,
9:21.0,J. Redick misses 3-pt shot from 24 ft,,6-2,,
9:19.0,,,6-2,,Defensive rebound by P. Millsap
9:06.0,,,6-4,2,P. Millsap makes 2-pt shot from 1 ft (assist by K. Korver)
8:56.0,P. Pierce makes 3-pt shot from 24 ft (assist by C. Paul),3,9-4,,
8:48.0,,,9-4,,P. Millsap misses 2-pt shot from 1 ft (block by P. Pierce)
8:46.0,Defensive rebound by D. Jordan,,9-4,,
8:41.0,,,9-4,,Personal foul by K. Bazemore (drawn by C. Paul)
8:24.0,P. Pierce misses 2-pt shot from 1 ft,,9-4,,
8:22.0,,,9-4,,Defensive rebound by P. Millsap
8:14.0,,,9-4,,J. Teague misses 2-pt shot from 13 ft
8:13.0,Defensive rebound by P. Pierce,,9-4,,
8:04.0,L. Mbah a Moute misses 2-pt shot at rim (block by K. Korver),,9-4,,
8:02.0,,,9-4,,Defensive rebound by K. Korver
7:58.0,,,9-6,2,K. Bazemore makes 2-pt shot at rim (assist by K. Korver)
7:46.0,P. Pierce misses 3-pt shot from 24 ft,,9-6,,
7:45.0,,,9-6,,Defensive rebound by J. Teague
7:40.0,,,9-8,2,P. Millsap makes 2-pt shot at rim (assist by J. Teague)
7:40.0,,,9-8,,Shooting foul by P. Pierce (drawn by P. Millsap)
7:40.0,W. Johnson enters the game for P. Pierce,,9-8,,
7:40.0,,,9-8,,P. Millsap misses free throw 1 of 1
7:39.0,Defensive rebound by D. Jordan,,9-8,,
7:20.0,J. Redick misses 2-pt shot from 21 ft,,9-8,,
7:19.0,,,9-8,,Defensive rebound by P. Millsap
7:07.0,,,9-11,3,J. Teague makes 3-pt shot from 24 ft (assist by A. Horford)
6:51.0,C. Paul misses 2-pt shot from 17 ft,,9-11,,
6:49.0,,,9-11,,Defensive rebound by P. Millsap
6:36.0,,,9-11,,T. Sefolosha enters the game for K. Bazemore
6:36.0,,,9-11,,T. Splitter enters the game for A. Horford
6:28.0,,,9-11,,T. Sefolosha misses 2-pt shot from 19 ft
6:27.0,Defensive rebound by W. Johnson,,9-11,,
6:13.0,Turnover by D. Jordan (offensive goaltending),,9-11,,
5:52.0,,,9-11,,P. Millsap misses 2-pt shot from 13 ft
5:51.0,Defensive rebound by D. Jordan,,9-11,,
5:45.0,W. Johnson misses 3-pt shot from 22 ft,,9-11,,
5:43.0,,,9-11,,Defensive rebound by T. Splitter
5:33.0,,,9-11,,Turnover by J. Teague (traveling)
5:33.0,,,9-11,,Atlanta full timeout
5:17.0,W. Johnson misses 3-pt shot from 25 ft,,9-11,,
5:16.0,,,9-11,,Defensive rebound by T. Splitter
5:06.0,J. Crawford enters the game for J. Redick,,9-11,,
4:51.0,,,9-11,,J. Teague misses 2-pt shot from 11 ft
4:50.0,Defensive rebound by C. Paul,,9-11,,
4:35.0,W. Johnson makes 2-pt shot from 3 ft (assist by C. Paul),2,11-11,,
4:17.0,,,11-11,,T. Sefolosha misses 2-pt shot from 13 ft
4:16.0,Defensive rebound by W. Johnson,,11-11,,
4:03.0,J. Crawford makes 2-pt shot from 7 ft,2,13-11,,
3:46.0,Personal foul by C. Paul (drawn by P. Millsap),,13-11,,
3:46.0,A. Rivers enters the game for L. Mbah a Moute,,13-11,,
3:46.0,,,13-11,,D. Schroder enters the game for J. Teague
3:46.0,,,13-11,,K. Bazemore enters the game for K. Korver
3:35.0,,,13-11,,K. Bazemore misses 2-pt shot from 1 ft
3:33.0,Defensive rebound by W. Johnson,,13-11,,
3:20.0,J. Crawford misses 3-pt shot from 23 ft,,13-11,,
3:19.0,Offensive rebound by D. Jordan,,13-11,,
3:12.0,C. Paul misses 3-pt shot from 23 ft,,13-11,,
3:08.0,,,13-11,,Defensive rebound by T. Sefolosha
3:02.0,,,13-11,,K. Bazemore misses 2-pt shot at rim
3:00.0,Defensive rebound by D. Jordan,,13-11,,
2:56.0,A. Rivers makes 2-pt shot from 1 ft (assist by C. Paul),2,15-11,,
2:37.0,,,15-13,2,T. Sefolosha makes 2-pt shot from 18 ft
2:26.0,LA Clippers full timeout,,15-13,,
2:26.0,,,15-13,,A. Horford enters the game for P. Millsap
2:26.0,,,15-13,,M. Scott enters the game for T. Splitter
2:26.0,P. Prigioni enters the game for C. Paul,,15-13,,
2:15.0,W. Johnson misses 2-pt shot from 21 ft,,15-13,,
2:13.0,,,15-13,,Defensive rebound by A. Horford
2:03.0,,,15-15,2,D. Schroder makes 2-pt shot from 20 ft
1:47.0,A. Rivers misses 2-pt shot from 7 ft,,15-15,,
1:45.0,,,15-15,,Defensive rebound by M. Scott
1:37.0,,,15-15,,M. Scott misses 2-pt shot from 2 ft (block by D. Jordan)
1:37.0,,,15-15,,Offensive rebound by Team
1:37.0,C. Aldrich enters the game for D. Jordan,,15-15,,
1:32.0,,,15-17,2,A. Horford makes 2-pt shot at rim (assist by D. Schroder)
