time,Charlotte,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. C. Zeller (D. Green gains possession),,,,Jump ball: A. Bogut vs. C. Zeller (D. Green gains possession)
11:47.0,,,0-0,,Turnover by A. Bogut (bad pass; steal by C. Zeller)
11:35.0,K. Walker makes 2-pt shot from 19 ft,2,2-0,,
11:19.0,,,2-3,3,S. Curry makes 3-pt shot from 25 ft (assist by B. Rush)
11:01.0,K. Walker makes 2-pt shot from 1 ft (assist by J. Lin),2,4-3,,
10:48.0,,,4-5,2,B. Rush makes 2-pt shot from 19 ft (assist by A. Bogut)
10:19.0,Turnover by Team (shot clock),,4-5,,
10:03.0,,,4-5,,D. Green misses 2-pt shot from 2 ft (block by C. Zeller)
10:02.0,Defensive rebound by C. Zeller,,4-5,,
9:47.0,M. Williams misses 3-pt shot from 25 ft,,4-5,,
9:47.0,,,4-5,,Defensive rebound by A. Bogut
9:31.0,,,4-8,3,K. Thompson makes 3-pt shot from 25 ft (assist by D. Green)
9:14.0,P. Hairston misses 3-pt shot from 25 ft,,4-8,,
9:14.0,,,4-8,,Defensive rebound by Team
9:07.0,,,4-10,2,S. Curry makes 2-pt shot from 1 ft
8:49.0,K. Walker makes 2-pt shot from 2 ft,2,6-10,,
8:34.0,,,6-10,,Shooting foul by P. Hairston (drawn by K. Thompson)
8:34.0,,,6-11,1,K. Thompson makes free throw 1 of 2
8:34.0,,,6-12,1,K. Thompson makes free throw 2 of 2
8:26.0,Turnover by K. Walker (lost ball),,6-12,,
8:19.0,,,6-12,,S. Curry misses 3-pt shot from 27 ft
8:19.0,Defensive rebound by C. Zeller,,6-12,,
8:09.0,C. Zeller makes 2-pt shot from 2 ft (assist by M. Williams),2,8-12,,
7:58.0,Personal foul by P. Hairston (drawn by K. Thompson),,8-12,,
7:56.0,,,8-12,,K. Thompson misses 3-pt shot from 27 ft
7:56.0,Defensive rebound by C. Zeller,,8-12,,
7:46.0,K. Walker misses 2-pt shot from 1 ft,,8-12,,
7:45.0,Offensive rebound by K. Walker,,8-12,,
7:45.0,K. Walker makes 2-pt shot from 1 ft,2,10-12,,
7:45.0,Shooting foul by S. Curry (drawn by K. Walker),,10-12,,
7:45.0,K. Walker makes free throw 1 of 1,1,11-12,,
7:31.0,,,11-12,,A. Bogut misses 2-pt shot from 4 ft
7:30.0,Defensive rebound by J. Lin,,11-12,,
7:20.0,J. Lin makes 2-pt shot from 12 ft,2,13-12,,
7:01.0,,,13-14,2,S. Curry makes 2-pt shot from 2 ft (assist by D. Green)
6:46.0,J. Lin misses 2-pt shot from 6 ft (block by B. Rush),,13-14,,
6:45.0,,,13-14,,Defensive rebound by D. Green
6:38.0,,,13-14,,S. Curry misses 3-pt shot from 22 ft
6:37.0,,,13-14,,Offensive rebound by D. Green
6:32.0,,,13-17,3,B. Rush makes 3-pt shot from 25 ft (assist by D. Green)
6:24.0,Charlotte full timeout,,13-17,,
6:18.0,M. Williams makes 3-pt shot from 25 ft (assist by P. Hairston),3,16-17,,
6:05.0,,,16-17,,Turnover by D. Green (step out of bounds)
5:53.0,K. Walker misses 3-pt shot from 24 ft,,16-17,,
5:52.0,,,16-17,,Defensive rebound by D. Green
5:44.0,,,16-17,,Turnover by A. Bogut (bad pass; steal by C. Zeller)
5:38.0,P. Hairston misses 2-pt shot from 2 ft (block by K. Thompson),,16-17,,
5:38.0,Offensive rebound by Team,,16-17,,
5:38.0,,,16-17,,A. Iguodala enters the game for B. Rush
5:25.0,J. Lin misses 2-pt shot from 18 ft,,16-17,,
5:24.0,,,16-17,,Defensive rebound by S. Curry
5:11.0,,,16-17,,A. Iguodala misses 3-pt shot from 23 ft
5:10.0,Defensive rebound by K. Walker,,16-17,,
