time,Houston,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. Z. Pachulia (P. Beverley gains possession),,,,Jump ball: D. Howard vs. Z. Pachulia (P. Beverley gains possession)
11:34.0,Turnover by Team (shot clock),,0-0,,
11:34.0,Inbound foul by P. Beverley,,0-0,,
11:34.0,,,0-1,1,J. Barea makes free throw 1 of 2
11:34.0,,,0-2,1,J. Barea makes free throw 2 of 2
11:15.0,T. Ariza makes 2-pt shot at rim (assist by K. McDaniels),2,2-2,,
10:57.0,,,2-4,2,D. Nowitzki makes 2-pt shot from 12 ft (assist by J. Barea)
10:51.0,K. McDaniels makes 2-pt shot at rim (assist by J. Harden),2,4-4,,
10:25.0,,,4-4,,Turnover by Team (shot clock)
10:10.0,J. Harden misses 2-pt shot from 14 ft,,4-4,,
10:09.0,,,4-4,,Defensive rebound by Team
9:54.0,,,4-6,2,J. Barea makes 2-pt shot from 19 ft (assist by J. Anderson)
9:39.0,J. Harden makes 3-pt shot from 24 ft,3,7-6,,
9:25.0,,,7-6,,J. Anderson misses 3-pt shot from 22 ft
9:24.0,Defensive rebound by D. Howard,,7-6,,
9:17.0,Shooting foul by J. Anderson (drawn by J. Harden),,7-6,,
9:17.0,J. Harden makes free throw 1 of 3,1,8-6,,
9:17.0,J. Harden makes free throw 2 of 3,1,9-6,,
9:17.0,J. Harden makes free throw 3 of 3,1,10-6,,
9:00.0,,,10-6,,J. Barea misses 2-pt shot from 5 ft (block by D. Howard)
9:00.0,,,10-6,,Offensive rebound by Team
8:54.0,,,10-6,,Turnover by J. Anderson (lost ball; steal by K. McDaniels)
8:49.0,K. McDaniels makes 2-pt shot at rim (assist by T. Ariza),2,12-6,,
8:48.0,,,12-6,,Dallas full timeout
8:28.0,,,12-6,,D. Nowitzki misses 2-pt shot from 9 ft
8:27.0,,,12-6,,Offensive rebound by J. Anderson
8:18.0,,,12-6,,J. Anderson misses 2-pt shot from 14 ft
8:17.0,Defensive rebound by D. Howard,,12-6,,
8:10.0,J. Harden misses 3-pt shot from 25 ft,,12-6,,
8:10.0,,,12-6,,Defensive rebound by W. Matthews
8:00.0,,,12-6,,J. Barea misses 2-pt shot from 19 ft
7:59.0,Defensive rebound by P. Beverley,,12-6,,
7:52.0,P. Beverley makes 2-pt shot at rim,2,14-6,,
7:36.0,,,14-6,,W. Matthews misses 2-pt shot from 12 ft
7:35.0,Defensive rebound by D. Howard,,14-6,,
7:30.0,Turnover by J. Harden (lost ball),,14-6,,
7:19.0,,,14-8,2,Z. Pachulia makes 2-pt shot at rim (assist by J. Barea)
6:59.0,Turnover by D. Howard (lost ball; steal by Z. Pachulia),,14-8,,
6:51.0,,,14-8,,W. Matthews misses 3-pt shot from 24 ft
6:50.0,Defensive rebound by T. Ariza,,14-8,,
6:42.0,,,14-8,,Personal foul by Z. Pachulia
6:42.0,C. Brewer enters the game for K. McDaniels,,14-8,,
6:42.0,,,14-8,,D. Harris enters the game for J. Anderson
6:42.0,,,14-8,,D. Lee enters the game for D. Nowitzki
6:34.0,D. Howard makes 2-pt shot at rim (assist by P. Beverley),2,16-8,,
6:16.0,,,16-10,2,D. Lee makes 2-pt shot from 1 ft (assist by Z. Pachulia)
5:52.0,C. Brewer misses 2-pt shot from 6 ft,,16-10,,
5:51.0,,,16-10,,Defensive rebound by D. Lee
5:47.0,J. Terry enters the game for P. Beverley,,16-10,,
5:31.0,,,16-10,,W. Matthews misses 3-pt shot from 23 ft (block by J. Harden)
5:30.0,Defensive rebound by J. Harden,,16-10,,
5:16.0,Turnover by D. Howard (lost ball; steal by Z. Pachulia),,16-10,,
5:04.0,,,16-13,3,J. Barea makes 3-pt shot from 24 ft
4:53.0,J. Harden misses 2-pt shot from 2 ft,,16-13,,
4:52.0,,,16-13,,Defensive rebound by Team
4:52.0,C. Capela enters the game for T. Ariza,,16-13,,
4:52.0,M. Beasley enters the game for D. Howard,,16-13,,
4:52.0,,,16-13,,R. Felton enters the game for J. Barea
4:38.0,,,16-13,,Offensive foul by D. Lee
4:38.0,,,16-13,,Turnover by D. Lee (offensive foul)
4:20.0,M. Beasley makes 2-pt shot from 6 ft,2,18-13,,
4:05.0,,,18-13,,D. Harris misses 3-pt shot from 25 ft
4:04.0,Defensive rebound by C. Capela,,18-13,,
3:57.0,Turnover by J. Harden (lost ball; steal by W. Matthews),,18-13,,
3:52.0,,,18-13,,Z. Pachulia misses 2-pt shot from 1 ft
3:50.0,Defensive rebound by C. Capela,,18-13,,
3:43.0,C. Brewer misses 3-pt shot from 23 ft,,18-13,,
3:42.0,,,18-13,,Defensive rebound by D. Harris
3:33.0,Shooting block foul by C. Capela (drawn by R. Felton),,18-13,,
3:33.0,,,18-13,,R. Felton misses free throw 1 of 2
3:33.0,,,18-13,,Offensive rebound by Team
3:33.0,,,18-14,1,R. Felton makes free throw 2 of 2
3:18.0,,,18-14,,Personal foul by D. Harris
3:04.0,J. Harden misses 3-pt shot from 24 ft,,18-14,,
3:03.0,,,18-14,,Defensive rebound by R. Felton
2:57.0,Personal foul by C. Brewer,,18-14,,
2:57.0,Houston full timeout,,18-14,,
2:57.0,,,18-14,,D. Nowitzki enters the game for Z. Pachulia
2:49.0,,,18-14,,Turnover by R. Felton (lost ball; steal by M. Beasley)
2:43.0,C. Brewer misses 2-pt shot from 1 ft,,18-14,,
2:43.0,Offensive rebound by C. Capela,,18-14,,
2:43.0,C. Capela misses 2-pt shot from 1 ft,,18-14,,
2:42.0,,,18-14,,Defensive rebound by D. Nowitzki
2:26.0,,,18-14,,D. Harris misses 2-pt shot from 8 ft
2:25.0,,,18-14,,Offensive rebound by D. Lee
2:23.0,,,18-16,2,D. Lee makes 2-pt shot at rim
2:02.0,J. Terry misses 3-pt shot from 24 ft,,18-16,,
2:01.0,,,18-16,,Defensive rebound by D. Lee
1:52.0,,,18-16,,R. Felton misses 3-pt shot from 25 ft
1:51.0,Defensive rebound by C. Capela,,18-16,,
1:47.0,C. Brewer makes 2-pt shot from 4 ft (assist by J. Harden),2,20-16,,
1:22.0,,,20-16,,D. Harris misses 3-pt shot from 24 ft
1:21.0,,,20-16,,Offensive rebound by D. Lee
1:15.0,,,20-16,,D. Harris misses 2-pt shot from 3 ft (block by C. Capela)
1:15.0,,,20-16,,Offensive rebound by Team
1:15.0,T. Ariza enters the game for M. Beasley,,20-16,,
1:13.0,,,20-16,,Turnover by R. Felton (lost ball; steal by C. Capela)
1:02.0,Turnover by C. Brewer (lost ball),,20-16,,
0:40.0,,,20-16,,D. Lee misses 2-pt shot from 4 ft
0:39.0,Defensive rebound by T. Ariza,,20-16,,
0:39.0,,,20-16,,Loose ball foul by D. Nowitzki
0:29.0,Shooting foul by D. Lee (drawn by C. Brewer),,20-16,,
0:29.0,C. Brewer makes free throw 1 of 2,1,21-16,,
0:29.0,K. McDaniels enters the game for J. Terry,,21-16,,
0:29.0,D. Howard enters the game for C. Capela,,21-16,,
0:29.0,,,21-16,,J. Anderson enters the game for D. Lee
0:29.0,C. Brewer makes free throw 2 of 2,1,22-16,,
0:09.0,,,22-16,,Shooting foul by D. Howard (drawn by D. Nowitzki)
0:09.0,,,22-17,1,D. Nowitzki makes free throw 1 of 2
