time,Memphis,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. R. Hollins (B. Knight gains possession),,,,Jump ball: T. Chandler vs. R. Hollins (B. Knight gains possession)
11:41.0,,,0-0,,B. Knight misses 3-pt shot from 24 ft
11:41.0,,,0-0,,Offensive rebound by Team
11:41.0,Personal foul by R. McCallum,,0-0,,
11:27.0,,,0-0,,T. Chandler misses 2-pt shot from 4 ft
11:24.0,Defensive rebound by M. Barnes,,0-0,,
11:07.0,Turnover by T. Allen (lost ball; steal by T. Chandler),,0-0,,
10:55.0,,,0-2,2,T. Chandler makes 2-pt shot at rim (assist by P. Tucker)
10:34.0,Turnover by M. Barnes (lost ball; steal by P. Tucker),,0-2,,
10:18.0,,,0-4,2,P. Tucker makes 2-pt shot from 21 ft (assist by D. Booker)
9:55.0,T. Allen makes 2-pt shot from 1 ft,2,2-4,,
9:43.0,,,2-4,,P. Tucker misses 2-pt shot from 2 ft
9:41.0,,,2-4,,Offensive rebound by P. Tucker
9:31.0,,,2-4,,A. Len misses 2-pt shot from 17 ft
9:29.0,Defensive rebound by M. Barnes,,2-4,,
9:23.0,T. Allen misses 2-pt shot from 16 ft,,2-4,,
9:22.0,,,2-4,,Defensive rebound by B. Knight
9:22.0,Loose ball foul by T. Allen,,2-4,,
9:14.0,Personal foul by Z. Randolph,,2-4,,
9:09.0,,,2-6,2,P. Tucker makes 2-pt shot at rim (assist by A. Len)
8:47.0,Z. Randolph makes 2-pt shot from 20 ft (assist by R. McCallum),2,4-6,,
8:34.0,,,4-6,,Shooting foul by T. Allen (drawn by P. Tucker)
8:34.0,,,4-7,1,P. Tucker makes free throw 1 of 2
8:34.0,,,4-8,1,P. Tucker makes free throw 2 of 2
8:24.0,Z. Randolph misses 2-pt shot from 5 ft,,4-8,,
8:21.0,,,4-8,,Defensive rebound by A. Len
8:14.0,,,4-11,3,D. Booker makes 3-pt shot from 25 ft (assist by B. Knight)
7:47.0,R. Hollins makes 2-pt shot from 15 ft (assist by R. McCallum),2,6-11,,
7:30.0,,,6-11,,B. Knight misses 2-pt shot from 15 ft
7:27.0,Defensive rebound by Z. Randolph,,6-11,,
7:16.0,Z. Randolph misses 2-pt shot from 4 ft,,6-11,,
7:14.0,,,6-11,,Defensive rebound by A. Len
6:59.0,,,6-13,2,A. Len makes 2-pt shot from 18 ft (assist by P. Tucker)
6:45.0,,,6-13,,Def 3 sec tech foul by A. Len
6:45.0,R. McCallum makes technical free throw,1,7-13,,
6:38.0,M. Barnes makes 3-pt shot from 25 ft (assist by R. McCallum),3,10-13,,
6:22.0,,,10-13,,D. Booker misses 2-pt shot from 16 ft
6:20.0,Defensive rebound by Z. Randolph,,10-13,,
6:10.0,T. Allen misses 2-pt shot from 4 ft,,10-13,,
6:08.0,Offensive rebound by R. Hollins,,10-13,,
6:07.0,R. Hollins makes 2-pt shot from 3 ft,2,12-13,,
5:52.0,,,12-13,,Phoenix full timeout
5:45.0,,,12-13,,A. Len misses 2-pt shot from 20 ft
5:44.0,Defensive rebound by Z. Randolph,,12-13,,
5:23.0,Z. Randolph makes 2-pt shot from 2 ft,2,14-13,,
5:10.0,,,14-13,,Shooting foul by M. Barnes (drawn by P. Tucker)
5:10.0,,,14-14,1,P. Tucker makes free throw 1 of 2
5:10.0,J. Green enters the game for R. Hollins,,14-14,,
5:10.0,L. Stephenson enters the game for M. Barnes,,14-14,,
5:10.0,,,14-15,1,P. Tucker makes free throw 2 of 2
5:01.0,R. McCallum misses 2-pt shot from 19 ft,,14-15,,
4:59.0,,,14-15,,Defensive rebound by A. Len
4:56.0,,,14-15,,Turnover by P. Tucker (lost ball; steal by T. Allen)
4:48.0,Z. Randolph makes 2-pt shot from 1 ft,2,16-15,,
4:30.0,,,16-17,2,D. Booker makes 2-pt shot from 14 ft
4:15.0,J. Green misses 2-pt shot from 1 ft (block by T. Chandler),,16-17,,
4:12.0,Offensive rebound by J. Green,,16-17,,
4:12.0,J. Green makes 2-pt shot from 2 ft,2,18-17,,
3:59.0,,,18-17,,B. Knight misses 2-pt shot from 15 ft
3:57.0,Defensive rebound by Z. Randolph,,18-17,,
3:53.0,,,18-17,,Personal foul by B. Knight
3:53.0,,,18-17,,M. Teletovic enters the game for T. Chandler
3:35.0,Z. Randolph misses 2-pt shot from 12 ft (block by P. Tucker),,18-17,,
3:31.0,,,18-17,,Defensive rebound by D. Booker
3:29.0,,,18-17,,P. Tucker misses 2-pt shot from 1 ft
3:25.0,Defensive rebound by L. Stephenson,,18-17,,
3:23.0,R. McCallum misses 2-pt shot from 17 ft,,18-17,,
3:18.0,,,18-17,,Defensive rebound by M. Teletovic
3:14.0,,,18-17,,B. Knight misses 2-pt shot from 16 ft
3:10.0,Defensive rebound by J. Green,,18-17,,
2:58.0,Turnover by Z. Randolph (lost ball),,18-17,,
2:58.0,Memphis full timeout,,18-17,,
2:58.0,V. Carter enters the game for T. Allen,,18-17,,
2:58.0,J. Farmar enters the game for R. McCallum,,18-17,,
2:51.0,,,18-17,,M. Teletovic misses 2-pt shot from 21 ft
2:51.0,Defensive rebound by Team,,18-17,,
2:40.0,L. Stephenson makes 2-pt shot from 15 ft,2,20-17,,
2:24.0,,,20-17,,B. Knight misses 2-pt shot from 6 ft
2:22.0,Defensive rebound by Z. Randolph,,20-17,,
