time,Brooklyn,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:44.0,,,0-0,,E. Ilyasova misses 2-pt shot from 17 ft
12:00.0,Jump ball: A. Drummond vs. B. Lopez (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. B. Lopez (R. Jackson gains possession)
11:43.0,Defensive rebound by J. Johnson,,0-0,,
11:24.0,T. Young makes 2-pt shot at rim (assist by S. Larkin),2,2-0,,
11:10.0,,,2-0,,Turnover by K. Caldwell-Pope (step out of bounds)
10:46.0,S. Larkin misses 2-pt shot from 19 ft,,2-0,,
10:45.0,Offensive rebound by T. Young,,2-0,,
10:44.0,T. Young misses 2-pt shot from 2 ft,,2-0,,
10:42.0,,,2-0,,Defensive rebound by S. Johnson
10:30.0,,,2-0,,S. Johnson misses 3-pt shot from 24 ft
10:30.0,Defensive rebound by M. Brown,,2-0,,
10:22.0,Shooting foul by A. Drummond (drawn by B. Lopez),,2-0,,
10:22.0,B. Lopez makes free throw 1 of 2,1,3-0,,
10:22.0,B. Lopez makes free throw 2 of 2,1,4-0,,
10:01.0,,,4-0,,R. Jackson misses 2-pt shot from 8 ft (block by B. Lopez)
10:01.0,,,4-0,,Offensive rebound by Team
9:56.0,,,4-0,,E. Ilyasova misses 3-pt shot from 25 ft
9:56.0,Defensive rebound by T. Young,,4-0,,
9:52.0,Turnover by T. Young (bad pass; steal by K. Caldwell-Pope),,4-0,,
9:44.0,,,4-0,,K. Caldwell-Pope misses 3-pt shot from 25 ft
9:44.0,Defensive rebound by M. Brown,,4-0,,
9:35.0,T. Young misses 2-pt shot from 3 ft (block by S. Johnson),,4-0,,
9:35.0,,,4-0,,Defensive rebound by Team
9:15.0,,,4-3,3,R. Jackson makes 3-pt shot from 25 ft (assist by E. Ilyasova)
8:59.0,S. Larkin makes 2-pt shot at rim (assist by B. Lopez),2,6-3,,
8:40.0,,,6-3,,A. Drummond misses 2-pt shot at rim
8:39.0,,,6-3,,Offensive rebound by E. Ilyasova
8:36.0,,,6-5,2,E. Ilyasova makes 2-pt shot at rim
8:13.0,J. Johnson misses 2-pt shot from 4 ft,,6-5,,
8:13.0,,,6-5,,Defensive rebound by S. Johnson
8:07.0,,,6-8,3,R. Jackson makes 3-pt shot from 25 ft
7:50.0,S. Larkin makes 2-pt shot from 6 ft,2,8-8,,
7:36.0,,,8-10,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
7:13.0,B. Lopez makes 2-pt shot from 13 ft (assist by M. Brown),2,10-10,,
6:58.0,,,10-12,2,A. Drummond makes 2-pt shot at rim (assist by K. Caldwell-Pope)
6:43.0,T. Young makes 2-pt shot at rim (assist by S. Larkin),2,12-12,,
6:31.0,,,12-14,2,R. Jackson makes 2-pt shot from 1 ft
6:10.0,M. Brown misses 2-pt shot from 6 ft,,12-14,,
6:10.0,,,12-14,,Defensive rebound by A. Drummond
6:04.0,,,12-14,,E. Ilyasova misses 3-pt shot from 24 ft
6:03.0,,,12-14,,Offensive rebound by K. Caldwell-Pope
5:54.0,,,12-16,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
5:54.0,Brooklyn full timeout,,12-16,,
5:54.0,D. Sloan enters the game for J. Johnson,,12-16,,
5:54.0,B. Bogdanovic enters the game for M. Brown,,12-16,,
5:54.0,W. Ellington enters the game for S. Larkin,,12-16,,
5:34.0,B. Bogdanovic misses 2-pt shot from 2 ft (block by A. Drummond),,12-16,,
5:32.0,,,12-16,,Defensive rebound by E. Ilyasova
5:27.0,,,12-16,,K. Caldwell-Pope misses 3-pt shot from 26 ft
5:27.0,,,12-16,,Offensive rebound by E. Ilyasova
5:27.0,,,12-16,,Shooting foul by W. Ellington (drawn by E. Ilyasova)
5:27.0,,,12-18,2,E. Ilyasova makes 2-pt shot from 5 ft
5:27.0,,,12-18,,D. Hilliard enters the game for S. Johnson
5:27.0,,,12-19,1,E. Ilyasova makes free throw 1 of 1
5:08.0,Turnover by B. Lopez (bad pass; steal by K. Caldwell-Pope),,12-19,,
4:58.0,,,12-19,,R. Jackson misses 3-pt shot from 24 ft
4:57.0,Defensive rebound by T. Young,,12-19,,
4:38.0,Turnover by D. Sloan (bad pass; steal by A. Drummond),,12-19,,
4:32.0,,,12-21,2,A. Drummond makes 2-pt shot at rim
4:31.0,Brooklyn full timeout,,12-21,,
4:31.0,W. Reed enters the game for B. Lopez,,12-21,,
4:17.0,W. Ellington makes 3-pt shot from 25 ft (assist by D. Sloan),3,15-21,,
4:00.0,,,15-21,,Turnover by R. Jackson (bad pass; steal by W. Reed)
3:50.0,W. Ellington misses 2-pt shot from 17 ft,,15-21,,
3:49.0,,,15-21,,Defensive rebound by A. Drummond
3:47.0,,,15-23,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by R. Jackson)
3:47.0,,,15-23,,Shooting foul by W. Ellington (drawn by K. Caldwell-Pope)
3:47.0,,,15-24,1,K. Caldwell-Pope makes free throw 1 of 1
3:33.0,T. Young makes 2-pt shot from 16 ft (assist by W. Ellington),2,17-24,,
3:20.0,,,17-26,2,R. Jackson makes 2-pt shot from 1 ft
3:06.0,Offensive foul by B. Bogdanovic,,17-26,,
3:06.0,Turnover by B. Bogdanovic (offensive foul),,17-26,,
3:06.0,S. Karasev enters the game for W. Ellington,,17-26,,
2:52.0,,,17-29,3,E. Ilyasova makes 3-pt shot from 24 ft (assist by R. Jackson)
2:34.0,D. Sloan misses 2-pt shot from 17 ft,,17-29,,
2:33.0,,,17-29,,Defensive rebound by E. Ilyasova
2:30.0,,,17-31,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
2:30.0,,,17-31,,Shooting foul by W. Reed (drawn by A. Drummond)
2:30.0,,,17-31,,Detroit full timeout
2:30.0,,,17-31,,B. Jennings enters the game for R. Jackson
2:30.0,,,17-31,,A. Drummond misses free throw 1 of 1
2:29.0,Defensive rebound by W. Reed,,17-31,,
2:29.0,,,17-31,,Loose ball foul by E. Ilyasova (drawn by W. Reed)
2:13.0,Turnover by T. Young (lost ball; steal by E. Ilyasova),,17-31,,
2:13.0,Personal foul by T. Young (drawn by E. Ilyasova),,17-31,,
1:49.0,,,17-31,,E. Ilyasova misses 2-pt shot from 13 ft
1:48.0,Defensive rebound by B. Bogdanovic,,17-31,,
1:39.0,W. Reed misses 2-pt shot from 14 ft,,17-31,,
1:37.0,Offensive rebound by Team,,17-31,,
1:30.0,W. Reed makes 2-pt shot at rim (assist by D. Sloan),2,19-31,,
1:16.0,,,19-33,2,E. Ilyasova makes 2-pt shot from 17 ft (assist by B. Jennings)
0:54.0,T. Young misses 2-pt shot from 3 ft,,19-33,,
0:52.0,Offensive rebound by T. Young,,19-33,,
0:46.0,D. Sloan makes 2-pt shot at rim,2,21-33,,
0:25.0,,,21-33,,Shooting foul by T. Young (drawn by E. Ilyasova)
0:25.0,,,21-33,,E. Ilyasova misses free throw 1 of 2
0:25.0,,,21-33,,Offensive rebound by Team
