time,Chicago,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. M. Plumlee (D. Rose gains possession),,,,Jump ball: P. Gasol vs. M. Plumlee (D. Rose gains possession)
11:42.0,P. Gasol misses 2-pt shot from 7 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by M. Plumlee
11:24.0,,,0-0,,N. Vonleh misses 2-pt shot from 3 ft
11:23.0,Defensive rebound by P. Gasol,,0-0,,
11:15.0,T. Snell makes 3-pt shot from 25 ft (assist by D. Rose),3,3-0,,
10:54.0,,,3-0,,N. Vonleh misses 2-pt shot from 6 ft
10:54.0,Defensive rebound by P. Gasol,,3-0,,
10:46.0,Shooting foul by N. Vonleh (drawn by T. Snell),,3-0,,
10:46.0,T. Snell makes free throw 1 of 2,1,4-0,,
10:46.0,T. Snell makes free throw 2 of 2,1,5-0,,
10:29.0,,,5-0,,A. Aminu misses 3-pt shot from 25 ft
10:29.0,,,5-0,,Offensive rebound by M. Plumlee
10:25.0,,,5-0,,D. Lillard misses 3-pt shot from 26 ft
10:24.0,Defensive rebound by P. Gasol,,5-0,,
10:12.0,D. Rose misses 2-pt shot from 20 ft,,5-0,,
10:11.0,,,5-0,,Defensive rebound by A. Aminu
10:05.0,,,5-0,,A. Aminu misses 2-pt shot from 3 ft
10:05.0,Defensive rebound by Team,,5-0,,
10:05.0,,,5-0,,Loose ball foul by N. Vonleh (drawn by J. Butler)
9:49.0,P. Gasol makes 2-pt shot from 3 ft (assist by N. Mirotic),2,7-0,,
9:24.0,,,7-0,,M. Plumlee misses 2-pt shot from 3 ft (block by P. Gasol)
9:24.0,,,7-0,,Offensive rebound by M. Plumlee
9:24.0,,,7-0,,Turnover by Team (shot clock)
9:10.0,N. Mirotic makes 3-pt shot from 24 ft (assist by J. Butler),3,10-0,,
9:10.0,,,10-0,,Portland full timeout
8:51.0,,,10-0,,C. McCollum misses 2-pt shot from 4 ft
8:50.0,Defensive rebound by P. Gasol,,10-0,,
8:31.0,Turnover by N. Mirotic (lost ball),,10-0,,
8:13.0,,,10-0,,A. Aminu misses 2-pt shot from 2 ft
8:11.0,,,10-0,,Offensive rebound by M. Plumlee
8:11.0,,,10-0,,M. Plumlee misses 2-pt shot from 1 ft
8:08.0,,,10-0,,Offensive rebound by N. Vonleh
8:08.0,,,10-2,2,N. Vonleh makes 2-pt shot at rim
7:53.0,J. Butler makes 3-pt shot from 25 ft,3,13-2,,
7:32.0,,,13-4,2,D. Lillard makes 2-pt shot from 3 ft
7:32.0,,,13-4,,Shooting foul by T. Snell (drawn by D. Lillard)
7:32.0,,,13-5,1,D. Lillard makes free throw 1 of 1
7:11.0,P. Gasol misses 2-pt shot from 19 ft,,13-5,,
7:11.0,,,13-5,,Defensive rebound by D. Lillard
7:02.0,,,13-8,3,C. McCollum makes 3-pt shot from 22 ft (assist by A. Aminu)
6:54.0,,,13-8,,Personal block foul by N. Vonleh (drawn by J. Butler)
6:54.0,,,13-8,,M. Harkless enters the game for N. Vonleh
6:48.0,D. Rose makes 3-pt shot from 26 ft (assist by N. Mirotic),3,16-8,,
6:30.0,,,16-11,3,A. Aminu makes 3-pt shot from 23 ft (assist by C. McCollum)
6:06.0,N. Mirotic misses 2-pt shot from 2 ft (block by M. Harkless),,16-11,,
6:05.0,,,16-11,,Defensive rebound by M. Plumlee
5:58.0,,,16-11,,M. Plumlee misses 2-pt shot from 6 ft
5:57.0,Defensive rebound by N. Mirotic,,16-11,,
5:42.0,J. Butler misses 2-pt shot from 17 ft,,16-11,,
5:42.0,,,16-11,,Defensive rebound by D. Lillard
5:28.0,,,16-11,,M. Plumlee misses 2-pt shot from 17 ft
5:26.0,,,16-11,,Offensive rebound by M. Plumlee
5:22.0,,,16-11,,Turnover by M. Plumlee (bad pass; steal by J. Butler)
5:22.0,Shooting foul by C. McCollum (drawn by J. Butler),,16-11,,
5:22.0,J. Butler makes free throw 1 of 2,1,17-11,,
5:22.0,,,17-11,,A. Crabbe enters the game for M. Plumlee
5:22.0,,,17-11,,E. Davis enters the game for C. McCollum
