time,Chicago,pts.away,score,pts.home,Charlotte
1:18.0,,,41-64,,A. Jefferson misses 2-pt shot from 16 ft
1:17.0,Defensive rebound by P. Gasol,,41-64,,
1:09.0,Shooting foul by A. Jefferson (drawn by P. Gasol),,41-64,,
1:09.0,P. Gasol makes free throw 1 of 2,1,42-64,,
1:09.0,,,42-64,,S. Hawes enters the game for A. Jefferson
1:09.0,P. Gasol misses free throw 2 of 2,,42-64,,
1:08.0,,,42-64,,Defensive rebound by Team
0:58.0,,,42-67,3,F. Kaminsky makes 3-pt shot from 25 ft (assist by K. Walker)
0:46.0,N. Mirotic misses 3-pt shot from 26 ft,,42-67,,
0:45.0,,,42-67,,Defensive rebound by P. Hairston
0:37.0,,,42-67,,K. Walker misses 2-pt shot from 18 ft
0:35.0,Defensive rebound by T. Snell,,42-67,,
0:24.0,P. Gasol makes 2-pt shot from 17 ft (assist by T. Snell),2,44-67,,
0:04.0,,,44-69,2,K. Walker makes 2-pt shot from 1 ft (assist by F. Kaminsky)
0:02.0,A. Brooks makes 3-pt shot from 30 ft,3,47-69,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,Turnover by T. Snell (lost ball; steal by A. Jefferson),,47-69,,
11:33.0,,,47-71,2,A. Jefferson makes 2-pt shot from 16 ft (assist by K. Walker)
11:19.0,D. Rose misses 3-pt shot from 24 ft,,47-71,,
11:16.0,,,47-71,,Defensive rebound by M. Williams
11:05.0,,,47-73,2,A. Jefferson makes 2-pt shot from 17 ft (assist by K. Walker)
10:45.0,N. Mirotic misses 2-pt shot from 2 ft (block by K. Walker),,47-73,,
10:45.0,Offensive rebound by Team,,47-73,,
10:40.0,J. Butler misses 3-pt shot from 24 ft,,47-73,,
10:36.0,,,47-73,,Defensive rebound by M. Williams
10:26.0,,,47-73,,P. Hairston misses 2-pt shot from 1 ft
10:25.0,,,47-73,,Offensive rebound by M. Williams
10:25.0,,,47-73,,M. Williams misses 2-pt shot from 1 ft
10:25.0,Defensive rebound by Team,,47-73,,
10:25.0,,,47-73,,Loose ball foul by P. Hairston (drawn by P. Gasol)
10:10.0,T. Snell misses 2-pt shot from 1 ft,,47-73,,
10:09.0,,,47-73,,Defensive rebound by N. Batum
10:03.0,,,47-75,2,N. Batum makes 2-pt shot from 1 ft
10:03.0,Chicago full timeout,,47-75,,
9:39.0,P. Gasol misses 2-pt shot from 17 ft,,47-75,,
9:37.0,,,47-75,,Defensive rebound by N. Batum
9:22.0,,,47-75,,P. Hairston misses 3-pt shot from 24 ft
9:20.0,Defensive rebound by P. Gasol,,47-75,,
9:09.0,P. Gasol makes 2-pt shot at rim (assist by T. Snell),2,49-75,,
8:47.0,,,49-75,,Shooting foul by J. Butler (drawn by N. Batum)
8:47.0,,,49-76,1,N. Batum makes free throw 1 of 2
8:47.0,,,49-77,1,N. Batum makes free throw 2 of 2
8:34.0,J. Butler makes 3-pt shot from 24 ft,3,52-77,,
8:10.0,,,52-79,2,A. Jefferson makes 2-pt shot from 16 ft
7:53.0,P. Gasol makes 2-pt shot from 6 ft,2,54-79,,
7:36.0,,,54-79,,N. Batum misses 2-pt shot from 22 ft
7:35.0,Defensive rebound by T. Snell,,54-79,,
7:26.0,J. Butler makes 2-pt shot from 1 ft,2,56-79,,
7:05.0,,,56-79,,N. Batum misses 3-pt shot from 25 ft
7:03.0,,,56-79,,Offensive rebound by M. Williams
