time,Detroit,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. A. Horford (E. Ilyasova gains possession),,,,Jump ball: A. Drummond vs. A. Horford (E. Ilyasova gains possession)
11:41.0,A. Drummond misses 2-pt shot from 1 ft (block by A. Horford),,0-0,,
11:39.0,,,0-0,,Defensive rebound by K. Bazemore
11:37.0,,,0-0,,Turnover by K. Bazemore (bad pass)
11:21.0,M. Morris makes 2-pt shot from 13 ft (assist by A. Drummond),2,2-0,,
11:00.0,,,2-2,2,P. Millsap makes 2-pt shot from 12 ft (assist by K. Korver)
10:44.0,K. Caldwell-Pope makes 2-pt shot from 8 ft (assist by E. Ilyasova),2,4-2,,
10:27.0,,,4-2,,A. Horford misses 2-pt shot from 20 ft
10:25.0,Defensive rebound by R. Jackson,,4-2,,
10:13.0,A. Drummond misses 2-pt shot from 8 ft,,4-2,,
10:11.0,,,4-2,,Defensive rebound by K. Bazemore
10:01.0,,,4-4,2,P. Millsap makes 2-pt shot from 12 ft (assist by A. Horford)
9:42.0,Shooting foul by K. Bazemore (drawn by M. Morris),,4-4,,
9:42.0,M. Morris makes free throw 1 of 2,1,5-4,,
9:42.0,M. Morris misses free throw 2 of 2,,5-4,,
9:41.0,,,5-4,,Defensive rebound by P. Millsap
9:29.0,,,5-4,,J. Teague misses 2-pt shot from 15 ft
9:28.0,Defensive rebound by A. Drummond,,5-4,,
9:22.0,R. Jackson makes 3-pt shot from 24 ft,3,8-4,,
9:12.0,,,8-4,,J. Teague misses 2-pt shot from 1 ft
9:11.0,Defensive rebound by A. Drummond,,8-4,,
9:08.0,Turnover by E. Ilyasova (lost ball),,8-4,,
8:50.0,,,8-4,,A. Horford misses 2-pt shot from 18 ft
8:49.0,Defensive rebound by M. Morris,,8-4,,
8:41.0,A. Drummond misses 2-pt shot from 6 ft,,8-4,,
8:40.0,,,8-4,,Defensive rebound by K. Bazemore
8:34.0,,,8-6,2,J. Teague makes 2-pt shot from 1 ft
8:11.0,A. Drummond makes 2-pt shot at rim (assist by E. Ilyasova),2,10-6,,
7:56.0,,,10-6,,A. Horford misses 2-pt shot from 18 ft
7:55.0,Defensive rebound by R. Jackson,,10-6,,
7:41.0,Shooting foul by P. Millsap (drawn by A. Drummond),,10-6,,
7:41.0,A. Drummond misses free throw 1 of 2,,10-6,,
7:41.0,Offensive rebound by Team,,10-6,,
7:41.0,A. Drummond misses free throw 2 of 2,,10-6,,
7:40.0,,,10-6,,Defensive rebound by K. Bazemore
