time,Cleveland,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. T. Thompson (K. Lowry gains possession),,,,Jump ball: B. Biyombo vs. T. Thompson (K. Lowry gains possession)
11:40.0,,,0-2,2,L. Scola makes 2-pt shot from 17 ft
11:21.0,T. Thompson makes 2-pt shot from 4 ft (assist by L. James),2,2-2,,
11:02.0,,,2-2,,D. DeRozan misses 2-pt shot from 13 ft
11:01.0,,,2-2,,Offensive rebound by L. Scola
10:59.0,,,2-2,,L. Scola misses 2-pt shot from 3 ft
10:57.0,Defensive rebound by J. Cunningham,,2-2,,
10:50.0,J. Cunningham misses 2-pt shot from 4 ft,,2-2,,
10:49.0,,,2-2,,Defensive rebound by B. Biyombo
10:42.0,,,2-2,,K. Lowry misses 3-pt shot from 24 ft
10:41.0,Defensive rebound by T. Thompson,,2-2,,
10:27.0,J. Smith makes 2-pt shot from 17 ft,2,4-2,,
10:04.0,,,4-4,2,L. Scola makes 2-pt shot from 4 ft
9:46.0,J. Cunningham makes 3-pt shot from 24 ft (assist by J. Smith),3,7-4,,
9:20.0,,,7-4,,D. Carroll misses 2-pt shot from 19 ft
9:19.0,Defensive rebound by K. Love,,7-4,,
9:04.0,Turnover by J. Cunningham (bad pass),,7-4,,
8:54.0,,,7-6,2,L. Scola makes 2-pt shot from 9 ft
8:35.0,L. James misses 2-pt shot from 21 ft,,7-6,,
8:35.0,Offensive rebound by K. Love,,7-6,,
8:31.0,Turnover by K. Love (lost ball; steal by K. Lowry),,7-6,,
8:25.0,,,7-6,,D. Carroll misses 3-pt shot from 23 ft
8:24.0,Defensive rebound by T. Thompson,,7-6,,
8:13.0,K. Love makes 2-pt shot from 8 ft (assist by L. James),2,9-6,,
7:54.0,,,9-6,,D. Carroll misses 2-pt shot from 4 ft
7:53.0,Defensive rebound by K. Love,,9-6,,
7:35.0,L. James misses 3-pt shot from 24 ft,,9-6,,
7:34.0,Offensive rebound by K. Love,,9-6,,
7:29.0,L. James misses 2-pt shot from 2 ft,,9-6,,
7:20.0,,,9-6,,Defensive rebound by B. Biyombo
7:15.0,,,9-6,,K. Lowry misses 2-pt shot from 2 ft
7:15.0,,,9-6,,Offensive rebound by Team
7:15.0,Loose ball foul by K. Love (drawn by K. Lowry),,9-6,,
6:58.0,,,9-6,,B. Biyombo misses 2-pt shot from 18 ft
6:58.0,Defensive rebound by K. Love,,9-6,,
6:52.0,L. James makes 2-pt shot at rim (assist by K. Love),2,11-6,,
6:33.0,,,11-8,2,L. Scola makes 2-pt shot from 18 ft (assist by D. DeRozan)
6:26.0,Cleveland full timeout,,11-8,,
6:13.0,T. Thompson makes 2-pt shot from 3 ft (assist by L. James),2,13-8,,
5:47.0,,,13-10,2,L. Scola makes 2-pt shot from 9 ft
5:22.0,K. Love misses 2-pt shot from 9 ft,,13-10,,
5:22.0,,,13-10,,Defensive rebound by L. Scola
5:17.0,,,13-10,,Shooting foul by T. Thompson (drawn by K. Lowry)
5:17.0,,,13-11,1,K. Lowry makes free throw 1 of 2
5:17.0,M. Williams enters the game for J. Cunningham,,13-11,,
5:17.0,,,13-12,1,K. Lowry makes free throw 2 of 2
