time,Houston,pts.away,score,pts.home,Phoenix
2:16.0,Defensive rebound by J. Harden,,19-17,,
2:00.0,T. Lawson misses 2-pt shot from 11 ft,,19-17,,
1:59.0,,,19-17,,Defensive rebound by R. Price
1:55.0,J. Terry enters the game for J. Harden,,19-17,,
1:40.0,,,19-19,2,A. Goodwin makes 2-pt shot from 1 ft
1:34.0,Shooting foul by M. Teletovic (drawn by C. Brewer),,19-19,,
1:34.0,C. Brewer makes free throw 1 of 2,1,20-19,,
1:34.0,,,20-19,,S. Weems enters the game for P. Tucker
1:34.0,C. Brewer makes free throw 2 of 2,1,21-19,,
1:20.0,Personal foul by C. Brewer,,21-19,,
1:20.0,,,21-20,1,M. Teletovic makes free throw 1 of 2
1:20.0,,,21-21,1,M. Teletovic makes free throw 2 of 2
1:05.0,D. Howard misses 2-pt shot from 10 ft,,21-21,,
1:02.0,,,21-21,,Defensive rebound by K. Humphries
0:57.0,,,21-21,,K. Humphries misses 3-pt shot from 24 ft
0:55.0,,,21-21,,Offensive rebound by Team
0:48.0,,,21-24,3,M. Teletovic makes 3-pt shot from 26 ft (assist by S. Weems)
0:38.0,T. Lawson misses 2-pt shot from 16 ft,,21-24,,
0:36.0,,,21-24,,Defensive rebound by M. Teletovic
0:25.0,,,21-24,,Turnover by R. Price (lost ball; steal by T. Lawson)
0:03.0,Turnover by J. Terry (bad pass),,21-24,,
0:03.0,T. Ariza enters the game for J. Smith,,21-24,,
0:03.0,P. Beverley enters the game for J. Terry,,21-24,,
0:03.0,,,21-24,,D. Booker enters the game for K. Humphries
0:00.0,,,21-24,,R. Price misses 2-pt shot from 20 ft
0:00.0,,,21-24,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,J. Terry misses 2-pt shot from 17 ft,,21-24,,
11:45.0,,,21-24,,Defensive rebound by K. Humphries
11:33.0,,,21-24,,K. Humphries misses 2-pt shot from 1 ft
11:33.0,,,21-24,,Offensive rebound by K. Humphries
11:33.0,,,21-24,,S. Weems misses 2-pt shot from 1 ft
11:30.0,Defensive rebound by J. Terry,,21-24,,
11:27.0,T. Ariza makes 2-pt shot at rim (assist by J. Terry),2,23-24,,
11:12.0,,,23-24,,K. Humphries misses 2-pt shot from 20 ft
11:10.0,Defensive rebound by J. Terry,,23-24,,
11:05.0,Shooting foul by S. Weems (drawn by D. Howard),,23-24,,
11:05.0,D. Howard makes free throw 1 of 2,1,24-24,,
11:05.0,,,24-24,,A. Goodwin enters the game for D. Booker
11:05.0,D. Howard misses free throw 2 of 2,,24-24,,
11:03.0,,,24-24,,Defensive rebound by K. Humphries
10:48.0,,,24-24,,A. Goodwin misses 2-pt shot from 18 ft
10:46.0,Defensive rebound by T. Lawson,,24-24,,
10:42.0,Shooting foul by K. Humphries (drawn by D. Howard),,24-24,,
10:42.0,D. Howard misses free throw 1 of 2,,24-24,,
10:42.0,Offensive rebound by Team,,24-24,,
10:42.0,D. Howard misses free throw 2 of 2,,24-24,,
10:40.0,Offensive rebound by C. Brewer,,24-24,,
10:36.0,D. Howard makes 2-pt shot at rim (assist by T. Lawson),2,26-24,,
10:20.0,,,26-24,,S. Weems misses 2-pt shot from 15 ft
10:18.0,Defensive rebound by D. Howard,,26-24,,
10:13.0,Offensive foul by D. Howard,,26-24,,
10:13.0,Turnover by D. Howard (offensive foul),,26-24,,
10:01.0,,,26-26,2,M. Teletovic makes 2-pt shot from 2 ft (assist by A. Goodwin)
9:54.0,T. Ariza makes 3-pt shot from 24 ft,3,29-26,,
9:36.0,,,29-26,,A. Goodwin misses 2-pt shot from 5 ft
9:33.0,,,29-26,,Offensive rebound by K. Humphries
9:33.0,,,29-28,2,K. Humphries makes 2-pt shot at rim
9:21.0,T. Lawson misses 2-pt shot from 19 ft,,29-28,,
9:19.0,,,29-28,,Defensive rebound by K. Humphries
