time,Atlanta,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. A. Johnson (P. Millsap gains possession),,,,Jump ball: A. Horford vs. A. Johnson (P. Millsap gains possession)
11:45.0,Offensive foul by A. Horford,,0-0,,
11:45.0,Turnover by A. Horford (offensive foul),,0-0,,
11:35.0,,,0-0,,J. Crowder misses 3-pt shot from 26 ft
11:34.0,Defensive rebound by P. Millsap,,0-0,,
11:23.0,P. Millsap misses 3-pt shot from 25 ft,,0-0,,
11:22.0,,,0-0,,Defensive rebound by A. Johnson
11:10.0,,,0-3,3,J. Jerebko makes 3-pt shot from 25 ft (assist by I. Thomas)
10:50.0,K. Bazemore makes 3-pt shot from 25 ft (assist by J. Teague),3,3-3,,
10:36.0,,,3-5,2,J. Jerebko makes 2-pt shot from 17 ft
10:21.0,A. Horford misses 2-pt shot from 19 ft,,3-5,,
10:20.0,,,3-5,,Defensive rebound by J. Jerebko
10:08.0,,,3-5,,Turnover by A. Johnson (3 sec)
9:51.0,K. Bazemore misses 2-pt shot from 1 ft,,3-5,,
9:50.0,,,3-5,,Defensive rebound by I. Thomas
9:42.0,,,3-5,,I. Thomas misses 3-pt shot from 26 ft (block by K. Bazemore)
9:40.0,Defensive rebound by K. Korver,,3-5,,
9:34.0,K. Bazemore makes 2-pt shot from 1 ft (assist by P. Millsap),2,5-5,,
9:19.0,,,5-7,2,E. Turner makes 2-pt shot from 11 ft
9:14.0,Turnover by J. Teague (bad pass),,5-7,,
9:14.0,D. Schroder enters the game for J. Teague,,5-7,,
8:53.0,,,5-7,,J. Crowder misses 2-pt shot from 3 ft (block by P. Millsap)
8:52.0,Defensive rebound by K. Korver,,5-7,,
8:28.0,Turnover by Team (shot clock),,5-7,,
8:11.0,,,5-7,,J. Jerebko misses 2-pt shot from 22 ft
8:10.0,Defensive rebound by K. Bazemore,,5-7,,
7:53.0,P. Millsap misses 2-pt shot from 19 ft,,5-7,,
7:53.0,,,5-7,,Defensive rebound by A. Johnson
7:32.0,,,5-7,,J. Jerebko misses 3-pt shot from 25 ft
7:31.0,,,5-7,,Offensive rebound by E. Turner
7:30.0,,,5-7,,E. Turner misses 2-pt shot from 1 ft (block by K. Bazemore)
7:29.0,,,5-7,,Offensive rebound by E. Turner
7:29.0,,,5-7,,E. Turner misses 2-pt shot from 1 ft
7:28.0,Defensive rebound by K. Korver,,5-7,,
7:22.0,Turnover by P. Millsap (bad pass),,5-7,,
7:22.0,J. Teague enters the game for D. Schroder,,5-7,,
7:12.0,,,5-7,,E. Turner misses 2-pt shot from 16 ft
7:12.0,Defensive rebound by K. Korver,,5-7,,
6:56.0,K. Bazemore misses 3-pt shot from 24 ft,,5-7,,
6:55.0,Offensive rebound by J. Teague,,5-7,,
6:45.0,J. Teague misses 2-pt shot from 10 ft (block by I. Thomas),,5-7,,
6:43.0,,,5-7,,Defensive rebound by J. Crowder
6:33.0,,,5-9,2,E. Turner makes 2-pt shot from 2 ft (assist by I. Thomas)
6:33.0,Atlanta full timeout,,5-9,,
6:33.0,M. Scott enters the game for A. Horford,,5-9,,
6:22.0,,,5-9,,Personal foul by E. Turner
6:11.0,P. Millsap makes 2-pt shot from 8 ft,2,7-9,,
5:57.0,,,7-9,,I. Thomas misses 2-pt shot from 1 ft
5:56.0,Defensive rebound by P. Millsap,,7-9,,
5:53.0,Turnover by P. Millsap (lost ball),,7-9,,
5:53.0,,,7-9,,M. Smart enters the game for A. Johnson
5:53.0,,,7-9,,K. Olynyk enters the game for J. Jerebko
5:53.0,T. Sefolosha enters the game for K. Bazemore,,7-9,,
5:50.0,,,7-9,,K. Olynyk misses 2-pt shot from 2 ft (block by P. Millsap)
5:49.0,Defensive rebound by T. Sefolosha,,7-9,,
5:36.0,J. Teague makes 2-pt shot from 4 ft,2,9-9,,
5:16.0,,,9-9,,I. Thomas misses 2-pt shot from 2 ft
