time,Oklahoma City,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. M. Plumlee (A. Roberson gains possession),,,,Jump ball: S. Adams vs. M. Plumlee (A. Roberson gains possession)
11:45.0,A. Roberson makes 3-pt shot from 23 ft (assist by K. Durant),3,3-0,,
11:26.0,,,3-0,,J. Parker misses 2-pt shot from 20 ft
11:25.0,Defensive rebound by K. Durant,,3-0,,
11:20.0,Turnover by S. Ibaka (traveling),,3-0,,
11:12.0,,,3-0,,O. Mayo misses 3-pt shot from 22 ft
11:11.0,Defensive rebound by S. Adams,,3-0,,
10:57.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,5-0,,
10:45.0,,,5-0,,Turnover by O. Mayo (bad pass)
10:38.0,Shooting foul by J. Parker (drawn by K. Durant),,5-0,,
10:38.0,K. Durant misses free throw 1 of 2,,5-0,,
10:38.0,Offensive rebound by Team,,5-0,,
10:38.0,K. Durant makes free throw 2 of 2,1,6-0,,
10:24.0,,,6-0,,Turnover by M. Plumlee (lost ball)
10:06.0,S. Ibaka misses 3-pt shot from 23 ft,,6-0,,
10:05.0,,,6-0,,Defensive rebound by J. Parker
9:58.0,,,6-2,2,J. Parker makes 2-pt shot at rim
9:41.0,K. Durant misses 3-pt shot from 25 ft,,6-2,,
9:40.0,,,6-2,,Defensive rebound by M. Plumlee
9:34.0,,,6-2,,G. Antetokounmpo misses 2-pt shot from 12 ft
9:32.0,Defensive rebound by A. Roberson,,6-2,,
9:25.0,A. Roberson misses 2-pt shot at rim (block by G. Antetokounmpo),,6-2,,
9:20.0,,,6-2,,Defensive rebound by K. Middleton
9:12.0,,,6-2,,J. Parker misses 3-pt shot from 23 ft
9:11.0,Defensive rebound by R. Westbrook,,6-2,,
9:03.0,S. Ibaka makes 3-pt shot from 24 ft (assist by K. Durant),3,9-2,,
8:50.0,Personal foul by A. Roberson (drawn by J. Parker),,9-2,,
8:37.0,,,9-2,,J. Parker misses 2-pt shot from 15 ft (block by S. Ibaka)
8:35.0,Defensive rebound by K. Durant,,9-2,,
8:33.0,Shooting foul by J. Parker (drawn by K. Durant),,9-2,,
8:33.0,K. Durant makes free throw 1 of 2,1,10-2,,
8:33.0,K. Durant makes free throw 2 of 2,1,11-2,,
8:27.0,,,11-2,,Milwaukee full timeout
8:27.0,,,11-2,,J. Bayless enters the game for J. Parker
8:20.0,,,11-2,,O. Mayo misses 2-pt shot from 2 ft (block by A. Roberson)
