time,Brooklyn,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:45.0,B. Lopez misses 2-pt shot from 9 ft,,0-0,,
12:00.0,Jump ball: R. Hibbert vs. B. Lopez (T. Young gains possession),,,,Jump ball: R. Hibbert vs. B. Lopez (T. Young gains possession)
11:43.0,,,0-0,,Defensive rebound by J. Randle
11:29.0,,,0-0,,A. Brown misses 2-pt shot from 22 ft
11:28.0,Defensive rebound by T. Young,,0-0,,
11:11.0,T. Young makes 2-pt shot from 3 ft,2,2-0,,
10:49.0,,,2-0,,J. Randle misses 2-pt shot from 18 ft
10:48.0,Defensive rebound by B. Bogdanovic,,2-0,,
10:35.0,B. Lopez misses 2-pt shot at rim,,2-0,,
10:30.0,,,2-0,,Defensive rebound by R. Hibbert
10:18.0,,,2-2,2,R. Hibbert makes 2-pt shot from 12 ft (assist by A. Brown)
9:59.0,D. Sloan misses 2-pt shot from 18 ft,,2-2,,
9:57.0,,,2-2,,Defensive rebound by J. Clarkson
9:48.0,,,2-4,2,R. Hibbert makes 2-pt shot from 1 ft (assist by D. Russell)
9:28.0,B. Bogdanovic misses 2-pt shot from 5 ft,,2-4,,
9:25.0,Offensive rebound by T. Young,,2-4,,
9:22.0,T. Young makes 2-pt shot from 6 ft,2,4-4,,
9:05.0,,,4-4,,Turnover by J. Randle (offensive foul)
9:05.0,,,4-4,,Offensive charge foul by J. Randle
8:48.0,T. Young misses 2-pt shot from 6 ft,,4-4,,
8:45.0,,,4-4,,Defensive rebound by R. Hibbert
8:41.0,,,4-4,,Turnover by J. Clarkson (bad pass; steal by W. Ellington)
8:34.0,B. Bogdanovic makes 2-pt shot from 1 ft (assist by W. Ellington),2,6-4,,
8:16.0,,,6-4,,D. Russell misses 2-pt shot from 10 ft
8:12.0,Defensive rebound by D. Sloan,,6-4,,
8:08.0,B. Bogdanovic makes 2-pt shot at rim (assist by D. Sloan),2,8-4,,
7:47.0,,,8-4,,Turnover by R. Hibbert (bad pass; steal by W. Ellington)
7:40.0,B. Lopez makes 2-pt shot from 5 ft (assist by D. Sloan),2,10-4,,
7:22.0,,,10-6,2,D. Russell makes 2-pt shot from 6 ft
7:09.0,B. Bogdanovic misses 2-pt shot from 9 ft,,10-6,,
7:05.0,,,10-6,,Defensive rebound by J. Clarkson
7:00.0,,,10-6,,J. Clarkson misses 2-pt shot from 16 ft
6:58.0,Defensive rebound by B. Bogdanovic,,10-6,,
6:58.0,,,10-6,,Personal foul by R. Hibbert (drawn by B. Lopez)
6:50.0,B. Lopez misses 3-pt shot from 24 ft,,10-6,,
6:49.0,,,10-6,,Defensive rebound by D. Russell
6:39.0,,,10-6,,Shooting foul by W. Ellington (drawn by J. Clarkson)
6:39.0,,,10-7,1,J. Clarkson makes free throw 1 of 2
6:39.0,,,10-8,1,J. Clarkson makes free throw 2 of 2
6:23.0,D. Sloan misses 2-pt shot at rim,,10-8,,
6:20.0,,,10-8,,Defensive rebound by J. Randle
6:00.0,,,10-11,3,D. Russell makes 3-pt shot from 24 ft (assist by J. Clarkson)
5:40.0,Turnover by B. Lopez (lost ball; steal by J. Randle),,10-11,,
5:33.0,,,10-13,2,J. Randle makes 2-pt shot from 1 ft
5:33.0,Brooklyn full timeout,,10-13,,
5:33.0,,,10-13,,L. Williams enters the game for D. Russell
5:17.0,B. Bogdanovic misses 3-pt shot from 23 ft,,10-13,,
5:15.0,,,10-13,,Defensive rebound by J. Randle
4:53.0,,,10-13,,J. Randle misses 2-pt shot from 9 ft
4:48.0,Defensive rebound by T. Young,,10-13,,
4:45.0,T. Young makes 2-pt shot at rim,2,12-13,,
4:22.0,,,12-13,,J. Clarkson misses 3-pt shot from 25 ft
4:21.0,Defensive rebound by T. Young,,12-13,,
4:14.0,W. Ellington makes 2-pt shot from 13 ft,2,14-13,,
3:59.0,,,14-15,2,R. Hibbert makes 2-pt shot from 19 ft (assist by J. Clarkson)
3:42.0,Turnover by B. Bogdanovic (lost ball; steal by R. Hibbert),,14-15,,
