time,Dallas,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. Z. Pachulia (T. Parker gains possession),,,,Jump ball: T. Duncan vs. Z. Pachulia (T. Parker gains possession)
11:43.0,,,0-2,2,L. Aldridge makes 2-pt shot from 18 ft (assist by T. Parker)
11:27.0,D. Nowitzki misses 2-pt shot from 20 ft,,0-2,,
11:26.0,,,0-2,,Defensive rebound by T. Duncan
11:10.0,,,0-5,3,K. Leonard makes 3-pt shot from 24 ft (assist by L. Aldridge)
10:43.0,D. Williams makes 2-pt shot from 7 ft,2,2-5,,
10:24.0,,,2-5,,L. Aldridge misses 2-pt shot from 14 ft
10:23.0,Defensive rebound by W. Matthews,,2-5,,
10:13.0,W. Matthews misses 3-pt shot from 24 ft,,2-5,,
10:11.0,,,2-5,,Defensive rebound by D. Green
10:00.0,,,2-5,,T. Duncan misses 2-pt shot from 6 ft
10:00.0,Defensive rebound by D. Nowitzki,,2-5,,
9:47.0,D. Williams makes 2-pt shot from 4 ft,2,4-5,,
9:28.0,,,4-8,3,K. Leonard makes 3-pt shot from 22 ft (assist by T. Parker)
9:11.0,D. Williams misses 2-pt shot from 14 ft,,4-8,,
9:10.0,,,4-8,,Defensive rebound by D. Green
8:52.0,,,4-10,2,T. Parker makes 2-pt shot at rim
8:29.0,Z. Pachulia makes 2-pt shot at rim (assist by D. Williams),2,6-10,,
8:09.0,,,6-12,2,T. Parker makes 2-pt shot from 1 ft (assist by T. Duncan)
8:01.0,D. Williams misses 2-pt shot at rim (block by T. Duncan),,6-12,,
7:59.0,,,6-12,,Defensive rebound by D. Green
7:46.0,,,6-14,2,L. Aldridge makes 2-pt shot from 14 ft (assist by D. Green)
7:46.0,,,6-14,,Shooting foul by D. Nowitzki (drawn by L. Aldridge)
7:46.0,Dallas full timeout,,6-14,,
7:46.0,,,6-14,,L. Aldridge misses free throw 1 of 1
7:45.0,Defensive rebound by W. Matthews,,6-14,,
7:25.0,R. Felton makes 2-pt shot from 8 ft,2,8-14,,
7:08.0,,,8-14,,D. Green misses 3-pt shot from 25 ft
7:07.0,,,8-14,,Offensive rebound by K. Leonard
7:02.0,,,8-14,,Offensive foul by L. Aldridge
7:02.0,,,8-14,,Turnover by L. Aldridge (offensive foul)
6:38.0,D. Williams misses 2-pt shot from 18 ft,,8-14,,
6:37.0,,,8-14,,Defensive rebound by K. Leonard
6:24.0,,,8-14,,T. Duncan misses 2-pt shot from 19 ft
6:24.0,Defensive rebound by D. Nowitzki,,8-14,,
6:14.0,W. Matthews misses 3-pt shot from 23 ft,,8-14,,
6:13.0,,,8-14,,Defensive rebound by T. Duncan
6:04.0,,,8-14,,Shooting foul by Z. Pachulia (drawn by T. Parker)
6:04.0,,,8-15,1,T. Parker makes free throw 1 of 2
6:04.0,,,8-15,,M. Ginobili enters the game for D. Green
6:04.0,D. Powell enters the game for D. Nowitzki,,8-15,,
6:04.0,,,8-16,1,T. Parker makes free throw 2 of 2
5:48.0,Z. Pachulia misses 2-pt shot from 12 ft,,8-16,,
5:47.0,,,8-16,,Defensive rebound by M. Ginobili
5:33.0,,,8-16,,K. Leonard misses 3-pt shot from 23 ft
5:32.0,Defensive rebound by D. Powell,,8-16,,
5:31.0,Turnover by D. Powell (lost ball; steal by M. Ginobili),,8-16,,
5:31.0,Personal foul by D. Powell (drawn by M. Ginobili),,8-16,,
5:24.0,,,8-16,,M. Ginobili misses 2-pt shot from 14 ft
5:23.0,Defensive rebound by D. Powell,,8-16,,
5:15.0,R. Felton misses 2-pt shot from 17 ft,,8-16,,
5:14.0,,,8-16,,Defensive rebound by T. Duncan
4:59.0,,,8-18,2,T. Duncan makes 2-pt shot from 12 ft (assist by K. Leonard)
4:42.0,D. Powell misses 2-pt shot from 17 ft,,8-18,,
4:41.0,,,8-18,,Defensive rebound by T. Parker
4:26.0,,,8-18,,L. Aldridge misses 2-pt shot from 19 ft
4:25.0,Defensive rebound by R. Felton,,8-18,,
4:20.0,R. Felton misses 2-pt shot from 1 ft,,8-18,,
4:20.0,,,8-18,,Defensive rebound by Team
4:20.0,Personal foul by Z. Pachulia (drawn by M. Ginobili),,8-18,,
4:20.0,,,8-18,,P. Mills enters the game for T. Parker
4:20.0,,,8-18,,B. Diaw enters the game for T. Duncan
4:20.0,J. McGee enters the game for Z. Pachulia,,8-18,,
4:20.0,D. Harris enters the game for R. Felton,,8-18,,
3:59.0,,,8-18,,L. Aldridge misses 2-pt shot from 18 ft
3:58.0,,,8-18,,Offensive rebound by B. Diaw
3:53.0,,,8-18,,M. Ginobili misses 3-pt shot from 25 ft
3:53.0,,,8-18,,Offensive rebound by L. Aldridge
3:48.0,,,8-20,2,L. Aldridge makes 2-pt shot from 1 ft
3:36.0,J. McGee misses 2-pt shot from 1 ft,,8-20,,
3:35.0,Offensive rebound by W. Matthews,,8-20,,
3:35.0,W. Matthews misses 2-pt shot from 2 ft,,8-20,,
3:33.0,Offensive rebound by J. McGee,,8-20,,
3:33.0,,,8-20,,Personal foul by B. Diaw (drawn by J. McGee)
3:33.0,,,8-20,,D. West enters the game for L. Aldridge
3:16.0,D. Harris misses 3-pt shot from 23 ft,,8-20,,
3:16.0,Offensive rebound by D. Powell,,8-20,,
3:13.0,Turnover by D. Powell (lost ball; steal by K. Leonard),,8-20,,
2:58.0,,,8-20,,K. Leonard misses 2-pt shot from 15 ft
2:57.0,Defensive rebound by J. McGee,,8-20,,
2:43.0,,,8-20,,San Antonio full timeout
2:43.0,D. Nowitzki enters the game for D. Powell,,8-20,,
2:43.0,J. Anderson enters the game for W. Matthews,,8-20,,
2:43.0,J. Barea enters the game for D. Williams,,8-20,,
2:33.0,J. McGee makes 2-pt shot at rim,2,10-20,,
2:24.0,,,10-22,2,D. West makes 2-pt shot from 15 ft (assist by K. Leonard)
2:17.0,Shooting foul by P. Mills (drawn by J. Anderson),,10-22,,
2:17.0,J. Anderson makes free throw 1 of 2,1,11-22,,
2:17.0,J. Anderson misses free throw 2 of 2,,11-22,,
2:17.0,,,11-22,,Defensive rebound by K. Leonard
2:12.0,,,11-22,,Turnover by K. Leonard (dbl dribble)
