time,Memphis,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. H. Whiteside (J. Green gains possession),,,,Jump ball: M. Gasol vs. H. Whiteside (J. Green gains possession)
11:39.0,M. Conley misses 2-pt shot from 19 ft,,0-0,,
11:38.0,,,0-0,,Defensive rebound by L. Deng
11:25.0,,,0-0,,G. Dragic misses 2-pt shot from 10 ft
11:24.0,Defensive rebound by M. Conley,,0-0,,
11:16.0,C. Lee misses 2-pt shot from 18 ft,,0-0,,
11:15.0,,,0-0,,Defensive rebound by L. Deng
10:56.0,,,0-2,2,C. Bosh makes 2-pt shot from 16 ft (assist by G. Dragic)
10:43.0,C. Lee makes 3-pt shot from 23 ft (assist by M. Gasol),3,3-2,,
10:22.0,Personal foul by C. Lee (drawn by G. Dragic),,3-2,,
10:12.0,,,3-4,2,L. Deng makes 2-pt shot from 4 ft
10:00.0,M. Gasol misses 2-pt shot from 16 ft,,3-4,,
9:59.0,,,3-4,,Defensive rebound by G. Dragic
9:37.0,,,3-4,,L. Deng misses 2-pt shot from 11 ft (block by M. Barnes)
9:35.0,,,3-4,,Offensive rebound by Team
9:35.0,,,3-4,,Turnover by Team (shot clock)
9:12.0,M. Barnes misses 3-pt shot from 24 ft,,3-4,,
9:11.0,,,3-4,,Defensive rebound by L. Deng
8:59.0,,,3-4,,Turnover by G. Dragic (bad pass; steal by M. Conley)
8:54.0,M. Conley makes 2-pt shot from 1 ft,2,5-4,,
8:40.0,,,5-7,3,L. Deng makes 3-pt shot from 23 ft (assist by G. Dragic)
8:25.0,J. Green misses 3-pt shot from 24 ft,,5-7,,
8:24.0,Offensive rebound by M. Gasol,,5-7,,
8:18.0,Turnover by M. Gasol (bad pass; steal by H. Whiteside),,5-7,,
8:09.0,,,5-7,,Turnover by G. Dragic (bad pass; steal by M. Conley)
8:03.0,M. Barnes misses 3-pt shot from 23 ft,,5-7,,
8:02.0,,,5-7,,Defensive rebound by H. Whiteside
7:43.0,,,5-7,,G. Dragic misses 2-pt shot from 12 ft
7:42.0,,,5-7,,Offensive rebound by H. Whiteside
7:41.0,,,5-9,2,H. Whiteside makes 2-pt shot from 1 ft
7:24.0,Shooting foul by H. Whiteside (drawn by M. Gasol),,5-9,,
7:24.0,M. Gasol makes free throw 1 of 2,1,6-9,,
7:24.0,M. Gasol misses free throw 2 of 2,,6-9,,
7:23.0,,,6-9,,Defensive rebound by C. Bosh
7:02.0,,,6-11,2,H. Whiteside makes 2-pt shot from 14 ft
6:48.0,M. Gasol makes 2-pt shot from 17 ft (assist by M. Conley),2,8-11,,
6:25.0,,,8-11,,G. Dragic misses 3-pt shot from 23 ft
6:24.0,Defensive rebound by M. Gasol,,8-11,,
6:15.0,M. Gasol misses 2-pt shot from 9 ft,,8-11,,
6:14.0,,,8-11,,Defensive rebound by C. Bosh
5:57.0,,,8-11,,G. Dragic misses 3-pt shot from 23 ft
5:56.0,Defensive rebound by M. Barnes,,8-11,,
5:46.0,M. Conley misses 2-pt shot from 13 ft,,8-11,,
5:44.0,Offensive rebound by Team,,8-11,,
5:44.0,,,8-11,,Miami full timeout
5:44.0,,,8-11,,J. Winslow enters the game for C. Bosh
5:42.0,J. Green makes 2-pt shot at rim (assist by M. Barnes),2,10-11,,
5:20.0,,,10-11,,D. Wade misses 2-pt shot from 10 ft
5:19.0,Defensive rebound by M. Barnes,,10-11,,
5:06.0,Turnover by J. Green (bad pass; steal by G. Dragic),,10-11,,
4:59.0,,,10-11,,Turnover by G. Dragic (bad pass; steal by M. Barnes)
4:57.0,,,10-11,,Personal foul by D. Wade (drawn by M. Barnes)
4:57.0,M. Chalmers enters the game for M. Barnes,,10-11,,
4:57.0,Z. Randolph enters the game for M. Conley,,10-11,,
4:42.0,M. Gasol makes 2-pt shot from 13 ft (assist by M. Chalmers),2,12-11,,
4:22.0,,,12-11,,L. Deng misses 3-pt shot from 22 ft
4:21.0,Defensive rebound by Z. Randolph,,12-11,,
4:18.0,Shooting foul by J. Winslow (drawn by J. Green),,12-11,,
4:18.0,J. Green makes free throw 1 of 2,1,13-11,,
4:18.0,J. Green makes free throw 2 of 2,1,14-11,,
4:02.0,,,14-13,2,D. Wade makes 2-pt shot from 2 ft
3:44.0,M. Gasol makes 2-pt shot from 6 ft (assist by Z. Randolph),2,16-13,,
3:19.0,,,16-13,,J. Winslow misses 3-pt shot from 23 ft
3:18.0,Defensive rebound by M. Gasol,,16-13,,
3:12.0,M. Chalmers misses 2-pt shot from 2 ft,,16-13,,
3:11.0,,,16-13,,Defensive rebound by G. Dragic
2:58.0,,,16-13,,D. Wade misses 2-pt shot from 14 ft
2:56.0,,,16-13,,Offensive rebound by Team
2:56.0,Loose ball foul by M. Chalmers (drawn by H. Whiteside),,16-13,,
2:56.0,Memphis full timeout,,16-13,,
2:56.0,,,16-13,,C. Bosh enters the game for H. Whiteside
2:56.0,,,16-13,,G. Green enters the game for D. Wade
2:40.0,,,16-13,,G. Green misses 2-pt shot from 16 ft
2:39.0,Defensive rebound by Z. Randolph,,16-13,,
2:26.0,M. Chalmers makes 2-pt shot from 2 ft (assist by Z. Randolph),2,18-13,,
2:09.0,,,18-13,,L. Deng misses 2-pt shot from 3 ft
2:08.0,Defensive rebound by Z. Randolph,,18-13,,
