time,Orlando,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. N. Vucevic (C. Frye gains possession),,,,Jump ball: R. Lopez vs. N. Vucevic (C. Frye gains possession)
11:37.0,T. Harris misses 2-pt shot from 16 ft,,0-0,,
11:36.0,Offensive rebound by Team,,0-0,,
11:36.0,Turnover by Team (shot clock),,0-0,,
11:14.0,,,0-0,,K. Porzingis misses 3-pt shot from 24 ft
11:13.0,Defensive rebound by N. Vucevic,,0-0,,
11:04.0,E. Payton makes 2-pt shot from 1 ft (assist by N. Vucevic),2,2-0,,
11:04.0,Shooting foul by J. Calderon (drawn by E. Payton),,2-0,,
11:04.0,E. Payton makes free throw 1 of 1,1,3-0,,
10:43.0,,,3-0,,Turnover by K. Porzingis (lost ball)
10:27.0,T. Harris misses 3-pt shot from 24 ft,,3-0,,
10:26.0,,,3-0,,Defensive rebound by A. Afflalo
10:20.0,,,3-2,2,A. Afflalo makes 2-pt shot from 12 ft
9:52.0,E. Fournier makes 2-pt shot at rim,2,5-2,,
9:29.0,,,5-4,2,R. Lopez makes 2-pt shot from 4 ft
9:08.0,C. Frye misses 2-pt shot from 17 ft,,5-4,,
9:07.0,Offensive rebound by Team,,5-4,,
9:07.0,,,5-4,,Loose ball foul by A. Afflalo (drawn by E. Fournier)
8:54.0,N. Vucevic makes 2-pt shot from 17 ft,2,7-4,,
8:38.0,,,7-4,,C. Anthony misses 2-pt shot from 22 ft
8:37.0,,,7-4,,Offensive rebound by K. Porzingis
8:33.0,,,7-4,,J. Calderon misses 3-pt shot from 24 ft
8:32.0,,,7-4,,Offensive rebound by Team
8:29.0,,,7-4,,A. Afflalo misses 2-pt shot from 20 ft
8:28.0,,,7-4,,Offensive rebound by J. Calderon
8:06.0,,,7-4,,C. Anthony misses 2-pt shot from 3 ft
8:05.0,,,7-4,,Offensive rebound by R. Lopez
8:04.0,,,7-6,2,R. Lopez makes 2-pt shot from 3 ft
7:53.0,N. Vucevic misses 2-pt shot from 21 ft,,7-6,,
7:52.0,,,7-6,,Defensive rebound by K. Porzingis
7:42.0,,,7-6,,K. Porzingis misses 2-pt shot from 2 ft
7:41.0,,,7-6,,Offensive rebound by A. Afflalo
7:28.0,,,7-6,,A. Afflalo misses 3-pt shot from 28 ft
7:27.0,Defensive rebound by T. Harris,,7-6,,
7:16.0,T. Harris makes 2-pt shot from 8 ft,2,9-6,,
7:01.0,,,9-6,,Turnover by C. Anthony (lost ball; steal by T. Harris)
6:54.0,E. Fournier misses 2-pt shot from 2 ft (block by K. Porzingis),,9-6,,
6:53.0,,,9-6,,Defensive rebound by C. Anthony
6:51.0,,,9-6,,Turnover by C. Anthony (bad pass; steal by E. Fournier)
6:45.0,E. Payton makes 2-pt shot at rim,2,11-6,,
6:32.0,,,11-6,,Turnover by J. Calderon (bad pass; steal by E. Fournier)
6:27.0,E. Fournier misses 2-pt shot at rim (block by K. Porzingis),,11-6,,
6:25.0,Offensive rebound by C. Frye,,11-6,,
