time,Dallas,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. Z. Pachulia (T. Young gains possession),,,,Jump ball: B. Lopez vs. Z. Pachulia (T. Young gains possession)
11:40.0,,,0-2,2,B. Lopez makes 2-pt shot from 16 ft (assist by J. Jack)
11:16.0,W. Matthews misses 3-pt shot from 27 ft,,0-2,,
11:15.0,,,0-2,,Defensive rebound by J. Jack
11:09.0,,,0-2,,Shooting foul by D. Nowitzki (drawn by T. Young)
11:09.0,,,0-2,,T. Young misses free throw 1 of 2
11:09.0,,,0-2,,Offensive rebound by Team
11:09.0,,,0-2,,T. Young misses free throw 2 of 2
11:08.0,Defensive rebound by Z. Pachulia,,0-2,,
10:45.0,J. Barea makes 3-pt shot from 24 ft (assist by D. Nowitzki),3,3-2,,
10:34.0,,,3-2,,B. Bogdanovic misses 2-pt shot from 15 ft
10:33.0,Defensive rebound by Team,,3-2,,
10:16.0,D. Nowitzki misses 2-pt shot from 15 ft,,3-2,,
10:15.0,Offensive rebound by Z. Pachulia,,3-2,,
10:05.0,Turnover by J. Barea (traveling),,3-2,,
9:50.0,,,3-2,,B. Lopez misses 2-pt shot from 2 ft
9:49.0,Defensive rebound by Z. Pachulia,,3-2,,
9:34.0,D. Nowitzki makes 2-pt shot from 20 ft (assist by R. Felton),2,5-2,,
9:18.0,,,5-2,,Turnover by T. Young (lost ball)
9:10.0,J. Barea makes 2-pt shot from 7 ft,2,7-2,,
9:02.0,,,7-2,,Brooklyn full timeout
8:50.0,,,7-2,,Turnover by B. Bogdanovic (lost ball)
8:36.0,Turnover by W. Matthews (step out of bounds),,7-2,,
8:28.0,,,7-2,,Offensive foul by J. Johnson
8:28.0,,,7-2,,Turnover by J. Johnson (offensive foul)
8:10.0,D. Nowitzki makes 3-pt shot from 23 ft (assist by R. Felton),3,10-2,,
7:57.0,,,10-2,,J. Jack misses 2-pt shot from 9 ft
7:55.0,,,10-2,,Offensive rebound by T. Young
7:54.0,,,10-4,2,T. Young makes 2-pt shot from 1 ft
7:43.0,J. Barea makes 3-pt shot from 25 ft,3,13-4,,
7:29.0,,,13-4,,T. Young misses 2-pt shot from 6 ft
7:27.0,Defensive rebound by Z. Pachulia,,13-4,,
7:15.0,Z. Pachulia makes 2-pt shot from 2 ft (assist by R. Felton),2,15-4,,
6:55.0,,,15-7,3,B. Bogdanovic makes 3-pt shot from 24 ft (assist by B. Lopez)
6:43.0,,,15-7,,Def 3 sec tech foul by B. Lopez
6:43.0,D. Nowitzki makes technical free throw,1,16-7,,
6:43.0,,,16-7,,A. Bargnani enters the game for T. Young
6:43.0,,,16-7,,D. Sloan enters the game for B. Bogdanovic
6:37.0,R. Felton makes 2-pt shot from 2 ft (assist by Z. Pachulia),2,18-7,,
6:21.0,Personal foul by W. Matthews (drawn by J. Johnson),,18-7,,
6:21.0,C. Parsons enters the game for D. Nowitzki,,18-7,,
6:21.0,J. McGee enters the game for Z. Pachulia,,18-7,,
6:21.0,C. Villanueva enters the game for J. Barea,,18-7,,
6:16.0,Personal foul by C. Parsons (drawn by D. Sloan),,18-7,,
6:06.0,Personal foul by J. McGee (drawn by B. Lopez),,18-7,,
5:59.0,,,18-7,,J. Jack misses 2-pt shot from 8 ft (block by R. Felton)
5:58.0,,,18-7,,Offensive rebound by J. Jack
5:56.0,,,18-7,,Turnover by J. Jack (bad pass)
5:49.0,Turnover by J. McGee (lost ball),,18-7,,
5:35.0,,,18-7,,Turnover by A. Bargnani (traveling)
5:15.0,W. Matthews misses 2-pt shot from 1 ft,,18-7,,
5:13.0,Offensive rebound by J. McGee,,18-7,,
5:11.0,J. McGee misses 2-pt shot from 2 ft (block by A. Bargnani),,18-7,,
5:10.0,,,18-7,,Defensive rebound by D. Sloan
5:04.0,,,18-9,2,A. Bargnani makes 2-pt shot from 1 ft (assist by D. Sloan)
4:43.0,Turnover by J. McGee (traveling),,18-9,,
4:23.0,,,18-9,,B. Lopez misses 2-pt shot from 19 ft
4:22.0,Defensive rebound by C. Parsons,,18-9,,
4:14.0,W. Matthews makes 3-pt shot from 26 ft (assist by C. Parsons),3,21-9,,
4:04.0,,,21-11,2,J. Jack makes 2-pt shot from 1 ft (assist by D. Sloan)
3:47.0,C. Villanueva makes 3-pt shot from 25 ft (assist by R. Felton),3,24-11,,
3:35.0,Personal foul by R. Felton (drawn by J. Jack),,24-11,,
3:35.0,,,24-12,1,J. Jack makes free throw 1 of 2
3:35.0,,,24-13,1,J. Jack makes free throw 2 of 2
3:35.0,Dallas full timeout,,24-13,,
3:24.0,J. McGee makes 2-pt shot at rim (assist by C. Parsons),2,26-13,,
3:07.0,,,26-13,,Shooting foul by J. McGee (drawn by B. Lopez)
3:07.0,,,26-15,2,B. Lopez makes 2-pt shot from 7 ft
3:07.0,,,26-15,,B. Bogdanovic enters the game for J. Johnson
3:07.0,Z. Pachulia enters the game for J. McGee,,26-15,,
3:07.0,,,26-15,,B. Lopez misses free throw 1 of 1
3:06.0,,,26-15,,Offensive rebound by Team
2:56.0,,,26-17,2,B. Lopez makes 2-pt shot from 8 ft
2:43.0,,,26-17,,Personal foul by A. Bargnani (drawn by Z. Pachulia)
2:43.0,,,26-17,,W. Ellington enters the game for J. Jack
2:43.0,,,26-17,,T. Young enters the game for B. Lopez
2:33.0,C. Villanueva misses 2-pt shot from 19 ft,,26-17,,
2:31.0,,,26-17,,Defensive rebound by D. Sloan
2:24.0,,,26-17,,A. Bargnani misses 2-pt shot from 20 ft
2:22.0,,,26-17,,Offensive rebound by Team
2:13.0,,,26-19,2,B. Bogdanovic makes 2-pt shot from 16 ft (assist by D. Sloan)
2:04.0,Turnover by R. Felton (bad pass; steal by D. Sloan),,26-19,,
2:00.0,,,26-21,2,T. Young makes 2-pt shot from 1 ft (assist by D. Sloan)
1:59.0,Dallas full timeout,,26-21,,
1:59.0,J. Barea enters the game for W. Matthews,,26-21,,
1:59.0,J. Jenkins enters the game for Z. Pachulia,,26-21,,
1:59.0,D. Nowitzki enters the game for R. Felton,,26-21,,
1:49.0,J. Barea makes 2-pt shot from 3 ft,2,28-21,,
1:29.0,,,28-23,2,A. Bargnani makes 2-pt shot from 11 ft
1:08.0,D. Nowitzki makes 2-pt shot from 17 ft,2,30-23,,
0:55.0,,,30-23,,A. Bargnani misses 2-pt shot from 7 ft
0:54.0,Defensive rebound by C. Villanueva,,30-23,,
0:40.0,C. Parsons makes 2-pt shot from 2 ft (assist by J. Barea),2,32-23,,
0:33.0,,,32-23,,D. Sloan misses 2-pt shot from 1 ft
0:32.0,,,32-23,,Offensive rebound by A. Bargnani
0:30.0,,,32-23,,A. Bargnani misses 2-pt shot from 1 ft
0:30.0,,,32-23,,Offensive rebound by D. Sloan
0:27.0,,,32-26,3,B. Bogdanovic makes 3-pt shot from 23 ft (assist by D. Sloan)
0:08.0,,,32-26,,Personal foul by D. Sloan
0:08.0,J. Evans enters the game for C. Villanueva,,32-26,,
0:02.0,Turnover by J. Barea (bad pass; steal by W. Ellington),,32-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,Turnover by J. Barea (lost ball; steal by T. Young),,32-26,,
11:40.0,,,32-28,2,D. Sloan makes 2-pt shot from 1 ft
11:23.0,C. Parsons makes 3-pt shot from 24 ft (assist by J. Barea),3,35-28,,
11:07.0,,,35-28,,T. Young misses 2-pt shot from 8 ft
11:06.0,Defensive rebound by C. Parsons,,35-28,,
10:55.0,Turnover by J. Jenkins (traveling),,35-28,,
10:43.0,,,35-28,,Turnover by A. Bargnani (bad pass)
10:27.0,J. Barea makes 3-pt shot from 26 ft,3,38-28,,
10:02.0,,,38-28,,D. Sloan misses 2-pt shot from 17 ft
10:01.0,Defensive rebound by J. Barea,,38-28,,
9:51.0,D. Nowitzki makes 2-pt shot from 17 ft (assist by J. Barea),2,40-28,,
9:35.0,,,40-28,,B. Bogdanovic misses 2-pt shot from 6 ft (block by C. Parsons)
9:34.0,,,40-28,,Offensive rebound by Team
9:34.0,,,40-28,,Brooklyn full timeout
9:30.0,,,40-30,2,A. Bargnani makes 2-pt shot from 18 ft (assist by B. Bogdanovic)
9:15.0,D. Powell makes 2-pt shot from 18 ft (assist by J. Barea),2,42-30,,
9:01.0,,,42-30,,W. Ellington misses 2-pt shot from 19 ft
9:00.0,Defensive rebound by D. Powell,,42-30,,
8:56.0,J. Barea makes 2-pt shot from 2 ft,2,44-30,,
8:44.0,,,44-30,,A. Bargnani misses 2-pt shot from 18 ft
8:43.0,Defensive rebound by C. Parsons,,44-30,,
8:35.0,Turnover by J. Barea (bad pass; steal by T. Young),,44-30,,
8:30.0,,,44-32,2,W. Ellington makes 2-pt shot from 2 ft (assist by D. Sloan)
8:30.0,,,44-32,,Shooting foul by C. Parsons (drawn by W. Ellington)
8:30.0,,,44-32,,J. Johnson enters the game for D. Sloan
8:30.0,,,44-32,,J. Jack enters the game for B. Bogdanovic
8:30.0,W. Matthews enters the game for C. Parsons,,44-32,,
8:30.0,C. Villanueva enters the game for D. Nowitzki,,44-32,,
8:30.0,,,44-33,1,W. Ellington makes free throw 1 of 1
8:16.0,,,44-33,,Def 3 sec tech foul by A. Bargnani
8:16.0,J. Jenkins makes technical free throw,1,45-33,,
8:16.0,,,45-33,,B. Lopez enters the game for A. Bargnani
8:16.0,Z. Pachulia enters the game for D. Powell,,45-33,,
8:07.0,J. Barea makes 3-pt shot from 25 ft,3,48-33,,
7:48.0,,,48-33,,B. Lopez misses 2-pt shot from 18 ft
7:47.0,,,48-33,,Offensive rebound by T. Young
7:46.0,,,48-35,2,T. Young makes 2-pt shot from 4 ft
7:30.0,C. Villanueva makes 2-pt shot from 6 ft (assist by J. Barea),2,50-35,,
7:10.0,,,50-35,,J. Johnson misses 2-pt shot from 9 ft (block by W. Matthews)
7:09.0,,,50-35,,Offensive rebound by J. Johnson
7:06.0,,,50-37,2,W. Ellington makes 2-pt shot from 18 ft (assist by J. Johnson)
6:44.0,J. Barea makes 2-pt shot from 6 ft,2,52-37,,
6:27.0,,,52-39,2,W. Ellington makes 2-pt shot from 19 ft
6:18.0,C. Villanueva misses 3-pt shot from 27 ft,,52-39,,
6:17.0,,,52-39,,Defensive rebound by J. Jack
6:13.0,,,52-39,,T. Young misses 2-pt shot from 3 ft
6:12.0,,,52-39,,Offensive rebound by T. Young
6:10.0,,,52-39,,T. Young misses 2-pt shot from 1 ft (block by W. Matthews)
6:08.0,Defensive rebound by C. Villanueva,,52-39,,
6:07.0,,,52-39,,Personal foul by J. Johnson (drawn by C. Villanueva)
6:07.0,C. Villanueva makes free throw 1 of 2,1,53-39,,
6:07.0,C. Villanueva makes free throw 2 of 2,1,54-39,,
5:46.0,,,54-39,,J. Johnson misses 2-pt shot from 9 ft
5:45.0,,,54-39,,Offensive rebound by B. Lopez
5:40.0,Personal foul by C. Villanueva (drawn by B. Lopez),,54-39,,
5:40.0,Official timeout,,54-39,,
5:40.0,R. Felton enters the game for J. Barea,,54-39,,
5:31.0,,,54-39,,J. Jack misses 2-pt shot from 17 ft
5:30.0,Defensive rebound by R. Felton,,54-39,,
5:18.0,J. Jenkins misses 2-pt shot from 20 ft,,54-39,,
5:17.0,Offensive rebound by Z. Pachulia,,54-39,,
5:03.0,Turnover by R. Felton (bad pass; steal by B. Lopez),,54-39,,
4:58.0,,,54-41,2,J. Jack makes 2-pt shot from 1 ft (assist by W. Ellington)
4:40.0,C. Parsons enters the game for J. Jenkins,,54-41,,
4:40.0,D. Nowitzki enters the game for C. Villanueva,,54-41,,
4:39.0,,,54-41,,Personal foul by J. Johnson (drawn by W. Matthews)
4:39.0,,,54-41,,S. Larkin enters the game for J. Johnson
4:39.0,,,54-41,,W. Reed enters the game for B. Lopez
4:29.0,D. Nowitzki misses 2-pt shot from 20 ft,,54-41,,
4:28.0,,,54-41,,Defensive rebound by J. Jack
4:19.0,,,54-41,,T. Young misses 2-pt shot from 4 ft
4:18.0,,,54-41,,Offensive rebound by W. Reed
4:17.0,,,54-43,2,W. Reed makes 2-pt shot at rim
4:03.0,W. Matthews makes 3-pt shot from 22 ft (assist by C. Parsons),3,57-43,,
3:54.0,,,57-43,,J. Jack misses 2-pt shot from 6 ft
3:53.0,Defensive rebound by Team,,57-43,,
3:42.0,Shooting foul by W. Reed (drawn by Z. Pachulia),,57-43,,
3:42.0,Z. Pachulia makes free throw 1 of 2,1,58-43,,
3:42.0,,,58-43,,B. Bogdanovic enters the game for W. Ellington
3:42.0,Z. Pachulia makes free throw 2 of 2,1,59-43,,
3:17.0,,,59-43,,W. Reed misses 2-pt shot from 17 ft
3:15.0,,,59-43,,Offensive rebound by B. Bogdanovic
3:13.0,,,59-45,2,T. Young makes 2-pt shot from 2 ft (assist by B. Bogdanovic)
2:54.0,D. Nowitzki misses 2-pt shot from 18 ft,,59-45,,
2:53.0,Offensive rebound by Team,,59-45,,
2:53.0,Dallas full timeout,,59-45,,
2:46.0,,,59-45,,Personal foul by W. Reed (drawn by Z. Pachulia)
2:40.0,Turnover by W. Matthews (bad pass; steal by J. Jack),,59-45,,
2:34.0,,,59-48,3,B. Bogdanovic makes 3-pt shot from 23 ft (assist by T. Young)
2:20.0,Turnover by R. Felton (bad pass),,59-48,,
2:05.0,,,59-50,2,W. Reed makes 2-pt shot from 2 ft
1:50.0,Z. Pachulia makes 2-pt shot from 6 ft,2,61-50,,
1:41.0,,,61-50,,Brooklyn full timeout
1:41.0,J. Barea enters the game for R. Felton,,61-50,,
1:25.0,,,61-52,2,T. Young makes 2-pt shot from 1 ft (assist by S. Larkin)
1:03.0,J. Barea misses 3-pt shot from 24 ft,,61-52,,
1:01.0,Offensive rebound by Team,,61-52,,
1:01.0,Turnover by Team (shot clock),,61-52,,
0:45.0,,,61-52,,Turnover by J. Jack (bad pass)
0:31.0,Turnover by D. Nowitzki (lost ball; steal by T. Young),,61-52,,
0:23.0,,,61-52,,Shooting foul by D. Nowitzki (drawn by W. Reed)
0:23.0,,,61-52,,W. Reed misses free throw 1 of 2
0:23.0,,,61-52,,Offensive rebound by Team
0:23.0,,,61-53,1,W. Reed makes free throw 2 of 2
0:01.0,D. Nowitzki makes 3-pt shot from 22 ft (assist by C. Parsons),3,64-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,J. Barea misses 2-pt shot from 2 ft,,64-53,,
11:44.0,,,64-53,,Defensive rebound by J. Johnson
11:35.0,,,64-56,3,B. Bogdanovic makes 3-pt shot from 23 ft (assist by J. Johnson)
11:19.0,R. Felton makes 2-pt shot from 19 ft,2,66-56,,
10:59.0,,,66-58,2,J. Johnson makes 2-pt shot from 6 ft
10:46.0,D. Nowitzki misses 3-pt shot from 27 ft,,66-58,,
10:45.0,,,66-58,,Defensive rebound by Team
10:24.0,,,66-60,2,J. Johnson makes 2-pt shot from 13 ft
10:08.0,D. Nowitzki misses 2-pt shot from 18 ft,,66-60,,
10:07.0,,,66-60,,Defensive rebound by B. Bogdanovic
9:52.0,Def 3 sec tech foul by J. Barea,,66-60,,
9:52.0,,,66-61,1,J. Jack makes technical free throw
9:49.0,Personal foul by Z. Pachulia (drawn by B. Lopez),,66-61,,
9:40.0,,,66-63,2,T. Young makes 2-pt shot from 6 ft (assist by J. Jack)
9:22.0,R. Felton misses 3-pt shot from 24 ft,,66-63,,
9:21.0,,,66-63,,Defensive rebound by B. Lopez
9:14.0,,,66-63,,J. Johnson misses 3-pt shot from 25 ft
9:13.0,Defensive rebound by R. Felton,,66-63,,
8:54.0,D. Nowitzki makes 3-pt shot from 24 ft (assist by J. Barea),3,69-63,,
8:45.0,,,69-65,2,T. Young makes 2-pt shot from 2 ft
8:30.0,Turnover by W. Matthews (lost ball),,69-65,,
8:11.0,,,69-67,2,T. Young makes 2-pt shot from 2 ft (assist by J. Johnson)
8:11.0,Dallas full timeout,,69-67,,
7:54.0,,,69-67,,Personal foul by T. Young (drawn by Z. Pachulia)
7:40.0,Z. Pachulia misses 2-pt shot from 10 ft,,69-67,,
7:39.0,,,69-67,,Defensive rebound by T. Young
7:17.0,,,69-67,,J. Jack misses 3-pt shot from 25 ft
7:16.0,Defensive rebound by Z. Pachulia,,69-67,,
7:12.0,Shooting foul by B. Lopez (drawn by Z. Pachulia),,69-67,,
7:12.0,Z. Pachulia makes free throw 1 of 2,1,70-67,,
7:12.0,C. Villanueva enters the game for D. Nowitzki,,70-67,,
7:12.0,Z. Pachulia makes free throw 2 of 2,1,71-67,,
7:00.0,,,71-69,2,B. Lopez makes 2-pt shot from 13 ft (assist by J. Jack)
6:42.0,R. Felton makes 2-pt shot from 10 ft,2,73-69,,
6:28.0,,,73-71,2,J. Johnson makes 2-pt shot from 10 ft
6:10.0,W. Matthews misses 3-pt shot from 24 ft,,73-71,,
6:09.0,,,73-71,,Defensive rebound by T. Young
5:55.0,,,73-73,2,T. Young makes 2-pt shot from 15 ft
5:37.0,C. Villanueva misses 3-pt shot from 26 ft,,73-73,,
5:36.0,,,73-73,,Defensive rebound by T. Young
5:24.0,,,73-75,2,J. Johnson makes 2-pt shot from 14 ft
5:24.0,Dallas full timeout,,73-75,,
5:24.0,C. Parsons enters the game for J. Barea,,73-75,,
5:03.0,R. Felton misses 2-pt shot from 19 ft,,73-75,,
5:02.0,,,73-75,,Defensive rebound by T. Young
4:59.0,,,73-75,,Shooting foul by C. Parsons (drawn by B. Lopez)
4:59.0,,,73-75,,B. Lopez misses free throw 1 of 2
4:59.0,,,73-75,,Offensive rebound by Team
4:59.0,J. McGee enters the game for Z. Pachulia,,73-75,,
4:59.0,,,73-76,1,B. Lopez makes free throw 2 of 2
4:48.0,Turnover by W. Matthews (bad pass; steal by J. Johnson),,73-76,,
4:43.0,,,73-79,3,B. Bogdanovic makes 3-pt shot from 23 ft (assist by J. Johnson)
4:12.0,C. Villanueva misses 3-pt shot from 24 ft,,73-79,,
4:11.0,,,73-79,,Defensive rebound by B. Bogdanovic
3:55.0,,,73-81,2,J. Johnson makes 2-pt shot from 10 ft (assist by T. Young)
3:55.0,Dallas full timeout,,73-81,,
3:40.0,J. McGee makes 2-pt shot at rim (assist by C. Parsons),2,75-81,,
3:22.0,,,75-81,,B. Lopez misses 2-pt shot from 15 ft
3:21.0,Defensive rebound by C. Villanueva,,75-81,,
3:06.0,Shooting foul by B. Bogdanovic (drawn by J. McGee),,75-81,,
3:06.0,J. McGee misses free throw 1 of 2,,75-81,,
3:06.0,Offensive rebound by Team,,75-81,,
3:06.0,,,75-81,,A. Bargnani enters the game for B. Lopez
3:06.0,J. McGee misses free throw 2 of 2,,75-81,,
3:05.0,,,75-81,,Defensive rebound by A. Bargnani
2:51.0,,,75-83,2,A. Bargnani makes 2-pt shot from 13 ft (assist by J. Jack)
2:38.0,C. Villanueva misses 3-pt shot from 24 ft,,75-83,,
2:37.0,,,75-83,,Defensive rebound by B. Bogdanovic
2:31.0,,,75-83,,Shooting foul by C. Villanueva (drawn by T. Young)
2:31.0,,,75-83,,T. Young misses free throw 1 of 2
2:31.0,,,75-83,,Offensive rebound by Team
2:31.0,D. Nowitzki enters the game for J. McGee,,75-83,,
2:31.0,J. Barea enters the game for W. Matthews,,75-83,,
2:31.0,D. Powell enters the game for C. Villanueva,,75-83,,
2:31.0,,,75-83,,S. Larkin enters the game for B. Bogdanovic
2:31.0,,,75-83,,T. Young misses free throw 2 of 2
2:30.0,,,75-83,,Offensive rebound by T. Young
2:24.0,,,75-83,,J. Johnson misses 3-pt shot from 24 ft
2:22.0,Defensive rebound by R. Felton,,75-83,,
2:16.0,C. Parsons misses 3-pt shot from 25 ft,,75-83,,
2:14.0,Offensive rebound by D. Powell,,75-83,,
