time,Houston,pts.away,score,pts.home,Cleveland
6:36.0,,,83-91,2,T. Thompson makes 2-pt shot from 3 ft (assist by M. Dellavedova)
6:28.0,,,83-91,,Personal foul by T. Thompson
6:28.0,J. Harden makes free throw 1 of 2,1,84-91,,
6:28.0,J. Harden makes free throw 2 of 2,1,85-91,,
6:15.0,,,85-91,,M. Dellavedova misses 3-pt shot from 25 ft
6:14.0,,,85-91,,Offensive rebound by T. Thompson
6:05.0,,,85-91,,K. Irving misses 3-pt shot from 24 ft
6:05.0,Defensive rebound by M. Beasley,,85-91,,
5:59.0,J. Harden makes 2-pt shot from 1 ft,2,87-91,,
5:47.0,,,87-91,,K. Love misses 3-pt shot from 24 ft
5:47.0,Defensive rebound by P. Beverley,,87-91,,
5:37.0,,,87-91,,Personal foul by T. Thompson
5:37.0,,,87-91,,Cleveland full timeout
5:37.0,D. Howard makes free throw 1 of 2,1,88-91,,
5:37.0,D. Howard misses free throw 2 of 2,,88-91,,
5:36.0,,,88-91,,Defensive rebound by K. Love
5:11.0,,,88-91,,J. Smith misses 2-pt shot from 17 ft
5:11.0,Defensive rebound by T. Ariza,,88-91,,
4:57.0,T. Ariza misses 3-pt shot from 25 ft,,88-91,,
4:57.0,,,88-91,,Defensive rebound by M. Dellavedova
4:46.0,,,88-91,,J. Smith misses 2-pt shot from 5 ft
4:46.0,Defensive rebound by T. Ariza,,88-91,,
4:38.0,M. Beasley makes 2-pt shot from 16 ft (assist by T. Ariza),2,90-91,,
4:07.0,,,90-91,,M. Dellavedova misses 3-pt shot from 25 ft
4:07.0,Defensive rebound by M. Beasley,,90-91,,
4:03.0,,,90-91,,Personal foul by M. Dellavedova
4:03.0,D. Howard misses free throw 1 of 2,,90-91,,
4:03.0,Offensive rebound by Team,,90-91,,
4:03.0,,,90-91,,I. Shumpert enters the game for M. Dellavedova
4:03.0,D. Howard makes free throw 2 of 2,1,91-91,,
3:51.0,,,91-91,,I. Shumpert misses 3-pt shot from 25 ft
3:51.0,Defensive rebound by D. Howard,,91-91,,
3:42.0,P. Beverley makes 3-pt shot from 24 ft (assist by J. Harden),3,94-91,,
3:42.0,,,94-91,,Cleveland full timeout
3:28.0,,,94-91,,Turnover by I. Shumpert (bad pass)
3:28.0,,,94-91,,Personal foul by J. Smith
3:28.0,D. Howard misses free throw 1 of 2,,94-91,,
3:28.0,Offensive rebound by Team,,94-91,,
3:28.0,D. Howard misses free throw 2 of 2,,94-91,,
3:26.0,,,94-91,,Defensive rebound by J. Smith
3:04.0,,,94-91,,J. Smith misses 3-pt shot from 25 ft
3:03.0,Defensive rebound by P. Beverley,,94-91,,
2:52.0,M. Beasley misses 3-pt shot from 25 ft,,94-91,,
2:51.0,,,94-91,,Defensive rebound by T. Thompson
2:44.0,,,94-91,,Shooting foul by P. Beverley (drawn by K. Irving)
2:44.0,,,94-91,,K. Irving misses free throw 1 of 2
2:44.0,,,94-91,,Offensive rebound by Team
2:44.0,C. Brewer enters the game for D. Howard,,94-91,,
2:44.0,,,94-92,1,K. Irving makes free throw 2 of 2
2:31.0,Offensive charge foul by M. Beasley,,94-92,,
2:31.0,Turnover by M. Beasley (offensive foul),,94-92,,
2:31.0,D. Howard enters the game for C. Brewer,,94-92,,
2:17.0,,,94-94,2,K. Irving makes 2-pt shot from 13 ft
2:13.0,,,94-94,,Personal foul by K. Irving
2:13.0,D. Howard makes free throw 1 of 2,1,95-94,,
2:13.0,D. Howard misses free throw 2 of 2,,95-94,,
2:13.0,,,95-94,,Defensive rebound by T. Thompson
1:54.0,,,95-94,,I. Shumpert misses 2-pt shot from 15 ft
1:53.0,Defensive rebound by D. Howard,,95-94,,
1:42.0,J. Harden makes 3-pt shot from 24 ft,3,98-94,,
1:30.0,,,98-97,3,K. Irving makes 3-pt shot from 25 ft
1:04.0,J. Harden misses 3-pt shot from 24 ft,,98-97,,
1:03.0,,,98-97,,Defensive rebound by J. Smith
0:40.0,,,98-97,,T. Thompson misses 2-pt shot from 1 ft
0:39.0,Defensive rebound by M. Beasley,,98-97,,
0:17.0,T. Ariza makes 3-pt shot from 24 ft (assist by P. Beverley),3,101-97,,
0:17.0,,,101-97,,Cleveland full timeout
0:13.0,,,101-97,,K. Irving misses 2-pt shot from 17 ft
0:13.0,Defensive rebound by M. Beasley,,101-97,,
0:11.0,,,101-97,,Personal foul by J. Smith
0:11.0,J. Harden makes free throw 1 of 2,1,102-97,,
0:11.0,J. Harden makes free throw 2 of 2,1,103-97,,
0:11.0,,,103-97,,Cleveland full timeout
0:08.0,,,103-97,,Shooting foul by T. Ariza (drawn by K. Irving)
0:08.0,,,103-98,1,K. Irving makes free throw 1 of 3
0:08.0,,,103-99,1,K. Irving makes free throw 2 of 3
0:08.0,,,103-100,1,K. Irving makes free throw 3 of 3
0:08.0,,,103-100,,Flagrant foul type 1 by T. Thompson
0:08.0,D. Howard makes flagrant free throw 1 of 2,1,104-100,,
0:08.0,D. Howard misses flagrant free throw 2 of 2,,104-100,,
0:08.0,Offensive rebound by Team,,104-100,,
0:08.0,Houston full timeout,,104-100,,
0:08.0,J. Terry enters the game for D. Howard,,104-100,,
0:05.0,,,104-100,,Personal foul by J. Smith
0:05.0,J. Harden makes free throw 1 of 2,1,105-100,,
0:05.0,D. Howard enters the game for J. Terry,,105-100,,
0:05.0,J. Harden makes free throw 2 of 2,1,106-100,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
