time,Houston,pts.away,score,pts.home,Cleveland
4:50.0,C. Capela makes free throw 2 of 2,1,37-47,,
4:33.0,,,37-47,,K. Love misses 3-pt shot from 23 ft
4:32.0,Defensive rebound by K. McDaniels,,37-47,,
4:10.0,M. Beasley makes 2-pt shot from 1 ft,2,39-47,,
3:54.0,,,39-50,3,K. Love makes 3-pt shot from 24 ft (assist by K. Irving)
3:41.0,J. Harden misses 3-pt shot from 25 ft,,39-50,,
3:40.0,,,39-50,,Defensive rebound by K. Love
3:31.0,,,39-52,2,K. Irving makes 2-pt shot at rim
3:19.0,T. Ariza misses 3-pt shot from 22 ft,,39-52,,
3:19.0,,,39-52,,Defensive rebound by T. Thompson
3:00.0,,,39-52,,Shooting foul by M. Beasley (drawn by K. Irving)
3:00.0,,,39-53,1,K. Irving makes free throw 1 of 2
3:00.0,,,39-54,1,K. Irving makes free throw 2 of 2
2:52.0,,,39-54,,Violation by I. Shumpert (kicked ball)
2:52.0,,,39-54,,Cleveland full timeout
2:40.0,J. Harden misses 2-pt shot from 4 ft (block by I. Shumpert),,39-54,,
2:39.0,Offensive rebound by J. Harden,,39-54,,
2:36.0,M. Beasley misses 2-pt shot from 20 ft,,39-54,,
2:34.0,Offensive rebound by T. Ariza,,39-54,,
2:23.0,M. Beasley misses 2-pt shot from 1 ft (block by I. Shumpert),,39-54,,
2:22.0,,,39-54,,Defensive rebound by K. Irving
2:16.0,,,39-54,,K. Irving misses 2-pt shot from 1 ft
2:15.0,Defensive rebound by M. Beasley,,39-54,,
2:13.0,D. Howard enters the game for C. Capela,,39-54,,
2:13.0,,,39-54,,J. Jones enters the game for K. Love
2:13.0,C. Brewer enters the game for M. Beasley,,39-54,,
2:13.0,Houston full timeout,,39-54,,
2:02.0,Turnover by J. Harden (bad pass),,39-54,,
1:47.0,,,39-54,,J. Smith misses 3-pt shot from 24 ft
1:47.0,,,39-54,,Offensive rebound by T. Thompson
1:47.0,Personal foul by K. McDaniels,,39-54,,
1:30.0,,,39-54,,K. Irving misses 3-pt shot from 23 ft
1:30.0,Defensive rebound by C. Brewer,,39-54,,
1:26.0,Offensive charge foul by K. McDaniels,,39-54,,
1:26.0,Turnover by K. McDaniels (offensive foul),,39-54,,
1:08.0,,,39-54,,J. Jones misses 3-pt shot from 26 ft
1:08.0,Defensive rebound by D. Howard,,39-54,,
0:59.0,Turnover by J. Harden (lost ball; steal by T. Thompson),,39-54,,
0:48.0,,,39-54,,I. Shumpert misses 2-pt shot from 1 ft
0:48.0,,,39-54,,Offensive rebound by Team
0:48.0,Loose ball foul by C. Brewer,,39-54,,
0:48.0,,,39-55,1,T. Thompson makes free throw 1 of 2
0:48.0,J. Terry enters the game for C. Brewer,,39-55,,
0:48.0,,,39-56,1,T. Thompson makes free throw 2 of 2
0:35.0,K. McDaniels misses 2-pt shot from 3 ft (block by J. Smith),,39-56,,
0:35.0,,,39-56,,Defensive rebound by Team
0:30.0,,,39-59,3,K. Irving makes 3-pt shot from 24 ft
0:08.0,Shooting foul by J. Smith (drawn by J. Harden),,39-59,,
0:08.0,J. Harden misses free throw 1 of 2,,39-59,,
0:08.0,Offensive rebound by Team,,39-59,,
0:08.0,J. Harden makes free throw 2 of 2,1,40-59,,
0:00.0,,,40-59,,K. Irving misses 3-pt shot from 27 ft
0:00.0,,,40-59,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,40-59,,K. Irving misses 2-pt shot from 14 ft
11:46.0,Defensive rebound by D. Motiejunas,,40-59,,
11:32.0,D. Motiejunas makes 2-pt shot from 6 ft (assist by J. Harden),2,42-59,,
11:20.0,,,42-59,,T. Mozgov misses 2-pt shot from 15 ft
11:20.0,Defensive rebound by P. Beverley,,42-59,,
11:13.0,Shooting foul by K. Love (drawn by D. Howard),,42-59,,
11:13.0,D. Howard misses free throw 1 of 2,,42-59,,
11:13.0,Offensive rebound by Team,,42-59,,
11:13.0,D. Howard misses free throw 2 of 2,,42-59,,
11:13.0,,,42-59,,Defensive rebound by T. Mozgov
10:55.0,,,42-59,,K. Love misses 2-pt shot from 19 ft
10:54.0,,,42-59,,Offensive rebound by I. Shumpert
10:49.0,,,42-62,3,I. Shumpert makes 3-pt shot from 25 ft (assist by J. Smith)
10:28.0,Shooting foul by T. Mozgov (drawn by D. Howard),,42-62,,
10:28.0,D. Howard makes free throw 1 of 2,1,43-62,,
10:28.0,D. Howard misses free throw 2 of 2,,43-62,,
10:27.0,,,43-62,,Defensive rebound by I. Shumpert
10:12.0,,,43-62,,Turnover by K. Irving (lost ball; steal by P. Beverley)
10:08.0,T. Ariza makes 2-pt shot at rim,2,45-62,,
9:42.0,,,45-62,,K. Love misses 2-pt shot from 18 ft
9:40.0,Defensive rebound by D. Howard,,45-62,,
9:32.0,D. Motiejunas misses 2-pt shot from 3 ft,,45-62,,
9:30.0,,,45-62,,Defensive rebound by T. Mozgov
9:26.0,,,45-62,,I. Shumpert misses 2-pt shot from 1 ft
9:24.0,,,45-62,,Offensive rebound by T. Mozgov
9:18.0,,,45-62,,K. Love misses 3-pt shot from 23 ft
9:18.0,Defensive rebound by D. Howard,,45-62,,
8:59.0,D. Motiejunas misses 3-pt shot from 24 ft,,45-62,,
8:58.0,Offensive rebound by P. Beverley,,45-62,,
8:56.0,P. Beverley makes 2-pt shot from 2 ft,2,47-62,,
8:56.0,,,47-62,,Cleveland full timeout
8:42.0,Def 3 sec tech foul by D. Howard,,47-62,,
8:42.0,,,47-63,1,K. Irving makes technical free throw
8:29.0,,,47-63,,Shooting foul by D. Motiejunas (drawn by I. Shumpert)
8:29.0,,,47-64,1,I. Shumpert makes free throw 1 of 2
8:29.0,M. Beasley enters the game for D. Motiejunas,,47-64,,
8:29.0,,,47-64,,I. Shumpert misses free throw 2 of 2
8:28.0,Defensive rebound by D. Howard,,47-64,,
8:07.0,P. Beverley misses 2-pt shot from 10 ft,,47-64,,
8:05.0,Offensive rebound by P. Beverley,,47-64,,
8:05.0,D. Howard makes 2-pt shot at rim (assist by M. Beasley),2,49-64,,
8:05.0,Shooting foul by T. Mozgov (drawn by D. Howard),,49-64,,
8:05.0,,,49-64,,T. Thompson enters the game for T. Mozgov
8:05.0,D. Howard misses free throw 1 of 1,,49-64,,
8:04.0,,,49-64,,Defensive rebound by K. Love
7:55.0,,,49-64,,K. Irving misses 2-pt shot at rim
7:55.0,Defensive rebound by Team,,49-64,,
7:55.0,,,49-64,,Loose ball foul by T. Thompson
7:33.0,M. Beasley makes 2-pt shot at rim (assist by T. Ariza),2,51-64,,
7:01.0,,,51-64,,K. Irving misses 3-pt shot from 24 ft
7:01.0,Defensive rebound by D. Howard,,51-64,,
7:00.0,Turnover by J. Harden (traveling),,51-64,,
6:44.0,,,51-64,,Offensive foul by K. Irving
6:44.0,,,51-64,,Turnover by K. Irving (offensive foul)
6:35.0,Turnover by J. Harden (lost ball; steal by I. Shumpert),,51-64,,
6:31.0,,,51-66,2,I. Shumpert makes 2-pt shot at rim (assist by J. Smith)
6:16.0,M. Beasley misses 2-pt shot from 16 ft,,51-66,,
6:16.0,Offensive rebound by P. Beverley,,51-66,,
6:08.0,P. Beverley makes 3-pt shot from 24 ft,3,54-66,,
5:56.0,,,54-69,3,K. Love makes 3-pt shot from 25 ft (assist by K. Irving)
5:38.0,M. Beasley makes 2-pt shot from 1 ft (assist by P. Beverley),2,56-69,,
5:20.0,,,56-71,2,I. Shumpert makes 2-pt shot from 17 ft (assist by K. Irving)
5:09.0,T. Ariza misses 2-pt shot from 18 ft,,56-71,,
5:08.0,,,56-71,,Defensive rebound by K. Love
5:01.0,,,56-71,,K. Irving misses 2-pt shot from 1 ft (block by P. Beverley)
5:01.0,,,56-71,,Offensive rebound by Team
5:01.0,C. Capela enters the game for D. Howard,,56-71,,
4:58.0,Personal foul by M. Beasley,,56-71,,
4:50.0,,,56-71,,I. Shumpert misses 3-pt shot from 23 ft
4:50.0,Defensive rebound by T. Ariza,,56-71,,
4:37.0,M. Beasley makes 2-pt shot from 8 ft (assist by P. Beverley),2,58-71,,
4:10.0,,,58-71,,Turnover by J. Smith (bad pass)
3:53.0,M. Beasley misses 2-pt shot from 5 ft,,58-71,,
3:51.0,Offensive rebound by C. Capela,,58-71,,
3:51.0,C. Capela makes 2-pt shot at rim,2,60-71,,
3:39.0,,,60-73,2,T. Thompson makes 2-pt shot at rim (assist by K. Irving)
3:20.0,M. Beasley misses 2-pt shot from 1 ft (block by T. Thompson),,60-73,,
3:19.0,,,60-73,,Defensive rebound by K. Love
3:11.0,,,60-76,3,K. Irving makes 3-pt shot from 28 ft (assist by I. Shumpert)
3:11.0,Houston full timeout,,60-76,,
3:11.0,,,60-76,,M. Dellavedova enters the game for J. Smith
3:11.0,K. McDaniels enters the game for P. Beverley,,60-76,,
2:52.0,T. Ariza makes 2-pt shot from 10 ft (assist by J. Harden),2,62-76,,
2:36.0,,,62-76,,Turnover by K. Irving (lost ball; steal by C. Capela)
2:29.0,J. Harden makes 2-pt shot at rim,2,64-76,,
2:21.0,Personal foul by J. Harden,,64-76,,
2:21.0,,,64-76,,C. Frye enters the game for K. Love
2:12.0,,,64-79,3,I. Shumpert makes 3-pt shot from 24 ft (assist by M. Dellavedova)
1:58.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,66-79,,
1:41.0,,,66-79,,I. Shumpert misses 2-pt shot at rim
1:40.0,Defensive rebound by C. Capela,,66-79,,
1:35.0,K. McDaniels misses 2-pt shot from 4 ft,,66-79,,
1:33.0,Offensive rebound by C. Capela,,66-79,,
1:33.0,C. Capela misses 2-pt shot from 2 ft,,66-79,,
1:32.0,Offensive rebound by C. Capela,,66-79,,
1:32.0,C. Capela misses 2-pt shot at rim,,66-79,,
1:31.0,Offensive rebound by C. Capela,,66-79,,
1:31.0,C. Capela makes 2-pt shot at rim,2,68-79,,
1:20.0,,,68-79,,Shooting foul by J. Harden (drawn by T. Thompson)
1:20.0,,,68-80,1,T. Thompson makes free throw 1 of 2
1:20.0,,,68-81,1,T. Thompson makes free throw 2 of 2
1:05.0,Turnover by C. Capela (traveling),,68-81,,
0:42.0,,,68-81,,K. Irving misses 2-pt shot at rim (block by M. Beasley)
0:40.0,Defensive rebound by J. Harden,,68-81,,
0:37.0,T. Ariza makes 3-pt shot from 23 ft (assist by J. Harden),3,71-81,,
0:29.0,,,71-84,3,K. Irving makes 3-pt shot from 25 ft (assist by M. Dellavedova)
0:08.0,J. Harden misses 3-pt shot from 24 ft,,71-84,,
0:07.0,,,71-84,,Defensive rebound by K. Irving
0:03.0,,,71-84,,K. Irving misses 3-pt shot from 25 ft (block by C. Capela)
0:02.0,Defensive rebound by J. Harden,,71-84,,
0:00.0,J. Harden misses 3-pt shot from 40 ft,,71-84,,
0:00.0,Offensive rebound by Team,,71-84,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,P. Beverley misses 3-pt shot from 23 ft,,71-84,,
11:46.0,,,71-84,,Defensive rebound by I. Shumpert
11:25.0,,,71-84,,M. Dellavedova misses 2-pt shot from 11 ft
11:24.0,Defensive rebound by C. Capela,,71-84,,
11:18.0,J. Harden makes 3-pt shot from 24 ft (assist by C. Capela),3,74-84,,
11:10.0,Personal foul by P. Beverley,,74-84,,
11:08.0,Personal foul by K. McDaniels,,74-84,,
10:52.0,,,74-84,,Turnover by Team (shot clock)
10:43.0,J. Harden makes 2-pt shot from 6 ft,2,76-84,,
10:38.0,,,76-84,,Offensive foul by T. Thompson
10:38.0,,,76-84,,Turnover by T. Thompson (offensive foul)
10:30.0,,,76-84,,Personal foul by I. Shumpert
10:26.0,,,76-84,,Personal foul by I. Shumpert
10:18.0,J. Harden makes 2-pt shot at rim,2,78-84,,
9:59.0,Personal foul by C. Brewer,,78-84,,
9:50.0,,,78-86,2,T. Thompson makes 2-pt shot from 4 ft (assist by M. Dellavedova)
9:35.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,80-86,,
9:14.0,,,80-86,,I. Shumpert misses 3-pt shot from 25 ft
9:13.0,Defensive rebound by C. Capela,,80-86,,
9:03.0,Turnover by K. McDaniels (traveling),,80-86,,
8:41.0,,,80-89,3,R. Jefferson makes 3-pt shot from 23 ft (assist by M. Dellavedova)
8:28.0,,,80-89,,Personal foul by I. Shumpert
8:28.0,Official timeout,,80-89,,
8:28.0,,,80-89,,J. Smith enters the game for I. Shumpert
8:28.0,,,80-89,,K. Love enters the game for C. Frye
8:13.0,P. Beverley misses 2-pt shot from 21 ft,,80-89,,
