time,Washington,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. M. Gortat (J. Dudley gains possession),,,,Jump ball: A. Davis vs. M. Gortat (J. Dudley gains possession)
11:35.0,G. Temple misses 3-pt shot from 26 ft,,0-0,,
11:35.0,,,0-0,,Defensive rebound by A. Davis
11:16.0,,,0-0,,Turnover by E. Gordon (bad pass; steal by J. Dudley)
11:02.0,M. Gortat makes 2-pt shot from 16 ft (assist by G. Temple),2,2-0,,
10:33.0,,,2-0,,T. Evans misses 2-pt shot from 19 ft
10:33.0,Defensive rebound by O. Porter,,2-0,,
10:27.0,M. Gortat makes 2-pt shot at rim (assist by J. Wall),2,4-0,,
10:09.0,,,4-0,,A. Davis misses 2-pt shot from 13 ft
10:08.0,Defensive rebound by J. Wall,,4-0,,
10:00.0,J. Wall makes 2-pt shot from 20 ft,2,6-0,,
9:41.0,,,6-0,,A. Davis misses 2-pt shot from 8 ft
9:40.0,,,6-0,,Offensive rebound by A. Gee
9:34.0,,,6-3,3,T. Evans makes 3-pt shot from 24 ft (assist by A. Gee)
9:18.0,J. Wall misses 3-pt shot from 26 ft,,6-3,,
9:17.0,,,6-3,,Defensive rebound by E. Gordon
9:08.0,,,6-3,,E. Gordon misses 3-pt shot from 24 ft
9:07.0,,,6-3,,Offensive rebound by A. Davis
9:04.0,,,6-5,2,A. Davis makes 2-pt shot from 4 ft
8:57.0,,,6-5,,Personal block foul by A. Gee (drawn by O. Porter)
8:50.0,Turnover by J. Wall (bad pass; steal by E. Gordon),,6-5,,
8:43.0,,,6-5,,E. Gordon misses 2-pt shot from 1 ft
8:43.0,,,6-5,,Offensive rebound by Team
8:34.0,,,6-5,,T. Evans misses 2-pt shot from 5 ft
8:33.0,,,6-5,,Offensive rebound by O. Asik
8:31.0,,,6-5,,O. Asik misses 2-pt shot from 1 ft
8:30.0,,,6-5,,Offensive rebound by A. Davis
8:27.0,,,6-7,2,T. Evans makes 2-pt shot from 1 ft (assist by A. Davis)
8:00.0,O. Porter misses 2-pt shot from 21 ft,,6-7,,
7:59.0,,,6-7,,Defensive rebound by A. Gee
7:41.0,,,6-10,3,T. Evans makes 3-pt shot from 25 ft
7:20.0,O. Porter makes 3-pt shot from 24 ft (assist by J. Dudley),3,9-10,,
7:06.0,,,9-12,2,E. Gordon makes 2-pt shot from 20 ft
6:57.0,O. Porter makes 3-pt shot from 25 ft (assist by J. Wall),3,12-12,,
6:33.0,,,12-14,2,E. Gordon makes 2-pt shot from 2 ft
6:22.0,J. Wall makes 2-pt shot from 15 ft (assist by M. Gortat),2,14-14,,
6:05.0,,,14-17,3,E. Gordon makes 3-pt shot from 25 ft
5:47.0,J. Dudley misses 2-pt shot from 19 ft,,14-17,,
5:46.0,Offensive rebound by M. Gortat,,14-17,,
5:46.0,M. Gortat misses 2-pt shot from 1 ft,,14-17,,
5:45.0,,,14-17,,Defensive rebound by O. Asik
5:38.0,,,14-17,,Shooting foul by G. Temple (drawn by T. Evans)
5:38.0,,,14-17,,New Orleans full timeout
5:38.0,,,14-17,,A. Ajinca enters the game for O. Asik
5:38.0,,,14-17,,T. Evans misses free throw 1 of 2
5:38.0,,,14-17,,Offensive rebound by Team
5:38.0,,,14-18,1,T. Evans makes free throw 2 of 2
5:21.0,Turnover by M. Gortat (lost ball; steal by T. Evans),,14-18,,
5:13.0,,,14-18,,Turnover by T. Evans (bad pass; steal by O. Porter)
5:04.0,M. Gortat makes 2-pt shot from 18 ft (assist by J. Wall),2,16-18,,
4:47.0,,,16-20,2,A. Ajinca makes 2-pt shot from 19 ft (assist by T. Evans)
4:37.0,O. Porter misses 3-pt shot from 24 ft,,16-20,,
4:37.0,,,16-20,,Defensive rebound by T. Evans
4:15.0,,,16-20,,E. Gordon misses 3-pt shot from 24 ft
4:14.0,Defensive rebound by J. Wall,,16-20,,
4:07.0,J. Wall misses 2-pt shot from 19 ft,,16-20,,
4:06.0,,,16-20,,Defensive rebound by A. Ajinca
4:01.0,Personal foul by J. Dudley (drawn by A. Davis),,16-20,,
4:01.0,G. Neal enters the game for G. Temple,,16-20,,
4:01.0,,,16-20,,J. Holiday enters the game for T. Evans
3:44.0,,,16-20,,E. Gordon misses 3-pt shot from 25 ft
3:43.0,Defensive rebound by O. Porter,,16-20,,
3:28.0,M. Gortat misses 2-pt shot from 6 ft,,16-20,,
3:27.0,,,16-20,,Defensive rebound by A. Ajinca
3:10.0,,,16-20,,Offensive foul by A. Davis
3:10.0,,,16-20,,Turnover by A. Davis (offensive foul)
3:10.0,R. Sessions enters the game for J. Dudley,,16-20,,
3:10.0,Washington full timeout,,16-20,,
2:54.0,G. Neal makes 3-pt shot from 23 ft (assist by M. Gortat),3,19-20,,
2:35.0,,,19-20,,A. Gee misses 2-pt shot from 20 ft
2:35.0,Defensive rebound by G. Neal,,19-20,,
2:23.0,O. Porter misses 3-pt shot from 24 ft,,19-20,,
2:23.0,,,19-20,,Defensive rebound by A. Davis
2:14.0,,,19-20,,A. Davis misses 2-pt shot from 19 ft
