time,Utah,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. R. Gobert (D. Green gains possession),,,,Jump ball: A. Bogut vs. R. Gobert (D. Green gains possession)
11:44.0,,,0-0,,H. Barnes misses 2-pt shot from 2 ft
11:43.0,Defensive rebound by G. Hayward,,0-0,,
11:25.0,D. Favors misses 2-pt shot from 11 ft,,0-0,,
11:24.0,Offensive rebound by R. Gobert,,0-0,,
11:19.0,R. Gobert makes 2-pt shot from 1 ft,2,2-0,,
11:09.0,,,2-0,,Turnover by D. Green (lost ball; steal by S. Mack)
11:02.0,C. Johnson misses 3-pt shot from 23 ft,,2-0,,
11:02.0,Offensive rebound by R. Gobert,,2-0,,
10:47.0,S. Mack misses 2-pt shot from 12 ft,,2-0,,
10:47.0,,,2-0,,Defensive rebound by A. Bogut
10:41.0,,,2-0,,Turnover by D. Green (bad pass)
10:31.0,Turnover by C. Johnson (lost ball; steal by S. Curry),,2-0,,
10:27.0,,,2-2,2,D. Green makes 2-pt shot at rim (assist by S. Curry)
10:03.0,S. Mack misses 2-pt shot from 15 ft,,2-2,,
10:02.0,Offensive rebound by R. Gobert,,2-2,,
9:56.0,C. Johnson makes 2-pt shot from 1 ft (assist by S. Mack),2,4-2,,
9:47.0,,,4-2,,S. Curry misses 3-pt shot from 25 ft
9:46.0,Defensive rebound by G. Hayward,,4-2,,
9:38.0,Shooting foul by A. Bogut (drawn by R. Gobert),,4-2,,
9:38.0,R. Gobert misses free throw 1 of 2,,4-2,,
9:38.0,Offensive rebound by Team,,4-2,,
9:38.0,R. Gobert makes free throw 2 of 2,1,5-2,,
9:19.0,Personal foul by C. Johnson,,5-2,,
9:14.0,,,5-4,2,A. Bogut makes 2-pt shot at rim (assist by S. Curry)
9:01.0,Turnover by C. Johnson (back court),,5-4,,
8:56.0,,,5-6,2,A. Bogut makes 2-pt shot at rim (assist by S. Curry)
8:30.0,G. Hayward misses 3-pt shot from 25 ft,,5-6,,
8:30.0,,,5-6,,Defensive rebound by K. Thompson
8:13.0,,,5-9,3,K. Thompson makes 3-pt shot from 25 ft (assist by A. Bogut)
8:12.0,Utah full timeout,,5-9,,
8:00.0,D. Favors misses 2-pt shot from 2 ft (block by A. Bogut),,5-9,,
7:58.0,Offensive rebound by C. Johnson,,5-9,,
7:52.0,G. Hayward makes 3-pt shot from 23 ft (assist by S. Mack),3,8-9,,
7:36.0,,,8-9,,Turnover by A. Bogut (lost ball; steal by C. Johnson)
7:31.0,Turnover by G. Hayward (lost ball),,8-9,,
7:24.0,,,8-9,,S. Curry misses 3-pt shot from 25 ft
7:23.0,Defensive rebound by C. Johnson,,8-9,,
6:58.0,S. Mack makes 2-pt shot from 4 ft,2,10-9,,
6:45.0,,,10-9,,K. Thompson misses 3-pt shot from 24 ft
6:44.0,Defensive rebound by R. Gobert,,10-9,,
6:22.0,D. Favors misses 2-pt shot from 12 ft,,10-9,,
6:21.0,,,10-9,,Defensive rebound by H. Barnes
6:09.0,,,10-12,3,D. Green makes 3-pt shot from 25 ft (assist by S. Curry)
5:44.0,G. Hayward misses 2-pt shot from 10 ft,,10-12,,
5:43.0,,,10-12,,Defensive rebound by D. Green
