time,Washington,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. M. Gortat (K. Humphries gains possession),,,,Jump ball: A. Drummond vs. M. Gortat (K. Humphries gains possession)
11:44.0,Jump ball: A. Drummond vs. M. Gortat (J. Wall gains possession),,,,Jump ball: A. Drummond vs. M. Gortat (J. Wall gains possession)
11:39.0,J. Wall misses 2-pt shot from 11 ft,,0-0,,
11:36.0,,,0-0,,Defensive rebound by A. Drummond
11:17.0,,,0-2,2,E. Ilyasova makes 2-pt shot from 16 ft
10:56.0,M. Gortat misses 2-pt shot from 19 ft,,0-2,,
10:56.0,Offensive rebound by O. Porter,,0-2,,
10:51.0,O. Porter makes 2-pt shot at rim,2,2-2,,
10:31.0,,,2-2,,R. Jackson misses 2-pt shot from 14 ft
10:30.0,Defensive rebound by J. Wall,,2-2,,
10:18.0,K. Humphries misses 3-pt shot from 25 ft,,2-2,,
10:18.0,,,2-2,,Defensive rebound by A. Drummond
10:07.0,,,2-5,3,M. Morris makes 3-pt shot from 24 ft (assist by R. Jackson)
9:53.0,B. Beal misses 2-pt shot at rim,,2-5,,
9:50.0,,,2-5,,Defensive rebound by A. Drummond
9:28.0,,,2-8,3,M. Morris makes 3-pt shot from 25 ft (assist by R. Jackson)
9:04.0,M. Gortat misses 2-pt shot from 4 ft,,2-8,,
9:03.0,,,2-8,,Defensive rebound by M. Morris
8:52.0,,,2-8,,A. Drummond misses 2-pt shot from 4 ft
8:51.0,Defensive rebound by K. Humphries,,2-8,,
8:44.0,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall),2,4-8,,
8:27.0,,,4-10,2,R. Jackson makes 2-pt shot at rim (assist by E. Ilyasova)
8:08.0,J. Wall misses 3-pt shot from 24 ft,,4-10,,
8:08.0,,,4-10,,Defensive rebound by A. Drummond
8:02.0,,,4-12,2,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by A. Drummond)
7:47.0,Turnover by O. Porter (bad pass),,4-12,,
7:30.0,,,4-12,,E. Ilyasova misses 3-pt shot from 22 ft
7:29.0,Defensive rebound by O. Porter,,4-12,,
7:19.0,K. Humphries misses 2-pt shot from 4 ft,,4-12,,
7:18.0,Offensive rebound by M. Gortat,,4-12,,
7:13.0,M. Gortat makes 2-pt shot from 2 ft,2,6-12,,
6:50.0,,,6-12,,R. Jackson misses 3-pt shot from 25 ft
6:50.0,Defensive rebound by K. Humphries,,6-12,,
6:43.0,O. Porter makes 3-pt shot from 23 ft (assist by J. Wall),3,9-12,,
6:30.0,,,9-12,,Turnover by M. Morris (bad pass; steal by J. Wall)
6:23.0,O. Porter makes 2-pt shot at rim (assist by J. Wall),2,11-12,,
5:53.0,,,11-12,,R. Jackson misses 3-pt shot from 25 ft
5:53.0,Defensive rebound by M. Gortat,,11-12,,
5:47.0,J. Wall makes 2-pt shot from 1 ft,2,13-12,,
5:41.0,,,13-12,,Detroit full timeout
5:34.0,,,13-12,,Turnover by R. Jackson (bad pass; steal by O. Porter)
5:27.0,J. Wall makes 2-pt shot at rim,2,15-12,,
5:05.0,,,15-14,2,M. Morris makes 2-pt shot from 17 ft
4:51.0,B. Beal misses 2-pt shot from 18 ft,,15-14,,
4:50.0,,,15-14,,Defensive rebound by A. Drummond
4:34.0,,,15-16,2,E. Ilyasova makes 2-pt shot at rim (assist by R. Jackson)
4:29.0,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall),2,17-16,,
4:17.0,,,17-16,,R. Jackson misses 2-pt shot from 6 ft
4:14.0,,,17-16,,Offensive rebound by R. Jackson
4:08.0,,,17-18,2,A. Drummond makes 2-pt shot from 4 ft (assist by R. Jackson)
3:58.0,O. Porter makes 3-pt shot from 23 ft (assist by J. Wall),3,20-18,,
3:39.0,,,20-18,,E. Ilyasova misses 2-pt shot from 5 ft
3:39.0,Defensive rebound by O. Porter,,20-18,,
3:34.0,J. Wall makes 2-pt shot from 1 ft,2,22-18,,
3:13.0,,,22-20,2,R. Jackson makes 2-pt shot from 6 ft
2:52.0,K. Humphries misses 3-pt shot from 26 ft,,22-20,,
2:51.0,Offensive rebound by M. Gortat,,22-20,,
2:45.0,M. Gortat makes 2-pt shot from 4 ft,2,24-20,,
2:36.0,,,24-20,,Detroit full timeout
2:36.0,Washington full timeout,,24-20,,
2:36.0,J. Dudley enters the game for K. Humphries,,24-20,,
2:36.0,R. Sessions enters the game for B. Beal,,24-20,,
2:36.0,G. Temple enters the game for J. Wall,,24-20,,
2:36.0,,,24-20,,S. Dinwiddie enters the game for E. Ilyasova
2:36.0,,,24-20,,A. Tolliver enters the game for R. Jackson
2:21.0,,,24-20,,S. Dinwiddie misses 2-pt shot from 16 ft
2:20.0,Defensive rebound by R. Sessions,,24-20,,
2:04.0,,,24-20,,Personal foul by K. Caldwell-Pope (drawn by G. Temple)
1:52.0,G. Temple makes 2-pt shot from 1 ft (assist by R. Sessions),2,26-20,,
1:40.0,Def 3 sec tech foul by M. Gortat,,26-20,,
1:40.0,,,26-20,,K. Caldwell-Pope misses technical free throw
1:40.0,,,26-20,,Offensive rebound by Team
1:40.0,N. Hilario enters the game for M. Gortat,,26-20,,
1:24.0,,,26-20,,K. Caldwell-Pope misses 2-pt shot from 15 ft
1:23.0,Defensive rebound by N. Hilario,,26-20,,
1:12.0,N. Hilario makes 2-pt shot from 15 ft,2,28-20,,
1:00.0,,,28-22,2,S. Dinwiddie makes 2-pt shot at rim
0:54.0,Turnover by G. Temple (step out of bounds),,28-22,,
0:54.0,,,28-22,,R. Bullock enters the game for K. Caldwell-Pope
0:37.0,,,28-24,2,M. Morris makes 2-pt shot from 14 ft
0:23.0,N. Hilario makes 2-pt shot from 4 ft,2,30-24,,
0:08.0,Personal foul by R. Sessions (drawn by S. Dinwiddie),,30-24,,
0:01.0,,,30-24,,A. Drummond misses 2-pt shot from 6 ft
0:00.0,,,30-24,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,Personal foul by R. Sessions (drawn by S. Dinwiddie),,30-24,,
11:30.0,,,30-24,,S. Dinwiddie misses 2-pt shot from 6 ft
11:28.0,,,30-24,,Offensive rebound by A. Tolliver
11:19.0,Personal foul by J. Dudley (drawn by S. Johnson),,30-24,,
11:08.0,,,30-24,,R. Bullock misses 3-pt shot from 24 ft
11:08.0,Defensive rebound by G. Temple,,30-24,,
11:02.0,,,30-24,,Personal foul by S. Dinwiddie (drawn by R. Sessions)
10:50.0,N. Hilario makes 2-pt shot at rim,2,32-24,,
10:21.0,,,32-24,,S. Dinwiddie misses 2-pt shot from 17 ft
10:20.0,Defensive rebound by G. Neal,,32-24,,
10:14.0,G. Temple misses 3-pt shot from 26 ft,,32-24,,
10:13.0,,,32-24,,Defensive rebound by S. Dinwiddie
10:04.0,,,32-24,,Turnover by A. Baynes (traveling)
10:04.0,,,32-24,,Violation by Team (delay of game)
9:51.0,,,32-24,,Personal foul by A. Tolliver (drawn by G. Neal)
9:41.0,G. Temple misses 3-pt shot from 26 ft,,32-24,,
9:40.0,,,32-24,,Defensive rebound by A. Baynes
9:31.0,,,32-26,2,S. Johnson makes 2-pt shot from 12 ft
9:24.0,Shooting foul by A. Baynes (drawn by R. Sessions),,32-26,,
9:24.0,R. Sessions misses free throw 1 of 2,,32-26,,
9:24.0,Offensive rebound by Team,,32-26,,
9:24.0,R. Sessions makes free throw 2 of 2,1,33-26,,
9:07.0,,,33-26,,S. Johnson misses 2-pt shot from 17 ft
9:06.0,Defensive rebound by G. Neal,,33-26,,
9:06.0,,,33-26,,Personal foul by R. Bullock (drawn by G. Neal)
8:55.0,Shooting foul by S. Dinwiddie (drawn by R. Sessions),,33-26,,
8:55.0,Official timeout,,33-26,,
8:55.0,R. Sessions makes free throw 1 of 2,1,34-26,,
8:55.0,R. Sessions makes free throw 2 of 2,1,35-26,,
8:40.0,,,35-26,,Turnover by S. Johnson (bad pass; steal by G. Temple)
8:36.0,G. Temple makes 2-pt shot at rim (assist by N. Hilario),2,37-26,,
8:19.0,Def 3 sec tech foul by G. Neal,,37-26,,
8:19.0,,,37-27,1,R. Bullock makes technical free throw
8:08.0,,,37-27,,R. Bullock misses 3-pt shot from 23 ft
8:07.0,Defensive rebound by R. Sessions,,37-27,,
7:56.0,N. Hilario makes 2-pt shot from 13 ft (assist by R. Sessions),2,39-27,,
7:35.0,,,39-27,,S. Dinwiddie misses 2-pt shot from 6 ft
7:35.0,,,39-27,,Offensive rebound by A. Baynes
7:33.0,,,39-27,,A. Baynes misses 2-pt shot from 3 ft
7:32.0,,,39-27,,Offensive rebound by R. Bullock
7:28.0,,,39-27,,R. Bullock misses 2-pt shot at rim
7:27.0,Defensive rebound by G. Neal,,39-27,,
7:23.0,N. Hilario makes 2-pt shot from 1 ft (assist by R. Sessions),2,41-27,,
7:09.0,Personal foul by G. Temple (drawn by S. Dinwiddie),,41-27,,
7:09.0,,,41-27,,A. Drummond enters the game for S. Dinwiddie
7:09.0,,,41-27,,R. Jackson enters the game for R. Bullock
7:09.0,,,41-27,,K. Caldwell-Pope enters the game for A. Baynes
7:09.0,B. Beal enters the game for G. Temple,,41-27,,
7:05.0,,,41-29,2,R. Jackson makes 2-pt shot from 1 ft
7:05.0,,,41-29,,Shooting foul by N. Hilario (drawn by R. Jackson)
7:05.0,,,41-29,,E. Ilyasova enters the game for A. Tolliver
7:05.0,,,41-30,1,R. Jackson makes free throw 1 of 1
6:55.0,,,41-30,,Personal foul by R. Jackson (drawn by R. Sessions)
6:55.0,R. Sessions misses free throw 1 of 2,,41-30,,
6:55.0,Offensive rebound by Team,,41-30,,
6:55.0,R. Sessions makes free throw 2 of 2,1,42-30,,
6:35.0,,,42-30,,Turnover by R. Jackson (bad pass; steal by N. Hilario)
6:25.0,N. Hilario makes 2-pt shot at rim,2,44-30,,
6:06.0,,,44-32,2,K. Caldwell-Pope makes 2-pt shot from 10 ft (assist by S. Johnson)
5:57.0,N. Hilario makes 2-pt shot at rim (assist by R. Sessions),2,46-32,,
5:42.0,,,46-32,,R. Jackson misses 2-pt shot from 13 ft
5:42.0,Defensive rebound by Team,,46-32,,
5:42.0,,,46-32,,Detroit full timeout
5:42.0,J. Wall enters the game for R. Sessions,,46-32,,
5:42.0,M. Gortat enters the game for N. Hilario,,46-32,,
