time,Sacramento,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Cousins vs. N. Jokic (D. Gallinari gains possession),,,,Jump ball: D. Cousins vs. N. Jokic (D. Gallinari gains possession)
11:32.0,,,0-0,,E. Mudiay misses 3-pt shot from 23 ft
11:32.0,Defensive rebound by R. Rondo,,0-0,,
11:28.0,Turnover by R. Rondo (bad pass; steal by D. Gallinari),,0-0,,
11:25.0,,,0-0,,G. Harris misses 2-pt shot from 4 ft (block by R. Rondo)
11:24.0,,,0-0,,Offensive rebound by Team
11:13.0,,,0-0,,E. Mudiay misses 3-pt shot from 24 ft
11:12.0,Defensive rebound by R. Gay,,0-0,,
11:04.0,Q. Acy misses 2-pt shot from 2 ft,,0-0,,
11:03.0,,,0-0,,Defensive rebound by N. Jokic
10:58.0,,,0-0,,G. Harris misses 2-pt shot from 1 ft
10:57.0,,,0-0,,Offensive rebound by N. Jokic
10:55.0,,,0-0,,N. Jokic misses 2-pt shot from 1 ft (block by Q. Acy)
10:54.0,Defensive rebound by R. Rondo,,0-0,,
10:54.0,Offensive charge foul by B. McLemore,,0-0,,
10:54.0,Turnover by B. McLemore (offensive foul),,0-0,,
10:42.0,,,0-0,,Shooting foul by D. Cousins (drawn by N. Jokic)
10:42.0,,,0-1,1,N. Jokic makes free throw 1 of 2
10:42.0,,,0-2,1,N. Jokic makes free throw 2 of 2
10:24.0,B. McLemore misses 3-pt shot from 23 ft,,0-2,,
10:23.0,,,0-2,,Defensive rebound by N. Jokic
10:18.0,,,0-2,,G. Harris misses 2-pt shot from 1 ft
10:18.0,Defensive rebound by Q. Acy,,0-2,,
10:09.0,B. McLemore makes 2-pt shot from 2 ft (assist by R. Rondo),2,2-2,,
10:01.0,,,2-2,,N. Jokic misses 3-pt shot from 25 ft
10:00.0,Defensive rebound by R. Gay,,2-2,,
9:57.0,Turnover by R. Gay (bad pass; steal by N. Jokic),,2-2,,
9:48.0,,,2-2,,E. Mudiay misses 2-pt shot from 2 ft
9:48.0,,,2-2,,Offensive rebound by N. Jokic
9:43.0,,,2-4,2,D. Gallinari makes 2-pt shot from 2 ft (assist by N. Jokic)
9:40.0,Turnover by B. McLemore (lost ball; steal by G. Harris),,2-4,,
9:37.0,,,2-4,,G. Harris misses 2-pt shot from 3 ft (block by R. Gay)
9:36.0,,,2-4,,Offensive rebound by Team
9:28.0,,,2-6,2,G. Harris makes 2-pt shot at rim (assist by N. Jokic)
9:14.0,R. Rondo misses 2-pt shot from 3 ft (block by K. Faried),,2-6,,
9:12.0,,,2-6,,Defensive rebound by G. Harris
9:07.0,,,2-8,2,K. Faried makes 2-pt shot from 1 ft (assist by G. Harris)
9:06.0,Sacramento full timeout,,2-8,,
9:00.0,,,2-8,,Personal foul by N. Jokic (drawn by D. Cousins)
8:48.0,D. Cousins makes 2-pt shot from 2 ft (assist by B. McLemore),2,4-8,,
8:34.0,,,4-8,,D. Gallinari misses 2-pt shot from 14 ft
8:31.0,Defensive rebound by D. Cousins,,4-8,,
8:24.0,R. Rondo makes 2-pt shot from 1 ft,2,6-8,,
8:08.0,,,6-8,,G. Harris misses 2-pt shot from 2 ft
8:07.0,,,6-8,,Offensive rebound by K. Faried
8:06.0,,,6-10,2,K. Faried makes 2-pt shot at rim
7:51.0,R. Rondo makes 2-pt shot from 14 ft (assist by D. Cousins),2,8-10,,
7:41.0,,,8-10,,N. Jokic misses 2-pt shot from 1 ft (block by D. Cousins)
7:39.0,,,8-10,,Offensive rebound by N. Jokic
7:34.0,,,8-10,,D. Gallinari misses 2-pt shot from 3 ft (block by R. Gay)
7:34.0,,,8-10,,Offensive rebound by Team
7:30.0,,,8-10,,G. Harris misses 3-pt shot from 24 ft
7:29.0,Defensive rebound by B. McLemore,,8-10,,
7:11.0,R. Gay misses 3-pt shot from 22 ft,,8-10,,
7:10.0,,,8-10,,Defensive rebound by N. Jokic
7:09.0,,,8-10,,Turnover by N. Jokic (bad pass)
6:53.0,D. Cousins makes 2-pt shot at rim (assist by R. Gay),2,10-10,,
6:34.0,,,10-12,2,G. Harris makes 2-pt shot from 1 ft (assist by N. Jokic)
6:23.0,Turnover by R. Rondo (lost ball; steal by K. Faried),,10-12,,
6:17.0,,,10-14,2,E. Mudiay makes 2-pt shot from 2 ft (assist by K. Faried)
