time,Detroit,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. A. Drummond (R. Jackson gains possession),,,,Jump ball: A. Davis vs. A. Drummond (R. Jackson gains possession)
11:45.0,K. Caldwell-Pope misses 2-pt shot from 22 ft,,0-0,,
11:44.0,,,0-0,,Defensive rebound by N. Cole
11:33.0,,,0-0,,T. Evans misses 2-pt shot at rim
11:32.0,,,0-0,,Offensive rebound by T. Evans
11:31.0,,,0-2,2,T. Evans makes 2-pt shot at rim
11:17.0,E. Ilyasova misses 2-pt shot from 18 ft (block by A. Davis),,0-2,,
11:17.0,Offensive rebound by Team,,0-2,,
11:02.0,A. Drummond misses 2-pt shot from 1 ft,,0-2,,
10:59.0,Offensive rebound by E. Ilyasova,,0-2,,
10:59.0,E. Ilyasova makes 2-pt shot from 1 ft,2,2-2,,
10:47.0,,,2-2,,Shooting foul by K. Caldwell-Pope (drawn by O. Asik)
10:47.0,,,2-3,1,O. Asik makes free throw 1 of 2
10:47.0,,,2-4,1,O. Asik makes free throw 2 of 2
10:32.0,M. Morris misses 2-pt shot from 16 ft,,2-4,,
10:32.0,,,2-4,,Defensive rebound by N. Cole
10:19.0,Def 3 sec tech foul by A. Drummond,,2-4,,
10:19.0,,,2-5,1,A. Davis makes technical free throw
10:11.0,,,2-5,,O. Asik misses 2-pt shot from 2 ft
10:10.0,Defensive rebound by A. Drummond,,2-5,,
10:01.0,A. Drummond makes 2-pt shot from 1 ft (assist by R. Jackson),2,4-5,,
9:50.0,,,4-7,2,N. Cole makes 2-pt shot from 14 ft (assist by T. Evans)
9:32.0,R. Jackson misses 3-pt shot from 23 ft,,4-7,,
9:31.0,,,4-7,,Defensive rebound by A. Davis
9:25.0,,,4-9,2,N. Cole makes 2-pt shot at rim
9:17.0,Detroit full timeout,,4-9,,
9:05.0,K. Caldwell-Pope makes 3-pt shot from 23 ft (assist by R. Jackson),3,7-9,,
8:51.0,,,7-11,2,A. Davis makes 2-pt shot from 15 ft (assist by N. Cole)
