time,Detroit,pts.away,score,pts.home,Utah
1:36.0,,,20-12,,Defensive rebound by R. Gobert
1:34.0,,,20-12,,Turnover by R. Gobert (lost ball; steal by S. Johnson)
1:20.0,Turnover by S. Johnson (bad pass; steal by R. Hood),,20-12,,
1:17.0,,,20-12,,Shooting foul by K. Caldwell-Pope (drawn by R. Hood)
1:17.0,,,20-13,1,R. Hood makes free throw 1 of 2
1:17.0,,,20-13,,R. Hood misses free throw 2 of 2
1:15.0,Defensive rebound by Team,,20-13,,
0:59.0,E. Ilyasova misses 3-pt shot from 23 ft,,20-13,,
0:58.0,Offensive rebound by K. Caldwell-Pope,,20-13,,
0:56.0,A. Drummond makes 2-pt shot from 1 ft (assist by K. Caldwell-Pope),2,22-13,,
0:45.0,,,22-13,,Turnover by R. Hood (traveling)
0:25.0,Turnover by S. Johnson (traveling),,22-13,,
0:08.0,,,22-13,,D. Favors misses 2-pt shot from 14 ft
0:08.0,,,22-13,,Offensive rebound by J. Ingles
0:01.0,,,22-13,,Turnover by J. Ingles (bad pass; steal by B. Jennings)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,22-13,,Turnover by D. Favors (traveling)
11:26.0,M. Morris misses 2-pt shot from 15 ft,,22-13,,
11:25.0,,,22-13,,Defensive rebound by D. Favors
11:17.0,,,22-13,,R. Hood misses 2-pt shot from 2 ft
11:16.0,Defensive rebound by S. Johnson,,22-13,,
11:11.0,M. Morris misses 2-pt shot from 2 ft (block by J. Withey),,22-13,,
11:09.0,Offensive rebound by A. Tolliver,,22-13,,
11:06.0,A. Tolliver misses 2-pt shot from 5 ft,,22-13,,
11:06.0,Offensive rebound by M. Morris,,22-13,,
11:05.0,M. Morris misses 2-pt shot from 1 ft,,22-13,,
11:04.0,,,22-13,,Defensive rebound by D. Favors
11:00.0,,,22-13,,Shooting foul by B. Jennings (drawn by D. Favors)
11:00.0,,,22-13,,D. Favors misses free throw 1 of 2
11:00.0,,,22-13,,Offensive rebound by Team
11:00.0,,,22-14,1,D. Favors makes free throw 2 of 2
10:45.0,S. Johnson makes 3-pt shot from 24 ft (assist by A. Baynes),3,25-14,,
10:24.0,,,25-16,2,D. Favors makes 2-pt shot at rim (assist by T. Burke)
9:58.0,A. Tolliver makes 3-pt shot from 22 ft (assist by B. Jennings),3,28-16,,
9:29.0,,,28-19,3,J. Ingles makes 3-pt shot from 23 ft (assist by T. Burke)
9:16.0,B. Jennings misses 2-pt shot from 19 ft,,28-19,,
9:15.0,,,28-19,,Defensive rebound by J. Withey
9:07.0,,,28-19,,J. Ingles misses 3-pt shot from 24 ft
9:06.0,Defensive rebound by A. Baynes,,28-19,,
8:57.0,A. Tolliver misses 2-pt shot from 2 ft (block by J. Withey),,28-19,,
8:57.0,Offensive rebound by Team,,28-19,,
8:57.0,Detroit full timeout,,28-19,,
8:57.0,,,28-19,,T. Lyles enters the game for D. Favors
8:54.0,Shooting foul by J. Withey (drawn by A. Baynes),,28-19,,
8:54.0,A. Baynes misses free throw 1 of 2,,28-19,,
8:54.0,Offensive rebound by Team,,28-19,,
8:54.0,A. Baynes makes free throw 2 of 2,1,29-19,,
8:47.0,Personal foul by S. Johnson (drawn by R. Hood),,29-19,,
8:41.0,,,29-19,,T. Burke misses 2-pt shot from 17 ft
8:41.0,Defensive rebound by Team,,29-19,,
8:28.0,A. Baynes makes 2-pt shot at rim (assist by S. Johnson),2,31-19,,
8:07.0,,,31-21,2,J. Withey makes 2-pt shot from 3 ft
7:51.0,A. Baynes misses 2-pt shot from 3 ft,,31-21,,
7:51.0,,,31-21,,Defensive rebound by R. Hood
7:42.0,,,31-21,,T. Lyles misses 2-pt shot from 1 ft
7:41.0,Defensive rebound by A. Tolliver,,31-21,,
7:38.0,,,31-21,,Personal foul by J. Ingles (drawn by B. Jennings)
7:38.0,,,31-21,,C. Johnson enters the game for T. Burke
7:38.0,,,31-21,,G. Hayward enters the game for R. Hood
7:29.0,B. Jennings misses 2-pt shot from 1 ft,,31-21,,
7:29.0,,,31-21,,Defensive rebound by G. Hayward
7:15.0,,,31-23,2,J. Ingles makes 2-pt shot from 2 ft
7:03.0,,,31-23,,Personal foul by J. Ingles (drawn by M. Morris)
7:03.0,,,31-23,,R. Gobert enters the game for J. Withey
6:56.0,A. Baynes misses 2-pt shot from 5 ft,,31-23,,
6:55.0,,,31-23,,Defensive rebound by J. Ingles
6:46.0,,,31-23,,Shooting foul by B. Jennings (drawn by G. Hayward)
6:46.0,,,31-24,1,G. Hayward makes free throw 1 of 2
6:46.0,R. Jackson enters the game for B. Jennings,,31-24,,
6:46.0,A. Drummond enters the game for A. Baynes,,31-24,,
6:46.0,,,31-25,1,G. Hayward makes free throw 2 of 2
6:33.0,S. Johnson makes 2-pt shot from 18 ft,2,33-25,,
6:16.0,,,33-27,2,G. Hayward makes 2-pt shot from 16 ft
6:09.0,Detroit full timeout,,33-27,,
6:00.0,M. Morris misses 2-pt shot from 11 ft,,33-27,,
6:00.0,,,33-27,,Defensive rebound by R. Gobert
5:46.0,Personal foul by M. Morris (drawn by G. Hayward),,33-27,,
5:32.0,,,33-27,,T. Lyles misses 2-pt shot from 6 ft
5:32.0,Defensive rebound by A. Drummond,,33-27,,
5:25.0,A. Drummond misses 2-pt shot from 2 ft (block by G. Hayward),,33-27,,
5:25.0,,,33-27,,Defensive rebound by Team
5:20.0,,,33-27,,Shooting foul by A. Drummond (drawn by G. Hayward)
5:20.0,,,33-28,1,G. Hayward makes free throw 1 of 2
5:20.0,,,33-28,,T. Booker enters the game for T. Lyles
5:20.0,K. Caldwell-Pope enters the game for M. Morris,,33-28,,
5:20.0,,,33-29,1,G. Hayward makes free throw 2 of 2
5:03.0,R. Jackson makes 2-pt shot from 6 ft,2,35-29,,
4:54.0,,,35-29,,Offensive foul by T. Booker
4:54.0,,,35-29,,Turnover by T. Booker (offensive foul)
4:44.0,,,35-29,,Personal foul by T. Booker (drawn by R. Jackson)
4:31.0,A. Tolliver misses 2-pt shot from 20 ft,,35-29,,
4:30.0,,,35-29,,Defensive rebound by C. Johnson
4:19.0,,,35-29,,G. Hayward misses 3-pt shot from 24 ft
4:18.0,Defensive rebound by A. Tolliver,,35-29,,
4:09.0,R. Jackson makes 3-pt shot from 25 ft (assist by S. Johnson),3,38-29,,
3:56.0,,,38-29,,T. Booker misses 2-pt shot from 1 ft
3:55.0,Defensive rebound by A. Tolliver,,38-29,,
3:48.0,R. Jackson misses 3-pt shot from 24 ft,,38-29,,
3:48.0,,,38-29,,Defensive rebound by R. Gobert
