time,Detroit,pts.away,score,pts.home,Utah
5:04.0,Offensive rebound by Team,,86-79,,
5:04.0,,,86-79,,R. Hood enters the game for C. Johnson
5:04.0,A. Drummond misses free throw 2 of 2,,86-79,,
5:03.0,,,86-79,,Defensive rebound by T. Lyles
4:47.0,,,86-81,2,R. Gobert makes 2-pt shot at rim (assist by G. Hayward)
4:32.0,R. Jackson misses 2-pt shot from 5 ft,,86-81,,
4:31.0,,,86-81,,Defensive rebound by G. Hayward
4:10.0,,,86-81,,R. Hood misses 2-pt shot from 8 ft
4:10.0,Defensive rebound by M. Morris,,86-81,,
4:02.0,M. Morris misses 3-pt shot from 24 ft,,86-81,,
4:01.0,,,86-81,,Defensive rebound by R. Gobert
3:48.0,,,86-81,,G. Hayward misses 2-pt shot from 3 ft
3:47.0,Defensive rebound by R. Jackson,,86-81,,
3:36.0,R. Jackson makes 2-pt shot from 7 ft,2,88-81,,
3:28.0,,,88-81,,Utah full timeout
3:28.0,A. Baynes enters the game for A. Drummond,,88-81,,
3:28.0,,,88-81,,D. Favors enters the game for T. Lyles
3:14.0,,,88-81,,Shooting foul by A. Tolliver (drawn by D. Favors)
3:14.0,,,88-82,1,D. Favors makes free throw 1 of 2
3:14.0,,,88-83,1,D. Favors makes free throw 2 of 2
2:58.0,,,88-83,,Personal foul by J. Ingles (drawn by M. Morris)
2:45.0,A. Tolliver misses 3-pt shot from 23 ft,,88-83,,
2:44.0,,,88-83,,Defensive rebound by R. Gobert
2:29.0,,,88-85,2,G. Hayward makes 2-pt shot from 1 ft
2:15.0,R. Jackson misses 2-pt shot from 17 ft,,88-85,,
2:14.0,,,88-85,,Defensive rebound by J. Ingles
2:00.0,,,88-87,2,R. Gobert makes 2-pt shot from 8 ft (assist by G. Hayward)
1:43.0,K. Caldwell-Pope makes 2-pt shot from 2 ft,2,90-87,,
1:23.0,,,90-87,,R. Hood misses 2-pt shot from 4 ft
1:23.0,Defensive rebound by A. Baynes,,90-87,,
1:08.0,R. Jackson makes 3-pt shot from 24 ft,3,93-87,,
1:08.0,,,93-87,,Utah full timeout
1:00.0,,,93-89,2,R. Gobert makes 2-pt shot at rim (assist by G. Hayward)
0:49.0,R. Jackson misses 2-pt shot from 2 ft,,93-89,,
0:48.0,,,93-89,,Defensive rebound by J. Ingles
0:25.0,,,93-89,,G. Hayward misses 2-pt shot from 3 ft
0:24.0,,,93-89,,Offensive rebound by Team
0:13.0,,,93-89,,J. Ingles misses 3-pt shot from 24 ft
0:12.0,,,93-89,,Offensive rebound by D. Favors
0:07.0,,,93-92,3,R. Hood makes 3-pt shot from 25 ft (assist by D. Favors)
0:06.0,,,93-92,,Personal foul by G. Hayward (drawn by R. Jackson)
0:06.0,,,93-92,,C. Johnson enters the game for D. Favors
0:06.0,,,93-92,,T. Booker enters the game for J. Ingles
0:05.0,,,93-92,,Personal foul by C. Johnson (drawn by R. Jackson)
0:05.0,R. Jackson makes free throw 1 of 2,1,94-92,,
0:05.0,,,94-92,,D. Favors enters the game for C. Johnson
0:05.0,R. Jackson makes free throw 2 of 2,1,95-92,,
0:05.0,,,95-92,,Utah full timeout
0:05.0,S. Johnson enters the game for A. Baynes,,95-92,,
0:05.0,,,95-92,,T. Lyles enters the game for D. Favors
0:05.0,,,95-92,,J. Ingles enters the game for T. Booker
0:01.0,,,95-92,,G. Hayward misses 3-pt shot from 24 ft
0:00.0,,,95-92,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
