time,Sacramento,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. D. Cousins (A. Roberson gains possession),,,,Jump ball: S. Adams vs. D. Cousins (A. Roberson gains possession)
11:42.0,,,0-2,2,A. Morrow makes 2-pt shot from 8 ft
11:26.0,B. McLemore makes 3-pt shot from 24 ft (assist by R. Rondo),3,3-2,,
11:01.0,,,3-2,,R. Westbrook misses 3-pt shot from 23 ft
11:00.0,Defensive rebound by D. Cousins,,3-2,,
10:45.0,R. Rondo makes 2-pt shot from 3 ft,2,5-2,,
10:21.0,,,5-2,,S. Ibaka misses 2-pt shot from 6 ft (block by R. Rondo)
10:20.0,Defensive rebound by R. Rondo,,5-2,,
10:12.0,R. Rondo misses 2-pt shot from 2 ft,,5-2,,
10:11.0,Offensive rebound by D. Cousins,,5-2,,
10:01.0,R. Rondo misses 3-pt shot from 23 ft,,5-2,,
10:00.0,,,5-2,,Defensive rebound by A. Roberson
9:53.0,,,5-2,,Shooting foul by Q. Acy (drawn by S. Adams)
9:53.0,,,5-3,1,S. Adams makes free throw 1 of 2
9:53.0,,,5-4,1,S. Adams makes free throw 2 of 2
9:45.0,Turnover by B. McLemore (bad pass; steal by A. Morrow),,5-4,,
9:33.0,,,5-6,2,A. Morrow makes 2-pt shot from 1 ft
9:23.0,D. Cousins misses 2-pt shot from 17 ft,,5-6,,
9:22.0,,,5-6,,Defensive rebound by R. Westbrook
9:08.0,,,5-6,,S. Ibaka misses 2-pt shot from 12 ft
9:08.0,Defensive rebound by R. Rondo,,5-6,,
9:04.0,B. McLemore misses 2-pt shot from 4 ft,,5-6,,
9:02.0,Offensive rebound by R. Gay,,5-6,,
9:02.0,R. Gay misses 2-pt shot at rim,,5-6,,
9:01.0,,,5-6,,Defensive rebound by S. Adams
8:55.0,,,5-6,,A. Roberson misses 2-pt shot at rim (block by D. Cousins)
8:54.0,Defensive rebound by D. Cousins,,5-6,,
8:48.0,Shooting foul by A. Morrow (drawn by R. Gay),,5-6,,
8:48.0,R. Gay misses free throw 1 of 2,,5-6,,
8:48.0,Offensive rebound by Team,,5-6,,
8:48.0,R. Gay makes free throw 2 of 2,1,6-6,,
8:31.0,,,6-9,3,A. Morrow makes 3-pt shot from 23 ft (assist by S. Ibaka)
8:25.0,Turnover by R. Rondo (bad pass),,6-9,,
8:13.0,,,6-9,,S. Ibaka misses 2-pt shot from 1 ft
8:12.0,Defensive rebound by D. Cousins,,6-9,,
8:07.0,R. Gay makes 2-pt shot from 1 ft (assist by R. Rondo),2,8-9,,
7:46.0,,,8-11,2,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook)
7:36.0,R. Rondo makes 2-pt shot at rim,2,10-11,,
7:23.0,,,10-13,2,S. Ibaka makes 2-pt shot from 16 ft (assist by R. Westbrook)
7:13.0,D. Cousins misses 2-pt shot from 1 ft,,10-13,,
7:12.0,Offensive rebound by Q. Acy,,10-13,,
7:09.0,R. Gay misses 3-pt shot from 24 ft,,10-13,,
7:08.0,,,10-13,,Defensive rebound by S. Ibaka
6:59.0,,,10-16,3,S. Ibaka makes 3-pt shot from 24 ft (assist by R. Westbrook)
6:53.0,Sacramento full timeout,,10-16,,
6:53.0,M. Belinelli enters the game for Q. Acy,,10-16,,
6:43.0,Shooting foul by S. Adams (drawn by D. Cousins),,10-16,,
6:43.0,D. Cousins makes free throw 1 of 2,1,11-16,,
6:43.0,D. Cousins makes free throw 2 of 2,1,12-16,,
6:28.0,,,12-19,3,R. Westbrook makes 3-pt shot from 24 ft
6:16.0,R. Rondo makes 2-pt shot at rim,2,14-19,,
6:04.0,,,14-21,2,S. Ibaka makes 2-pt shot at rim (assist by R. Westbrook)
5:49.0,Turnover by R. Rondo (bad pass; steal by R. Westbrook),,14-21,,
5:44.0,,,14-21,,R. Westbrook misses 2-pt shot from 16 ft
5:43.0,,,14-21,,Offensive rebound by S. Ibaka
5:37.0,,,14-21,,Shooting foul by R. Gay (drawn by R. Westbrook)
