time,Atlanta,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. C. Zeller (J. Teague gains possession),,,,Jump ball: A. Horford vs. C. Zeller (J. Teague gains possession)
11:47.0,Turnover by K. Bazemore (lost ball),,0-0,,
11:33.0,,,0-0,,Turnover by N. Batum (bad pass; steal by K. Bazemore)
11:20.0,P. Millsap makes 2-pt shot from 1 ft (assist by K. Bazemore),2,2-0,,
10:59.0,,,2-0,,K. Walker misses 3-pt shot from 24 ft
10:57.0,,,2-0,,Offensive rebound by K. Walker
10:53.0,,,2-3,3,P. Hairston makes 3-pt shot from 24 ft (assist by K. Walker)
10:36.0,K. Korver misses 3-pt shot from 25 ft,,2-3,,
10:35.0,,,2-3,,Defensive rebound by M. Williams
10:19.0,,,2-3,,P. Hairston misses 3-pt shot from 25 ft
10:18.0,Defensive rebound by P. Millsap,,2-3,,
10:03.0,J. Teague misses 2-pt shot from 2 ft (block by K. Walker),,2-3,,
10:01.0,,,2-3,,Defensive rebound by P. Hairston
9:50.0,,,2-5,2,C. Zeller makes 2-pt shot from 1 ft (assist by M. Williams)
9:31.0,K. Bazemore misses 3-pt shot from 25 ft,,2-5,,
9:30.0,,,2-5,,Defensive rebound by P. Hairston
9:24.0,,,2-7,2,K. Walker makes 2-pt shot at rim (assist by N. Batum)
9:24.0,,,2-7,,Shooting foul by J. Teague (drawn by K. Walker)
9:24.0,,,2-8,1,K. Walker makes free throw 1 of 1
9:18.0,,,2-8,,Personal foul by M. Williams (drawn by P. Millsap)
9:12.0,Turnover by J. Teague (lost ball; steal by K. Walker),,2-8,,
9:06.0,,,2-8,,M. Williams misses 2-pt shot from 2 ft
9:03.0,Defensive rebound by J. Teague,,2-8,,
8:57.0,J. Teague misses 2-pt shot from 11 ft,,2-8,,
8:55.0,,,2-8,,Defensive rebound by M. Williams
8:37.0,,,2-8,,M. Williams misses 2-pt shot from 9 ft
8:36.0,Defensive rebound by P. Millsap,,2-8,,
8:30.0,P. Millsap misses 2-pt shot from 1 ft,,2-8,,
8:28.0,,,2-8,,Defensive rebound by C. Zeller
8:18.0,,,2-8,,K. Walker misses 2-pt shot from 16 ft
8:16.0,Defensive rebound by K. Korver,,2-8,,
8:10.0,Turnover by A. Horford (bad pass; steal by M. Williams),,2-8,,
8:05.0,,,2-10,2,C. Zeller makes 2-pt shot at rim (assist by N. Batum)
8:05.0,Atlanta full timeout,,2-10,,
8:05.0,D. Schroder enters the game for J. Teague,,2-10,,
7:51.0,Turnover by K. Korver (bad pass),,2-10,,
7:36.0,,,2-10,,N. Batum misses 3-pt shot from 25 ft
7:35.0,Defensive rebound by K. Korver,,2-10,,
7:22.0,Offensive foul by P. Millsap,,2-10,,
7:22.0,Turnover by P. Millsap (offensive foul),,2-10,,
7:20.0,T. Splitter enters the game for K. Bazemore,,2-10,,
7:09.0,,,2-13,3,K. Walker makes 3-pt shot from 25 ft (assist by N. Batum)
6:49.0,D. Schroder misses 2-pt shot from 17 ft,,2-13,,
6:48.0,,,2-13,,Defensive rebound by N. Batum
6:43.0,,,2-13,,Turnover by N. Batum (bad pass)
6:33.0,T. Splitter misses 2-pt shot from 1 ft,,2-13,,
6:33.0,Offensive rebound by Team,,2-13,,
6:33.0,Turnover by T. Splitter (traveling),,2-13,,
6:33.0,,,2-13,,J. Lin enters the game for K. Walker
6:21.0,,,2-15,2,C. Zeller makes 2-pt shot from 6 ft (assist by N. Batum)
6:10.0,K. Korver misses 3-pt shot from 25 ft,,2-15,,
6:10.0,Offensive rebound by Team,,2-15,,
6:10.0,,,2-15,,Loose ball foul by N. Batum (drawn by P. Millsap)
6:04.0,A. Horford misses 2-pt shot from 2 ft (block by C. Zeller),,2-15,,
6:04.0,,,2-15,,Defensive rebound by Team
5:46.0,,,2-15,,M. Williams misses 3-pt shot from 25 ft
5:45.0,Defensive rebound by D. Schroder,,2-15,,
5:31.0,D. Schroder misses 2-pt shot from 2 ft,,2-15,,
5:30.0,,,2-15,,Defensive rebound by M. Williams
5:25.0,,,2-15,,Shooting foul by A. Horford (drawn by J. Lin)
5:25.0,,,2-16,1,J. Lin makes free throw 1 of 2
5:25.0,,,2-16,,F. Kaminsky enters the game for M. Williams
5:25.0,,,2-17,1,J. Lin makes free throw 2 of 2
5:09.0,P. Millsap makes 2-pt shot from 1 ft,2,4-17,,
4:54.0,,,4-17,,N. Batum misses 3-pt shot from 24 ft
4:54.0,,,4-17,,Offensive rebound by Team
4:54.0,Loose ball foul by A. Horford (drawn by C. Zeller),,4-17,,
4:54.0,K. Bazemore enters the game for A. Horford,,4-17,,
4:43.0,,,4-17,,P. Hairston misses 3-pt shot from 25 ft
4:42.0,Defensive rebound by P. Millsap,,4-17,,
4:31.0,P. Millsap makes 2-pt shot from 1 ft (assist by D. Schroder),2,6-17,,
4:27.0,,,6-17,,Offensive foul by N. Batum
4:27.0,,,6-17,,Turnover by N. Batum (offensive foul)
4:27.0,,,6-17,,J. Lamb enters the game for N. Batum
4:27.0,T. Hardaway enters the game for K. Korver,,6-17,,
4:09.0,P. Millsap misses 2-pt shot from 6 ft (block by C. Zeller),,6-17,,
4:07.0,Offensive rebound by K. Bazemore,,6-17,,
4:01.0,D. Schroder misses 2-pt shot from 1 ft (block by J. Lin),,6-17,,
3:58.0,,,6-17,,Defensive rebound by J. Lin
3:51.0,,,6-17,,Shooting foul by K. Bazemore (drawn by C. Zeller)
3:51.0,,,6-17,,C. Zeller misses free throw 1 of 2
3:51.0,,,6-17,,Offensive rebound by Team
3:51.0,,,6-18,1,C. Zeller makes free throw 2 of 2
3:39.0,Shooting foul by C. Zeller (drawn by K. Bazemore),,6-18,,
3:39.0,K. Bazemore makes free throw 1 of 2,1,7-18,,
3:39.0,K. Bazemore misses free throw 2 of 2,,7-18,,
3:36.0,,,7-18,,Defensive rebound by J. Lin
3:16.0,Violation by T. Splitter (kicked ball),,7-18,,
3:06.0,,,7-18,,Offensive foul by P. Hairston
3:06.0,,,7-18,,Turnover by P. Hairston (offensive foul)
2:54.0,P. Millsap makes 2-pt shot from 17 ft (assist by D. Schroder),2,9-18,,
2:54.0,,,9-18,,Charlotte full timeout
2:42.0,,,9-18,,Turnover by J. Lin (bad pass)
2:31.0,D. Schroder makes 2-pt shot from 2 ft,2,11-18,,
2:17.0,,,11-18,,S. Hawes enters the game for C. Zeller
2:17.0,,,11-18,,T. Daniels enters the game for P. Hairston
2:17.0,M. Scott enters the game for P. Millsap,,11-18,,
2:13.0,,,11-18,,T. Daniels misses 2-pt shot from 20 ft
2:09.0,Defensive rebound by D. Schroder,,11-18,,
2:03.0,K. Bazemore makes 2-pt shot from 13 ft,2,13-18,,
1:45.0,,,13-18,,Shooting foul by T. Hardaway (drawn by J. Lin)
1:45.0,,,13-19,1,J. Lin makes free throw 1 of 2
1:45.0,,,13-20,1,J. Lin makes free throw 2 of 2
1:36.0,Shooting foul by J. Lamb (drawn by K. Bazemore),,13-20,,
1:36.0,K. Bazemore makes free throw 1 of 2,1,14-20,,
1:36.0,K. Bazemore misses free throw 2 of 2,,14-20,,
1:34.0,,,14-20,,Defensive rebound by J. Lamb
1:23.0,,,14-20,,T. Daniels misses 3-pt shot from 25 ft
1:22.0,Defensive rebound by T. Splitter,,14-20,,
1:13.0,D. Schroder makes 2-pt shot from 2 ft,2,16-20,,
1:08.0,,,16-20,,Charlotte full timeout
0:58.0,,,16-20,,J. Lin misses 3-pt shot from 25 ft
0:55.0,Defensive rebound by D. Schroder,,16-20,,
0:54.0,T. Hardaway makes 2-pt shot from 15 ft,2,18-20,,
0:54.0,Shooting foul by T. Daniels (drawn by T. Hardaway),,18-20,,
0:54.0,T. Hardaway makes free throw 1 of 1,1,19-20,,
0:33.0,,,19-20,,Turnover by J. Lamb (bad pass; steal by K. Bazemore)
0:31.0,Turnover by K. Bazemore (bad pass),,19-20,,
0:07.0,,,19-20,,F. Kaminsky misses 2-pt shot from 17 ft
0:05.0,,,19-20,,Offensive rebound by T. Daniels
0:01.0,,,19-20,,J. Lamb misses 3-pt shot from 24 ft
0:00.0,Defensive rebound by M. Scott,,19-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,19-20,,Turnover by J. Lamb (lost ball)
11:29.0,Turnover by A. Horford (lost ball; steal by K. Walker),,19-20,,
11:14.0,,,19-22,2,J. Lamb makes 2-pt shot from 2 ft (assist by F. Kaminsky)
11:03.0,D. Schroder misses 2-pt shot from 19 ft,,19-22,,
11:02.0,,,19-22,,Defensive rebound by Team
10:50.0,,,19-22,,Offensive foul by F. Kaminsky
10:50.0,,,19-22,,Turnover by F. Kaminsky (offensive foul)
10:32.0,J. Teague makes 2-pt shot from 18 ft,2,21-22,,
10:09.0,,,21-22,,S. Hawes misses 3-pt shot from 25 ft
10:08.0,Defensive rebound by J. Teague,,21-22,,
10:03.0,Turnover by D. Schroder (traveling),,21-22,,
9:49.0,,,21-22,,J. Lin misses 3-pt shot from 23 ft
9:48.0,Defensive rebound by T. Hardaway,,21-22,,
9:40.0,T. Hardaway misses 2-pt shot from 2 ft (block by S. Hawes),,21-22,,
9:38.0,,,21-22,,Defensive rebound by F. Kaminsky
9:32.0,,,21-22,,Turnover by J. Lamb (bad pass; steal by J. Teague)
9:26.0,Turnover by A. Horford (bad pass; steal by F. Kaminsky),,21-22,,
9:17.0,,,21-25,3,K. Walker makes 3-pt shot from 23 ft (assist by J. Lamb)
9:17.0,Atlanta full timeout,,21-25,,
9:17.0,J. Holiday enters the game for D. Schroder,,21-25,,
9:17.0,K. Korver enters the game for T. Hardaway,,21-25,,
8:57.0,M. Scott misses 3-pt shot from 24 ft,,21-25,,
8:55.0,,,21-25,,Defensive rebound by J. Lamb
8:44.0,,,21-27,2,J. Lamb makes 2-pt shot at rim (assist by S. Hawes)
8:20.0,J. Teague misses 2-pt shot from 3 ft (block by F. Kaminsky),,21-27,,
8:18.0,,,21-27,,Defensive rebound by J. Lamb
8:14.0,,,21-27,,J. Lin misses 2-pt shot at rim
8:13.0,,,21-27,,Offensive rebound by J. Lamb
8:13.0,,,21-29,2,J. Lamb makes 2-pt shot from 1 ft
7:55.0,J. Teague misses 2-pt shot from 19 ft,,21-29,,
7:54.0,,,21-29,,Defensive rebound by S. Hawes
7:41.0,,,21-32,3,F. Kaminsky makes 3-pt shot from 24 ft (assist by J. Lamb)
7:23.0,M. Scott misses 3-pt shot from 25 ft,,21-32,,
7:22.0,,,21-32,,Defensive rebound by J. Lamb
6:59.0,,,21-32,,Turnover by K. Walker (bad pass; steal by J. Holiday)
6:54.0,J. Holiday misses 3-pt shot from 25 ft,,21-32,,
6:53.0,,,21-32,,Defensive rebound by F. Kaminsky
6:46.0,P. Millsap enters the game for M. Scott,,21-32,,
6:46.0,,,21-32,,N. Batum enters the game for J. Lamb
6:46.0,K. Bazemore enters the game for J. Holiday,,21-32,,
6:37.0,,,21-34,2,J. Lin makes 2-pt shot from 7 ft
6:33.0,Atlanta full timeout,,21-34,,
6:23.0,K. Bazemore makes 3-pt shot from 25 ft (assist by J. Teague),3,24-34,,
6:06.0,,,24-37,3,K. Walker makes 3-pt shot from 24 ft (assist by N. Batum)
5:56.0,J. Teague makes 2-pt shot from 1 ft,2,26-37,,
5:36.0,,,26-37,,F. Kaminsky misses 3-pt shot from 25 ft
5:35.0,Defensive rebound by A. Horford,,26-37,,
5:26.0,J. Teague misses 2-pt shot from 1 ft,,26-37,,
5:24.0,,,26-37,,Defensive rebound by S. Hawes
5:24.0,,,26-37,,Turnover by S. Hawes (lost ball; steal by J. Teague)
5:24.0,Shooting foul by S. Hawes (drawn by J. Teague),,26-37,,
5:24.0,Official timeout,,26-37,,
5:24.0,T. Splitter enters the game for A. Horford,,26-37,,
5:24.0,D. Schroder enters the game for K. Korver,,26-37,,
5:24.0,,,26-37,,M. Williams enters the game for J. Lin
5:24.0,,,26-37,,C. Zeller enters the game for F. Kaminsky
5:24.0,,,26-37,,P. Hairston enters the game for S. Hawes
5:24.0,J. Teague makes free throw 1 of 2,1,27-37,,
5:24.0,J. Teague makes free throw 2 of 2,1,28-37,,
5:05.0,,,28-37,,P. Hairston misses 3-pt shot from 25 ft (block by J. Teague)
5:03.0,Defensive rebound by K. Bazemore,,28-37,,
5:03.0,,,28-37,,Personal block foul by M. Williams (drawn by J. Teague)
4:43.0,P. Millsap misses 2-pt shot from 19 ft,,28-37,,
4:42.0,,,28-37,,Defensive rebound by C. Zeller
