time,LA Clippers,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. K. Towns (C. Paul gains possession),,,,Jump ball: D. Jordan vs. K. Towns (C. Paul gains possession)
11:43.0,J. Redick makes 3-pt shot from 24 ft (assist by C. Paul),3,3-0,,
11:20.0,,,3-0,,R. Rubio misses 2-pt shot from 1 ft (block by D. Jordan)
11:18.0,,,3-0,,Offensive rebound by K. Towns
11:15.0,,,3-0,,G. Dieng misses 2-pt shot from 22 ft
11:14.0,Defensive rebound by L. Mbah a Moute,,3-0,,
10:50.0,C. Paul makes 3-pt shot from 25 ft,3,6-0,,
10:29.0,,,6-0,,G. Dieng misses 2-pt shot from 2 ft (block by D. Jordan)
10:27.0,Defensive rebound by L. Mbah a Moute,,6-0,,
10:17.0,L. Mbah a Moute misses 3-pt shot from 23 ft,,6-0,,
10:16.0,,,6-0,,Defensive rebound by K. Towns
10:05.0,,,6-3,3,K. Towns makes 3-pt shot from 24 ft (assist by R. Rubio)
9:46.0,J. Redick misses 3-pt shot from 23 ft,,6-3,,
9:45.0,,,6-3,,Defensive rebound by R. Rubio
9:30.0,,,6-3,,G. Dieng misses 2-pt shot from 15 ft
9:28.0,Defensive rebound by D. Jordan,,6-3,,
9:15.0,Turnover by C. Paul (lost ball; steal by R. Rubio),,6-3,,
9:04.0,,,6-6,3,K. Towns makes 3-pt shot from 24 ft (assist by Z. LaVine)
8:48.0,J. Redick misses 3-pt shot from 23 ft,,6-6,,
8:47.0,,,6-6,,Defensive rebound by G. Dieng
8:36.0,,,6-6,,A. Wiggins misses 2-pt shot from 11 ft
8:35.0,,,6-6,,Offensive rebound by G. Dieng
8:30.0,,,6-6,,Z. LaVine misses 2-pt shot from 20 ft
8:30.0,,,6-6,,Offensive rebound by Team
8:27.0,,,6-6,,A. Wiggins misses 2-pt shot from 1 ft
8:26.0,,,6-6,,Offensive rebound by K. Towns
8:25.0,,,6-6,,Turnover by K. Towns (traveling)
8:19.0,C. Paul misses 2-pt shot from 19 ft,,6-6,,
8:17.0,Offensive rebound by L. Mbah a Moute,,6-6,,
8:10.0,Offensive foul by D. Jordan,,6-6,,
8:10.0,Turnover by D. Jordan (offensive foul),,6-6,,
7:58.0,Personal foul by L. Mbah a Moute,,6-6,,
