time,Dallas,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. Z. Pachulia (J. Holiday gains possession),,,,Jump ball: A. Davis vs. Z. Pachulia (J. Holiday gains possession)
11:41.0,,,0-3,3,E. Gordon makes 3-pt shot from 25 ft (assist by A. Davis)
11:25.0,Turnover by W. Matthews (bad pass; steal by E. Gordon),,0-3,,
11:20.0,,,0-3,,Shooting foul by C. Parsons (drawn by E. Gordon)
11:20.0,,,0-4,1,E. Gordon makes free throw 1 of 2
11:20.0,,,0-5,1,E. Gordon makes free throw 2 of 2
11:09.0,Turnover by W. Matthews (bad pass; steal by A. Davis),,0-5,,
11:04.0,,,0-7,2,A. Davis makes 2-pt shot at rim
10:46.0,Turnover by C. Parsons (lost ball; steal by J. Holiday),,0-7,,
10:40.0,,,0-10,3,J. Holiday makes 3-pt shot from 26 ft
10:38.0,Dallas full timeout,,0-10,,
10:25.0,D. Nowitzki misses 3-pt shot from 24 ft,,0-10,,
10:24.0,,,0-10,,Defensive rebound by O. Asik
10:13.0,,,0-10,,A. Davis misses 3-pt shot from 25 ft
10:12.0,Defensive rebound by C. Parsons,,0-10,,
10:00.0,W. Matthews misses 3-pt shot from 24 ft,,0-10,,
9:59.0,,,0-10,,Defensive rebound by A. Davis
9:50.0,,,0-12,2,A. Davis makes 2-pt shot from 1 ft (assist by J. Holiday)
9:39.0,D. Williams misses 2-pt shot from 13 ft,,0-12,,
9:37.0,,,0-12,,Defensive rebound by O. Asik
9:22.0,,,0-12,,A. Davis misses 2-pt shot from 2 ft
9:21.0,Defensive rebound by D. Nowitzki,,0-12,,
9:08.0,Z. Pachulia makes 2-pt shot from 1 ft,2,2-12,,
8:48.0,,,2-14,2,J. Holiday makes 2-pt shot from 15 ft
8:37.0,D. Nowitzki misses 3-pt shot from 24 ft,,2-14,,
8:37.0,,,2-14,,Defensive rebound by L. Babbitt
8:28.0,,,2-14,,A. Davis misses 2-pt shot from 14 ft
8:26.0,Defensive rebound by C. Parsons,,2-14,,
8:17.0,D. Nowitzki misses 3-pt shot from 25 ft,,2-14,,
8:16.0,,,2-14,,Defensive rebound by O. Asik
8:10.0,Personal foul by D. Williams (drawn by J. Holiday),,2-14,,
8:10.0,C. Villanueva enters the game for D. Nowitzki,,2-14,,
8:10.0,R. Felton enters the game for W. Matthews,,2-14,,
7:58.0,,,2-14,,Turnover by A. Davis (lost ball; steal by D. Williams)
7:46.0,D. Williams makes 2-pt shot from 1 ft (assist by C. Parsons),2,4-14,,
7:31.0,,,4-14,,A. Davis misses 2-pt shot from 10 ft
7:31.0,Defensive rebound by R. Felton,,4-14,,
7:24.0,Shooting foul by A. Davis (drawn by Z. Pachulia),,4-14,,
7:24.0,Z. Pachulia makes free throw 1 of 2,1,5-14,,
7:24.0,,,5-14,,R. Anderson enters the game for O. Asik
7:24.0,Z. Pachulia makes free throw 2 of 2,1,6-14,,
7:13.0,Personal foul by C. Villanueva (drawn by R. Anderson),,6-14,,
7:01.0,,,6-16,2,J. Holiday makes 2-pt shot from 1 ft (assist by R. Anderson)
6:45.0,C. Parsons misses 3-pt shot from 24 ft,,6-16,,
6:45.0,,,6-16,,Defensive rebound by A. Davis
6:32.0,,,6-16,,L. Babbitt misses 3-pt shot from 23 ft
6:32.0,,,6-16,,Offensive rebound by Team
6:23.0,,,6-19,3,E. Gordon makes 3-pt shot from 24 ft (assist by J. Holiday)
6:08.0,C. Villanueva makes 3-pt shot from 24 ft (assist by D. Williams),3,9-19,,
5:57.0,,,9-19,,A. Davis misses 2-pt shot from 1 ft
5:56.0,Defensive rebound by C. Parsons,,9-19,,
5:48.0,,,9-19,,Personal foul by E. Gordon (drawn by C. Parsons)
5:48.0,,,9-19,,A. Gee enters the game for L. Babbitt
5:43.0,,,9-19,,Personal foul by A. Gee (drawn by C. Parsons)
5:30.0,C. Villanueva makes 2-pt shot from 1 ft (assist by D. Williams),2,11-19,,
5:12.0,,,11-19,,R. Anderson misses 2-pt shot from 15 ft
5:12.0,Defensive rebound by Z. Pachulia,,11-19,,
5:07.0,R. Felton misses 2-pt shot from 3 ft (block by A. Davis),,11-19,,
5:07.0,Offensive rebound by Z. Pachulia,,11-19,,
5:07.0,Shooting foul by A. Gee (drawn by Z. Pachulia),,11-19,,
5:07.0,Z. Pachulia makes free throw 1 of 2,1,12-19,,
5:07.0,,,12-19,,D. Cunningham enters the game for A. Davis
5:07.0,Z. Pachulia makes free throw 2 of 2,1,13-19,,
4:42.0,,,13-19,,R. Anderson misses 3-pt shot from 26 ft
4:40.0,Defensive rebound by C. Parsons,,13-19,,
4:30.0,D. Williams misses 3-pt shot from 25 ft,,13-19,,
4:30.0,,,13-19,,Defensive rebound by A. Gee
4:20.0,,,13-19,,A. Gee misses 2-pt shot from 21 ft
