time,Utah,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. J. Valanciunas (G. Hayward gains possession),,,,Jump ball: R. Gobert vs. J. Valanciunas (G. Hayward gains possession)
11:41.0,,,0-0,,Violation by D. DeRozan (kicked ball)
11:30.0,G. Hayward makes 2-pt shot from 9 ft,2,2-0,,
11:15.0,,,2-2,2,D. DeRozan makes 2-pt shot from 2 ft (assist by K. Lowry)
11:07.0,G. Hayward makes 2-pt shot from 16 ft (assist by S. Mack),2,4-2,,
10:54.0,,,4-5,3,K. Lowry makes 3-pt shot from 23 ft (assist by L. Scola)
10:37.0,Turnover by S. Mack (lost ball; steal by L. Scola),,4-5,,
10:32.0,,,4-7,2,K. Lowry makes 2-pt shot from 1 ft
10:13.0,,,4-7,,Personal foul by J. Johnson (drawn by G. Hayward)
10:01.0,R. Gobert makes 2-pt shot from 3 ft (assist by R. Hood),2,6-7,,
9:37.0,,,6-7,,J. Valanciunas misses 2-pt shot from 2 ft
9:36.0,Defensive rebound by S. Mack,,6-7,,
9:26.0,Offensive foul by R. Gobert,,6-7,,
9:26.0,Turnover by R. Gobert (offensive foul),,6-7,,
9:16.0,,,6-7,,Turnover by J. Johnson (bad pass; steal by R. Gobert)
9:08.0,S. Mack misses 3-pt shot from 26 ft,,6-7,,
9:08.0,,,6-7,,Defensive rebound by D. DeRozan
8:46.0,,,6-7,,J. Valanciunas misses 2-pt shot from 1 ft
8:46.0,Defensive rebound by R. Gobert,,6-7,,
8:34.0,R. Gobert makes 2-pt shot at rim (assist by G. Hayward),2,8-7,,
8:34.0,Shooting foul by K. Lowry (drawn by R. Gobert),,8-7,,
8:34.0,R. Gobert misses free throw 1 of 1,,8-7,,
8:33.0,,,8-7,,Defensive rebound by J. Valanciunas
8:18.0,,,8-10,3,K. Lowry makes 3-pt shot from 26 ft (assist by L. Scola)
7:57.0,D. Favors misses 2-pt shot from 15 ft,,8-10,,
7:56.0,Offensive rebound by R. Gobert,,8-10,,
