time,Phoenix,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. A. Len (J. Leuer gains possession),,,,Jump ball: P. Gasol vs. A. Len (J. Leuer gains possession)
11:40.0,Turnover by A. Len (lost ball),,0-0,,
11:40.0,,,0-2,2,P. Gasol makes 2-pt shot from 2 ft
11:28.0,J. Leuer makes 2-pt shot from 9 ft,2,2-2,,
11:07.0,,,2-2,,N. Mirotic misses 3-pt shot from 24 ft
11:06.0,Defensive rebound by E. Bledsoe,,2-2,,
10:52.0,A. Len misses 2-pt shot from 1 ft,,2-2,,
10:52.0,,,2-2,,Defensive rebound by D. Rose
10:43.0,,,2-2,,P. Gasol misses 2-pt shot from 18 ft
10:43.0,Defensive rebound by E. Bledsoe,,2-2,,
10:33.0,,,2-2,,Personal foul by T. Snell (drawn by P. Tucker)
10:33.0,A. Len misses 2-pt shot from 17 ft,,2-2,,
10:32.0,,,2-2,,Defensive rebound by D. Rose
10:22.0,,,2-2,,N. Mirotic misses 3-pt shot from 23 ft
10:21.0,Defensive rebound by A. Len,,2-2,,
10:13.0,,,2-2,,Personal foul by D. Rose (drawn by E. Bledsoe)
10:13.0,E. Bledsoe misses free throw 1 of 2,,2-2,,
10:13.0,Offensive rebound by Team,,2-2,,
10:13.0,E. Bledsoe makes free throw 2 of 2,1,3-2,,
9:33.0,,,3-2,,D. Rose misses 2-pt shot from 1 ft
9:32.0,Defensive rebound by J. Leuer,,3-2,,
9:26.0,P. Tucker misses 2-pt shot at rim,,3-2,,
9:25.0,Offensive rebound by A. Len,,3-2,,
9:25.0,A. Len makes 2-pt shot at rim,2,5-2,,
9:08.0,,,5-4,2,J. Butler makes 2-pt shot from 1 ft
8:57.0,Turnover by P. Tucker (bad pass; steal by P. Gasol),,5-4,,
8:54.0,,,5-4,,Turnover by D. Rose (lost ball; steal by B. Knight)
8:49.0,J. Leuer makes 2-pt shot from 2 ft (assist by E. Bledsoe),2,7-4,,
8:31.0,,,7-7,3,T. Snell makes 3-pt shot from 25 ft (assist by P. Gasol)
8:18.0,Turnover by E. Bledsoe (traveling),,7-7,,
8:05.0,,,7-7,,J. Butler misses 2-pt shot from 20 ft
8:04.0,Defensive rebound by B. Knight,,7-7,,
7:59.0,J. Leuer misses 2-pt shot from 2 ft,,7-7,,
7:58.0,,,7-7,,Defensive rebound by P. Gasol
7:45.0,,,7-7,,J. Butler misses 2-pt shot from 16 ft
7:44.0,,,7-7,,Offensive rebound by P. Gasol
7:44.0,,,7-9,2,P. Gasol makes 2-pt shot from 1 ft
7:44.0,,,7-9,,Shooting foul by P. Tucker (drawn by P. Gasol)
7:44.0,,,7-10,1,P. Gasol makes free throw 1 of 1
7:29.0,Turnover by P. Tucker (lost ball; steal by D. Rose),,7-10,,
7:24.0,,,7-10,,Shooting foul by J. Leuer (drawn by J. Butler)
7:24.0,,,7-10,,J. Butler misses free throw 1 of 2
7:24.0,,,7-10,,Offensive rebound by Team
7:24.0,,,7-11,1,J. Butler makes free throw 2 of 2
7:15.0,,,7-11,,Violation by J. Butler (kicked ball)
7:09.0,B. Knight makes 2-pt shot from 18 ft,2,9-11,,
7:03.0,,,9-14,3,T. Snell makes 3-pt shot from 24 ft (assist by D. Rose)
6:53.0,B. Knight makes 2-pt shot from 20 ft,2,11-14,,
6:42.0,,,11-16,2,T. Snell makes 2-pt shot at rim (assist by P. Gasol)
6:34.0,Phoenix full timeout,,11-16,,
6:21.0,J. Leuer makes 2-pt shot from 15 ft,2,13-16,,
6:06.0,,,13-16,,J. Butler misses 2-pt shot at rim
6:05.0,Defensive rebound by E. Bledsoe,,13-16,,
5:52.0,A. Len misses 2-pt shot from 1 ft (block by D. Rose),,13-16,,
5:50.0,,,13-16,,Defensive rebound by T. Snell
5:46.0,,,13-18,2,N. Mirotic makes 2-pt shot at rim (assist by D. Rose)
5:30.0,E. Bledsoe makes 2-pt shot from 2 ft,2,15-18,,
5:25.0,Personal foul by A. Len (drawn by D. Rose),,15-18,,
5:25.0,T. Warren enters the game for J. Leuer,,15-18,,
5:25.0,M. Teletovic enters the game for P. Tucker,,15-18,,
5:25.0,D. Booker enters the game for B. Knight,,15-18,,
5:16.0,,,15-18,,P. Gasol misses 2-pt shot from 2 ft (block by M. Teletovic)
5:16.0,,,15-18,,Offensive rebound by Team
5:09.0,,,15-18,,P. Gasol misses 2-pt shot from 3 ft (block by A. Len)
5:08.0,,,15-18,,Offensive rebound by P. Gasol
5:08.0,Personal foul by A. Len (drawn by P. Gasol),,15-18,,
5:08.0,,,15-19,1,P. Gasol makes free throw 1 of 2
5:08.0,M. Morris enters the game for A. Len,,15-19,,
5:08.0,Violation by Team (delay of game),,15-19,,
5:08.0,,,15-19,,P. Gasol misses free throw 2 of 2
5:08.0,Defensive rebound by E. Bledsoe,,15-19,,
4:56.0,M. Teletovic makes 3-pt shot from 24 ft (assist by T. Warren),3,18-19,,
4:45.0,,,18-19,,D. Rose misses 2-pt shot from 1 ft
4:44.0,,,18-19,,Offensive rebound by P. Gasol
4:44.0,,,18-21,2,P. Gasol makes 2-pt shot at rim
4:24.0,M. Morris misses 2-pt shot from 5 ft (block by P. Gasol),,18-21,,
4:21.0,Offensive rebound by E. Bledsoe,,18-21,,
4:21.0,E. Bledsoe makes 2-pt shot at rim,2,20-21,,
4:12.0,,,20-23,2,P. Gasol makes 2-pt shot from 4 ft
4:12.0,,,20-23,,Shooting foul by M. Morris (drawn by P. Gasol)
4:12.0,,,20-23,,D. McDermott enters the game for T. Snell
4:12.0,,,20-23,,K. Hinrich enters the game for D. Rose
4:12.0,,,20-24,1,P. Gasol makes free throw 1 of 1
4:02.0,Turnover by T. Warren (bad pass),,20-24,,
4:02.0,,,20-24,,J. Noah enters the game for P. Gasol
3:41.0,,,20-26,2,J. Butler makes 2-pt shot from 1 ft (assist by N. Mirotic)
3:28.0,M. Teletovic makes 2-pt shot from 8 ft,2,22-26,,
3:05.0,,,22-28,2,N. Mirotic makes 2-pt shot from 21 ft (assist by J. Butler)
2:42.0,T. Warren misses 2-pt shot from 14 ft,,22-28,,
2:41.0,,,22-28,,Defensive rebound by N. Mirotic
2:35.0,Personal foul by E. Bledsoe (drawn by J. Noah),,22-28,,
2:35.0,,,22-28,,Chicago full timeout
2:35.0,,,22-28,,T. Gibson enters the game for N. Mirotic
2:35.0,R. Price enters the game for E. Bledsoe,,22-28,,
2:35.0,,,22-28,,J. Noah misses free throw 1 of 2
2:35.0,,,22-28,,Offensive rebound by Team
2:35.0,,,22-28,,J. Noah misses free throw 2 of 2
2:33.0,Defensive rebound by M. Morris,,22-28,,
2:21.0,D. Booker misses 2-pt shot from 15 ft,,22-28,,
2:21.0,Offensive rebound by Team,,22-28,,
2:19.0,M. Teletovic makes 2-pt shot from 2 ft (assist by T. Warren),2,24-28,,
2:00.0,,,24-30,2,T. Gibson makes 2-pt shot from 15 ft (assist by J. Noah)
1:50.0,Turnover by M. Morris (bad pass),,24-30,,
1:28.0,,,24-30,,D. McDermott misses 3-pt shot from 24 ft
1:26.0,Defensive rebound by M. Morris,,24-30,,
1:17.0,D. Booker misses 2-pt shot from 1 ft,,24-30,,
1:16.0,,,24-30,,Defensive rebound by J. Noah
1:08.0,,,24-30,,D. McDermott misses 3-pt shot from 22 ft
1:06.0,Defensive rebound by M. Teletovic,,24-30,,
1:00.0,T. Warren misses 2-pt shot from 17 ft,,24-30,,
0:58.0,,,24-30,,Defensive rebound by J. Noah
0:38.0,,,24-30,,T. Gibson misses 2-pt shot from 16 ft
0:36.0,Defensive rebound by D. Booker,,24-30,,
0:14.0,M. Morris misses 2-pt shot from 19 ft,,24-30,,
0:13.0,Offensive rebound by T. Warren,,24-30,,
0:10.0,D. Booker makes 3-pt shot from 25 ft (assist by T. Warren),3,27-30,,
0:00.0,,,27-30,,T. Gibson misses 2-pt shot from 6 ft
0:00.0,,,27-30,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,27-32,2,D. McDermott makes 2-pt shot from 21 ft (assist by T. Gibson)
11:14.0,D. Booker makes 2-pt shot from 2 ft (assist by M. Teletovic),2,29-32,,
10:52.0,,,29-32,,K. Hinrich misses 2-pt shot from 1 ft
10:51.0,,,29-32,,Offensive rebound by J. Noah
10:51.0,,,29-32,,J. Noah misses 2-pt shot at rim
10:50.0,Defensive rebound by M. Morris,,29-32,,
10:38.0,M. Teletovic misses 2-pt shot from 1 ft (block by T. Gibson),,29-32,,
10:36.0,,,29-32,,Defensive rebound by J. Noah
10:29.0,,,29-34,2,E. Moore makes 2-pt shot from 17 ft (assist by J. Noah)
10:05.0,,,29-34,,Personal foul by K. Hinrich (drawn by M. Morris)
10:05.0,J. Leuer enters the game for R. Price,,29-34,,
10:05.0,B. Knight enters the game for M. Morris,,29-34,,
9:55.0,J. Leuer makes 2-pt shot from 8 ft,2,31-34,,
9:35.0,,,31-34,,Turnover by K. Hinrich (bad pass; steal by T. Warren)
9:26.0,J. Leuer misses 3-pt shot from 24 ft,,31-34,,
9:25.0,,,31-34,,Defensive rebound by K. Hinrich
9:12.0,,,31-34,,D. McDermott misses 2-pt shot from 10 ft
9:11.0,Defensive rebound by J. Leuer,,31-34,,
9:04.0,T. Warren misses 2-pt shot from 10 ft,,31-34,,
9:02.0,,,31-34,,Defensive rebound by J. Noah
8:48.0,,,31-34,,K. Hinrich misses 2-pt shot from 3 ft
8:46.0,Defensive rebound by J. Leuer,,31-34,,
8:40.0,T. Warren makes 2-pt shot from 1 ft (assist by B. Knight),2,33-34,,
8:40.0,Shooting foul by D. McDermott (drawn by T. Warren),,33-34,,
