time,Boston,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. A. Johnson (I. Thomas gains possession),,,,Jump ball: A. Horford vs. A. Johnson (I. Thomas gains possession)
11:50.0,Turnover by I. Thomas (step out of bounds),,0-0,,
11:40.0,,,0-0,,Offensive foul by A. Horford
11:40.0,,,0-0,,Turnover by A. Horford (offensive foul)
11:28.0,I. Thomas misses 2-pt shot from 1 ft (block by P. Millsap),,0-0,,
11:26.0,,,0-0,,Defensive rebound by K. Korver
11:17.0,,,0-0,,P. Millsap misses 2-pt shot from 7 ft
11:16.0,Defensive rebound by J. Sullinger,,0-0,,
11:02.0,A. Bradley makes 2-pt shot from 18 ft (assist by J. Sullinger),2,2-0,,
10:53.0,,,2-0,,A. Horford misses 2-pt shot from 9 ft
10:53.0,,,2-0,,Offensive rebound by Team
10:49.0,,,2-2,2,T. Sefolosha makes 2-pt shot from 2 ft (assist by K. Korver)
10:30.0,A. Bradley misses 3-pt shot from 24 ft,,2-2,,
10:28.0,,,2-2,,Defensive rebound by P. Millsap
10:16.0,,,2-5,3,K. Korver makes 3-pt shot from 24 ft (assist by J. Teague)
10:00.0,A. Bradley makes 2-pt shot from 20 ft (assist by J. Crowder),2,4-5,,
9:49.0,,,4-5,,Turnover by J. Teague (bad pass; steal by I. Thomas)
9:43.0,J. Crowder makes 2-pt shot from 5 ft (assist by A. Bradley),2,6-5,,
9:32.0,,,6-7,2,J. Teague makes 2-pt shot from 2 ft
9:23.0,Turnover by I. Thomas (bad pass; steal by T. Sefolosha),,6-7,,
9:22.0,,,6-9,2,T. Sefolosha makes 2-pt shot from 1 ft
9:22.0,,,6-9,,Shooting foul by J. Crowder (drawn by T. Sefolosha)
9:22.0,,,6-10,1,T. Sefolosha makes free throw 1 of 1
9:08.0,J. Sullinger misses 2-pt shot from 12 ft,,6-10,,
9:04.0,Offensive rebound by J. Crowder,,6-10,,
9:03.0,J. Crowder misses 2-pt shot from 1 ft,,6-10,,
9:02.0,,,6-10,,Defensive rebound by K. Korver
8:47.0,,,6-12,2,A. Horford makes 2-pt shot from 18 ft (assist by P. Millsap)
8:32.0,J. Crowder misses 3-pt shot from 23 ft (block by T. Sefolosha),,6-12,,
8:30.0,,,6-12,,Defensive rebound by A. Horford
8:20.0,,,6-14,2,A. Horford makes 2-pt shot from 1 ft (assist by T. Sefolosha)
8:18.0,Boston full timeout,,6-14,,
7:58.0,I. Thomas misses 2-pt shot from 1 ft,,6-14,,
7:55.0,Offensive rebound by A. Johnson,,6-14,,
7:55.0,A. Johnson misses 2-pt shot at rim,,6-14,,
7:54.0,,,6-14,,Defensive rebound by T. Sefolosha
7:46.0,,,6-14,,A. Horford misses 3-pt shot from 23 ft
7:44.0,Defensive rebound by J. Crowder,,6-14,,
7:38.0,Turnover by I. Thomas (bad pass; steal by T. Sefolosha),,6-14,,
7:28.0,,,6-16,2,P. Millsap makes 2-pt shot from 1 ft (assist by T. Sefolosha)
7:13.0,A. Bradley makes 2-pt shot from 19 ft,2,8-16,,
7:01.0,,,8-16,,A. Horford misses 3-pt shot from 25 ft
7:00.0,Defensive rebound by J. Crowder,,8-16,,
6:45.0,A. Bradley makes 3-pt shot from 25 ft (assist by J. Crowder),3,11-16,,
6:26.0,,,11-18,2,T. Sefolosha makes 2-pt shot from 7 ft (assist by J. Teague)
6:09.0,Shooting foul by A. Horford (drawn by J. Sullinger),,11-18,,
6:09.0,J. Sullinger makes free throw 1 of 2,1,12-18,,
6:09.0,,,12-18,,M. Muscala enters the game for A. Horford
6:09.0,,,12-18,,L. Patterson enters the game for T. Sefolosha
6:09.0,K. Olynyk enters the game for J. Crowder,,12-18,,
6:09.0,E. Turner enters the game for A. Johnson,,12-18,,
6:09.0,J. Sullinger makes free throw 2 of 2,1,13-18,,
5:52.0,,,13-21,3,M. Muscala makes 3-pt shot from 25 ft (assist by L. Patterson)
5:34.0,K. Olynyk misses 3-pt shot from 25 ft,,13-21,,
5:33.0,,,13-21,,Defensive rebound by L. Patterson
5:25.0,,,13-21,,Shooting foul by K. Olynyk (drawn by P. Millsap)
5:25.0,,,13-22,1,P. Millsap makes free throw 1 of 2
5:25.0,,,13-23,1,P. Millsap makes free throw 2 of 2
5:11.0,I. Thomas makes 3-pt shot from 24 ft (assist by J. Sullinger),3,16-23,,
4:58.0,,,16-23,,J. Teague misses 2-pt shot from 17 ft
4:57.0,,,16-23,,Offensive rebound by P. Millsap
4:48.0,,,16-23,,Turnover by P. Millsap (lost ball; steal by A. Bradley)
4:45.0,A. Bradley makes 2-pt shot at rim,2,18-23,,
4:45.0,,,18-23,,Atlanta full timeout
4:45.0,,,18-23,,D. Schroder enters the game for J. Teague
4:37.0,,,18-23,,Offensive foul by K. Korver
4:37.0,,,18-23,,Turnover by K. Korver (offensive foul)
