time,Cleveland,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. T. Thompson (O. Porter gains possession),,,,Jump ball: M. Gortat vs. T. Thompson (O. Porter gains possession)
11:44.0,,,0-0,,Turnover by J. Wall (bad pass; steal by J. Smith)
11:38.0,K. Irving misses 2-pt shot at rim,,0-0,,
11:36.0,Offensive rebound by K. Irving,,0-0,,
11:36.0,,,0-0,,Loose ball foul by O. Porter (drawn by K. Irving)
11:23.0,K. Love misses 2-pt shot from 6 ft,,0-0,,
11:21.0,,,0-0,,Defensive rebound by G. Temple
11:08.0,,,0-0,,J. Wall misses 2-pt shot from 20 ft
11:07.0,,,0-0,,Offensive rebound by M. Gortat
11:04.0,,,0-3,3,J. Dudley makes 3-pt shot from 24 ft (assist by M. Gortat)
10:42.0,J. Smith makes 2-pt shot from 7 ft,2,2-3,,
10:32.0,,,2-5,2,G. Temple makes 2-pt shot from 1 ft (assist by J. Wall)
10:07.0,J. Smith makes 2-pt shot from 9 ft,2,4-5,,
10:01.0,Shooting block foul by T. Thompson (drawn by G. Temple),,4-5,,
10:01.0,,,4-6,1,G. Temple makes free throw 1 of 2
10:01.0,,,4-7,1,G. Temple makes free throw 2 of 2
9:44.0,L. James makes 2-pt shot from 12 ft,2,6-7,,
9:38.0,,,6-9,2,M. Gortat makes 2-pt shot from 2 ft (assist by J. Dudley)
9:18.0,Turnover by K. Love (bad pass; steal by M. Gortat),,6-9,,
9:13.0,,,6-9,,G. Temple misses 2-pt shot at rim
9:10.0,Defensive rebound by L. James,,6-9,,
8:50.0,K. Love makes 2-pt shot from 8 ft,2,8-9,,
8:30.0,,,8-9,,M. Gortat misses 2-pt shot from 15 ft
8:29.0,,,8-9,,Offensive rebound by J. Dudley
8:27.0,,,8-11,2,J. Dudley makes 2-pt shot at rim
8:08.0,,,8-11,,Personal foul by O. Porter (drawn by K. Love)
8:08.0,,,8-11,,K. Oubre enters the game for O. Porter
7:58.0,K. Irving misses 3-pt shot from 25 ft,,8-11,,
7:57.0,,,8-11,,Defensive rebound by M. Gortat
7:40.0,,,8-11,,M. Gortat misses 2-pt shot at rim
7:39.0,Defensive rebound by L. James,,8-11,,
7:32.0,Turnover by K. Irving (lost ball; steal by J. Wall),,8-11,,
7:28.0,,,8-13,2,J. Wall makes 2-pt shot at rim (assist by K. Oubre)
7:27.0,Cleveland full timeout,,8-13,,
7:17.0,,,8-13,,Personal foul by G. Temple (drawn by T. Thompson)
7:05.0,Shooting foul by J. Dudley (drawn by T. Thompson),,8-13,,
7:05.0,T. Thompson misses free throw 1 of 2,,8-13,,
7:05.0,Offensive rebound by Team,,8-13,,
7:05.0,T. Thompson makes free throw 2 of 2,1,9-13,,
6:41.0,,,9-13,,K. Oubre misses 2-pt shot from 3 ft
6:41.0,,,9-13,,Offensive rebound by Team
6:41.0,,,9-13,,Turnover by Team (shot clock)
6:22.0,L. James makes 2-pt shot from 21 ft,2,11-13,,
6:11.0,,,11-15,2,M. Gortat makes 2-pt shot from 6 ft (assist by J. Wall)
5:52.0,J. Smith makes 2-pt shot from 12 ft,2,13-15,,
5:43.0,,,13-15,,K. Oubre misses 3-pt shot from 25 ft
5:42.0,Defensive rebound by L. James,,13-15,,
5:34.0,K. Irving misses 2-pt shot from 9 ft,,13-15,,
5:33.0,,,13-15,,Defensive rebound by J. Dudley
5:29.0,Shooting block foul by L. James (drawn by G. Temple),,13-15,,
5:29.0,,,13-15,,G. Temple misses free throw 1 of 2
5:29.0,,,13-15,,Offensive rebound by Team
5:29.0,M. Dellavedova enters the game for K. Irving,,13-15,,
5:29.0,,,13-16,1,G. Temple makes free throw 2 of 2
5:11.0,L. James misses 2-pt shot from 9 ft,,13-16,,
5:10.0,,,13-16,,Defensive rebound by G. Temple
5:00.0,,,13-16,,J. Wall misses 2-pt shot from 9 ft
4:59.0,Defensive rebound by T. Thompson,,13-16,,
4:49.0,L. James misses 3-pt shot from 26 ft,,13-16,,
4:48.0,,,13-16,,Defensive rebound by M. Gortat
4:29.0,,,13-16,,G. Temple misses 3-pt shot from 24 ft
4:28.0,Defensive rebound by K. Love,,13-16,,
4:16.0,L. James misses 2-pt shot from 4 ft,,13-16,,
4:15.0,Offensive rebound by K. Love,,13-16,,
4:13.0,K. Love misses 2-pt shot at rim,,13-16,,
4:12.0,,,13-16,,Defensive rebound by J. Wall
4:08.0,,,13-18,2,K. Oubre makes 2-pt shot from 1 ft (assist by J. Wall)
3:49.0,T. Thompson misses 2-pt shot from 3 ft,,13-18,,
3:48.0,Offensive rebound by K. Love,,13-18,,
3:46.0,K. Love misses 2-pt shot at rim,,13-18,,
3:46.0,,,13-18,,Defensive rebound by J. Wall
3:44.0,,,13-18,,Shooting foul by J. Smith (drawn by J. Wall)
3:44.0,,,13-18,,J. Wall misses free throw 1 of 2
3:44.0,,,13-18,,Offensive rebound by Team
3:44.0,,,13-18,,G. Neal enters the game for G. Temple
3:44.0,I. Shumpert enters the game for L. James,,13-18,,
3:44.0,,,13-18,,J. Wall misses free throw 2 of 2
3:44.0,Defensive rebound by K. Love,,13-18,,
3:24.0,M. Dellavedova misses 2-pt shot from 10 ft,,13-18,,
3:23.0,Offensive rebound by T. Thompson,,13-18,,
3:22.0,T. Thompson makes 2-pt shot from 1 ft,2,15-18,,
2:58.0,,,15-18,,J. Wall misses 2-pt shot from 20 ft
2:56.0,Defensive rebound by J. Smith,,15-18,,
2:46.0,T. Thompson misses 2-pt shot from 1 ft,,15-18,,
2:45.0,Offensive rebound by K. Love,,15-18,,
2:44.0,K. Love makes 2-pt shot from 2 ft,2,17-18,,
2:38.0,,,17-18,,Washington full timeout
2:38.0,,,17-18,,N. Hilario enters the game for M. Gortat
2:34.0,,,17-18,,Turnover by J. Wall (bad pass; steal by K. Love)
2:26.0,J. Smith misses 2-pt shot from 6 ft,,17-18,,
2:25.0,,,17-18,,Defensive rebound by K. Oubre
2:07.0,,,17-18,,G. Neal misses 2-pt shot from 20 ft
2:06.0,Defensive rebound by I. Shumpert,,17-18,,
1:53.0,K. Love misses 2-pt shot from 7 ft,,17-18,,
1:52.0,,,17-18,,Defensive rebound by J. Wall
1:43.0,,,17-18,,Shooting foul by M. Dellavedova (drawn by N. Hilario)
1:43.0,,,17-18,,N. Hilario misses free throw 1 of 2
1:43.0,,,17-18,,Offensive rebound by Team
1:43.0,R. Jefferson enters the game for J. Smith,,17-18,,
1:43.0,T. Mozgov enters the game for T. Thompson,,17-18,,
1:43.0,,,17-18,,R. Sessions enters the game for J. Wall
1:43.0,,,17-18,,N. Hilario misses free throw 2 of 2
1:42.0,Defensive rebound by K. Love,,17-18,,
1:22.0,Turnover by T. Mozgov (lost ball),,17-18,,
1:10.0,,,17-18,,Shooting foul by T. Mozgov (drawn by N. Hilario)
1:10.0,,,17-18,,N. Hilario misses free throw 1 of 2
1:10.0,,,17-18,,Offensive rebound by Team
1:10.0,K. Irving enters the game for M. Dellavedova,,17-18,,
1:10.0,,,17-19,1,N. Hilario makes free throw 2 of 2
1:00.0,T. Mozgov misses 2-pt shot from 3 ft,,17-19,,
0:59.0,Offensive rebound by K. Love,,17-19,,
0:58.0,K. Love makes 2-pt shot from 1 ft,2,19-19,,
0:46.0,,,19-21,2,K. Oubre makes 2-pt shot from 1 ft
0:46.0,,,19-21,,Shooting foul by R. Jefferson (drawn by K. Oubre)
0:46.0,M. Dellavedova enters the game for K. Love,,19-21,,
0:46.0,,,19-21,,J. Eddie enters the game for J. Dudley
0:46.0,,,19-21,,K. Oubre misses free throw 1 of 1
0:45.0,Defensive rebound by R. Jefferson,,19-21,,
0:35.0,K. Irving misses 2-pt shot from 1 ft,,19-21,,
0:34.0,Offensive rebound by T. Mozgov,,19-21,,
0:34.0,T. Mozgov makes 2-pt shot at rim,2,21-21,,
0:28.0,,,21-24,3,J. Eddie makes 3-pt shot from 26 ft (assist by R. Sessions)
0:11.0,K. Irving makes 2-pt shot from 6 ft,2,23-24,,
0:11.0,Shooting foul by R. Sessions (drawn by K. Irving),,23-24,,
0:11.0,,,23-24,,J. Wall enters the game for K. Oubre
0:11.0,K. Irving makes free throw 1 of 1,1,24-24,,
0:00.0,,,24-24,,Shooting foul by K. Irving (drawn by J. Eddie)
0:00.0,,,24-25,1,J. Eddie makes free throw 1 of 2
0:00.0,,,24-26,1,J. Eddie makes free throw 2 of 2
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,T. Mozgov misses 2-pt shot from 8 ft,,24-26,,
11:38.0,,,24-26,,Defensive rebound by O. Porter
11:29.0,,,24-26,,R. Sessions misses 2-pt shot from 6 ft
11:29.0,Defensive rebound by T. Mozgov,,24-26,,
11:14.0,K. Irving misses 3-pt shot from 23 ft,,24-26,,
11:12.0,,,24-26,,Defensive rebound by O. Porter
10:58.0,,,24-28,2,N. Hilario makes 2-pt shot from 17 ft (assist by G. Neal)
10:33.0,Turnover by M. Dellavedova (step out of bounds),,24-28,,
10:18.0,,,24-28,,N. Hilario misses 2-pt shot from 11 ft
10:17.0,Defensive rebound by R. Jefferson,,24-28,,
10:08.0,K. Irving makes 2-pt shot at rim (assist by M. Dellavedova),2,26-28,,
9:56.0,,,26-30,2,N. Hilario makes 2-pt shot at rim (assist by R. Sessions)
9:40.0,K. Irving makes 2-pt shot from 4 ft,2,28-30,,
9:28.0,,,28-32,2,R. Sessions makes 2-pt shot from 5 ft
9:13.0,I. Shumpert misses 3-pt shot from 23 ft,,28-32,,
9:12.0,,,28-32,,Defensive rebound by Team
9:12.0,Loose ball foul by T. Mozgov (drawn by N. Hilario),,28-32,,
9:12.0,L. James enters the game for R. Jefferson,,28-32,,
9:12.0,,,28-32,,J. Wall enters the game for G. Neal
9:12.0,T. Thompson enters the game for T. Mozgov,,28-32,,
9:04.0,,,28-35,3,R. Sessions makes 3-pt shot from 25 ft
8:42.0,Official timeout,,28-35,,
8:42.0,,,28-35,,M. Gortat enters the game for N. Hilario
8:37.0,T. Thompson makes 2-pt shot at rim (assist by M. Dellavedova),2,30-35,,
8:19.0,,,30-35,,R. Sessions misses 2-pt shot from 6 ft
8:18.0,Defensive rebound by K. Irving,,30-35,,
8:04.0,T. Thompson misses 2-pt shot at rim (block by O. Porter),,30-35,,
8:03.0,,,30-35,,Defensive rebound by J. Eddie
7:58.0,,,30-35,,Turnover by R. Sessions (bad pass)
7:58.0,J. Smith enters the game for K. Irving,,30-35,,
7:47.0,T. Thompson makes 2-pt shot at rim (assist by L. James),2,32-35,,
7:32.0,,,32-35,,Turnover by J. Wall (bad pass; steal by I. Shumpert)
7:25.0,J. Smith makes 3-pt shot from 23 ft,3,35-35,,
7:16.0,,,35-37,2,M. Gortat makes 2-pt shot from 1 ft (assist by R. Sessions)
7:00.0,,,35-37,,G. Temple enters the game for J. Eddie
6:55.0,L. James makes 2-pt shot from 14 ft (assist by J. Smith),2,37-37,,
6:36.0,,,37-37,,J. Wall misses 2-pt shot from 21 ft
6:35.0,,,37-37,,Offensive rebound by O. Porter
6:32.0,,,37-37,,O. Porter misses 2-pt shot from 1 ft
6:31.0,,,37-37,,Offensive rebound by O. Porter
6:29.0,,,37-37,,M. Gortat misses 2-pt shot from 7 ft
6:28.0,Defensive rebound by J. Smith,,37-37,,
6:07.0,L. James misses 3-pt shot from 23 ft,,37-37,,
6:06.0,,,37-37,,Defensive rebound by R. Sessions
6:01.0,,,37-37,,J. Wall misses 2-pt shot from 2 ft (block by L. James)
5:58.0,Defensive rebound by M. Dellavedova,,37-37,,
5:50.0,J. Smith makes 3-pt shot from 25 ft (assist by I. Shumpert),3,40-37,,
5:43.0,,,40-37,,Shooting foul by I. Shumpert (drawn by R. Sessions)
5:43.0,,,40-37,,Washington full timeout
5:43.0,,,40-37,,Technical foul by Team
5:43.0,K. Love enters the game for T. Thompson,,40-37,,
5:43.0,L. James makes technical free throw,1,41-37,,
5:43.0,,,41-38,1,R. Sessions makes free throw 1 of 2
5:43.0,,,41-39,1,R. Sessions makes free throw 2 of 2
5:34.0,Turnover by K. Love (bad pass; steal by O. Porter),,41-39,,
5:33.0,Personal foul by K. Love (drawn by O. Porter),,41-39,,
5:19.0,,,41-41,2,M. Gortat makes 2-pt shot at rim (assist by R. Sessions)
4:52.0,J. Smith misses 3-pt shot from 29 ft,,41-41,,
4:52.0,Offensive rebound by K. Love,,41-41,,
4:52.0,Turnover by Team (shot clock),,41-41,,
4:40.0,,,41-41,,R. Sessions misses 3-pt shot from 24 ft
4:39.0,Defensive rebound by L. James,,41-41,,
4:31.0,L. James makes 2-pt shot from 1 ft,2,43-41,,
4:21.0,,,43-41,,J. Wall misses 2-pt shot from 1 ft
4:20.0,,,43-41,,Offensive rebound by M. Gortat
4:19.0,,,43-43,2,M. Gortat makes 2-pt shot from 1 ft
4:06.0,K. Love misses 3-pt shot from 27 ft,,43-43,,
4:05.0,Offensive rebound by I. Shumpert,,43-43,,
3:51.0,J. Smith makes 3-pt shot from 27 ft (assist by L. James),3,46-43,,
3:41.0,,,46-43,,Turnover by J. Wall (bad pass; steal by J. Smith)
3:39.0,,,46-43,,Personal foul by R. Sessions (drawn by M. Dellavedova)
3:39.0,,,46-43,,G. Neal enters the game for R. Sessions
3:39.0,K. Irving enters the game for M. Dellavedova,,46-43,,
3:30.0,L. James makes 2-pt shot from 3 ft (assist by I. Shumpert),2,48-43,,
