time,Indiana,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. I. Mahinmi (L. Allen gains possession),,,,Jump ball: T. Chandler vs. I. Mahinmi (L. Allen gains possession)
11:45.0,P. George misses 3-pt shot from 23 ft,,0-0,,
11:43.0,,,0-0,,Defensive rebound by T. Chandler
11:27.0,,,0-3,3,D. Booker makes 3-pt shot from 22 ft (assist by P. Tucker)
11:13.0,M. Ellis misses 3-pt shot from 25 ft,,0-3,,
11:11.0,Offensive rebound by I. Mahinmi,,0-3,,
11:07.0,P. George makes 2-pt shot from 16 ft,2,2-3,,
10:48.0,,,2-3,,P. Tucker misses 3-pt shot from 23 ft
10:46.0,Defensive rebound by G. Robinson,,2-3,,
10:25.0,M. Ellis makes 2-pt shot from 17 ft (assist by G. Robinson),2,4-3,,
10:03.0,,,4-5,2,P. Tucker makes 2-pt shot from 2 ft
9:49.0,Shooting foul by T. Chandler (drawn by M. Ellis),,4-5,,
9:49.0,M. Ellis makes free throw 1 of 2,1,5-5,,
9:49.0,M. Ellis makes free throw 2 of 2,1,6-5,,
9:35.0,,,6-5,,B. Knight misses 3-pt shot from 23 ft
9:33.0,Defensive rebound by I. Mahinmi,,6-5,,
9:25.0,M. Ellis misses 3-pt shot from 25 ft,,6-5,,
9:23.0,,,6-5,,Defensive rebound by T. Chandler
9:21.0,,,6-5,,Turnover by T. Chandler (bad pass)
9:12.0,P. George misses 3-pt shot from 24 ft,,6-5,,
9:10.0,,,6-5,,Defensive rebound by B. Knight
9:03.0,,,6-5,,Turnover by B. Knight (lost ball; steal by L. Allen)
9:00.0,Shooting foul by D. Booker (drawn by G. Robinson),,6-5,,
9:00.0,G. Robinson misses free throw 1 of 2,,6-5,,
9:00.0,Offensive rebound by Team,,6-5,,
9:00.0,G. Robinson makes free throw 2 of 2,1,7-5,,
8:35.0,,,7-5,,Turnover by B. Knight (lost ball; steal by M. Ellis)
8:29.0,G. Robinson makes 3-pt shot from 22 ft (assist by P. George),3,10-5,,
8:29.0,,,10-5,,Phoenix full timeout
8:16.0,,,10-8,3,P. Tucker makes 3-pt shot from 23 ft (assist by B. Knight)
8:01.0,Turnover by M. Ellis (bad pass; steal by B. Knight),,10-8,,
7:57.0,Shooting block foul by P. George (drawn by D. Booker),,10-8,,
7:57.0,,,10-9,1,D. Booker makes free throw 1 of 2
7:57.0,,,10-10,1,D. Booker makes free throw 2 of 2
7:37.0,P. George misses 2-pt shot from 18 ft,,10-10,,
