time,Indiana,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. I. Mahinmi (P. Beverley gains possession),,,,Jump ball: D. Howard vs. I. Mahinmi (P. Beverley gains possession)
11:45.0,,,0-2,2,D. Howard makes 2-pt shot at rim (assist by C. Capela)
11:26.0,I. Mahinmi misses 2-pt shot from 9 ft,,0-2,,
11:25.0,,,0-2,,Defensive rebound by C. Capela
11:19.0,,,0-5,3,P. Beverley makes 3-pt shot from 25 ft
11:03.0,L. Allen misses 2-pt shot from 10 ft,,0-5,,
11:02.0,,,0-5,,Defensive rebound by C. Capela
10:56.0,,,0-8,3,P. Beverley makes 3-pt shot from 24 ft (assist by J. Harden)
10:42.0,I. Mahinmi makes 2-pt shot at rim (assist by M. Ellis),2,2-8,,
10:42.0,Shooting foul by C. Capela (drawn by I. Mahinmi),,2-8,,
10:42.0,I. Mahinmi makes free throw 1 of 1,1,3-8,,
10:28.0,,,3-10,2,J. Harden makes 2-pt shot from 18 ft
10:16.0,,,3-10,,Personal foul by P. Beverley (drawn by M. Ellis)
10:12.0,L. Allen makes 2-pt shot at rim (assist by P. George),2,5-10,,
9:51.0,,,5-10,,T. Ariza misses 2-pt shot from 7 ft
9:50.0,Defensive rebound by I. Mahinmi,,5-10,,
9:39.0,P. George makes 2-pt shot from 10 ft,2,7-10,,
9:27.0,,,7-12,2,D. Howard makes 2-pt shot from 7 ft (assist by C. Capela)
9:18.0,Turnover by P. George (bad pass),,7-12,,
9:06.0,,,7-12,,Turnover by D. Howard (offensive goaltending)
8:58.0,Turnover by M. Ellis (bad pass; steal by P. Beverley),,7-12,,
8:54.0,,,7-14,2,T. Ariza makes 2-pt shot from 2 ft (assist by P. Beverley)
8:46.0,P. George misses 3-pt shot from 25 ft,,7-14,,
8:45.0,,,7-14,,Defensive rebound by D. Howard
8:36.0,,,7-14,,T. Ariza misses 3-pt shot from 23 ft
8:35.0,Defensive rebound by I. Mahinmi,,7-14,,
8:27.0,Turnover by P. George (bad pass; steal by D. Howard),,7-14,,
8:21.0,,,7-14,,P. Beverley misses 3-pt shot from 25 ft
8:20.0,,,7-14,,Offensive rebound by C. Capela
8:01.0,,,7-14,,C. Capela misses 2-pt shot from 2 ft
8:00.0,Defensive rebound by P. George,,7-14,,
7:50.0,L. Allen misses 2-pt shot from 14 ft,,7-14,,
7:49.0,,,7-14,,Defensive rebound by J. Harden
7:33.0,,,7-16,2,D. Howard makes 2-pt shot from 6 ft
7:11.0,M. Ellis misses 3-pt shot from 23 ft,,7-16,,
7:10.0,Offensive rebound by I. Mahinmi,,7-16,,
7:06.0,P. George misses 3-pt shot from 25 ft,,7-16,,
7:05.0,Offensive rebound by L. Allen,,7-16,,
7:03.0,Shooting foul by D. Howard (drawn by P. George),,7-16,,
7:03.0,P. George makes free throw 1 of 2,1,8-16,,
7:03.0,,,8-16,,T. Jones enters the game for C. Capela
7:03.0,P. George makes free throw 2 of 2,1,9-16,,
6:44.0,,,9-18,2,J. Harden makes 2-pt shot from 11 ft
6:34.0,G. Hill makes 2-pt shot from 10 ft,2,11-18,,
6:29.0,Personal block foul by M. Ellis (drawn by P. Beverley),,11-18,,
6:26.0,,,11-18,,J. Harden misses 3-pt shot from 24 ft
6:25.0,Defensive rebound by I. Mahinmi,,11-18,,
6:17.0,M. Ellis makes 2-pt shot from 9 ft (assist by G. Hill),2,13-18,,
6:05.0,,,13-18,,Offensive foul by T. Jones
6:05.0,,,13-18,,Turnover by T. Jones (offensive foul)
6:05.0,,,13-18,,J. Terry enters the game for P. Beverley
5:44.0,Turnover by G. Hill (bad pass; steal by T. Jones),,13-18,,
5:42.0,Personal foul by P. George (drawn by T. Jones),,13-18,,
5:42.0,,,13-18,,Houston full timeout
5:29.0,Personal foul by I. Mahinmi (drawn by J. Harden),,13-18,,
5:24.0,,,13-18,,J. Harden misses 2-pt shot from 17 ft
5:23.0,Defensive rebound by M. Ellis,,13-18,,
5:04.0,,,13-18,,Violation by D. Howard (def goaltending)
