time,Houston,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. Z. Pachulia (T. Jones gains possession),,,,Jump ball: C. Capela vs. Z. Pachulia (T. Jones gains possession)
11:40.0,Turnover by T. Jones (lost ball; steal by R. Felton),,0-0,,
11:30.0,Personal foul by T. Jones (drawn by D. Nowitzki),,0-0,,
11:23.0,,,0-0,,Turnover by D. Williams (bad pass)
11:09.0,P. Beverley makes 3-pt shot from 25 ft (assist by T. Jones),3,3-0,,
10:44.0,,,3-0,,R. Felton misses 3-pt shot from 26 ft
10:43.0,,,3-0,,Offensive rebound by Z. Pachulia
10:43.0,,,3-0,,Z. Pachulia misses 2-pt shot from 1 ft
10:42.0,Defensive rebound by J. Harden,,3-0,,
10:31.0,T. Jones misses 2-pt shot from 9 ft,,3-0,,
10:30.0,Offensive rebound by C. Capela,,3-0,,
10:25.0,P. Beverley makes 3-pt shot from 24 ft,3,6-0,,
10:04.0,,,6-0,,W. Matthews misses 3-pt shot from 24 ft
10:03.0,Defensive rebound by T. Jones,,6-0,,
9:55.0,Turnover by T. Ariza (lost ball; steal by R. Felton),,6-0,,
9:48.0,,,6-3,3,D. Williams makes 3-pt shot from 24 ft (assist by R. Felton)
9:37.0,Turnover by P. Beverley (bad pass),,6-3,,
9:28.0,,,6-3,,D. Nowitzki misses 3-pt shot from 24 ft
9:27.0,Defensive rebound by C. Capela,,6-3,,
9:15.0,Shooting foul by D. Williams (drawn by C. Capela),,6-3,,
9:15.0,C. Capela makes free throw 1 of 2,1,7-3,,
9:15.0,C. Capela misses free throw 2 of 2,,7-3,,
9:15.0,,,7-3,,Defensive rebound by D. Nowitzki
9:03.0,,,7-6,3,W. Matthews makes 3-pt shot from 22 ft (assist by D. Williams)
8:44.0,P. Beverley makes 3-pt shot from 23 ft (assist by J. Harden),3,10-6,,
8:20.0,,,10-6,,D. Williams misses 2-pt shot from 9 ft (block by C. Capela)
8:18.0,Defensive rebound by P. Beverley,,10-6,,
8:10.0,T. Ariza misses 3-pt shot from 25 ft,,10-6,,
8:09.0,,,10-6,,Defensive rebound by D. Nowitzki
8:04.0,,,10-6,,Turnover by R. Felton (bad pass)
7:52.0,J. Harden makes 2-pt shot from 1 ft,2,12-6,,
7:36.0,,,12-6,,D. Nowitzki misses 2-pt shot from 15 ft
7:33.0,,,12-6,,Offensive rebound by Z. Pachulia
7:33.0,,,12-8,2,Z. Pachulia makes 2-pt shot from 2 ft
7:16.0,J. Harden misses 2-pt shot from 15 ft,,12-8,,
7:15.0,,,12-8,,Defensive rebound by Z. Pachulia
7:04.0,,,12-8,,W. Matthews misses 2-pt shot from 12 ft
7:03.0,,,12-8,,Offensive rebound by W. Matthews
6:52.0,,,12-8,,R. Felton misses 2-pt shot from 2 ft
6:52.0,Defensive rebound by Team,,12-8,,
6:42.0,J. Harden makes 3-pt shot from 24 ft,3,15-8,,
6:39.0,,,15-8,,Dallas full timeout
6:39.0,,,15-8,,D. Powell enters the game for D. Nowitzki
6:39.0,,,15-8,,C. Parsons enters the game for R. Felton
6:39.0,M. Harrell enters the game for T. Jones,,15-8,,
6:25.0,,,15-8,,Z. Pachulia misses 2-pt shot at rim (block by J. Harden)
6:23.0,,,15-8,,Offensive rebound by Team
6:18.0,,,15-8,,Z. Pachulia misses 2-pt shot from 2 ft
6:16.0,Defensive rebound by T. Ariza,,15-8,,
6:05.0,C. Capela misses 2-pt shot from 2 ft (block by D. Powell),,15-8,,
6:03.0,,,15-8,,Defensive rebound by D. Powell
6:00.0,,,15-11,3,C. Parsons makes 3-pt shot from 23 ft (assist by D. Williams)
5:37.0,M. Harrell misses 2-pt shot from 20 ft,,15-11,,
5:36.0,,,15-11,,Defensive rebound by W. Matthews
5:19.0,,,15-13,2,C. Parsons makes 2-pt shot from 1 ft
5:05.0,Turnover by T. Ariza (kicked ball),,15-13,,
5:05.0,T. Lawson enters the game for P. Beverley,,15-13,,
4:48.0,,,15-13,,Turnover by Z. Pachulia (bad pass)
4:32.0,J. Harden misses 3-pt shot from 23 ft,,15-13,,
4:32.0,,,15-13,,Defensive rebound by D. Powell
4:13.0,,,15-15,2,D. Powell makes 2-pt shot from 1 ft (assist by D. Williams)
4:13.0,,,15-15,,Shooting foul by M. Harrell (drawn by D. Powell)
4:13.0,T. Jones enters the game for T. Ariza,,15-15,,
4:13.0,C. Brewer enters the game for C. Capela,,15-15,,
4:13.0,,,15-15,,D. Powell misses free throw 1 of 1
4:12.0,Defensive rebound by M. Harrell,,15-15,,
3:55.0,T. Lawson misses 3-pt shot from 24 ft,,15-15,,
3:54.0,,,15-15,,Defensive rebound by C. Parsons
3:50.0,,,15-17,2,D. Powell makes 2-pt shot at rim (assist by C. Parsons)
3:38.0,C. Brewer misses 3-pt shot from 22 ft,,15-17,,
3:37.0,,,15-17,,Defensive rebound by W. Matthews
3:28.0,,,15-20,3,D. Williams makes 3-pt shot from 23 ft (assist by C. Parsons)
3:28.0,Houston full timeout,,15-20,,
3:28.0,,,15-20,,C. Villanueva enters the game for D. Powell
3:28.0,J. Terry enters the game for J. Harden,,15-20,,
3:28.0,M. Harrell misses 2-pt shot from 1 ft,,15-20,,
3:27.0,Offensive rebound by M. Harrell,,15-20,,
3:26.0,M. Harrell misses 2-pt shot from 1 ft (block by C. Villanueva),,15-20,,
3:25.0,,,15-20,,Defensive rebound by C. Villanueva
3:18.0,,,15-20,,Turnover by D. Williams (bad pass; steal by M. Harrell)
3:14.0,Turnover by C. Brewer (bad pass; steal by W. Matthews),,15-20,,
3:10.0,,,15-22,2,D. Williams makes 2-pt shot from 1 ft (assist by W. Matthews)
2:54.0,T. Jones misses 2-pt shot from 7 ft,,15-22,,
2:54.0,Offensive rebound by M. Harrell,,15-22,,
2:36.0,,,15-22,,R. Felton enters the game for C. Parsons
